jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,fichier_pcs,score,statut
12,7,2024,stage_13,tour-de-france,2.UWT,2024 Tour de France Stage 13.gpx,12_July_2024__stage_13__tour-de-france_2024__2.UWT.csv,100,match
13,7,2024,stage_14,tour-de-france,2.UWT,2024 Tour de France Stage 14.gpx,13_July_2024__stage_14__tour-de-france_2024__2.UWT.csv,100,match
14,7,2024,stage_15,tour-de-france,2.UWT,2024 Tour de France Stage 15.gpx,14_July_2024__stage_15__tour-de-france_2024__2.UWT.csv,100,match
16,7,2024,stage_16,tour-de-france,2.UWT,2024 Tour de France Stage 16.gpx,16_July_2024__stage_16__tour-de-france_2024__2.UWT.csv,100,match
17,7,2024,stage_17,tour-de-france,2.UWT,2024 Tour de France Stage 17.gpx,17_July_2024__stage_17__tour-de-france_2024__2.UWT.csv,100,match
18,7,2024,stage_18,tour-de-france,2.UWT,2024 Tour de France Stage 18.gpx,18_July_2024__stage_18__tour-de-france_2024__2.UWT.csv,100,match
19,7,2024,stage_19,tour-de-france,2.UWT,2024 Tour de France Stage 19.gpx,19_July_2024__stage_19__tour-de-france_2024__2.UWT.csv,100,match
20,7,2024,stage_20,tour-de-france,2.UWT,2024 Tour de France Stage 20.gpx,20_July_2024__stage_20__tour-de-france_2024__2.UWT.csv,100,match
21,7,2024,stage_21,tour-de-france,2.UWT,2024 Tour de France Stage 21.gpx,21_July_2024__stage_21__tour-de-france_2024__2.UWT.csv,100,match
12,8,2024,stage_1,tour-de-pologne,2.UWT,2024 Tour de Pologne Stage 1.gpx,12_August_2024__stage_1__tour-de-pologne_2024__2.UWT.csv,100,match
13,8,2024,stage_2,tour-de-pologne,2.UWT,2024 Tour de Pologne Stage 2.gpx,13_August_2024__stage_2__tour-de-pologne_2024__2.UWT.csv,100,match
14,8,2024,stage_3,tour-de-pologne,2.UWT,2024 Tour de Pologne Stage 3.gpx,14_August_2024__stage_3__tour-de-pologne_2024__2.UWT.csv,100,match
15,8,2024,stage_4,tour-de-pologne,2.UWT,2024 Tour de Pologne Stage 4.gpx,15_August_2024__stage_4__tour-de-pologne_2024__2.UWT.csv,100,match
16,8,2024,stage_5,tour-de-pologne,2.UWT,2024 Tour de Pologne Stage 5.gpx,16_August_2024__stage_5__tour-de-pologne_2024__2.UWT.csv,100,match
17,8,2024,stage_1,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 1.gpx,17_August_2024__stage_1__vuelta-a-espana_2024__2.UWT.csv,100,match
17,8,2024,stage_6,tour-de-pologne,2.UWT,2024 Tour de Pologne Stage 6.gpx,17_August_2024__stage_6__tour-de-pologne_2024__2.UWT.csv,100,match
18,8,2024,stage_7,tour-de-pologne,2.UWT,2024 Tour de Pologne Stage 7.gpx,18_August_2024__stage_7__tour-de-pologne_2024__2.UWT.csv,100,match
18,8,2024,stage_2,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 2.gpx,18_August_2024__stage_2__vuelta-a-espana_2024__2.UWT.csv,100,match
19,8,2024,stage_3,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 3.gpx,19_August_2024__stage_3__vuelta-a-espana_2024__2.UWT.csv,100,match
20,8,2024,stage_4,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 4.gpx,20_August_2024__stage_4__vuelta-a-espana_2024__2.UWT.csv,100,match
