jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
13,1,2021,stage_1,new-zealand-cycle-classic,2.2,2021 New Zealand Cycle Classic Stage 1.gpx,https://www.komoot.com/tour/2973721936,10.1,,,,,,6.2,3.94,,,,,,,,,,,10.19,30.0,30.0,153.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.63,-0.52,30.0,0.0,30.0
14,1,2021,stage_2,new-zealand-cycle-classic,2.2,2021 New Zealand Cycle Classic Stage 2.gpx,https://www.komoot.com/tour/2973722552,157.0,1.1,,,,,5.47,153.0,,,,,,,,,,,158.42,1450.0,1389.0,274.0,103.0,4.0,2.0,0.0,0.0,0.0,0.7986,0.6599,0.0,0.0,0.0,3.2,2.03,1.0,113.0,0.11,428.0
15,1,2021,stage_3,new-zealand-cycle-classic,2.2,2021 New Zealand Cycle Classic Stage 3.gpx,https://www.komoot.com/tour/2973723216,128.0,,,,,,62.1,66.0,,,,,,,,,,,128.61,744.0,813.0,165.0,29.0,1.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,-0.7,-0.5,-0.28,30.0,-0.07,379.0
16,1,2021,stage_4,new-zealand-cycle-classic,2.2,2021 New Zealand Cycle Classic Stage 4.gpx,https://www.komoot.com/tour/2973723932,124.0,,,,,,49.2,75.0,,,,,,,,,,,124.11,1617.0,1321.0,414.0,68.0,5.0,3.0,3.0,0.0,0.0,0.9997,0.9997,0.9997,0.0,0.0,5.6,6.33,6.0,373.0,0.01,619.0
17,1,2021,stage_5,new-zealand-cycle-classic,2.2,2021 New Zealand Cycle Classic Stage 5.gpx,https://www.komoot.com/tour/2973724830,0.464,0.0,,,,,0.0,9.83,0.0,,9.43,,,,,,,,42.33,371.0,369.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.04,138.0,0.0,371.0
17,1,2021,stage_1,vuelta-al-tachira,2.2,2021 Vuelta al Tachira en Bicicleta Stage 1.gpx,https://www.komoot.com/tour/2987263096,1.6,4.06,1.02,,126.0,,2.46,4.2,,126.0,,,,,,,,,132.06,744.0,1625.0,962.0,54.0,1.0,1.0,0.0,0.0,0.0,0.8209,0.8209,0.0,0.0,0.0,-1.4,-0.7,-0.5,71.0,-1.67,293.0
18,1,2021,stage_2,vuelta-al-tachira,2.2,2021 Vuelta al Tachira en Bicicleta Stage 2.gpx,https://www.komoot.com/tour/2987264033,67.8,36.3,10.4,,,,78.5,35.9,,,,,,,,,,,114.59,2331.0,2330.0,1603.0,1379.0,10.0,10.0,0.0,0.0,0.0,0.9986,0.9986,0.0,0.0,0.0,2.8,3.93,3.68,239.0,-0.32,950.0
19,1,2021,stage_3,vuelta-al-tachira,2.2,2021 Vuelta al Tachira en Bicicleta Stage 3.gpx,https://www.komoot.com/tour/2987264744,0.303,4.84,26.7,,99.4,,26.9,4.94,,99.0,,,,,,,,,130.14,2101.0,1493.0,1487.0,53.0,2.0,1.0,1.0,1.0,1.0,0.9995,0.9995,0.9995,0.9995,0.9995,10.0,7.6,7.1,627.0,-1.54,273.0
20,1,2021,stage_4,vuelta-al-tachira,2.2,2021 Vuelta al Tachira en Bicicleta Stage 4.gpx,https://www.komoot.com/tour/2987265411,13.1,2.26,,,2.14,,13.6,1.64,,2.25,,,,,,,,,17.48,439.0,266.0,1056.0,780.0,1.0,1.0,0.0,0.0,0.0,0.8253,0.8253,0.0,0.0,0.0,-3.3,1.53,3.7,439.0,0.99,439.0
21,1,2021,stage_5,vuelta-al-tachira,2.2,2021 Vuelta al Tachira en Bicicleta Stage 5.gpx,https://www.komoot.com/tour/2987266141,65.7,2.33,9.08,,70.1,,74.8,2.07,,70.3,,0.137,0.0,,,,,,145.73,3301.0,2210.0,1454.0,175.0,6.0,3.0,2.0,1.0,1.0,0.9991,0.889,0.889,0.889,0.889,2.7,3.97,2.72,170.0,0.22,223.0
