jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
5,1,2022,stage_1,new-zealand-cycle-classic,2.2,2022 New Zealand Cycle Classic Stage 1.gpx,https://www.komoot.com/tour/2983985204,10.1,,,,,,6.2,3.94,,,,,,,,,,,10.19,30.0,30.0,153.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.63,-0.52,30.0,0.0,30.0
6,1,2022,stage_2,new-zealand-cycle-classic,2.2,2022 New Zealand Cycle Classic Stage 2.gpx,https://www.komoot.com/tour/2983986317,157.0,1.1,,,,,5.47,153.0,,,,,,,,,,,158.42,1450.0,1389.0,274.0,103.0,4.0,2.0,0.0,0.0,0.0,0.7986,0.6599,0.0,0.0,0.0,3.2,2.03,1.0,113.0,0.11,428.0
7,1,2022,stage_3,new-zealand-cycle-classic,2.2,2022 New Zealand Cycle Classic Stage 3.gpx,https://www.komoot.com/tour/2983987680,128.0,,,,,,60.7,67.4,,,,,,,,,,,128.61,749.0,818.0,165.0,29.0,1.0,0.0,0.0,0.0,0.0,0.2081,0.0,0.0,0.0,0.0,-0.9,-0.5,-0.28,30.0,-0.07,383.0
8,1,2022,stage_4,new-zealand-cycle-classic,2.2,2022 New Zealand Cycle Classic Stage 4.gpx,https://www.komoot.com/tour/2983989058,135.0,,,,,,52.2,82.6,,,,,,,,,,,134.77,1869.0,1568.0,416.0,68.0,6.0,3.0,3.0,0.0,0.0,0.9995,0.9995,0.9995,0.0,0.0,14.6,6.73,4.22,417.0,0.01,636.0
9,1,2022,stage_5,new-zealand-cycle-classic,2.2,2022 New Zealand Cycle Classic Stage 5.gpx,https://www.komoot.com/tour/2983990938,3.55,,,,17.8,,2.95,0.598,,17.8,,,,,,,,,46.83,279.0,280.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.1,0.0,106.0,-0.0,279.0
12,1,2022,result,nc-australia-itt,NC,2022 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2983368484,30.1,6.8,,0.843,,0.0,14.3,23.5,,0.0,,,,,,,,,37.75,374.0,375.0,580.0,495.0,2.0,0.0,0.0,0.0,0.0,0.8284,0.0,0.0,0.0,0.0,2.5,-0.7,-1.1,210.0,-0.0,374.0
16,1,2022,stage_1,vuelta-al-tachira,2.2,2022 Vuelta al Tachira en Bicicleta Stage 1.gpx,https://www.komoot.com/tour/2986998687,96.4,6.58,,,25.2,,97.8,5.17,,25.2,,,,,,,,,126.06,1461.0,1454.0,854.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.34,155.0,-0.01,574.0
16,1,2022,result,nc-australia,NC,2022 Australian Road National Championships.gpx,https://www.komoot.com/tour/2983370514,87.7,23.6,14.3,14.8,,,17.5,123.0,,,,,,,,,,,139.88,2676.0,2676.0,599.0,442.0,12.0,0.0,0.0,0.0,0.0,0.936,0.0,0.0,0.0,0.0,-4.3,-1.9,-2.12,694.0,0.3,1048.0
17,1,2022,stage_2,vuelta-al-tachira,2.2,2022 Vuelta al Tachira en Bicicleta Stage 2.gpx,https://www.komoot.com/tour/2986999551,14.6,0.718,154.0,,,,169.0,0.718,,,,,,,,,,,169.12,1051.0,1059.0,254.0,171.0,1.0,0.0,0.0,0.0,0.0,0.5402,0.0,0.0,0.0,0.0,0.0,-0.13,0.02,17.0,0.06,470.0
18,1,2022,stage_3,vuelta-al-tachira,2.2,2022 Vuelta al Tachira en Bicicleta Stage 3.gpx,https://www.komoot.com/tour/2987000212,,0.288,129.0,,0.171,,129.0,0.288,,0.171,,,,,,,,,129.35,724.0,491.0,474.0,185.0,1.0,1.0,0.0,0.0,0.0,0.9995,0.9995,0.0,0.0,0.0,5.9,3.4,2.68,182.0,-0.01,178.0
