jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
5,1,2017,result,nc-australia-itt,NC,2017 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969352015,40.8,,,,,,,40.8,,,,,,,,,,,40.79,423.0,426.0,440.0,324.0,1.0,0.0,0.0,0.0,0.0,0.9974,0.0,0.0,0.0,0.0,2.0,1.47,1.24,306.0,-0.01,423.0
6,1,2017,result,nc-new-zealand-itt,NC,2017 New Zealand Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969526992,38.0,,,2.06,,,16.3,23.8,,,,,,,,,,,40.4,342.0,346.0,78.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.63,-0.22,178.0,-0.01,342.0
8,1,2017,result,nc-australia,NC,2017 Australian Road National Championships.gpx,https://www.komoot.com/tour/2969352765,144.0,,27.3,12.1,,,25.5,158.0,,,,,,,,,,,183.8,2964.0,2960.0,597.0,440.0,18.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,-4.5,-2.83,-2.64,338.0,0.1,825.0
8,1,2017,result,nc-new-zealand,NC,2017 New Zealand Road National Championships.gpx,https://www.komoot.com/tour/2969527873,106.0,6.01,32.9,16.3,,,98.2,62.8,,,,,,,,,,,161.28,1937.0,1945.0,210.0,0.0,2.0,2.0,0.0,0.0,0.0,0.2077,0.2077,0.0,0.0,0.0,-0.3,0.4,0.2,123.0,0.28,586.0
17,1,2017,stage_1,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 1.gpx,https://www.komoot.com/tour/2969570889,56.0,0.122,70.9,11.6,5.96,,129.0,9.42,,6.22,0.611,0.354,,,,,,,144.9,1275.0,1127.0,508.0,1.0,4.0,1.0,1.0,0.0,0.0,0.9642,0.3527,0.3527,0.0,0.0,-0.9,-1.2,-1.22,197.0,0.56,595.0
18,1,2017,stage_2,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 2.gpx,https://www.komoot.com/tour/2969571563,89.8,2.02,54.3,2.08,,,85.4,63.0,,0.0,0.123,,,,,,,,148.29,2498.0,2574.0,565.0,99.0,7.0,6.0,0.0,0.0,0.0,0.9992,0.9992,0.0,0.0,0.0,6.7,3.27,2.58,315.0,-0.19,802.0
19,1,2017,stage_3,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 3.gpx,https://www.komoot.com/tour/2969572584,46.1,5.94,68.1,5.83,17.2,,113.0,12.7,,15.2,0.753,0.322,0.322,,,,,,143.64,1290.0,1382.0,241.0,4.0,3.0,1.0,0.0,0.0,0.0,0.3521,0.2045,0.0,0.0,0.0,-0.2,-0.1,-1.24,118.0,0.21,552.0
20,1,2017,stage_4,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 4.gpx,https://www.komoot.com/tour/2969573787,51.8,1.45,90.7,6.16,,,132.0,19.4,,,0.85,,,,,,,,151.03,1794.0,1738.0,526.0,60.0,6.0,2.0,1.0,0.0,0.0,0.7134,0.632,0.632,0.0,0.0,0.3,0.43,-0.08,54.0,0.87,859.0
21,1,2017,stage_5,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 5.gpx,https://www.komoot.com/tour/2969574421,115.0,8.0,23.5,3.89,1.09,,141.0,9.29,,1.09,,,,,,,,,151.46,1279.0,978.0,380.0,8.0,4.0,2.0,1.0,0.0,0.0,0.9987,0.9987,0.8032,0.0,0.0,6.5,7.37,5.94,345.0,-0.04,279.0
22,1,2017,stage_6,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 6.gpx,https://www.komoot.com/tour/2969575758,65.4,10.6,,11.0,,,86.2,1.34,0.499,0.0,1.02,0.294,0.294,,,,,,89.9,616.0,620.0,44.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-0.6,-0.1,62.0,0.02,352.0
