jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
5,1,2018,result,nc-new-zealand-itt,NC,2018 New Zealand Road National Championships - ITT.gpx,https://www.komoot.com/tour/2970584165,38.2,,,1.97,,,16.3,23.8,,,,,,,,,,,40.41,356.0,353.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.87,-0.42,183.0,0.01,356.0
5,1,2018,result,nc-australia-itt,NC,2018 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969903227,29.2,,,,,,0.106,29.1,,,,,,,,,,,29.2,351.0,351.0,448.0,341.0,1.0,0.0,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.0,2.0,1.33,1.52,345.0,0.0,351.0
7,1,2018,result,nc-australia,NC,2018 Australian Road National Championships.gpx,https://www.komoot.com/tour/2969903900,58.3,12.8,12.2,9.85,,,11.3,81.8,,,,,,,,,,,93.15,1489.0,1485.0,596.0,440.0,8.0,0.0,0.0,0.0,0.0,0.9065,0.0,0.0,0.0,0.0,-4.3,-1.7,-2.3,200.0,0.31,899.0
7,1,2018,result,nc-new-zealand,NC,2018 New Zealand Road National Championships.gpx,https://www.komoot.com/tour/2970585192,70.0,3.65,22.6,10.1,,,69.3,37.0,,,,,,,,,,,107.76,1349.0,1359.0,210.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1469,0.1469,0.0,0.0,0.0,-4.0,-1.7,-0.02,129.0,-0.01,529.0
12,1,2018,stage_1,vuelta-al-tachira,2.2,2018 Vuelta al Tachira en Bicicleta Stage 1.gpx,https://www.komoot.com/tour/2971531107,8.31,4.26,54.9,,114.0,,64.2,3.2,,113.0,1.14,0.846,,,,,,,181.86,1362.0,2040.0,1097.0,171.0,5.0,1.0,0.0,0.0,0.0,0.9505,0.1623,0.0,0.0,0.0,-1.0,-0.6,-0.48,372.0,-0.84,717.0
13,1,2018,stage_2,vuelta-al-tachira,2.2,2018 Vuelta al Tachira en Bicicleta Stage 2.gpx,https://www.komoot.com/tour/2971531451,4.11,2.91,35.0,,132.0,,38.9,3.14,,132.0,0.242,0.213,,,,,,,172.92,2173.0,897.0,1549.0,173.0,2.0,1.0,1.0,1.0,1.0,0.9457,0.9457,0.9457,0.9457,0.9457,-2.1,-2.7,0.44,339.0,-0.01,301.0
14,1,2018,stage_3,vuelta-al-tachira,2.2,2018 Vuelta al Tachira en Bicicleta Stage 3.gpx,https://www.komoot.com/tour/2971531546,80.2,2.9,,,39.0,,81.5,1.64,,39.0,,,,,,,,,121.26,1338.0,1342.0,846.0,748.0,7.0,0.0,0.0,0.0,0.0,0.9329,0.0,0.0,0.0,0.0,0.9,2.03,0.52,237.0,-0.06,533.0
15,1,2018,stage_4,vuelta-al-tachira,2.2,2018 Vuelta al Tachira en Bicicleta Stage 4.gpx,https://www.komoot.com/tour/2971531675,0.128,3.57,25.5,,114.0,,25.5,3.7,,114.0,,,,,,,,,142.73,1945.0,1676.0,1200.0,55.0,2.0,2.0,1.0,1.0,1.0,0.9329,0.9329,0.9329,0.9329,0.9329,0.3,-3.9,-0.38,458.0,-1.2,549.0
15,1,2018,stage_1,la-tropicale-amissa-bongo,2.1,2018 La Tropicale Amissa Bongo Stage 1.gpx,https://www.komoot.com/tour/2970532154,0.511,0.445,5.31,,132.0,,5.56,0.699,,132.0,0.0,0.0,,,,,,,137.33,596.0,585.0,113.0,8.0,1.0,0.0,0.0,0.0,0.0,0.4196,0.0,0.0,0.0,0.0,-2.2,-0.33,-1.02,465.0,0.13,178.0
16,1,2018,stage_5,vuelta-al-tachira,2.2,2018 Vuelta al Tachira en Bicicleta Stage 5.gpx,https://www.komoot.com/tour/2971531769,1.36,5.39,23.5,,121.0,,24.8,5.44,,121.0,,,,,,,,,149.52,1657.0,845.0,1000.0,55.0,3.0,1.0,1.0,1.0,1.0,0.9855,0.9855,0.9855,0.9855,0.9855,0.3,2.67,3.22,700.0,-0.19,115.0
