jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
17,1,2023,stage_3,vuelta-al-tachira,2.2,2023 Vuelta al Tachira en Bicicleta Stage 3.gpx,https://www.komoot.com/tour/2986024074,1.91,4.32,1.68,,121.0,,2.77,5.11,,120.0,,,,,,,,,128.16,1079.0,1734.0,1060.0,54.0,2.0,1.0,1.0,0.0,0.0,0.9994,0.2891,0.2891,0.0,0.0,1.1,0.2,0.58,188.0,-0.65,767.0
17,1,2023,prologue,tour-down-under,2.UWT,2023 Santos Tour Down Under Prologue.gpx,https://www.komoot.com/tour/2985448071,3.15,0.551,,1.38,0.169,,4.74,0.128,0.213,0.169,0.0,0.201,0.201,,,,,,5.5,12.0,17.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.23,-0.04,12.0,-0.09,12.0
18,1,2023,stage_4,vuelta-al-tachira,2.2,2023 Vuelta al Tachira en Bicicleta Stage 4.gpx,https://www.komoot.com/tour/2986025965,3.34,22.0,108.0,,,,112.0,21.8,,,,,,,,,,,133.85,2326.0,1478.0,1604.0,753.0,10.0,1.0,1.0,1.0,1.0,0.9996,0.9996,0.9996,0.9996,0.9996,4.3,4.43,4.76,484.0,0.81,915.0
18,1,2023,stage_1,tour-down-under,2.UWT,2023 Santos Tour Down Under Stage 1.gpx,https://www.komoot.com/tour/2985449399,74.0,3.28,15.3,13.7,5.12,,103.0,3.36,,5.13,0.544,0.53,,,,,,,111.02,821.0,975.0,197.0,4.0,2.0,1.0,0.0,0.0,0.0,0.8487,0.3398,0.0,0.0,0.0,0.2,0.33,0.28,83.0,-0.21,483.0
19,1,2023,stage_5,vuelta-al-tachira,2.2,2023 Vuelta al Tachira en Bicicleta Stage 5.gpx,https://www.komoot.com/tour/2986026647,0.203,4.24,12.5,,118.0,,12.7,4.13,,118.0,,,,,,,,,134.15,2226.0,897.0,1492.0,53.0,3.0,2.0,1.0,1.0,1.0,0.9948,0.9948,0.9948,0.9948,0.9948,6.7,6.83,6.74,636.0,-0.08,212.0
19,1,2023,stage_2,tour-down-under,2.UWT,2023 Santos Tour Down Under Stage 2.gpx,https://www.komoot.com/tour/2985450434,43.8,,45.3,,,,77.7,11.5,,,,,,,,,,,89.15,1281.0,1165.0,688.0,260.0,4.0,1.0,1.0,0.0,0.0,0.8864,0.8864,0.8864,0.0,0.0,1.2,0.37,-1.06,69.0,0.11,508.0
20,1,2023,stage_3,tour-down-under,2.UWT,2023 Santos Tour Down Under Stage 3.gpx,https://www.komoot.com/tour/2985451407,40.7,,50.5,2.2,,,77.7,15.7,,,,,,,,,,,93.3,1313.0,1331.0,492.0,88.0,3.0,2.0,1.0,0.0,0.0,0.8936,0.8936,0.4287,0.0,0.0,-1.9,-2.9,-3.24,7.0,0.61,812.0
20,1,2023,stage_6,vuelta-al-tachira,2.2,2023 Vuelta al Tachira en Bicicleta Stage 6.gpx,https://www.komoot.com/tour/2986027530,21.4,4.7,3.79,,103.0,,18.5,11.5,,86.1,,,,,,,,,132.05,3216.0,1046.0,2319.0,100.0,2.0,2.0,2.0,1.0,1.0,0.9931,0.9931,0.9931,0.9931,0.9931,-1.9,6.3,7.28,691.0,-0.01,207.0
21,1,2023,stage_4,tour-down-under,2.UWT,2023 Santos Tour Down Under Stage 4.gpx,https://www.komoot.com/tour/2985452398,105.0,5.66,19.6,3.11,0.872,,128.0,3.5,,0.872,,1.65,,,,,,,133.25,1076.0,964.0,188.0,6.0,5.0,1.0,0.0,0.0,0.0,0.9994,0.2858,0.0,0.0,0.0,3.5,2.37,1.32,252.0,0.13,456.0
21,1,2023,stage_7,vuelta-al-tachira,2.2,2023 Vuelta al Tachira en Bicicleta Stage 7.gpx,https://www.komoot.com/tour/2986028740,2.8,5.1,99.9,,28.0,,101.0,6.5,,30.1,2.52,0.0,0.0,,,,,,137.31,2288.0,1076.0,1518.0,300.0,7.0,2.0,1.0,1.0,1.0,0.9996,0.9996,0.9996,0.9996,0.9996,7.9,7.57,5.32,181.0,0.01,262.0
21,1,2023,result,gravel-and-tar,1.2,2023 Gravel and Tar Classic.gpx,https://www.komoot.com/tour/2985125463,125.0,11.3,,,,,3.92,95.1,,,,37.1,,,,,,,136.5,1888.0,1891.0,301.0,76.0,6.0,1.0,0.0,0.0,0.0,0.9643,0.638,0.0,0.0,0.0,-3.1,-1.7,-1.82,173.0,0.23,690.0
22,1,2023,stage_1,vuelta-ciclista-a-la-provincia-de-san-juan,2.Pro,2023 Vuelta a San Juan Internacional Stage 1.gpx,https://www.komoot.com/tour/2986014398,17.1,1.34,120.0,,7.63,,122.0,13.5,,7.63,,2.69,,,,,,,145.31,530.0,508.0,828.0,572.0,3.0,2.0,0.0,0.0,0.0,0.971,0.5025,0.0,0.0,0.0,-0.3,-0.5,-0.4,91.0,0.02,112.0
22,1,2023,stage_5,tour-down-under,2.UWT,2023 Santos Tour Down Under Stage 5.gpx,https://www.komoot.com/tour/2985453453,97.4,4.52,9.51,2.33,,,101.0,12.4,,,,,,,,,,,113.99,2222.0,1844.0,685.0,305.0,5.0,5.0,5.0,0.0,0.0,0.9988,0.9988,0.9988,0.0,0.0,2.3,4.13,3.32,217.0,0.24,962.0
