jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
9,1,2025,result,nc-australia-itt,NC,2025 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2962422929,11.7,0.259,9.26,8.03,,,9.31,19.9,,0.119,0.0,,,,,,,,29.26,276.0,276.0,50.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.13,-0.62,108.0,0.0,276.0
12,1,2025,stage_1,vuelta-al-tachira,2.2,2025 Vuelta al Tachira Stage 1.gpx,https://www.komoot.com/tour/2987695440,119.0,7.9,,,30.4,,120.0,6.17,,30.4,,,,,,,,,154.27,1798.0,1761.0,853.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.67,0.32,152.0,0.09,594.0
12,1,2025,result,nc-australia,NC,2025 Australian Road National Championships.gpx,https://www.komoot.com/tour/2962424107,74.3,3.34,50.2,7.98,,,66.5,69.3,,,,,,,,,,,135.8,1408.0,1410.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.77,1.16,113.0,-0.12,496.0
13,1,2025,stage_2,vuelta-al-tachira,2.2,2025 Vuelta al Tachira Stage 2.gpx,https://www.komoot.com/tour/2987696281,7.27,3.41,56.9,,91.6,,64.1,3.19,,91.8,0.0,,,,,,,,158.18,1111.0,1786.0,862.0,170.0,2.0,0.0,0.0,0.0,0.0,0.9184,0.0,0.0,0.0,0.0,-0.2,-0.67,-0.64,202.0,-1.16,489.0
14,1,2025,stage_3,vuelta-al-tachira,2.2,2025 Vuelta al Tachira Stage 3.gpx,https://www.komoot.com/tour/2987697158,24.5,0.849,111.0,,,,136.0,0.849,,,,,,,,,,,136.7,670.0,687.0,254.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.02,12.0,0.03,428.0
15,1,2025,stage_4,vuelta-al-tachira,2.2,2025 Vuelta al Tachira Stage 4.gpx,https://www.komoot.com/tour/2987697989,1.68,5.48,17.8,,90.1,,19.5,5.28,,90.3,,,,,,,,,114.01,1297.0,706.0,781.0,171.0,2.0,1.0,1.0,0.0,0.0,0.9992,0.9992,0.9992,0.0,0.0,4.7,3.7,3.02,240.0,0.03,156.0
16,1,2025,stage_5,vuelta-al-tachira,2.2,2025 Vuelta al Tachira Stage 5.gpx,https://www.komoot.com/tour/2987698907,3.54,5.97,66.8,,87.4,,70.5,5.78,,70.6,,,,,,,,,162.72,2535.0,1041.0,1604.0,54.0,3.0,2.0,1.0,1.0,1.0,0.9995,0.9995,0.9995,0.9995,0.9995,4.1,4.43,4.76,527.0,-0.11,158.0
17,1,2025,stage_6,vuelta-al-tachira,2.2,2025 Vuelta al Tachira Stage 6.gpx,https://www.komoot.com/tour/2987699711,0.502,6.47,39.5,,146.0,,40.0,6.47,,145.0,,,,,,,,,190.29,2677.0,2143.0,1491.0,53.0,4.0,2.0,1.0,1.0,1.0,0.9978,0.9978,0.9978,0.9978,0.9978,6.5,6.87,6.76,562.0,-1.57,419.0
18,1,2025,stage_7,vuelta-al-tachira,2.2,2025 Vuelta al Tachira Stage 7.gpx,https://www.komoot.com/tour/2987701176,2.1,7.33,1.42,,142.0,,2.45,7.96,,139.0,0.732,0.0,,,,,,,151.64,2552.0,1313.0,1512.0,188.0,3.0,2.0,2.0,1.0,1.0,0.9982,0.9982,0.9982,0.9982,0.9982,7.8,7.33,5.26,296.0,-0.06,193.0
19,1,2025,stage_8,vuelta-al-tachira,2.2,2025 Vuelta al Tachira Stage 8.gpx,https://www.komoot.com/tour/2987702400,98.7,20.3,,,0.301,,105.0,12.6,,1.8,,,,,,,,,118.61,1780.0,1789.0,1051.0,951.0,12.0,0.0,0.0,0.0,0.0,0.9887,0.0,0.0,0.0,0.0,-1.8,1.9,1.36,151.0,-0.02,751.0
