jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
4,1,2019,result,nc-new-zealand-itt,NC,2019 New Zealand Road National Championships - ITT.gpx,https://www.komoot.com/tour/2972073073,38.2,,,1.97,,,16.3,23.8,,,,,,,,,,,40.41,356.0,353.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.87,-0.42,183.0,0.01,356.0
6,1,2019,result,nc-new-zealand,NC,2019 New Zealand Road National Championships.gpx,https://www.komoot.com/tour/2972073746,70.6,3.09,17.4,9.79,,,65.1,35.7,,,,,,,,,,,102.3,1295.0,1304.0,210.0,2.0,1.0,1.0,0.0,0.0,0.0,0.1284,0.1284,0.0,0.0,0.0,-3.9,-1.67,0.0,125.0,-0.01,571.0
6,1,2019,result,nc-australia,NC,2019 Australian Road National Championships.gpx,https://www.komoot.com/tour/2971728854,80.2,17.6,16.7,13.6,,,15.6,112.0,,,,,,,,,,,128.08,2047.0,2043.0,596.0,440.0,11.0,0.0,0.0,0.0,0.0,0.932,0.0,0.0,0.0,0.0,-4.3,-1.7,-2.3,200.0,0.31,899.0
8,1,2019,result,nc-australia-itt,NC,2019 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2971728181,40.7,,,,,,0.106,40.6,,,,,,,,,,,40.85,432.0,432.0,448.0,324.0,1.0,0.0,0.0,0.0,0.0,0.9961,0.0,0.0,0.0,0.0,2.0,1.33,1.52,313.0,0.0,432.0
11,1,2019,stage_1,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 1.gpx,https://www.komoot.com/tour/2972685464,78.3,,3.38,,44.1,,81.3,0.399,,44.1,,,,,,,,,124.46,1320.0,1320.0,912.0,822.0,12.0,0.0,0.0,0.0,0.0,0.9454,0.0,0.0,0.0,0.0,-1.7,-1.97,-1.2,38.0,0.06,550.0
12,1,2019,stage_2,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 2.gpx,https://www.komoot.com/tour/2972686724,11.2,5.39,0.958,,115.0,,12.2,5.2,,115.0,0.0,,,,,,,,131.64,2543.0,1909.0,1550.0,263.0,3.0,1.0,1.0,1.0,1.0,0.8973,0.8973,0.8973,0.8973,0.8973,-1.7,-2.8,0.46,7.0,-1.11,541.0
13,1,2019,stage_3,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 3.gpx,https://www.komoot.com/tour/2972687955,92.7,4.88,,,24.5,,94.0,3.62,,24.5,,,,,,,,,119.95,1221.0,1224.0,858.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.87,0.08,136.0,-0.04,499.0
14,1,2019,stage_4,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 4.gpx,https://www.komoot.com/tour/2972688872,0.3,4.45,23.6,,121.0,,23.8,4.45,,121.0,,,,,,,,,148.52,1376.0,1335.0,686.0,54.0,2.0,1.0,1.0,0.0,0.0,0.8491,0.8491,0.8491,0.0,0.0,0.0,0.73,0.9,171.0,-0.91,109.0
15,1,2019,stage_1,tour-down-under,2.UWT,2019 Santos Tour Down Under Stage 1.gpx,https://www.komoot.com/tour/2972148558,56.5,0.421,54.7,0.963,,,96.1,16.3,,,,,,,,,,,112.57,1367.0,1311.0,498.0,308.0,5.0,3.0,0.0,0.0,0.0,0.8712,0.8712,0.0,0.0,0.0,0.0,-0.6,-0.44,395.0,0.11,655.0
15,1,2019,stage_5,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 5.gpx,https://www.komoot.com/tour/2972689880,0.141,5.59,29.0,,135.0,,29.1,5.59,,131.0,,,,,,,,,168.25,2338.0,1511.0,1410.0,54.0,4.0,2.0,1.0,1.0,1.0,0.9993,0.9993,0.9993,0.9993,0.9993,8.4,6.67,6.18,757.0,-1.01,398.0
