jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
4,1,2024,result,nc-australia-itt,NC,2024 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2951626833,29.6,6.8,,0.843,,0.0,13.8,23.5,,0.0,,,,,,,,,37.18,392.0,393.0,581.0,491.0,2.0,0.0,0.0,0.0,0.0,0.8254,0.0,0.0,0.0,0.0,2.9,-0.7,-1.1,202.0,-0.0,392.0
7,1,2024,result,nc-australia,NC,2024 Australian Road National Championships.gpx,https://www.komoot.com/tour/2951627291,87.7,23.6,14.3,14.8,,,17.5,123.0,,,,,,,,,,,139.88,2676.0,2676.0,599.0,442.0,12.0,0.0,0.0,0.0,0.0,0.936,0.0,0.0,0.0,0.0,-4.3,-1.9,-2.12,694.0,0.3,1048.0
10,1,2024,stage_1,new-zealand-cycle-classic,2.2,2024 New Zealand Cycle Classic Stage 1.gpx,https://www.komoot.com/tour/2951835991,157.0,1.1,,,,,5.57,153.0,,,,,,,,,,,158.54,1487.0,1427.0,275.0,104.0,4.0,2.0,0.0,0.0,0.0,0.7998,0.6598,0.0,0.0,0.0,3.2,2.03,1.0,112.0,0.12,441.0
11,1,2024,stage_2,new-zealand-cycle-classic,2.2,2024 New Zealand Cycle Classic Stage 2.gpx,https://www.komoot.com/tour/2951837021,128.0,,,,,,60.7,67.4,,,,,,,,,,,128.61,749.0,818.0,165.0,29.0,1.0,0.0,0.0,0.0,0.0,0.2081,0.0,0.0,0.0,0.0,-0.9,-0.5,-0.28,30.0,-0.07,383.0
12,1,2024,stage_3,new-zealand-cycle-classic,2.2,2024 New Zealand Cycle Classic Stage 3.gpx,https://www.komoot.com/tour/2951837434,127.0,,,,,,54.7,72.4,,,,,,,,,,,127.0,1743.0,1357.0,486.0,68.0,5.0,3.0,3.0,0.0,0.0,0.9995,0.9995,0.9995,0.0,0.0,6.9,3.0,2.66,377.0,0.01,616.0
13,1,2024,stage_4,new-zealand-cycle-classic,2.2,2024 New Zealand Cycle Classic Stage 4.gpx,https://www.komoot.com/tour/2951837855,122.0,0.578,,,,,40.6,82.4,,0.968,0.99,,,,,,,,124.0,792.0,846.0,201.0,59.0,4.0,0.0,0.0,0.0,0.0,0.9108,0.0,0.0,0.0,0.0,-0.3,-0.6,-0.62,180.0,-0.12,265.0
14,1,2024,stage_1,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 1.gpx,https://www.komoot.com/tour/2962391566,117.0,7.9,,,30.7,,118.0,6.17,,30.7,0.0,,,,,,,,152.63,1733.0,1773.0,859.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.67,0.3,155.0,-0.12,551.0
14,1,2024,stage_5,new-zealand-cycle-classic,2.2,2024 New Zealand Cycle Classic Stage 5.gpx,https://www.komoot.com/tour/2951838423,0.966,,,,,,0.342,3.14,1.11,0.0,3.64,,,,,,,,52.67,377.0,378.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,-0.04,110.0,0.0,358.0
15,1,2024,stage_2,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 2.gpx,https://www.komoot.com/tour/2962395129,0.484,2.88,1.06,,139.0,,1.54,2.69,,139.0,,,,,,,,,142.14,1743.0,1565.0,780.0,188.0,3.0,1.0,1.0,0.0,0.0,0.9996,0.9996,0.9996,0.0,0.0,4.7,3.67,3.04,237.0,-0.78,538.0
16,1,2024,stage_1,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 1.gpx,https://www.komoot.com/tour/2960711985,36.9,,55.3,1.83,,,59.6,34.5,,,,,,,,,,,94.07,999.0,1193.0,492.0,100.0,3.0,1.0,0.0,0.0,0.0,0.556,0.556,0.0,0.0,0.0,1.5,0.53,0.16,60.0,0.1,565.0
16,1,2024,stage_3,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 3.gpx,https://www.komoot.com/tour/2962395918,0.156,3.28,3.53,,120.0,,3.69,3.25,,119.0,,,,,,,,,126.34,703.0,1362.0,815.0,54.0,2.0,1.0,0.0,0.0,0.0,0.9859,0.5325,0.0,0.0,0.0,0.6,0.03,0.54,182.0,-1.04,343.0
17,1,2024,stage_2,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 2.gpx,https://www.komoot.com/tour/2960713403,57.9,,40.7,5.75,,,62.5,41.8,,,,,,,,,,,104.28,1710.0,1338.0,516.0,117.0,4.0,4.0,2.0,0.0,0.0,0.9996,0.9996,0.7929,0.0,0.0,4.1,1.2,2.06,230.0,0.39,669.0
17,1,2024,stage_4,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 4.gpx,https://www.komoot.com/tour/2962396663,16.5,12.0,57.2,,29.0,,73.9,11.8,,27.7,,,,,,,,,114.42,2627.0,1972.0,1604.0,414.0,7.0,5.0,1.0,1.0,1.0,0.9997,0.9997,0.9997,0.9997,0.9997,4.3,4.43,4.76,470.0,-0.98,675.0
18,1,2024,stage_3,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 3.gpx,https://www.komoot.com/tour/2960714697,90.6,1.46,0.11,1.22,,,78.1,15.5,,,,,,,,,,,93.66,1195.0,922.0,375.0,6.0,4.0,2.0,1.0,0.0,0.0,0.9995,0.9995,0.9995,0.0,0.0,5.5,7.4,5.72,381.0,0.02,645.0
18,1,2024,stage_5,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 5.gpx,https://www.komoot.com/tour/2962398299,0.203,4.24,12.5,,118.0,,12.7,4.13,,118.0,,,,,,,,,134.15,2226.0,897.0,1492.0,53.0,3.0,2.0,1.0,1.0,1.0,0.9948,0.9948,0.9948,0.9948,0.9948,6.7,6.83,6.74,636.0,-0.08,212.0
19,1,2024,stage_4,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 4.gpx,https://www.komoot.com/tour/2960716218,59.5,0.885,75.7,,,,107.0,29.2,,,,,,,,,,,136.09,537.0,547.0,239.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5336,0.5336,0.0,0.0,0.0,1.5,0.03,0.18,81.0,-0.07,64.0
19,1,2024,stage_6,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 6.gpx,https://www.komoot.com/tour/2962398976,8.78,5.31,1.42,,117.0,,10.6,4.86,,118.0,0.732,,,,,,,,131.85,2153.0,943.0,1546.0,188.0,2.0,1.0,1.0,1.0,1.0,0.884,0.884,0.884,0.884,0.884,2.5,-1.37,0.5,30.0,-0.06,187.0
20,1,2024,result,gp-de-valence,1.1,2024 Classica Comunitat Valenciana 1969 - Gran Premi Valencia.gpx,https://www.komoot.com/tour/2951658489,145.0,0.401,52.6,0.446,2.42,,196.0,1.25,0.0,2.48,0.0,1.46,,,,,,,201.59,2036.0,2261.0,625.0,-1.0,7.0,4.0,2.0,0.0,0.0,0.6909,0.6224,0.4354,0.0,0.0,0.3,0.13,0.02,17.0,-0.42,773.0
20,1,2024,result,gravel-and-tar,1.2,2024 Gravel and Tar Classic.gpx,https://www.komoot.com/tour/2951776988,123.0,16.1,,,,,6.66,107.0,,,,25.0,,,,,,,139.29,1779.0,1772.0,297.0,69.0,8.0,2.0,0.0,0.0,0.0,0.9583,0.4158,0.0,0.0,0.0,-3.1,-1.63,-1.8,179.0,0.15,639.0
20,1,2024,stage_7,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 7.gpx,https://www.komoot.com/tour/2962400467,2.09,2.47,87.2,21.1,28.9,,108.0,4.37,,28.6,0.276,,,,,,,,141.7,1954.0,744.0,1519.0,290.0,2.0,2.0,1.0,1.0,1.0,0.9975,0.9975,0.9975,0.9975,0.9975,7.7,7.53,5.34,299.0,0.03,220.0
20,1,2024,stage_5,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 5.gpx,https://www.komoot.com/tour/2960717691,109.0,8.89,7.88,3.27,0.264,,117.0,11.5,,0.0,0.281,,,,,,,,129.28,1435.0,1065.0,380.0,0.0,4.0,2.0,1.0,0.0,0.0,0.9994,0.9994,0.7772,0.0,0.0,5.5,7.13,5.74,314.0,0.08,393.0
21,1,2024,stage_8,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 8.gpx,https://www.komoot.com/tour/2962401443,98.7,20.3,,,0.301,,105.0,12.6,,1.8,,,,,,,,,118.61,1780.0,1789.0,1051.0,951.0,12.0,0.0,0.0,0.0,0.0,0.9887,0.0,0.0,0.0,0.0,-1.8,1.9,1.36,151.0,-0.02,751.0
21,1,2024,result,ruta-de-la-ceramica-gran-premio-castellon,1.1,2024 Ruta de la Ceramica - Gran Premio Castellon.gpx,https://www.komoot.com/tour/2960708266,116.0,3.72,34.7,15.0,4.21,,152.0,18.3,0.227,4.23,0.506,,,,,,,,174.48,2325.0,2147.0,786.0,25.0,5.0,3.0,2.0,1.0,0.0,0.9091,0.9091,0.9091,0.2463,0.0,-0.3,-0.17,-0.62,36.0,1.42,1041.0
21,1,2024,stage_6,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 6.gpx,https://www.komoot.com/tour/2960719253,96.2,3.12,28.2,0.794,,,102.0,26.2,,,,,,,,,,,128.77,2244.0,1660.0,685.0,100.0,5.0,4.0,3.0,0.0,0.0,0.9985,0.9985,0.9985,0.0,0.0,2.4,4.23,3.34,221.0,0.52,787.0
24,1,2024,result,trofeo-calvia,1.1,2024 Trofeo Calvia.gpx,https://www.komoot.com/tour/2961634578,138.0,0.588,5.06,5.09,0.392,,149.0,0.271,,,,0.0,0.0,,,,,,149.49,3127.0,3135.0,502.0,8.0,9.0,5.0,3.0,0.0,0.0,0.9225,0.8431,0.6034,0.0,0.0,0.7,-2.23,-1.62,69.0,0.17,1002.0
25,1,2024,result,race-torquay,1.1,2024 Surf Coast Classic.gpx,https://www.komoot.com/tour/2960775185,150.0,1.43,4.09,0.321,,,143.0,12.9,,,,,,,,,,,155.51,1629.0,1638.0,437.0,5.0,4.0,1.0,1.0,0.0,0.0,0.6843,0.1338,0.1338,0.0,0.0,0.5,-1.9,-0.58,178.0,0.29,750.0
25,1,2024,result,trofeo-ses-salines-felanitx,1.1,2024 Trofeo Ses Salines-Felanitx.gpx,https://www.komoot.com/tour/2961647050,118.0,0.29,50.3,12.1,,,169.0,11.6,,,,,,,,,,,181.33,1086.0,1022.0,177.0,0.0,3.0,2.0,0.0,0.0,0.0,0.9921,0.6632,0.0,0.0,0.0,-0.2,0.7,0.82,126.0,0.03,194.0
26,1,2024,stage_1,tour-of-sharjah,2.2,2024 Tour of Sharjah Stage 1.gpx,https://www.komoot.com/tour/2961563549,19.2,4.85,3.14,7.98,100.0,0.0,18.4,12.4,,105.0,0.192,,,,,,,,134.41,1299.0,1297.0,496.0,0.0,4.0,1.0,1.0,0.0,0.0,0.8159,0.4633,0.4633,0.0,0.0,0.2,0.03,0.04,16.0,0.31,253.0
26,1,2024,result,deia-trophy,1.1,2024 Trofeo Serra Tramuntana.gpx,https://www.komoot.com/tour/2961645905,114.0,1.28,16.2,20.4,0.392,,151.0,0.923,,0.496,0.461,,,,,,,,152.66,2430.0,2099.0,885.0,0.0,4.0,3.0,3.0,1.0,1.0,0.963,0.8436,0.8436,0.8436,0.8436,-4.4,-4.73,-3.74,26.0,-0.3,621.0
27,1,2024,stage_2,tour-of-sharjah,2.2,2024 Tour of Sharjah Stage 2.gpx,https://www.komoot.com/tour/2961564878,7.24,2.69,16.4,,111.0,,20.6,4.94,,113.0,1.14,0.298,,,,,,,137.03,520.0,580.0,193.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2248,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,15.0,0.18,265.0
27,1,2024,result,gp-antalya,1.2,2024 Grand Prix Antalya Airport City.gpx,https://www.komoot.com/tour/2951744837,132.0,0.573,6.41,,,,131.0,7.67,,,,0.387,,,,,,,139.44,726.0,726.0,212.0,-4.0,2.0,1.0,0.0,0.0,0.0,0.7341,0.7341,0.0,0.0,0.0,-0.1,-0.57,-0.38,42.0,-0.01,66.0
27,1,2024,result,trofeo-pollenca-port-d-andratx,1.1,2024 Trofeo Pollenca - Port d'Andratx.gpx,https://www.komoot.com/tour/2961644605,122.0,0.792,17.9,16.1,0.292,,156.0,0.756,,0.402,0.0,,,,,,,,157.51,2860.0,2903.0,890.0,0.0,6.0,3.0,2.0,1.0,1.0,0.9344,0.9344,0.6837,0.4101,0.4101,-0.2,-0.97,-1.36,9.0,0.31,397.0
28,1,2024,result,trofeo-palma,1.1,2024 Trofeo Palma.gpx,https://www.komoot.com/tour/2961643136,49.0,2.57,88.4,5.77,1.61,,140.0,5.26,3.71,1.55,3.36,,,,,,,,149.8,989.0,997.0,250.0,0.0,3.0,1.0,0.0,0.0,0.0,0.6785,0.0891,0.0,0.0,0.0,-0.4,-0.07,0.0,43.0,0.13,443.0
28,1,2024,result,great-ocean-road-race,1.UWT,2024 Cadel Evans Great Ocean Road Race.gpx,https://www.komoot.com/tour/2951644901,117.0,5.49,5.47,45.1,1.05,,120.0,53.1,,1.05,0.0,,0.409,,,,,,174.86,1699.0,1714.0,164.0,1.0,6.0,1.0,0.0,0.0,0.0,0.9279,0.0616,0.0,0.0,0.0,-1.0,-0.87,-0.92,54.0,0.04,566.0
