fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km
2017 Giro d'Italia Stage 21.gpx,https://www.komoot.com/tour/2969479010,13.3,5.88,1.72,2.12,4.21,0.0,22.0,0.851,0.301,4.51,0.386,1.69,1.91,0.159,0.0,0.0
2017 Giro d'Italia Stage 3.gpx,https://www.komoot.com/tour/2969479630,70.6,0.112,8.31,1.72,54.9,0.0,79.1,2.37,0.227,54.6,15.0,14.5,0.471,0.0,0.0,0.0
2017 Giro d'Italia Stage 4.gpx,https://www.komoot.com/tour/2969480265,99.4,1.21,79.2,0.0,1.1,0.0,178.0,1.21,0.321,1.12,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 5.gpx,https://www.komoot.com/tour/2969480906,89.5,4.52,60.2,3.46,1.15,0.0,154.0,1.91,2.43,0.943,0.663,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 6.gpx,https://www.komoot.com/tour/2969481482,23.3,0.863,183.0,10.2,0.338,0.0,216.0,1.38,0.0,0.338,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 7.gpx,https://www.komoot.com/tour/2969481990,132.0,6.03,53.2,0.954,31.0,0.158,182.0,9.5,0.0,31.9,1.46,1.54,0.236,0.0,0.0,0.0
2017 Giro d'Italia Stage 8.gpx,https://www.komoot.com/tour/2969482572,143.0,2.15,40.7,1.06,2.12,0.0,186.0,0.708,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 9.gpx,https://www.komoot.com/tour/2969483439,50.9,1.28,89.4,3.38,2.87,0.0,145.0,0.0,0.0,3.47,0.0,0.0,0.0,0.158,0.0,0.0
2017 Giro dell'Appennino.gpx,https://www.komoot.com/tour/2969484269,108.0,1.99,63.0,25.9,0.888,0.0,196.0,2.62,0.229,1.32,0.442,0.574,0.0,0.0,0.0,0.0
2017 Giro dell'Emilia.gpx,https://www.komoot.com/tour/2969484843,128.0,1.46,75.0,10.4,8.19,0.0,205.0,4.3,4.66,8.62,0.0,1.45,1.54,0.0,0.0,0.0
2017 Giro della Toscana Stage 1.gpx,https://www.komoot.com/tour/2969485598,165.0,0.0,13.5,0.105,0.0,0.0,154.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro della Toscana Stage 2.gpx,https://www.komoot.com/tour/2969486241,104.0,0.899,59.9,0.878,0.0,0.0,165.0,0.716,0.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Gran Premio Bruno Beghelli.gpx,https://www.komoot.com/tour/2969486695,178.0,1.51,15.9,3.66,0.0,0.0,198.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Gran Premio Citta di Lugano.gpx,https://www.komoot.com/tour/2969487373,154.0,30.4,0.102,1.23,0.0,0.0,162.0,24.0,0.24,0.461,0.988,0.0,0.0,0.0,0.0,0.0
2017 Gran Premio Costa degli Etruschi.gpx,https://www.komoot.com/tour/2969487843,183.0,0.669,0.382,6.48,0.0,0.0,184.0,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Gran Premio Miguel Indurain.gpx,https://www.komoot.com/tour/2969488374,77.0,3.25,96.1,0.0,5.87,0.181,165.0,13.6,0.0,5.87,1.7,0.0,0.0,0.0,0.0,0.0
2017 Grand Prix Cerami.gpx,https://www.komoot.com/tour/2969490951,145.0,9.69,8.88,35.6,0.0,0.186,173.0,21.9,3.73,0.279,0.214,0.94,0.0,0.0,0.0,0.0
2017 Grand Prix Cycliste la Marseillaise.gpx,https://www.komoot.com/tour/2969494282,104.0,0.849,39.9,0.973,0.0,0.0,144.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Grand Prix d'Isbergues - Pas de Calais.gpx,https://www.komoot.com/tour/2969494752,133.0,43.6,25.7,3.34,0.0,0.0,148.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Grand Prix de Plumelec-Morbihan.gpx,https://www.komoot.com/tour/2969495180,183.0,0.856,0.0,0.0,0.0,0.0,184.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Grand Prix de Wallonie.gpx,https://www.komoot.com/tour/2969495886,154.0,4.67,45.5,4.9,0.0,0.0,198.0,9.55,2.21,0.107,0.0,0.0,0.0,0.0,0.0,0.0
2017 Grote Prijs Jean Pierre Monsere.gpx,https://www.komoot.com/tour/2969496499,79.0,11.4,5.3,84.4,0.0,0.163,115.0,74.7,2.64,0.79,2.19,2.13,0.0,0.0,0.0,0.0
2017 Halle-Ingooigem.gpx,https://www.komoot.com/tour/2969498139,75.2,6.76,17.9,91.7,0.0,0.0,128.0,66.8,2.08,1.09,1.8,0.0,0.0,1.21,0.0,0.0
2017 Hammer Series - Hammer Sportzone Limburg Stage 1.gpx,https://www.komoot.com/tour/2969498689,51.2,0.876,0.0,23.3,0.0,0.0,73.2,0.307,2.31,0.0,0.349,0.0,0.19,0.0,0.0,0.0
2017 Hammer Series - Hammer Sportzone Limburg Stage 2.gpx,https://www.komoot.com/tour/2969499948,28.1,0.15,3.76,15.3,12.7,0.0,68.1,19.9,0.357,12.8,0.0,0.0,0.0,0.0,0.0,0.0
2017 Hammer Series - Hammer Sportzone Limburg Stage 3.gpx,https://www.komoot.com/tour/2969500817,23.8,0.153,1.43,5.52,2.54,0.0,23.0,20.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0
2017 Handzame Classic.gpx,https://www.komoot.com/tour/2969501712,74.3,5.59,1.72,71.3,0.0,0.0,93.5,64.5,1.85,0.816,0.0,0.0,0.0,0.0,0.0,0.0
2017 Herald Sun Tour Prologue.gpx,https://www.komoot.com/tour/2969502430,0.36,0.26,0.0,1.12,0.0,0.0,1.44,0.345,0.316,0.0,0.361,0.0,0.0,0.0,0.0,0.0
2017 Herald Sun Tour Stage 1.gpx,https://www.komoot.com/tour/2969503201,129.0,0.284,40.5,1.5,0.0,0.0,129.0,41.7,0.0,0.207,0.0,0.0,0.0,0.0,0.0,0.0
2017 Herald Sun Tour Stage 2.gpx,https://www.komoot.com/tour/2969503795,149.0,1.32,15.3,0.622,0.0,0.0,104.0,61.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Herald Sun Tour Stage 3.gpx,https://www.komoot.com/tour/2969504796,138.0,1.7,26.7,0.397,1.44,0.0,141.0,25.1,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0
2017 Herald Sun Tour Stage 4.gpx,https://www.komoot.com/tour/2969505492,92.3,0.0,3.62,25.2,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Il Lombardia.gpx,https://www.komoot.com/tour/2969506478,179.0,6.3,49.9,10.1,1.4,0.0,240.0,5.46,0.195,2.28,0.53,0.0,0.0,0.0,0.0,0.0
2017 Italian Road National Championships.gpx,https://www.komoot.com/tour/2969507083,117.0,0.489,118.0,0.0,1.37,0.0,231.0,2.87,2.09,1.37,0.0,0.161,0.0,0.0,0.0,0.0
2017 Japan Cup Cycle Road Race.gpx,https://www.komoot.com/tour/2969507766,63.9,0.733,96.1,0.0,0.277,0.0,101.0,60.2,0.0,0.277,0.0,0.0,0.671,0.0,0.0,0.0
2017 Kampioenschap van Vlaanderen.gpx,https://www.komoot.com/tour/2969508319,77.9,27.6,1.8,88.4,0.0,0.0,106.0,83.4,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Klasika Primavera de Amorebieta.gpx,https://www.komoot.com/tour/2969508978,69.3,2.18,98.9,6.72,0.0,0.0,175.0,1.49,0.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Kuurne-Bruxelles-Kuurne.gpx,https://www.komoot.com/tour/2969510075,67.4,12.7,9.15,98.6,0.0,0.0,135.0,62.8,4.19,0.0,1.31,0.0,0.0,1.21,0.0,0.0
2017 La Fleche Wallonne.gpx,https://www.komoot.com/tour/2969510737,142.0,18.3,28.0,15.1,0.186,0.108,185.0,17.0,0.556,0.263,0.0,0.0,0.0,0.0,0.0,0.0
2017 La Poly Normande.gpx,https://www.komoot.com/tour/2969511245,169.0,0.0,0.0,0.0,0.0,0.0,115.0,54.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 La Roue Tourangelle Region Centre Val de Loire - Trophee Harmonie Mutuelle.gpx,https://www.komoot.com/tour/2969511786,169.0,17.3,8.93,3.49,0.313,0.0,148.0,51.0,0.0,0.328,0.0,0.0,0.0,0.0,0.0,0.0
2017 La Tropicale Amissa Bongo Stage 1.gpx,https://www.komoot.com/tour/2969512259,0.0,0.0,66.9,0.0,86.5,0.0,66.9,0.0,0.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0
2017 La Tropicale Amissa Bongo Stage 2.gpx,https://www.komoot.com/tour/2969512786,0.0,1.87,25.9,0.0,74.4,0.0,26.2,1.45,0.0,74.6,0.0,0.0,0.0,0.0,0.0,0.0
2017 La Tropicale Amissa Bongo Stage 3.gpx,https://www.komoot.com/tour/2969513242,0.465,1.57,28.7,0.0,133.0,0.0,28.9,1.41,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 La Tropicale Amissa Bongo Stage 5.gpx,https://www.komoot.com/tour/2969513728,0.0,0.537,43.3,0.0,105.0,0.0,43.1,0.537,0.0,105.0,0.223,0.441,0.0,0.0,0.0,0.0
2017 La Tropicale Amissa Bongo Stage 6.gpx,https://www.komoot.com/tour/2969514193,9.07,3.1,27.9,0.0,7.15,0.0,36.4,2.79,0.0,7.61,0.0,0.521,0.0,0.0,0.0,0.0
2017 La Tropicale Amissa Bongo Stage 7.gpx,https://www.komoot.com/tour/2969514846,4.4,0.0,44.1,0.0,0.0,0.0,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Le Samyn.gpx,https://www.komoot.com/tour/2969515554,134.0,21.7,12.5,32.6,0.86,0.0,151.0,35.7,14.4,0.952,0.0,0.0,0.0,0.0,0.0,0.0
2017 Le Tour de Langkawi Stage 1.gpx,https://www.komoot.com/tour/2969516202,80.7,0.0,43.9,0.0,0.401,0.0,124.0,0.181,0.0,0.573,0.129,0.0,0.0,0.0,0.0,0.0
2017 Le Tour de Langkawi Stage 2.gpx,https://www.komoot.com/tour/2969516800,0.593,0.0,207.0,0.0,1.35,0.0,207.0,0.0,0.206,1.35,0.0,0.0,0.0,0.0,0.0,0.0
2017 Le Tour de Langkawi Stage 3.gpx,https://www.komoot.com/tour/2969517394,43.7,0.188,74.4,0.0,0.377,0.0,118.0,0.191,0.0,0.377,0.0,0.0,0.0,0.0,0.0,0.0
2017 Le Tour de Langkawi Stage 4.gpx,https://www.komoot.com/tour/2969517861,62.1,0.861,113.0,0.0,0.0,0.0,175.0,0.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Le Tour de Langkawi Stage 5.gpx,https://www.komoot.com/tour/2969518648,2.78,0.183,149.0,0.0,0.269,0.0,151.0,0.3,0.406,0.269,0.0,0.0,0.0,0.0,0.0,0.0
2017 Le Tour de Langkawi Stage 6.gpx,https://www.komoot.com/tour/2969519745,68.0,0.328,107.0,0.0,0.711,0.0,153.0,22.1,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0
2017 Le Tour de Langkawi Stage 7.gpx,https://www.komoot.com/tour/2969520658,65.0,0.0,83.3,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Le Tour de Langkawi Stage 8.gpx,https://www.komoot.com/tour/2969521755,77.9,0.312,43.8,0.0,0.0,0.0,120.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Liege - Bastogne - Liege.gpx,https://www.komoot.com/tour/2969522550,179.0,9.62,64.5,9.01,0.835,0.0,254.0,6.53,0.494,1.73,1.96,1.65,0.382,0.613,0.0,0.0
2017 Luxembourg Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969523030,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Luxembourg Road National Championships.gpx,https://www.komoot.com/tour/2969523726,123.0,2.6,0.0,0.0,0.0,0.0,135.0,19.4,0.0,0.0,29.6,0.741,0.0,0.0,0.0,0.0
2017 Memorial Pantani.gpx,https://www.komoot.com/tour/2969524448,159.0,11.3,12.5,0.925,3.09,0.0,165.0,19.7,0.0,2.91,0.661,0.0,0.0,0.0,0.0,0.0
2017 Milano - Sanremo.gpx,https://www.komoot.com/tour/2969525606,52.9,1.78,225.0,9.12,0.85,0.201,285.0,3.55,1.04,0.948,0.676,0.0,0.0,0.0,0.0,0.0
2017 Milano - Torino.gpx,https://www.komoot.com/tour/2969526223,46.1,0.263,136.0,1.08,1.29,0.0,182.0,0.563,0.447,0.495,0.215,0.9,0.0,0.0,0.0,0.0
2017 New Zealand Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969526992,38.0,0.0,0.0,2.06,0.0,0.0,16.3,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 New Zealand Road National Championships.gpx,https://www.komoot.com/tour/2969527873,106.0,6.01,32.9,16.3,0.0,0.0,98.2,62.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 OCC Oceanian Championships - ITT.gpx,https://www.komoot.com/tour/2969528389,41.3,0.2,0.0,0.0,0.0,0.0,41.1,0.202,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2017 OCC Oceanian Championships.gpx,https://www.komoot.com/tour/2969529088,107.0,0.0,0.0,10.9,0.0,0.0,59.7,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 OVO Energy Tour of Britain Stage 1.gpx,https://www.komoot.com/tour/2969529692,117.0,0.0,72.3,0.447,0.185,0.0,183.0,5.95,0.903,0.229,0.0,0.0,0.0,0.0,0.0,0.0
2017 OVO Energy Tour of Britain Stage 2.gpx,https://www.komoot.com/tour/2969530300,156.0,0.672,50.7,2.32,0.404,0.0,209.0,0.661,0.0,0.404,0.45,0.174,0.0,0.226,0.0,0.0
2017 OVO Energy Tour of Britain Stage 3.gpx,https://www.komoot.com/tour/2969530948,109.0,2.36,65.9,0.559,0.0,0.0,166.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 OVO Energy Tour of Britain Stage 4.gpx,https://www.komoot.com/tour/2969531667,102.0,6.65,52.9,3.22,0.0,0.0,151.0,10.6,0.0,3.68,1.08,0.0,0.0,0.0,0.0,0.0
2017 OVO Energy Tour of Britain Stage 5.gpx,https://www.komoot.com/tour/2969532518,16.1,0.0,0.0,0.0,0.0,0.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 OVO Energy Tour of Britain Stage 6.gpx,https://www.komoot.com/tour/2969533249,146.0,1.17,36.0,4.79,0.0,0.0,179.0,8.73,0.432,0.254,0.356,0.0,0.0,0.0,0.0,0.0
2017 OVO Energy Tour of Britain Stage 7.gpx,https://www.komoot.com/tour/2969533777,155.0,0.238,27.7,1.44,0.633,0.0,164.0,19.8,0.129,0.633,0.22,0.0,0.0,0.0,0.0,0.0
2017 OVO Energy Tour of Britain Stage 8.gpx,https://www.komoot.com/tour/2969534448,101.0,0.197,74.8,2.92,1.46,0.0,174.0,5.19,0.429,1.25,0.478,0.0,0.0,0.0,0.0,0.0
2017 Omloop Eurometropool.gpx,https://www.komoot.com/tour/2969535011,89.9,3.0,1.46,61.7,0.0,0.0,125.0,50.0,1.88,0.293,0.418,0.724,0.307,0.0,0.0,0.0
2017 Omloop Het Nieuwsblad.gpx,https://www.komoot.com/tour/2969535547,62.9,46.9,9.2,68.7,0.245,0.0,96.5,80.7,20.6,0.336,0.213,0.0,0.0,0.0,0.0,0.0
2017 Omloop Mandel-Leie-Schelde Meulebeke.gpx,https://www.komoot.com/tour/2969536153,52.5,22.7,0.0,93.5,0.0,0.0,116.0,62.3,0.0,9.99,0.0,0.0,0.0,0.0,0.0,0.0
2017 Omloop van het Houtland Lichtervelde.gpx,https://www.komoot.com/tour/2969536739,104.0,20.1,0.876,54.7,0.0,0.0,72.7,117.0,5.66,0.475,0.0,0.171,0.158,0.0,0.0,0.0
2017 Osterreich Rundfahrt Prologue.gpx,https://www.komoot.com/tour/2969537285,0.0,0.184,0.0,0.0,0.573,0.0,0.0,0.0,0.167,0.573,0.0,0.0,0.0,0.0,0.0,0.0
2017 Osterreich Rundfahrt Stage 1.gpx,https://www.komoot.com/tour/2969538044,49.6,3.65,134.0,7.75,0.182,0.0,193.0,1.92,0.0,0.321,0.0,0.0,0.0,0.0,0.0,0.0
2017 Osterreich Rundfahrt Stage 2.gpx,https://www.komoot.com/tour/2969538672,128.0,1.28,65.1,2.5,1.97,0.0,197.0,0.0,0.231,1.99,0.641,0.0,0.0,0.0,0.0,0.0
2017 Osterreich Rundfahrt Stage 3.gpx,https://www.komoot.com/tour/2969539532,127.0,0.0,95.5,2.1,0.0,0.0,224.0,1.46,0.0,0.0,0.999,0.793,0.0,0.0,0.0,0.0
2017 Osterreich Rundfahrt Stage 4.gpx,https://www.komoot.com/tour/2969540154,17.5,2.05,60.6,0.0,2.44,0.0,79.6,0.563,0.0,2.21,0.357,0.105,0.0,0.231,0.0,0.0
2017 Osterreich Rundfahrt Stage 5.gpx,https://www.komoot.com/tour/2969540794,50.4,0.227,153.0,3.35,6.09,0.0,207.0,0.598,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
2017 Osterreich Rundfahrt Stage 6.gpx,https://www.komoot.com/tour/2969541513,56.6,1.36,138.0,6.0,0.67,0.0,197.0,4.69,0.0,0.0,0.0,0.977,0.9,0.0,0.0,0.0
2017 PRO Oetztaler 5500.gpx,https://www.komoot.com/tour/2969542307,89.5,1.66,133.0,2.06,0.381,0.0,227.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Paris - Bourges.gpx,https://www.komoot.com/tour/2969543057,165.0,0.0,15.8,4.62,2.04,0.0,184.0,2.11,0.0,2.06,1.01,0.953,0.0,0.0,0.0,0.0
2017 Paris - Camembert.gpx,https://www.komoot.com/tour/2969543688,149.0,2.32,45.4,0.529,0.41,0.0,180.0,16.7,0.439,0.41,0.0,0.0,0.0,0.0,0.0,0.0
2017 Paris - Roubaix.gpx,https://www.komoot.com/tour/2969544226,173.0,10.8,46.2,17.4,0.72,0.21,198.0,4.83,53.0,1.15,10.3,2.23,1.6,1.19,0.0,0.0
2017 Paris - Tours.gpx,https://www.komoot.com/tour/2969544722,201.0,6.0,18.2,6.68,0.0,0.0,216.0,15.4,0.203,0.0,0.155,0.0,0.0,0.0,0.0,0.0
2017 Paris-Nice Stage 1.gpx,https://www.komoot.com/tour/2969545368,107.0,2.01,36.1,11.2,0.0,0.0,148.0,9.29,0.411,0.0,1.97,0.0,0.0,0.0,0.0,0.0
2017 Paris-Nice Stage 2.gpx,https://www.komoot.com/tour/2969545873,140.0,2.86,58.8,1.46,0.589,0.0,201.0,1.73,0.0,0.609,0.159,0.139,0.0,0.0,0.0,0.0
2017 Paris-Nice Stage 3.gpx,https://www.komoot.com/tour/2969546443,159.0,0.163,24.8,5.05,0.331,0.0,188.0,0.0,0.661,0.331,0.633,0.633,0.0,0.0,0.0,0.0
2017 Paris-Nice Stage 4.gpx,https://www.komoot.com/tour/2969546889,13.3,0.933,0.0,0.0,0.0,0.0,12.1,1.97,0.0,0.179,0.122,0.0,0.0,0.0,0.0,0.0
2017 Paris-Nice Stage 5.gpx,https://www.komoot.com/tour/2969547495,142.0,1.67,41.1,14.8,0.205,0.0,194.0,5.58,0.0,0.373,0.0,0.0,0.0,0.0,0.0,0.0
2017 Paris-Nice Stage 6.gpx,https://www.komoot.com/tour/2969548221,165.0,0.0,28.0,0.34,0.0,0.0,191.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Paris-Nice Stage 7.gpx,https://www.komoot.com/tour/2969549062,168.0,0.575,3.58,5.02,1.36,0.0,176.0,0.418,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0
2017 Paris-Nice Stage 8.gpx,https://www.komoot.com/tour/2969549850,75.2,0.628,31.6,7.29,0.441,0.0,114.0,0.628,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0
2017 Polish National Road Championships.gpx,https://www.komoot.com/tour/2969550861,201.0,3.59,16.0,24.7,1.1,0.462,228.0,9.62,22.7,1.76,11.7,0.172,0.203,0.354,0.0,0.0
2017 PostNord Danmark Rundt - Tour of Denmark Stage 1.gpx,https://www.komoot.com/tour/2969551710,117.0,7.3,2.35,37.4,2.98,0.0,155.0,17.3,0.591,1.25,0.0,0.0,0.0,0.0,0.0,0.0
2017 PostNord Danmark Rundt - Tour of Denmark Stage 3.gpx,https://www.komoot.com/tour/2969552299,129.0,8.76,0.0,33.0,0.812,0.0,166.0,15.2,0.184,1.24,0.523,0.54,0.0,0.0,0.0,0.0
2017 PostNord Danmark Rundt - Tour of Denmark Stage 4.gpx,https://www.komoot.com/tour/2969552684,6.95,0.0,0.0,10.4,0.0,0.186,8.23,9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 PostNord Danmark Rundt - Tour of Denmark Stage 5.gpx,https://www.komoot.com/tour/2969553310,125.0,4.8,0.0,50.2,4.76,0.0,152.0,38.6,0.0,5.35,1.76,2.21,1.03,0.646,0.0,0.0
2017 Presidential Cycling Tour of Turkey Stage 1.gpx,https://www.komoot.com/tour/2969554266,14.0,0.566,153.0,2.56,4.65,0.0,165.0,3.04,1.73,3.45,0.559,0.0,0.0,0.0,0.0,0.0
2017 Presidential Cycling Tour of Turkey Stage 2.gpx,https://www.komoot.com/tour/2969554870,10.2,1.27,192.0,0.0,3.18,0.0,198.0,1.52,2.84,3.97,0.151,0.151,0.0,0.0,0.0,0.0
2017 Presidential Cycling Tour of Turkey Stage 3.gpx,https://www.komoot.com/tour/2969555452,10.7,0.0,117.0,0.0,1.16,0.0,127.0,0.247,0.602,0.859,0.0,0.0,0.0,0.0,0.0,0.0
2017 Presidential Cycling Tour of Turkey Stage 4.gpx,https://www.komoot.com/tour/2969555998,9.02,0.404,196.0,0.0,0.597,0.0,203.0,1.53,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2017 Presidential Cycling Tour of Turkey Stage 5.gpx,https://www.komoot.com/tour/2969556730,14.5,0.0,151.0,0.0,0.0,0.0,166.0,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Presidential Cycling Tour of Turkey Stage 6.gpx,https://www.komoot.com/tour/2969557685,3.4,3.58,38.1,0.0,96.8,0.0,44.0,0.335,0.732,96.0,1.25,0.419,0.0,0.0,0.0,0.0
2017 Primus Classic Impanis - Van Petegem.gpx,https://www.komoot.com/tour/2969558307,130.0,9.62,4.67,50.5,0.211,0.0,154.0,44.5,1.1,0.281,0.0,0.289,0.289,0.0,0.0,0.0
2017 Prudential RideLondon-Surrey Classic.gpx,https://www.komoot.com/tour/2969559527,74.3,0.85,89.4,17.8,0.305,0.122,174.0,9.28,0.525,0.448,1.27,2.16,1.82,0.0,0.0,0.0
2017 Prueba Villafranca-Ordiziako Klasika.gpx,https://www.komoot.com/tour/2969560264,156.0,4.87,0.0,2.9,0.0,0.0,165.0,0.376,1.29,0.0,2.75,0.0,0.0,0.0,0.0,0.0
2017 Rad am Ring.gpx,https://www.komoot.com/tour/2969561134,7.85,18.7,1.61,0.0,64.2,0.0,17.5,2.22,0.0,74.2,31.2,49.3,22.9,2.55,0.0,0.0
2017 Record Bank E3 Harelbeke.gpx,https://www.komoot.com/tour/2969562399,72.8,25.2,7.13,77.5,1.86,0.0,121.0,67.2,14.5,1.86,0.478,0.0,0.0,0.381,0.0,0.0
2017 Ronde Van Vlaanderen.gpx,https://www.komoot.com/tour/2969563266,98.7,32.0,8.61,103.0,1.3,0.186,128.0,111.0,19.7,1.94,0.759,0.572,0.619,0.0,0.0,0.0
2017 Ronde de l'Isard Stage 2.gpx,https://www.komoot.com/tour/2969563928,125.0,0.127,3.6,18.8,0.0,0.0,147.0,0.165,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2017 Ronde de l'Isard Stage 3.gpx,https://www.komoot.com/tour/2969564573,98.3,2.68,43.3,0.0,0.0,0.0,138.0,3.07,0.0,0.0,0.0,0.122,0.122,3.51,0.0,0.0
2017 Ronde de l'Isard Stage 4.gpx,https://www.komoot.com/tour/2969565528,114.0,0.266,25.7,5.19,0.0,0.0,144.0,0.0,0.0,0.162,0.0,0.0,0.0,0.0,0.0,0.0
2017 Ronde van Drenthe.gpx,https://www.komoot.com/tour/2969566354,110.0,10.1,0.356,40.6,5.05,0.0,110.0,57.1,28.5,8.08,14.2,4.08,1.26,0.737,0.0,0.0
2017 Ronde van Limburg.gpx,https://www.komoot.com/tour/2969567423,104.0,15.5,7.37,64.7,0.625,0.0,111.0,77.2,12.3,0.894,2.07,0.0,0.0,0.0,0.0,0.0
2017 Route Adelie de Vitre.gpx,https://www.komoot.com/tour/2969568303,166.0,7.28,15.3,8.98,0.0,0.0,167.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Royal Bernard Drome Classic.gpx,https://www.komoot.com/tour/2969569557,167.0,15.1,19.8,3.9,0.0,0.0,174.0,28.9,0.149,3.52,2.1,1.3,0.0,0.0,0.0,0.0
2017 Rund um Koln.gpx,https://www.komoot.com/tour/2969570250,134.0,7.58,5.32,49.5,6.04,0.49,167.0,30.3,1.4,6.55,0.86,1.15,0.531,0.0,0.0,0.0
2017 Santos Tour Down Under Stage 1.gpx,https://www.komoot.com/tour/2969570889,56.0,0.122,70.9,11.6,5.96,0.0,129.0,9.42,0.0,6.22,0.611,0.354,0.0,0.0,0.0,0.0
2017 Santos Tour Down Under Stage 2.gpx,https://www.komoot.com/tour/2969571563,89.8,2.02,54.3,2.08,0.0,0.0,85.4,63.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0
2017 Santos Tour Down Under Stage 3.gpx,https://www.komoot.com/tour/2969572584,46.1,5.94,68.1,5.83,17.2,0.0,113.0,12.7,0.0,15.2,0.753,0.322,0.322,0.0,0.0,0.0
2017 Santos Tour Down Under Stage 4.gpx,https://www.komoot.com/tour/2969573787,51.8,1.45,90.7,6.16,0.0,0.0,132.0,19.4,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
2017 Santos Tour Down Under Stage 5.gpx,https://www.komoot.com/tour/2969574421,115.0,8.0,23.5,3.89,1.09,0.0,141.0,9.29,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0
2017 Santos Tour Down Under Stage 6.gpx,https://www.komoot.com/tour/2969575758,65.4,10.6,0.0,11.0,0.0,0.0,86.2,1.34,0.499,0.0,1.02,0.294,0.294,0.0,0.0,0.0
2017 Schaal Sels.gpx,https://www.komoot.com/tour/2969576706,76.4,14.9,3.37,35.7,12.0,0.138,64.6,53.6,27.9,12.5,25.3,22.8,1.81,5.0,0.0,0.0
2017 Scheldeprijs.gpx,https://www.komoot.com/tour/2969577678,41.2,12.1,5.34,115.0,0.0,0.0,76.5,114.0,10.2,0.187,0.899,0.541,3.28,0.0,0.0,0.0
2017 Sibiu Cycling Tour Prologue.gpx,https://www.komoot.com/tour/2969578347,0.289,0.611,0.0,0.0,0.3,0.0,0.459,0.0,1.51,0.3,1.06,0.0,0.0,0.0,0.0,0.0
