jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,fichier_pcs,score,statut
4,1,2020,stage_1,cambodia-bay-cycling-tour,2.2,2020 Cambodia Bay Cycling Tour Stage 1.gpx,04_January_2020__stage_1__cambodia-bay-cycling-tour_2020__2.2.csv,100.0,match
5,1,2020,stage_2,cambodia-bay-cycling-tour,2.2,2020 Cambodia Bay Cycling Tour Stage 2.gpx,05_January_2020__stage_2__cambodia-bay-cycling-tour_2020__2.2.csv,100.0,match
6,1,2020,stage_3,cambodia-bay-cycling-tour,2.2,2020 Cambodia Bay Cycling Tour Stage 3.gpx,06_January_2020__stage_3__cambodia-bay-cycling-tour_2020__2.2.csv,100.0,match
8,1,2020,result,nc-australia-itt,NC,2020 Australian Road National Championship - ITT.gpx,08_January_2020__result__nc-australia-itt_2020__NC.csv,74.0,match
12,1,2020,stage_1,vuelta-al-tachira,2.2,2020 Vuelta al Tachira Stage 1.gpx,12_January_2020__stage_1__vuelta-al-tachira_2020__2.2.csv,100.0,match
12,1,2020,result,nc-australia,NC,2020 Australian Road National Championship.gpx,12_January_2020__result__nc-australia_2020__NC.csv,86.0,match
13,1,2020,stage_2,vuelta-al-tachira,2.2,2020 Vuelta al Tachira Stage 2.gpx,13_January_2020__stage_2__vuelta-al-tachira_2020__2.2.csv,100.0,match
14,1,2020,stage_3,vuelta-al-tachira,2.2,2020 Vuelta al Tachira Stage 3.gpx,14_January_2020__stage_3__vuelta-al-tachira_2020__2.2.csv,100.0,match
15,1,2020,stage_1,new-zealand-cycle-classic,2.2,2020 New Zealand Cycle Classic Stage 1.gpx,15_January_2020__stage_1__new-zealand-cycle-classic_2020__2.2.csv,100.0,match
15,1,2020,stage_4,vuelta-al-tachira,2.2,2020 Vuelta al Tachira Stage 4.gpx,15_January_2020__stage_4__vuelta-al-tachira_2020__2.2.csv,100.0,match
16,1,2020,stage_5,vuelta-al-tachira,2.2,2020 Vuelta al Tachira Stage 5.gpx,16_January_2020__stage_5__vuelta-al-tachira_2020__2.2.csv,100.0,match
16,1,2020,stage_2,new-zealand-cycle-classic,2.2,2020 New Zealand Cycle Classic Stage 2.gpx,16_January_2020__stage_2__new-zealand-cycle-classic_2020__2.2.csv,100.0,match
17,1,2020,stage_6,vuelta-al-tachira,2.2,2020 Vuelta al Tachira Stage 6.gpx,17_January_2020__stage_6__vuelta-al-tachira_2020__2.2.csv,100.0,match
17,1,2020,stage_3,new-zealand-cycle-classic,2.2,2020 New Zealand Cycle Classic Stage 3.gpx,17_January_2020__stage_3__new-zealand-cycle-classic_2020__2.2.csv,100.0,match
18,1,2020,stage_4,new-zealand-cycle-classic,2.2,2020 New Zealand Cycle Classic Stage 4.gpx,18_January_2020__stage_4__new-zealand-cycle-classic_2020__2.2.csv,100.0,match
18,1,2020,stage_7,vuelta-al-tachira,2.2,2020 Vuelta al Tachira Stage 7.gpx,18_January_2020__stage_7__vuelta-al-tachira_2020__2.2.csv,100.0,match
19,1,2020,stage_8,vuelta-al-tachira,2.2,2020 Vuelta al Tachira Stage 8.gpx,19_January_2020__stage_8__vuelta-al-tachira_2020__2.2.csv,100.0,match
19,1,2020,stage_5,new-zealand-cycle-classic,2.2,2020 New Zealand Cycle Classic Stage 5.gpx,19_January_2020__stage_5__new-zealand-cycle-classic_2020__2.2.csv,100.0,match
20,1,2020,stage_1,la-tropicale-amissa-bongo,2.1,2020 La Tropicale Amissa Bongo Stage 1.gpx,20_January_2020__stage_1__la-tropicale-amissa-bongo_2020__2.1.csv,100.0,match
21,1,2020,stage_2,la-tropicale-amissa-bongo,2.1,2020 La Tropicale Amissa Bongo Stage 2.gpx,21_January_2020__stage_2__la-tropicale-amissa-bongo_2020__2.1.csv,100.0,match
21,1,2020,stage_1,tour-down-under,2.UWT,2020 Santos Tour Down Under Stage 1.gpx,21_January_2020__stage_1__tour-down-under_2020__2.UWT.csv,100.0,match
22,1,2020,stage_2,tour-down-under,2.UWT,2020 Santos Tour Down Under Stage 2.gpx,22_January_2020__stage_2__tour-down-under_2020__2.UWT.csv,100.0,match
22,1,2020,stage_3,la-tropicale-amissa-bongo,2.1,2020 La Tropicale Amissa Bongo Stage 3.gpx,22_January_2020__stage_3__la-tropicale-amissa-bongo_2020__2.1.csv,100.0,match
23,1,2020,stage_4,la-tropicale-amissa-bongo,2.1,2020 La Tropicale Amissa Bongo Stage 4.gpx,23_January_2020__stage_4__la-tropicale-amissa-bongo_2020__2.1.csv,100.0,match
