fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,path_km,off-grid_(unknown)_km,singletrack_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,state_road_km,alpine_km,compacted_gravel_km,alpine_path_km
2022 Fyn Rundt - Tour of Funen.gpx,https://www.komoot.com/tour/2983589329,153.0,25.9,3.38,0.229,0.0,0.0,0.0,0.0,174.0,13.9,0.674,0.0,0.0,0.0,0.0,0.0
2022 GP Adria Mobil.gpx,https://www.komoot.com/tour/2983591619,129.0,4.98,7.78,0.284,1.72,0.0,0.0,0.0,167.0,11.2,1.57,0.0,36.9,0.0,0.0,0.0
2022 GP Gorenjska.gpx,https://www.komoot.com/tour/2983593573,139.0,10.8,19.1,0.0,0.0,0.0,0.0,0.0,151.0,22.1,0.0,0.0,5.01,0.0,0.0,0.0
2022 GP Industria & Artigianato.gpx,https://www.komoot.com/tour/2983595541,169.0,0.0,4.06,0.29,0.0,0.0,0.0,0.0,162.0,29.6,0.0,0.0,18.1,0.0,0.0,0.0
2022 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Prologue.gpx,https://www.komoot.com/tour/2983597228,7.66,0.0,0.415,0.0,0.0,0.0,0.0,0.0,6.01,0.302,0.348,0.0,0.0,0.0,1.42,0.0
2022 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 1.gpx,https://www.komoot.com/tour/2983599091,85.8,0.217,3.88,0.726,0.983,0.347,0.0,0.341,146.0,2.87,0.228,0.916,59.3,0.0,0.0,0.0
2022 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 2.gpx,https://www.komoot.com/tour/2983600943,85.2,0.727,5.6,0.0,0.0,0.0,0.0,0.0,136.0,5.81,0.335,0.0,51.1,0.0,0.0,0.0
2022 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 3.gpx,https://www.komoot.com/tour/2983602595,83.2,4.63,2.24,0.0,0.209,0.0,0.0,0.0,173.0,1.41,0.329,0.143,85.0,0.0,0.0,0.0
2022 GP Kranj.gpx,https://www.komoot.com/tour/2983606592,1.19,45.4,58.1,2.31,22.7,0.0,0.883,0.0,124.0,25.7,5.55,0.0,22.7,0.0,0.0,0.0
2022 GP Slovenian Istria.gpx,https://www.komoot.com/tour/2983608994,72.2,7.3,2.1,0.817,0.0,0.0,0.0,0.0,150.0,3.08,0.0,0.0,72.2,0.0,0.0,0.0
2022 GP Vipava Valley & Crossborder Goriska.gpx,https://www.komoot.com/tour/2983611259,134.0,6.97,7.32,0.178,0.202,0.0,0.0,0.0,139.0,10.8,0.0,0.0,0.751,0.0,0.0,0.0
2022 Gemenc GP Stage 1.gpx,https://www.komoot.com/tour/2983612949,153.0,0.0,2.6,0.296,0.0,0.232,0.0,0.0,161.0,5.63,0.0,0.0,10.8,0.0,0.0,0.0
2022 Gemenc GP Stage 2.gpx,https://www.komoot.com/tour/2983615230,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3,38.0,0.0,0.0,47.7,0.0,0.0,0.0
2022 Gent-Wevelgem in Flanders Fields.gpx,https://www.komoot.com/tour/2983617166,118.0,104.0,4.12,2.46,4.25,2.0,0.0,0.0,164.0,73.0,5.46,4.13,5.41,0.0,0.0,0.0
