fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,path_km,off-grid_(unknown)_km,singletrack_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,state_road_km,alpine_km,compacted_gravel_km,alpine_path_km
2022 Boucles de l'Aulne - Chateaulin.gpx,https://www.komoot.com/tour/2983398081,120.0,0.0,7.65,0.0,0.0,0.0,0.0,0.0,167.0,9.22,0.616,0.0,49.1,0.0,0.0,0.0
2022 Boucles de la Mayenne Stage 1.gpx,https://www.komoot.com/tour/2983399975,175.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,161.0,19.4,0.0,0.0,1.71,0.0,0.0,0.0
2022 Boucles de la Mayenne Stage 2.gpx,https://www.komoot.com/tour/2983401638,164.0,0.0,7.44,0.301,0.166,0.0,0.0,0.0,115.0,57.2,0.0,0.0,1.09,0.0,0.0,0.0
2022 Boucles de la Mayenne Stage 3.gpx,https://www.komoot.com/tour/2983403226,165.0,3.36,7.97,0.0,0.0,0.0,0.0,0.0,149.0,40.7,0.0,0.0,13.6,0.0,0.0,0.0
2022 Boucles de la Mayenne Stage 4.gpx,https://www.komoot.com/tour/2983405284,163.0,5.67,3.41,0.0,0.703,0.0,0.0,0.0,159.0,21.8,0.0,0.703,8.81,0.0,0.0,0.0
2022 Bredene Koksijde Classic.gpx,https://www.komoot.com/tour/2983407193,106.0,58.1,12.3,0.551,0.281,0.0,0.0,0.0,132.0,64.3,2.06,0.297,2.85,0.0,0.0,0.0
2022 Bretagne Classic - Ouest-France.gpx,https://www.komoot.com/tour/2983409059,222.0,0.939,4.93,0.0,0.0,0.0,0.0,0.0,178.0,77.8,0.0,0.0,28.2,0.0,0.0,0.0
2022 Brussels Cycling Classic.gpx,https://www.komoot.com/tour/2983410923,95.5,55.6,23.5,9.84,0.718,9.31,0.0,0.795,142.0,44.5,8.21,0.402,13.0,0.0,0.0,0.0
2022 CAC African Road Championships.gpx,https://www.komoot.com/tour/2983413889,71.1,15.8,1.6,0.323,0.0,0.269,0.0,0.0,207.0,6.83,0.913,0.0,126.0,0.0,0.0,0.0
2022 COPACI Campeonato Panamericano de Ruta - ITT.gpx,https://www.komoot.com/tour/2983415474,34.3,1.54,0.0,0.392,0.0,0.392,0.0,0.0,45.3,0.895,0.0,0.0,10.3,0.0,0.0,0.0
2022 COPACI Campeonato Panamericano de Ruta.gpx,https://www.komoot.com/tour/2983417210,38.0,11.7,3.3,16.9,0.0,15.4,0.0,0.0,122.0,4.67,0.113,0.0,75.4,0.0,0.0,0.0
2022 Canadian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2983418966,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,24.5,0.0,0.0,0.0,0.0,0.0,0.0
2022 Challenge du Prince - Trophee Princer.gpx,https://www.komoot.com/tour/2983423580,3.88,0.0,0.0,1.12,0.0,1.34,0.0,0.0,121.0,2.73,0.0,0.0,120.0,0.0,0.0,0.0
2022 Challenge du Prince - Trophee de l'Anniversaire.gpx,https://www.komoot.com/tour/2983425043,120.0,0.0,0.182,0.278,0.0,0.818,0.0,0.0,121.0,0.0,0.0,0.0,0.754,0.0,0.0,0.0
2022 Challenge du Prince - Trophee de la Maison Royale.gpx,https://www.komoot.com/tour/2983427052,76.8,1.91,0.0,0.0,0.0,0.242,0.0,0.0,131.0,0.0,0.0,0.0,51.9,0.0,0.0,0.0
2022 Cholet - Pays de la Loire.gpx,https://www.komoot.com/tour/2983429703,157.0,13.9,24.8,5.66,0.315,5.02,0.294,0.405,168.0,28.9,0.0,0.294,1.1,0.0,0.0,0.0
2022 Chrono des Nations.gpx,https://www.komoot.com/tour/2983431654,44.5,0.695,0.0,0.0,0.0,0.0,0.0,0.0,46.1,0.0,0.0,0.0,0.954,0.0,0.0,0.0
2022 Circuit Cycliste Sarthe - Pays de la Loire Stage 1.gpx,https://www.komoot.com/tour/2983433214,184.0,0.263,7.64,0.0,0.0,0.0,0.0,0.0,161.0,31.3,0.0,0.0,0.513,0.0,0.0,0.0
2022 Circuit Cycliste Sarthe - Pays de la Loire Stage 2.gpx,https://www.komoot.com/tour/2983434906,162.0,2.9,6.64,1.75,0.0,1.75,0.0,0.0,112.0,59.8,0.0,0.0,0.276,0.0,0.0,0.0
2022 Circuit Cycliste Sarthe - Pays de la Loire Stage 3.gpx,https://www.komoot.com/tour/2983436610,174.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,135.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0
2022 Circuit Cycliste Sarthe - Pays de la Loire Stage 4.gpx,https://www.komoot.com/tour/2983438384,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0
2022 Circuit Franco-Belge.gpx,https://www.komoot.com/tour/2983440587,85.9,47.9,3.75,2.27,0.0,2.27,0.0,0.0,138.0,33.2,0.411,2.9,36.8,0.0,0.0,0.0
2022 Circuit de Wallonie.gpx,https://www.komoot.com/tour/2983442573,97.9,29.4,10.0,3.21,0.0,3.08,0.0,0.0,163.0,26.9,3.24,0.0,55.5,0.0,0.0,0.0
2022 Circuit des Ardennes Stage 1.gpx,https://www.komoot.com/tour/2983444355,152.0,0.0,6.46,0.0,0.0,0.0,0.0,0.0,124.0,40.5,0.0,0.0,5.13,0.0,0.0,0.0
2022 Circuit des Ardennes Stage 2.gpx,https://www.komoot.com/tour/2983445710,88.1,0.0,5.84,0.0,0.0,0.0,0.0,0.0,89.8,4.14,0.0,0.0,0.0,0.0,0.0,0.0
2022 Circuito de Getxo - Memorial Hermanos Otxoa.gpx,https://www.komoot.com/tour/2983449127,77.0,14.5,27.7,0.0,6.5,0.0,0.0,0.0,179.0,21.3,0.733,0.0,75.8,0.0,0.0,0.0
2022 Circuito del Porto - Trofeo Arvedi.gpx,https://www.komoot.com/tour/2983451996,111.0,19.9,0.0,2.65,0.0,2.86,0.0,0.0,177.0,0.0,0.0,0.0,45.8,0.0,0.0,0.0
