fichier_gpx,route_url,road_km,state_road_km,street_km,asphalt_km,unpaved_km,paved_km,off-grid_(unknown)_km,unknown_km,path_km,cobblestones_km,cycleway_km,singletrack_km,compacted_gravel_km,access_road_km
2023 Alpes Isere Tour Stage 5.gpx,https://www.komoot.com/tour/2984740572,134.0,11.7,1.69,158.0,0.221,2.38,0.175,0.175,0.221,0.0,12.4,0.0,0.0,0.231
2023 Amstel Gold Race.gpx,https://www.komoot.com/tour/2984742761,119.0,0.831,7.18,224.0,1.74,15.1,5.36,5.75,2.23,6.71,75.4,0.849,0.0,0.0
2023 Arctic Race of Norway Stage 1.gpx,https://www.komoot.com/tour/2984744438,17.1,144.0,0.935,168.0,0.169,3.56,0.0,0.539,0.259,0.0,10.4,0.0,0.0,0.0
2023 Arctic Race of Norway Stage 2.gpx,https://www.komoot.com/tour/2984745622,14.6,135.0,0.492,150.0,0.0,1.31,0.861,1.38,0.179,0.0,1.54,0.0,0.0,0.0
2023 Arctic Race of Norway Stage 3.gpx,https://www.komoot.com/tour/2984747433,2.74,160.0,1.32,164.0,0.0,0.825,0.786,1.48,0.0,0.0,0.519,0.0,0.0,0.0
2023 Arctic Race of Norway Stage 4.gpx,https://www.komoot.com/tour/2984749103,0.0,164.0,0.984,165.0,1.7,3.97,0.0,0.451,0.197,0.0,4.68,1.51,0.0,0.0
2023 Arno Wallaard Memorial.gpx,https://www.komoot.com/tour/2984751198,154.0,0.536,3.85,143.0,0.0,35.8,0.984,1.03,0.0,8.32,12.7,0.0,0.0,0.0
2023 Asian Road Cycling Championship - ITT.gpx,https://www.komoot.com/tour/2984753296,28.4,0.0,2.2,0.0,1.04,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Asian Road Cycling Championship.gpx,https://www.komoot.com/tour/2984754811,93.4,26.5,10.4,61.2,1.74,67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Austrian Road National Championship - ITT.gpx,https://www.komoot.com/tour/2984756395,19.9,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Austrian Road National Championship.gpx,https://www.komoot.com/tour/2984758282,54.8,129.0,0.0,183.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Aziz Shusha Stage 1.gpx,https://www.komoot.com/tour/2984760264,6.04,134.0,0.451,140.0,0.0,0.362,9.3,1.27,0.0,0.0,0.0,0.0,0.0,0.0
