fichier_gpx,route_url,road_km,state_road_km,street_km,asphalt_km,unpaved_km,paved_km,off-grid_(unknown)_km,unknown_km,path_km,cobblestones_km,cycleway_km,singletrack_km,compacted_gravel_km,access_road_km
2023 Faun-Ardeche Classic.gpx,https://www.komoot.com/tour/2984958908,125.0,32.4,0.0,160.0,0.0,10.1,0.433,0.0,0.0,0.0,13.0,0.0,0.0,0.0
2023 Figueira Champions Classic.gpx,https://www.komoot.com/tour/2984960625,141.0,16.6,26.3,159.0,0.0,28.0,1.94,2.08,0.0,0.0,3.27,0.0,0.0,0.0
2023 Fleche Ardennaise.gpx,https://www.komoot.com/tour/2984962039,148.0,18.0,4.48,149.0,0.0,21.0,0.0,0.0,0.0,2.28,2.58,0.0,0.0,0.0
2023 Fleche du Sud Prologue.gpx,https://www.komoot.com/tour/2984963531,0.0,0.505,1.93,2.59,0.0,0.0,0.376,0.376,0.218,0.148,0.164,0.0,0.0,0.0
2023 Fleche du Sud Stage 1.gpx,https://www.komoot.com/tour/2984965134,73.4,74.4,3.61,155.0,0.0,0.469,0.0,0.0,0.969,0.0,3.11,0.0,0.0,0.0
2023 Fleche du Sud Stage 2.gpx,https://www.komoot.com/tour/2984966618,78.0,38.8,0.548,129.0,0.0,0.0,0.675,0.675,5.75,0.288,6.02,0.0,0.0,0.0
2023 Fleche du Sud Stage 3.gpx,https://www.komoot.com/tour/2984968262,117.0,30.1,0.19,154.0,0.0,0.213,0.0,1.59,0.573,0.223,4.55,0.0,0.0,0.0
2023 Fleche du Sud Stage 4.gpx,https://www.komoot.com/tour/2984970451,89.9,41.7,7.88,144.0,0.0,1.29,2.63,2.63,1.64,0.727,5.01,0.0,0.0,0.0
2023 Fyn Rundt - Tour of Funen.gpx,https://www.komoot.com/tour/2984972369,151.0,0.0,3.73,174.0,0.0,13.9,0.0,0.229,0.0,0.674,27.5,0.0,0.0,0.0
2023 GP Adria Mobil.gpx,https://www.komoot.com/tour/2984974296,165.0,0.0,5.87,166.0,0.124,11.0,0.0,0.137,1.78,2.2,6.77,0.0,0.0,0.0
2023 GP Gorenjska.gpx,https://www.komoot.com/tour/2984976255,118.0,7.16,10.8,137.0,0.867,6.55,1.23,1.37,0.0,0.0,8.52,0.0,0.0,0.0
2023 GP Goriska & Vipava Valley.gpx,https://www.komoot.com/tour/2984978001,135.0,0.751,7.32,139.0,0.0,11.3,0.0,0.178,0.202,0.0,6.89,0.0,0.0,0.0
2023 GP Industria & Artigianato.gpx,https://www.komoot.com/tour/2984979749,176.0,18.1,6.27,168.0,0.0,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Prologue.gpx,https://www.komoot.com/tour/2984981216,7.68,0.0,0.38,6.03,0.0,0.267,0.0,0.0,0.0,0.348,0.0,0.0,1.42,0.0
2023 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 1.gpx,https://www.komoot.com/tour/2984982891,72.9,78.5,4.12,152.0,0.0,2.7,0.213,0.0,0.0,0.847,0.0,0.0,0.0,0.0
2023 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 2.gpx,https://www.komoot.com/tour/2984984210,112.0,23.2,7.53,138.0,0.0,6.72,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0
2023 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 3.gpx,https://www.komoot.com/tour/2984985576,106.0,61.9,8.81,172.0,0.0,7.67,0.0,0.0,0.0,0.862,4.11,0.0,0.0,0.0
2023 GP Internacional de Ciclismo de Santa Catarina.gpx,https://www.komoot.com/tour/2984986788,164.0,5.31,0.321,169.0,0.0,0.192,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0
2023 GP Kranj.gpx,https://www.komoot.com/tour/2984989206,53.4,7.05,43.7,127.0,0.0,28.4,0.0,0.556,19.6,5.0,32.5,1.21,0.0,0.0
2023 GP Slovenian Istria.gpx,https://www.komoot.com/tour/2984990986,72.2,72.2,2.1,150.0,0.0,3.08,0.0,0.817,0.0,0.0,7.3,0.0,0.0,0.0
2023 GP Urubici de Ciclismo.gpx,https://www.komoot.com/tour/2984992204,70.1,2.63,0.121,78.6,0.0,0.524,0.0,0.0,0.0,0.0,6.44,0.0,0.0,0.0
2023 Gemenc GP Stage 1.gpx,https://www.komoot.com/tour/2984993481,147.0,27.5,0.0,168.0,0.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Gemenc GP Stage 2.gpx,https://www.komoot.com/tour/2984995006,84.8,57.6,0.0,99.3,0.0,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Gent-Wevelgem In Flanders Fields.gpx,https://www.komoot.com/tour/2984996471,113.0,6.81,7.35,176.0,4.13,73.7,1.82,2.31,4.17,4.94,114.0,0.0,0.0,0.0
2023 German Road National Championship - ITT.gpx,https://www.komoot.com/tour/2984997913,23.0,0.0,2.12,32.0,0.0,0.0,0.0,2.69,3.11,0.163,1.27,0.0,0.0,0.0
2023 German Road National Championship.gpx,https://www.komoot.com/tour/2984999452,90.7,0.0,23.8,128.0,0.0,10.0,0.0,16.1,0.709,0.858,6.85,0.0,0.0,0.282
2023 Giro d'Italia Stage 1.gpx,https://www.komoot.com/tour/2985000675,1.36,0.0,1.85,18.9,0.0,0.0,0.326,0.268,0.517,0.434,14.7,0.0,0.0,0.0
2023 Giro d'Italia Stage 10.gpx,https://www.komoot.com/tour/2985002506,129.0,66.5,0.0,197.0,0.0,0.25,0.0,0.901,0.206,0.0,0.179,0.0,0.0,0.0
2023 Giro d'Italia Stage 11.gpx,https://www.komoot.com/tour/2985004321,93.8,85.2,1.06,213.0,0.759,1.32,4.03,4.03,0.31,0.0,34.8,0.181,0.0,0.0
2023 Giro d'Italia Stage 12.gpx,https://www.komoot.com/tour/2985005891,156.0,24.6,3.02,181.0,0.21,2.83,0.0,0.191,0.0,1.29,2.32,0.0,0.0,0.0
2023 Giro d'Italia Stage 13.gpx,https://www.komoot.com/tour/2985007153,70.0,0.0,3.97,69.1,0.237,5.76,0.0,0.0,0.0,0.0,0.979,0.0,0.0,0.0
2023 Giro d'Italia Stage 14.gpx,https://www.komoot.com/tour/2985008918,89.9,96.4,3.64,189.0,1.12,1.43,5.08,5.18,1.34,0.3,0.387,0.0,0.0,0.0
2023 Giro d'Italia Stage 15.gpx,https://www.komoot.com/tour/2985010802,143.0,31.1,3.4,186.0,0.88,2.72,6.53,6.62,2.76,0.409,9.22,0.875,0.226,0.0
2023 Giro d'Italia Stage 16.gpx,https://www.komoot.com/tour/2985012688,121.0,72.2,7.31,199.0,0.132,0.108,3.82,3.79,0.624,1.42,0.575,0.0,0.0,0.0
2023 Giro d'Italia Stage 17.gpx,https://www.komoot.com/tour/2985014453,88.8,67.5,7.81,170.0,1.86,2.08,22.8,23.5,2.53,0.263,9.33,0.0,1.25,0.174
2023 Giro d'Italia Stage 18.gpx,https://www.komoot.com/tour/2985015960,138.0,21.0,0.634,159.0,0.0,2.91,0.0,1.06,0.232,0.0,0.3,0.0,0.0,0.0
2023 Giro d'Italia Stage 19.gpx,https://www.komoot.com/tour/2985017753,64.4,118.0,0.387,182.0,0.0,0.0,0.0,0.176,0.531,0.763,0.12,0.143,0.0,0.0
2023 Giro d'Italia Stage 2.gpx,https://www.komoot.com/tour/2985019717,63.4,126.0,2.56,200.0,0.0,0.548,1.48,1.76,0.0,0.0,8.03,0.0,0.0,0.0
2023 Giro d'Italia Stage 20.gpx,https://www.komoot.com/tour/2985021027,3.68,0.489,8.81,9.92,7.39,1.08,0.0,0.119,0.0,0.0,5.56,0.0,0.0,0.0
2023 Giro d'Italia Stage 3.gpx,https://www.komoot.com/tour/2985025466,71.0,98.2,2.03,171.0,1.96,1.24,39.7,39.6,2.24,0.0,0.772,0.0,0.0,0.0
2023 Giro d'Italia Stage 4.gpx,https://www.komoot.com/tour/2985026849,121.0,12.3,3.52,125.0,7.45,11.4,32.6,32.6,7.45,0.0,0.0,0.0,0.0,0.0
2023 Giro d'Italia Stage 5.gpx,https://www.komoot.com/tour/2985028160,123.0,25.4,1.78,148.0,0.14,1.94,22.1,22.4,0.174,0.0,0.0,0.0,0.0,0.0
2023 Giro d'Italia Stage 6.gpx,https://www.komoot.com/tour/2985029825,79.9,70.8,2.47,148.0,0.0,6.67,4.07,3.23,5.24,3.43,0.781,0.0,0.0,0.0
2023 Giro d'Italia Stage 7.gpx,https://www.komoot.com/tour/2985031151,67.7,136.0,1.08,204.0,0.781,0.467,14.1,13.6,0.805,0.0,0.0,0.0,0.0,0.0
2023 Giro d'Italia Stage 8.gpx,https://www.komoot.com/tour/2985032963,117.0,69.3,3.31,183.0,0.701,6.72,16.6,15.7,0.592,0.0,0.0,0.463,0.0,0.0
2023 Giro d'Italia Stage 9.gpx,https://www.komoot.com/tour/2985034190,31.3,0.0,0.971,29.7,0.0,4.57,0.668,0.692,0.335,0.184,1.76,0.0,0.0,0.0
2023 Giro del Medio Brenta.gpx,https://www.komoot.com/tour/2985035855,123.0,48.3,0.339,173.0,0.0,2.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0
2023 Giro del Sol Stage 1.gpx,https://www.komoot.com/tour/2985037257,61.6,80.4,5.16,114.0,1.72,30.1,10.9,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Giro del Sol Stage 2.gpx,https://www.komoot.com/tour/2985038641,38.0,75.2,1.09,120.0,0.0,4.67,8.63,9.77,0.0,0.113,11.7,0.0,0.0,0.0
2023 Giro del Sol Stage 3.gpx,https://www.komoot.com/tour/2985040180,79.5,90.7,0.836,122.0,0.0,48.2,8.16,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Giro del Veneto.gpx,https://www.komoot.com/tour/2985041651,156.0,2.84,0.642,166.0,0.186,1.75,2.25,2.25,0.186,0.0,7.61,0.0,0.0,0.0
2023 Giro dell'Appennino.gpx,https://www.komoot.com/tour/2985043616,97.3,70.6,1.39,193.0,0.246,3.22,1.5,2.74,0.0,0.0,27.8,0.0,0.0,0.324
2023 Giro dell'Emilia.gpx,https://www.komoot.com/tour/2985045870,164.0,32.8,3.12,189.0,0.0,11.4,0.184,0.704,0.0,4.57,4.87,0.0,0.0,0.0
2023 Giro della Citta Metropolitana di Reggio Calabria.gpx,https://www.komoot.com/tour/2985047757,84.3,61.2,3.1,155.0,0.0,4.15,3.91,3.95,0.0,0.0,10.4,0.0,0.0,0.0
2023 Giro della Regione Friuli Venezia Giulia Stage 1.gpx,https://www.komoot.com/tour/2985049008,125.0,24.3,6.53,135.0,0.151,26.1,1.47,1.47,0.0,0.0,5.64,0.0,0.0,0.0
2023 Giro della Regione Friuli Venezia Giulia Stage 2.gpx,https://www.komoot.com/tour/2985050124,148.0,4.76,1.93,151.0,0.0,4.88,0.0,0.307,0.17,0.317,1.07,0.307,0.0,0.0
2023 Giro della Regione Friuli Venezia Giulia Stage 3.gpx,https://www.komoot.com/tour/2985051344,110.0,39.9,0.0,146.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Giro della Toscana - Memorial Alfredo Martini.gpx,https://www.komoot.com/tour/2985057551,148.0,40.4,0.303,186.0,0.0,2.41,0.43,0.543,0.0,0.0,0.0,0.0,0.0,0.0
2023 Giro di Sicilia Stage 1.gpx,https://www.komoot.com/tour/2985059035,60.5,94.7,1.82,156.0,0.0,0.968,1.22,1.31,0.357,0.0,0.0,0.0,0.0,0.0
2023 Giro di Sicilia Stage 2.gpx,https://www.komoot.com/tour/2985061047,61.8,130.0,1.84,192.0,0.0,1.62,0.433,0.476,0.102,0.124,0.0,0.0,0.0,0.0
2023 Giro di Sicilia Stage 3.gpx,https://www.komoot.com/tour/2985062501,93.2,56.3,0.788,150.0,0.0,0.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Giro di Sicilia Stage 4.gpx,https://www.komoot.com/tour/2985068965,143.0,71.9,0.485,213.0,0.0,1.43,0.337,0.337,0.0,0.801,0.0,0.0,0.0,0.0
2023 Gran Piemonte.gpx,https://www.komoot.com/tour/2985070514,145.0,4.88,2.05,150.0,0.0,1.6,0.179,0.238,0.0,0.356,0.0,0.184,0.0,0.0
2023 Gran Premio Chapin.gpx,https://www.komoot.com/tour/2985072344,1.02,185.0,0.363,172.0,0.0,14.6,0.0,0.113,0.103,0.0,0.0,0.0,0.0,0.0
2023 Gran Premio Guatemala.gpx,https://www.komoot.com/tour/2985074419,5.33,170.0,0.109,145.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Gran Premio Miguel Indurain.gpx,https://www.komoot.com/tour/2985076153,135.0,57.4,7.05,188.0,0.0,10.8,2.66,2.66,0.0,2.34,1.75,0.0,0.0,0.0
2023 Gran Premio citta di Peccioli - Coppa Sabatini.gpx,https://www.komoot.com/tour/2985077754,148.0,44.5,5.05,168.0,0.0,29.0,1.09,1.09,0.0,0.708,0.0,0.0,0.0,0.0
2023 Grand Prix Apollon Temple.gpx,https://www.komoot.com/tour/2985079563,29.7,97.2,0.646,126.0,0.0,0.0,0.419,0.686,0.0,1.12,0.0,0.0,0.0,0.0
2023 Grand Prix Aspendos.gpx,https://www.komoot.com/tour/2985080748,132.0,9.26,0.182,137.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix Boukraa.gpx,https://www.komoot.com/tour/2985082192,0.0,105.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix Cerami.gpx,https://www.komoot.com/tour/2985083454,127.0,8.16,13.2,117.0,0.0,23.9,0.0,0.0,0.0,12.0,3.99,0.0,0.0,0.0
2023 Grand Prix Chantal Biya Stage 1.gpx,https://www.komoot.com/tour/2985084578,6.07,99.6,1.94,105.0,0.52,2.16,0.243,0.243,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix Chantal Biya Stage 2.gpx,https://www.komoot.com/tour/2985085762,5.16,151.0,0.652,95.7,5.42,56.7,8.32,8.32,0.956,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix Chantal Biya Stage 3.gpx,https://www.komoot.com/tour/2985086825,0.0,87.5,2.02,75.9,10.1,3.53,15.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix Chantal Biya Stage 4.gpx,https://www.komoot.com/tour/2985088088,76.2,20.3,0.0,60.3,27.2,8.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix Chantal Biya Stage 5.gpx,https://www.komoot.com/tour/2985089415,13.4,94.0,0.194,94.3,0.194,13.2,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix Criquielion.gpx,https://www.komoot.com/tour/2985091006,129.0,2.46,24.7,129.0,0.0,68.6,1.06,1.06,0.0,3.96,45.3,0.0,0.0,0.0
2023 Grand Prix Cycliste de Marseille La Marseillaise.gpx,https://www.komoot.com/tour/2985093355,129.0,34.7,1.22,165.0,0.0,2.07,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0
2023 Grand Prix Es-Semara.gpx,https://www.komoot.com/tour/2985099190,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix Herning.gpx,https://www.komoot.com/tour/2985100385,139.0,2.81,7.37,150.0,21.6,3.26,0.0,1.92,8.42,0.565,11.9,0.981,3.44,0.19
2023 Grand Prix Kaisareia.gpx,https://www.komoot.com/tour/2985101754,30.7,101.0,0.517,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix d'Isbergues - Pas de Calais.gpx,https://www.komoot.com/tour/2985103058,128.0,30.5,37.1,150.0,0.0,51.4,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0
2023 Grand Prix de Denain - Porte du Hainaut.gpx,https://www.komoot.com/tour/2985104677,165.0,7.23,7.45,166.0,0.221,6.25,0.0,0.0,3.88,22.8,13.0,0.0,1.36,0.0
2023 Grand Prix de Plouay.gpx,https://www.komoot.com/tour/2985105990,179.0,0.0,2.53,95.7,0.0,85.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix de Wallonie.gpx,https://www.komoot.com/tour/2985107786,150.0,32.1,9.67,187.0,0.0,12.9,0.0,0.0,0.0,2.18,9.56,0.15,0.15,0.0
2023 Grand Prix de la Famille Royale.gpx,https://www.komoot.com/tour/2985110166,21.9,144.0,3.84,170.0,0.27,1.24,41.5,42.6,0.648,0.0,2.11,0.0,0.186,0.27
2023 Grand Prix de la Somme Conseil Departemental 80.gpx,https://www.komoot.com/tour/2985111890,141.0,23.7,14.2,145.0,0.0,34.3,0.0,0.0,0.0,0.458,1.79,0.0,0.0,0.0
2023 Grand Prix de la Ville d'Alger.gpx,https://www.komoot.com/tour/2985115158,0.0,83.1,0.0,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix de la Ville de Lillers Souvenir Bruno Comini.gpx,https://www.komoot.com/tour/2985116573,167.0,0.462,12.9,165.0,0.0,15.8,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2023 Grand Prix de la ville de Perenchies.gpx,https://www.komoot.com/tour/2985118169,135.0,4.63,3.77,167.0,0.0,4.72,0.0,0.0,0.0,6.65,34.6,0.0,0.0,0.0
2023 Grand Prix du Morbihan.gpx,https://www.komoot.com/tour/2985119900,179.0,0.694,1.75,175.0,0.0,5.99,0.0,0.0,0.0,0.0,0.206,0.0,0.0,0.0
2023 Grand Prix du Prince Heritier Moulay El Hassan.gpx,https://www.komoot.com/tour/2985120963,0.0,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Grand Prix du Trone.gpx,https://www.komoot.com/tour/2985122112,47.3,59.5,2.27,108.0,0.0,1.36,0.0,1.6,1.53,0.0,0.0,0.0,0.0,0.0
2023 Grand Tour de Ciclismo de SC.gpx,https://www.komoot.com/tour/2985123260,123.0,5.31,0.398,128.0,0.0,0.192,0.0,0.0,0.0,0.206,0.0,0.0,0.0,0.0
2023 Grande Premio Beiras e Serra da Estrela Stage 1-1.gpx,https://www.komoot.com/tour/2985124363,14.9,0.0,0.191,14.3,0.0,0.632,0.183,0.183,0.0,0.364,0.0,0.0,0.0,0.0
2023 Gravel and Tar Classic.gpx,https://www.komoot.com/tour/2985125463,125.0,0.0,11.3,3.92,37.1,95.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Gree - Tour of Guangxi Stage 1.gpx,https://www.komoot.com/tour/2985126799,8.42,7.63,3.92,14.6,0.0,4.94,118.0,118.0,0.494,0.0,0.0,0.0,0.0,0.0
2023 Gree - Tour of Guangxi Stage 2.gpx,https://www.komoot.com/tour/2985128009,1.6,5.11,1.45,5.24,0.0,3.12,143.0,143.0,0.392,0.0,0.0,0.0,0.0,0.0
2023 Gree - Tour of Guangxi Stage 3.gpx,https://www.komoot.com/tour/2985129363,4.86,3.21,4.06,9.58,1.31,3.61,114.0,125.0,9.32,0.0,3.0,1.31,0.0,0.0
2023 Gree - Tour of Guangxi Stage 4.gpx,https://www.komoot.com/tour/2985130753,2.88,2.98,2.59,5.26,0.0,2.01,156.0,157.0,0.0,0.0,0.0,0.117,0.0,0.0
2023 Gree - Tour of Guangxi Stage 5.gpx,https://www.komoot.com/tour/2985132145,3.65,3.04,2.12,4.61,0.0,3.55,203.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Gree - Tour of Guangxi Stage 6.gpx,https://www.komoot.com/tour/2985133915,1.92,3.33,6.02,4.08,0.823,4.39,158.0,163.0,1.67,0.0,0.947,0.333,0.0,0.0
2023 Grosser Preis des Kantons Aargau.gpx,https://www.komoot.com/tour/2985135998,130.0,8.61,0.61,131.0,3.85,41.6,0.0,13.2,12.2,0.0,10.6,0.709,0.0,0.0
2023 Grote Prijs Rik Van Looy.gpx,https://www.komoot.com/tour/2985137479,65.3,0.774,34.6,57.4,0.113,107.0,2.45,2.86,0.24,9.49,55.7,0.0,0.127,0.0
2023 Grote prijs Jean-Pierre Monsere.gpx,https://www.komoot.com/tour/2985138988,86.0,0.692,16.8,113.0,0.0,72.9,4.21,7.13,0.0,6.0,79.1,0.0,0.0,0.0
2023 Gylne Gutuer.gpx,https://www.komoot.com/tour/2985140534,144.0,14.2,4.03,86.3,4.18,13.1,0.0,2.2,2.72,0.0,0.0,0.0,59.0,0.0
2023 Heylen Vastgoed Heistse Pijl.gpx,https://www.komoot.com/tour/2985141969,5.89,0.825,19.2,76.0,0.164,117.0,1.98,2.12,0.0,4.78,147.0,0.164,0.0,0.0
2023 Il Lombardia.gpx,https://www.komoot.com/tour/2985143935,203.0,16.3,2.67,230.0,0.845,0.68,6.79,6.94,0.526,0.289,9.6,0.814,0.414,0.0
2023 In the footsteps of the Romans Stage 1.gpx,https://www.komoot.com/tour/2985145089,120.0,0.0,5.48,61.8,0.0,64.1,0.159,0.159,0.0,0.0,0.0,0.0,0.0,0.0
2023 In the footsteps of the Romans Stage 2.gpx,https://www.komoot.com/tour/2985146271,134.0,0.0,1.38,94.0,0.0,41.6,0.242,0.242,0.0,0.0,0.0,0.0,0.0,0.0
2023 International Tour of Hellas Prologue.gpx,https://www.komoot.com/tour/2985147314,0.0,4.6,1.22,4.6,0.0,1.22,0.194,0.194,0.0,0.0,0.0,0.0,0.0,0.0
2023 International Tour of Hellas Stage 1.gpx,https://www.komoot.com/tour/2985149269,98.6,88.5,1.62,187.0,0.0,1.95,0.158,0.158,0.0,0.0,0.0,0.0,0.0,0.0
2023 International Tour of Hellas Stage 2.gpx,https://www.komoot.com/tour/2985150865,31.8,137.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 International Tour of Hellas Stage 3.gpx,https://www.komoot.com/tour/2985152249,58.7,92.8,0.486,151.0,0.478,0.471,0.646,0.646,0.0,0.0,0.0,0.0,0.0,0.0
2023 International Tour of Hellas Stage 4.gpx,https://www.komoot.com/tour/2985153615,45.6,87.5,0.43,133.0,0.0,0.325,0.0,0.0,0.0,0.356,0.0,0.0,0.0,0.0
2023 International Tour of Rhodes Stage 1.gpx,https://www.komoot.com/tour/2985155469,144.0,1.19,0.18,145.0,0.575,0.0,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0
2023 International Tour of Rhodes Stage 2.gpx,https://www.komoot.com/tour/2985156885,103.0,49.2,0.419,152.0,0.288,0.467,0.0,0.115,0.288,0.0,0.0,0.0,0.0,0.0
2023 International Tour of Rhodes Stage 3.gpx,https://www.komoot.com/tour/2985158140,128.0,22.4,0.332,136.0,0.524,13.9,0.0,0.332,0.118,0.0,0.0,0.0,0.0,0.0
2023 Istarsko Proljece - Istrian Spring Trophy Prologue.gpx,https://www.komoot.com/tour/2985159246,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Istarsko Proljece - Istrian Spring Trophy Stage 1.gpx,https://www.komoot.com/tour/2985160241,65.1,82.8,0.512,147.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Istarsko Proljece - Istrian Spring Trophy Stage 2.gpx,https://www.komoot.com/tour/2985161452,116.0,55.2,1.63,173.0,0.0,0.0,0.0,0.0,0.0,0.357,0.143,0.0,0.0,0.0
2023 Istarsko Proljece - Istrian Spring Trophy Stage 3.gpx,https://www.komoot.com/tour/2985162882,57.2,53.5,0.0,111.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Italian Road National Championships.gpx,https://www.komoot.com/tour/2985164147,169.0,0.255,0.691,164.0,0.0,7.15,0.0,0.0,0.0,0.0,0.969,0.0,0.0,0.0
2023 Itzulia Basque Country Stage 1.gpx,https://www.komoot.com/tour/2985165601,122.0,41.1,1.01,161.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Itzulia Basque Country Stage 2.gpx,https://www.komoot.com/tour/2985167145,101.0,93.3,0.0,194.0,0.0,0.201,0.381,0.0,0.174,0.0,0.0,0.0,0.0,0.0
2023 Itzulia Basque Country Stage 3.gpx,https://www.komoot.com/tour/2985169043,114.0,40.4,6.17,155.0,0.0,7.04,0.0,1.13,1.07,0.17,1.56,0.0,0.0,0.0
2023 Itzulia Basque Country Stage 4.gpx,https://www.komoot.com/tour/2985170978,110.0,56.1,4.69,170.0,0.0,4.75,0.527,0.673,0.153,0.0,4.55,0.0,0.0,0.0
2023 Itzulia Basque Country Stage 5.gpx,https://www.komoot.com/tour/2985172425,145.0,13.6,2.95,153.0,0.0,9.9,0.226,1.26,0.0,0.282,2.21,0.0,0.0,0.0
2023 Itzulia Basque Country Stage 6.gpx,https://www.komoot.com/tour/2985173872,93.9,37.2,5.74,135.0,0.0,2.42,0.0,0.0,0.215,0.324,1.08,0.0,0.0,0.0
2023 Jaen Paraiso Interior.gpx,https://www.komoot.com/tour/2985175544,67.5,56.5,8.6,124.0,40.9,4.99,2.19,2.19,43.6,5.77,0.0,0.0,0.81,0.0
2023 Japan Cup Cycle Road Race.gpx,https://www.komoot.com/tour/2985176771,133.0,27.1,0.0,107.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Japanese Road National Championship.gpx,https://www.komoot.com/tour/2985177986,0.0,0.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Juegos Panamericanos Santiago - ITT.gpx,https://www.komoot.com/tour/2985178993,25.9,7.42,0.0,32.4,0.0,7.75,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0
2023 Kampioenschap van Vlaanderen.gpx,https://www.komoot.com/tour/2985183012,60.0,4.75,15.8,85.0,0.0,81.4,0.0,0.0,0.0,0.0,85.9,0.0,0.0,0.0
2023 Kirikkale Road Race Stage 1.gpx,https://www.komoot.com/tour/2985184641,66.6,74.4,0.125,117.0,24.4,0.125,0.761,0.761,0.0,0.0,0.0,0.0,0.0,0.0
2023 Kirikkale Road Race Stage 2.gpx,https://www.komoot.com/tour/2985186313,114.0,46.7,0.968,142.0,18.1,0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Kreiz Breizh Elites Stage 1.gpx,https://www.komoot.com/tour/2985187435,10.5,0.0,0.847,5.89,0.0,5.86,0.0,0.0,0.0,0.0,0.434,0.0,0.0,0.0
2023 Kreiz Breizh Elites Stage 2.gpx,https://www.komoot.com/tour/2985189270,206.0,2.41,1.32,152.0,0.0,58.2,0.0,0.0,0.0,0.0,0.431,0.0,0.0,0.0
2023 Kreiz Breizh Elites Stage 3.gpx,https://www.komoot.com/tour/2985191210,154.0,1.75,11.3,180.0,0.0,5.13,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0
2023 Kreiz Breizh Elites Stage 4.gpx,https://www.komoot.com/tour/2985193342,173.0,0.142,15.6,149.0,0.0,40.6,0.0,0.0,0.0,0.0,0.484,0.0,0.0,0.0
2023 Kuurne - Bruxelles - Kuurne.gpx,https://www.komoot.com/tour/2985199933,82.7,14.3,23.0,126.0,0.0,59.9,0.423,0.567,0.0,5.86,61.8,0.0,0.0,0.0
2023 La Fleche Wallonne.gpx,https://www.komoot.com/tour/2985201736,152.0,30.4,8.22,189.0,0.0,4.78,0.0,0.0,0.0,0.196,2.93,0.0,0.0,0.0
