fichier_gpx,route_url,road_km,state_road_km,off-grid_(unknown)_km,street_km,asphalt_km,unknown_km,cycleway_km,access_road_km,paved_km,cobblestones_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km,alpine_km,alpine_path_km
2019 Amgen Tour of California Stage 2.gpx,https://www.komoot.com/tour/2971716728,117.0,67.1,1.33,0.72,191.0,1.45,8.27,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Amgen Tour of California Stage 3.gpx,https://www.komoot.com/tour/2971718821,174.0,2.2,0.0,0.0,200.0,0.0,31.6,0.0,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Amgen Tour of California Stage 4.gpx,https://www.komoot.com/tour/2971719278,2.72,189.0,7.19,4.15,198.0,7.55,1.07,0.0,8.0,0.0,0.0,0.252,0.252,0.0,0.0,0.0,0.0
2019 Amgen Tour of California Stage 5.gpx,https://www.komoot.com/tour/2971719813,91.0,96.5,0.0,4.67,211.0,0.0,25.9,0.0,7.15,0.0,0.512,0.0,0.0,0.0,0.0,0.0,0.0
2019 Amgen Tour of California Stage 6.gpx,https://www.komoot.com/tour/2971720334,113.0,0.0,0.229,1.04,65.3,0.229,13.1,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Amgen Tour of California Stage 7.gpx,https://www.komoot.com/tour/2971720785,60.5,42.9,0.0,0.799,111.0,0.0,21.3,0.0,14.1,0.0,0.359,0.0,0.0,0.0,0.0,0.0,0.0
2019 Amstel Gold Race.gpx,https://www.komoot.com/tour/2971721673,121.0,0.0,1.92,9.5,237.0,2.5,87.9,0.0,20.3,5.92,1.63,0.0,0.0,0.14,0.0,0.0,0.0
2019 Antwerp Port Epic - Sels Trophy.gpx,https://www.komoot.com/tour/2971723974,69.0,3.42,18.0,11.6,76.8,18.4,31.8,0.241,39.8,26.5,24.0,26.6,3.26,0.697,0.0,0.0,0.0
2019 Antwerpse Havenpijl.gpx,https://www.komoot.com/tour/2971724876,27.2,6.77,0.0,24.6,88.7,0.0,90.4,0.0,87.6,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Arctic Race of Norway Stage 1.gpx,https://www.komoot.com/tour/2971725525,27.1,146.0,2.23,6.6,176.0,2.23,0.351,0.0,3.05,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
2019 Arctic Race of Norway Stage 2.gpx,https://www.komoot.com/tour/2971726090,72.8,94.2,0.587,2.12,169.0,0.94,0.445,0.0,0.651,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0
2019 Arctic Race of Norway Stage 3.gpx,https://www.komoot.com/tour/2971726571,114.0,51.9,0.37,9.48,170.0,0.37,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Arctic Race of Norway Stage 4.gpx,https://www.komoot.com/tour/2971727170,38.1,113.0,0.0,14.2,154.0,0.0,0.285,0.104,13.1,0.0,0.978,0.0,0.0,0.0,0.0,0.0,0.0
2019 Arno Wallaard Memorial.gpx,https://www.komoot.com/tour/2971727722,149.0,0.536,1.05,4.36,155.0,1.19,12.9,0.0,26.1,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2971728181,40.7,0.0,0.0,0.0,0.106,0.0,0.0,0.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Australian Road National Championships.gpx,https://www.komoot.com/tour/2971728854,80.2,16.7,0.0,17.6,15.6,0.0,13.6,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Austrian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2971729320,9.04,17.7,0.0,0.717,28.4,0.0,1.27,0.0,0.593,0.0,0.321,0.0,0.0,0.0,0.0,0.0,0.0
2019 Austrian Road National Championships.gpx,https://www.komoot.com/tour/2971730027,83.9,104.0,2.55,1.04,183.0,2.97,7.03,0.133,14.3,0.0,0.953,1.83,2.02,0.0,0.0,0.0,0.0
2019 Baloise Belgium Tour Stage 1.gpx,https://www.komoot.com/tour/2971730848,36.5,0.291,1.23,16.4,101.0,2.71,103.0,0.0,71.7,8.82,0.912,0.272,0.12,0.732,0.0,0.0,0.0
2019 Baloise Belgium Tour Stage 2.gpx,https://www.komoot.com/tour/2971732930,65.3,2.33,0.578,29.1,101.0,1.28,64.9,0.63,63.0,14.3,0.405,0.0,0.0,0.0,0.0,0.0,0.0
2019 Baloise Belgium Tour Stage 3.gpx,https://www.komoot.com/tour/2971733471,1.12,0.0,0.0,4.2,2.82,0.0,3.79,0.0,4.38,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Baloise Belgium Tour Stage 4.gpx,https://www.komoot.com/tour/2971734039,122.0,24.6,0.0,3.18,150.0,0.0,2.31,0.0,1.75,0.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Baloise Belgium Tour Stage 5.gpx,https://www.komoot.com/tour/2971734615,36.4,2.24,2.27,23.6,108.0,2.45,83.0,0.0,42.9,5.01,0.402,0.256,0.116,0.0,0.0,0.0,0.0
2019 Baltyk - Karkonosze Tour Stage 1.gpx,https://www.komoot.com/tour/2971735320,154.0,1.45,0.259,6.42,165.0,0.632,5.72,0.115,1.2,2.78,2.7,0.296,0.0,0.316,0.0,0.0,0.0
2019 Baltyk - Karkonosze Tour Stage 2.gpx,https://www.komoot.com/tour/2971736025,108.0,4.17,0.0,3.58,113.0,0.0,0.708,0.0,4.3,0.279,1.58,0.171,0.0,0.0,0.0,0.0,0.0
2019 Baltyk - Karkonosze Tour Stage 3.gpx,https://www.komoot.com/tour/2971736808,118.0,10.7,1.91,0.772,129.0,1.91,0.0,0.0,0.106,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Baltyk - Karkonosze Tour Stage 4.gpx,https://www.komoot.com/tour/2971737463,8.37,0.0,0.0,2.82,7.22,0.0,0.0,0.0,4.25,0.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0
2019 Baltyk - Karkonosze Tour Stage 5.gpx,https://www.komoot.com/tour/2971738514,96.0,0.0,0.0,11.2,101.0,0.0,0.0,0.0,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Belgian Road National Championships.gpx,https://www.komoot.com/tour/2971739399,67.3,12.6,11.1,29.1,77.4,11.5,106.0,0.107,113.0,26.8,0.0,0.331,0.0,0.0,0.0,0.0,0.0
2019 Belgrade Banjaluka Stage 1.gpx,https://www.komoot.com/tour/2971740028,24.0,165.0,0.0,2.83,192.0,0.0,0.0,0.0,1.32,0.0,2.08,0.109,0.0,0.457,0.0,0.0,0.0
2019 Belgrade Banjaluka Stage 2.gpx,https://www.komoot.com/tour/2971740619,66.9,83.7,2.15,0.0,148.0,2.44,0.0,0.0,0.0,0.0,0.729,3.39,0.0,0.0,0.0,0.0,0.0
2019 Belgrade Banjaluka Stage 3.gpx,https://www.komoot.com/tour/2971741094,21.4,149.0,0.0,0.488,171.0,0.304,0.0,0.0,0.294,0.0,0.304,0.0,0.0,0.0,0.0,0.0,0.0
2019 Belgrade Banjaluka Stage 4.gpx,https://www.komoot.com/tour/2971742179,31.1,120.0,5.61,8.76,156.0,6.48,16.4,0.0,19.8,0.544,1.98,1.81,0.0,0.0,0.0,0.0,0.0
2019 Binche - Chimay - Binche (Memorial Frank Vandenbroucke).gpx,https://www.komoot.com/tour/2971743186,90.4,89.5,0.0,7.39,180.0,0.994,11.1,0.0,12.9,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 BinckBank Tour Stage 1.gpx,https://www.komoot.com/tour/2971743815,68.7,0.497,1.67,9.91,101.0,1.81,71.4,0.0,54.3,10.5,0.0,0.21,0.134,0.0,0.0,0.0,0.0
2019 BinckBank Tour Stage 2.gpx,https://www.komoot.com/tour/2971744396,53.1,1.6,0.118,9.21,99.7,0.53,88.2,0.0,65.3,2.53,1.81,0.258,0.0,0.0,0.0,0.0,0.0
2019 BinckBank Tour Stage 3.gpx,https://www.komoot.com/tour/2971744927,68.6,0.0,0.0,19.3,82.3,0.0,73.9,0.0,73.4,11.0,0.294,0.264,0.0,0.135,0.0,0.0,0.0
2019 BinckBank Tour Stage 4.gpx,https://www.komoot.com/tour/2971745494,78.4,8.93,0.647,8.28,89.2,0.647,0.0,0.0,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 BinckBank Tour Stage 5.gpx,https://www.komoot.com/tour/2971746196,51.4,1.03,0.353,2.77,110.0,0.939,87.9,0.0,62.9,8.74,4.15,4.09,0.137,0.0,0.0,0.0,0.0
2019 BinckBank Tour Stage 6.gpx,https://www.komoot.com/tour/2971746713,0.0,0.0,0.448,1.07,6.15,0.476,6.49,0.0,0.653,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 BinckBank Tour Stage 7.gpx,https://www.komoot.com/tour/2971747539,51.2,2.16,0.0,41.7,103.0,0.717,76.8,0.654,61.4,14.1,0.654,0.356,0.0,0.0,0.0,0.0,0.0
2019 Boucles de l'Aulne - Chateaulin.gpx,https://www.komoot.com/tour/2971748566,118.0,52.4,0.0,8.64,167.0,0.0,0.0,0.0,10.9,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Boucles de la Mayenne Prologue.gpx,https://www.komoot.com/tour/2971749368,2.04,0.0,0.0,1.47,4.57,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
