fichier_gpx,route_url,road_km,state_road_km,off-grid_(unknown)_km,street_km,asphalt_km,unknown_km,cycleway_km,access_road_km,paved_km,cobblestones_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km,alpine_km,alpine_path_km
2019 Colombian Road National Championships.gpx,https://www.komoot.com/tour/2971788257,15.4,99.1,0.497,0.646,115.0,0.497,0.0,0.0,0.31,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Coppa Agostoni - Giro delle Brianze.gpx,https://www.komoot.com/tour/2971788935,187.0,0.267,0.222,4.74,166.0,0.239,1.32,0.146,27.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
2019 Coppa Sabatini - Gran Premio citta di Peccioli.gpx,https://www.komoot.com/tour/2971789483,166.0,30.7,0.185,0.0,196.0,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 1.gpx,https://www.komoot.com/tour/2971789994,170.0,17.2,0.357,14.8,173.0,0.419,7.03,0.354,26.9,7.3,1.67,3.21,0.0,0.0,0.0,0.0,0.0
2019 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 2.gpx,https://www.komoot.com/tour/2971790574,128.0,1.63,0.917,7.98,131.0,1.21,1.34,0.0,8.44,0.6,1.67,0.974,0.0,0.0,0.0,0.0,0.0
2019 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 3.gpx,https://www.komoot.com/tour/2971791063,140.0,15.3,2.65,4.25,155.0,3.17,1.32,0.112,6.15,0.363,0.923,0.186,0.111,0.0,0.0,0.0,0.0
2019 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 4.gpx,https://www.komoot.com/tour/2971791706,90.2,36.3,2.68,19.1,151.0,3.04,17.7,0.0,2.6,8.9,2.88,2.13,0.0,0.0,0.0,0.0,0.0
2019 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 5.gpx,https://www.komoot.com/tour/2971792296,145.0,8.16,0.0,11.2,162.0,0.886,8.0,0.0,1.77,9.08,1.77,0.275,0.118,0.0,0.0,0.0,0.0
2019 Criterium du Dauphine Stage 1.gpx,https://www.komoot.com/tour/2971793010,103.0,30.6,0.0,1.79,142.0,0.0,6.48,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Criterium du Dauphine Stage 2.gpx,https://www.komoot.com/tour/2971793817,112.0,67.8,0.207,0.146,176.0,0.352,0.271,0.0,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Criterium du Dauphine Stage 3.gpx,https://www.komoot.com/tour/2971794517,109.0,64.8,0.0,0.282,176.0,0.0,2.98,0.0,0.374,0.0,0.0,0.378,0.0,0.0,0.0,0.0,0.0
2019 Criterium du Dauphine Stage 4.gpx,https://www.komoot.com/tour/2971795109,23.9,0.0,0.0,0.0,26.0,0.12,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Criterium du Dauphine Stage 5.gpx,https://www.komoot.com/tour/2971795858,165.0,28.1,0.48,0.696,199.0,0.249,5.97,0.0,0.663,0.0,0.498,0.0,0.0,0.0,0.0,0.0,0.0
2019 Criterium du Dauphine Stage 6.gpx,https://www.komoot.com/tour/2971796484,146.0,67.6,0.89,1.57,228.0,0.89,13.8,0.0,0.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Criterium du Dauphine Stage 7.gpx,https://www.komoot.com/tour/2971797075,128.0,0.633,0.313,1.28,131.0,0.313,2.62,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Criterium du Dauphine Stage 8.gpx,https://www.komoot.com/tour/2971797674,78.8,34.1,0.0,0.206,108.0,0.0,0.0,0.0,5.58,0.0,0.454,0.0,0.0,0.0,0.0,0.0,0.0
2019 Croatian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2971798248,24.3,0.0,0.0,1.18,24.3,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Croatian Road National Championships.gpx,https://www.komoot.com/tour/2971798803,102.0,0.0,1.65,0.946,102.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Czech Tour Stage 1.gpx,https://www.komoot.com/tour/2971799349,11.0,0.0,0.421,3.85,14.9,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Czech Tour Stage 2.gpx,https://www.komoot.com/tour/2971800157,151.0,42.8,0.433,16.0,201.0,0.884,0.553,0.0,7.37,0.919,0.661,1.75,0.0,0.0,0.0,0.0,0.0
2019 Czech Tour Stage 3.gpx,https://www.komoot.com/tour/2971800856,166.0,0.0,0.0,5.25,166.0,0.497,0.195,0.0,4.52,0.526,0.522,0.0,0.0,0.0,0.0,0.0,0.0
2019 Czech Tour Stage 4.gpx,https://www.komoot.com/tour/2971801538,104.0,43.3,0.0,15.8,172.0,1.4,3.68,0.0,3.72,2.2,9.5,0.0,0.0,0.0,0.0,0.0,0.0
2019 Danilith Nokere Koerse.gpx,https://www.komoot.com/tour/2971802124,97.7,4.05,1.38,16.6,113.0,1.38,72.0,0.0,67.8,15.7,0.32,0.545,0.226,0.0,0.0,0.0,0.0
2019 De Brabantse Pijl - La Fleche Brabanconne.gpx,https://www.komoot.com/tour/2971802859,77.9,4.59,1.16,29.2,116.0,1.45,81.4,0.0,77.7,5.02,1.18,0.0,0.0,0.0,0.0,0.0,0.0
2019 De Kustpijl.gpx,https://www.komoot.com/tour/2971803736,33.8,0.0,0.0,23.4,135.0,4.28,52.4,0.0,53.8,3.31,1.72,0.768,0.294,1.16,0.0,0.0,0.0
2019 Deutschland Tour Stage 1.gpx,https://www.komoot.com/tour/2971805283,122.0,10.1,0.0,1.5,159.0,0.111,6.62,0.0,4.26,2.65,1.01,0.547,0.434,0.0,0.0,0.0,0.0
2019 Deutschland Tour Stage 2.gpx,https://www.komoot.com/tour/2971807169,141.0,35.4,1.62,2.88,194.0,2.15,10.1,0.39,4.2,0.761,0.201,0.128,0.288,0.0,0.0,0.0,0.0
2019 Deutschland Tour Stage 3.gpx,https://www.komoot.com/tour/2971807946,119.0,59.7,0.0,2.65,186.0,0.0,5.24,0.0,2.27,0.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Deutschland Tour Stage 4.gpx,https://www.komoot.com/tour/2971808896,108.0,28.9,0.0,13.5,150.0,0.0,5.97,0.0,6.69,2.03,0.582,0.0,0.185,0.0,0.0,0.0,0.0
2019 Dominican Road National Championships - ITT.gpx,https://www.komoot.com/tour/2971809541,54.0,138.0,0.517,0.534,194.0,0.767,1.8,0.0,0.199,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0
2019 Driedaagse Brugge-De Panne.gpx,https://www.komoot.com/tour/2971810295,100.0,7.25,0.53,9.69,119.0,0.837,75.5,0.0,75.2,8.16,0.0,0.545,0.507,0.0,0.0,0.0,0.0
2019 Druivenkoers - Overijse.gpx,https://www.komoot.com/tour/2971811072,39.8,13.6,4.37,46.8,120.0,5.18,77.9,0.0,74.2,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Duo Normand.gpx,https://www.komoot.com/tour/2971811581,50.6,0.357,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Dwars door Vlaanderen - A travers la Flandre.gpx,https://www.komoot.com/tour/2971812267,54.1,8.13,3.39,10.5,110.0,3.7,95.2,0.0,61.1,6.1,1.59,0.481,0.102,1.21,0.0,0.0,0.0
2019 Dwars door het Hageland.gpx,https://www.komoot.com/tour/2971813024,38.6,1.19,1.18,27.5,69.1,1.7,71.5,0.282,91.6,7.38,36.9,11.9,1.4,24.9,0.0,0.0,0.0
2019 E3 Binckbank Classic.gpx,https://www.komoot.com/tour/2971813643,81.1,7.71,0.606,27.0,114.0,0.851,76.2,0.0,76.8,12.7,0.862,0.0,0.0,0.0,0.0,0.0,0.0
2019 Elfstedenronde.gpx,https://www.komoot.com/tour/2971814333,88.7,2.79,2.99,19.4,112.0,3.74,75.5,0.209,70.8,14.2,0.796,0.322,0.0,0.0,0.0,0.0,0.0
2019 Elite Road Central American Championships - ITT.gpx,https://www.komoot.com/tour/2971814869,30.3,0.0,0.0,0.0,0.113,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Elite Road Central American Championships.gpx,https://www.komoot.com/tour/2971816212,15.9,124.0,4.18,7.21,146.0,6.87,0.0,0.0,0.413,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0
2019 Entre Brenne et Montmorillonnais.gpx,https://www.komoot.com/tour/2971816776,177.0,8.08,0.0,0.0,167.0,0.0,0.0,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Eschborn-Frankfurt.gpx,https://www.komoot.com/tour/2971817769,120.0,13.5,9.82,4.76,169.0,9.9,30.6,0.489,6.42,3.16,2.08,0.18,1.21,0.249,0.0,0.0,0.0
2019 Etoile de Besseges Stage 1.gpx,https://www.komoot.com/tour/2971818406,103.0,37.7,0.762,3.15,141.0,1.51,0.0,0.0,2.92,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0
2019 Etoile de Besseges Stage 2.gpx,https://www.komoot.com/tour/2971818960,153.0,2.29,0.0,0.0,152.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Etoile de Besseges Stage 3.gpx,https://www.komoot.com/tour/2971819458,138.0,17.7,3.49,0.898,153.0,3.49,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Etoile de Besseges Stage 4.gpx,https://www.komoot.com/tour/2971819966,4.29,5.83,0.0,0.43,10.5,0.0,0.148,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 EuroEyes Cyclassics.gpx,https://www.komoot.com/tour/2971820942,113.0,8.6,7.72,10.4,162.0,8.55,72.7,0.0,45.9,6.88,2.75,1.32,0.996,0.47,0.0,0.0,0.0
2019 Fatih Sultan Mehmet Edirne Race.gpx,https://www.komoot.com/tour/2971821510,0.391,126.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.187,0.187,0.0,0.0,0.0,0.0,0.0,0.0
2019 Fatih Sultan Mehmet Kirklareli Race.gpx,https://www.komoot.com/tour/2971822147,4.05,125.0,1.15,1.27,126.0,1.15,0.0,0.0,0.516,0.0,0.0,0.923,0.0,3.16,0.0,0.0,0.0
2019 Faun Environnement - Classic de l'Ardeche Rhone Crussol.gpx,https://www.komoot.com/tour/2971823059,114.0,54.9,1.25,1.01,190.0,1.93,24.8,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Five Rings of Moscow Prologue.gpx,https://www.komoot.com/tour/2971823620,0.0,0.0,0.0,4.41,3.66,0.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Five Rings of Moscow Stage 2.gpx,https://www.komoot.com/tour/2971825533,9.95,0.0,0.0,0.782,137.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Five Rings of Moscow Stage 3.gpx,https://www.komoot.com/tour/2971826009,157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Five Rings of Moscow Stage 4.gpx,https://www.komoot.com/tour/2971826944,10.9,0.0,0.0,0.86,150.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Fleche Ardennaise.gpx,https://www.komoot.com/tour/2971828063,130.0,37.2,0.82,6.12,174.0,1.23,4.93,0.0,4.42,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.0
2019 Fleche du Sud Prologue.gpx,https://www.komoot.com/tour/2971829053,0.0,0.505,0.354,1.97,2.61,0.354,0.164,0.0,0.0,0.169,0.218,0.0,0.0,0.0,0.0,0.0,0.0
2019 Fleche du Sud Stage 1.gpx,https://www.komoot.com/tour/2971829693,65.7,80.6,0.0,2.19,157.0,0.0,7.41,0.0,0.118,0.325,1.41,0.0,0.0,0.0,0.0,0.0,0.0
2019 Fleche du Sud Stage 2.gpx,https://www.komoot.com/tour/2971830290,85.8,44.5,0.662,0.238,131.0,0.662,0.567,0.0,0.0,0.4,0.461,0.0,0.0,0.0,0.0,0.0,0.0
2019 Fleche du Sud Stage 3.gpx,https://www.komoot.com/tour/2971830972,105.0,45.9,1.63,1.22,156.0,1.63,5.16,0.0,0.0,0.451,0.196,0.119,0.0,0.0,0.0,0.0,0.0
2019 Fleche du Sud Stage 4.gpx,https://www.komoot.com/tour/2971831788,111.0,21.0,0.0,1.74,140.0,0.0,6.55,0.0,0.267,0.107,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2019 Fyen Rundt - Tour of Funen.gpx,https://www.komoot.com/tour/2971832540,148.0,0.0,0.0,8.64,175.0,0.746,35.2,0.0,24.6,0.984,0.791,1.28,0.13,0.0,0.0,0.0,0.0
2019 GP Beiras e Serra da Estrela Stage 1.gpx,https://www.komoot.com/tour/2971833520,91.5,60.0,0.0,4.1,149.0,0.288,0.0,0.0,5.79,0.58,0.288,0.0,0.0,0.0,0.0,0.0,0.0
2019 GP Beiras e Serra da Estrela Stage 2.gpx,https://www.komoot.com/tour/2971835124,50.7,139.0,1.18,3.56,177.0,1.33,2.7,0.0,15.9,3.38,0.752,0.0,0.0,0.0,0.0,0.0,0.0
2019 GP Beiras e Serra da Estrela Stage 3.gpx,https://www.komoot.com/tour/2971835742,83.0,88.0,0.185,0.772,145.0,0.221,1.11,0.0,25.1,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 GP Himmerland Rundt.gpx,https://www.komoot.com/tour/2971836469,156.0,12.1,0.0,2.96,165.0,0.186,26.9,0.0,23.5,4.03,1.08,6.81,0.0,0.0,0.0,0.0,0.0
2019 GP Industria & Artigianato.gpx,https://www.komoot.com/tour/2971837173,174.0,23.6,0.0,0.29,164.0,0.29,0.0,0.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 GP Kranj.gpx,https://www.komoot.com/tour/2971838344,1.19,18.1,0.0,59.0,120.0,2.31,45.4,0.0,25.7,5.55,22.7,0.0,0.883,0.0,0.0,0.0,0.0
2019 GP Slovenia Istria.gpx,https://www.komoot.com/tour/2971839225,72.1,72.2,0.0,2.1,150.0,0.817,7.3,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 GP Stad Zottegem.gpx,https://www.komoot.com/tour/2971839963,92.1,6.43,1.46,21.7,104.0,1.85,76.5,0.0,81.9,13.9,0.392,0.0,0.0,0.0,0.0,0.0,0.0
2019 Gemenc GP I.gpx,https://www.komoot.com/tour/2971840712,111.0,49.6,0.0,1.78,162.0,0.0,0.0,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Gemenc GP II.gpx,https://www.komoot.com/tour/2971841173,111.0,49.6,0.0,1.78,162.0,0.0,0.0,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Gent-Wevelgem in Flanders Fields.gpx,https://www.komoot.com/tour/2971842012,121.0,2.27,3.21,6.36,173.0,4.06,96.1,0.0,67.2,2.98,4.38,4.55,0.206,0.0,0.0,0.0,0.0
2019 Georgian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2971843010,50.7,134.0,6.98,6.05,39.0,8.3,0.0,0.0,151.0,0.0,0.435,0.0,0.0,0.0,0.0,0.0,0.0
2019 German Road National Championships - ITT.gpx,https://www.komoot.com/tour/2971844052,29.8,0.0,0.0,0.0,28.2,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 German Road National Championships.gpx,https://www.komoot.com/tour/2971845003,110.0,0.0,49.4,19.9,124.0,49.4,0.0,0.0,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 1.gpx,https://www.komoot.com/tour/2971845596,3.32,0.905,0.343,0.0,5.78,0.374,2.66,0.0,0.284,1.81,0.983,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 10.gpx,https://www.komoot.com/tour/2971846314,59.3,74.1,6.99,2.08,126.0,7.09,2.9,0.0,11.4,0.701,0.598,0.579,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 11.gpx,https://www.komoot.com/tour/2971847340,101.0,107.0,1.84,3.3,208.0,2.77,7.52,0.0,8.9,1.22,0.87,0.363,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 12.gpx,https://www.komoot.com/tour/2971847974,127.0,18.5,0.0,12.3,142.0,0.14,0.219,0.0,14.7,1.48,0.483,0.169,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 13.gpx,https://www.komoot.com/tour/2971848618,153.0,35.9,0.668,6.74,193.0,0.758,0.254,0.0,2.11,0.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 14.gpx,https://www.komoot.com/tour/2971849160,94.1,33.5,0.37,1.9,125.0,0.37,1.0,0.0,5.31,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 15.gpx,https://www.komoot.com/tour/2971850014,210.0,19.0,1.15,1.88,221.0,2.05,0.416,0.0,8.12,0.815,0.167,0.311,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 16.gpx,https://www.komoot.com/tour/2971850661,115.0,75.6,0.386,3.77,194.0,0.471,0.0,0.0,0.281,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 17.gpx,https://www.komoot.com/tour/2971851470,61.3,109.0,4.61,1.68,174.0,5.1,3.96,0.0,1.23,0.125,0.694,0.525,0.31,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 18.gpx,https://www.komoot.com/tour/2971852341,81.9,132.0,1.0,1.1,216.0,1.43,5.56,0.0,4.87,0.323,1.18,0.423,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 19.gpx,https://www.komoot.com/tour/2971852886,104.0,37.2,0.869,0.525,127.0,1.36,7.32,0.0,22.9,0.947,1.8,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 2.gpx,https://www.komoot.com/tour/2971853529,101.0,98.5,1.04,2.72,202.0,1.07,2.7,0.0,1.91,0.545,0.13,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 20.gpx,https://www.komoot.com/tour/2971854349,128.0,60.8,3.29,1.46,160.0,3.42,0.675,0.0,30.8,0.646,0.587,0.533,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 21.gpx,https://www.komoot.com/tour/2971854876,12.1,1.87,0.0,0.948,16.2,0.0,1.81,0.0,0.0,1.22,0.43,0.0,0.265,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 3.gpx,https://www.komoot.com/tour/2971857561,166.0,48.0,1.12,3.83,215.0,1.39,1.88,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 4.gpx,https://www.komoot.com/tour/2971858204,126.0,102.0,4.6,2.3,230.0,4.08,0.0,0.0,0.917,0.0,0.0,0.368,0.33,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 5.gpx,https://www.komoot.com/tour/2971858957,89.3,25.6,14.5,3.23,112.0,14.8,7.52,0.0,12.8,0.0,1.56,2.17,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 6.gpx,https://www.komoot.com/tour/2971859727,58.0,166.0,11.3,2.71,225.0,8.79,0.757,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 7.gpx,https://www.komoot.com/tour/2971860624,52.5,123.0,2.09,6.9,182.0,1.89,0.0,0.0,1.12,0.432,0.405,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 8.gpx,https://www.komoot.com/tour/2971861755,106.0,120.0,12.3,1.56,227.0,12.4,0.639,0.0,0.726,0.573,0.6,0.209,0.0,0.0,0.0,0.0,0.0
2019 Giro d'Italia Stage 9.gpx,https://www.komoot.com/tour/2971862391,32.7,0.0,0.416,0.886,33.4,0.416,0.711,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro del Medio Brenta.gpx,https://www.komoot.com/tour/2971863094,130.0,37.8,0.229,5.35,173.0,0.257,3.76,0.0,4.4,0.0,0.439,0.0,0.123,0.0,0.0,0.0,0.0
2019 Giro dell'Appennino.gpx,https://www.komoot.com/tour/2971863980,110.0,69.5,1.21,1.46,195.0,2.61,17.9,0.324,1.94,0.0,0.0,0.574,0.0,0.0,0.0,0.0,0.0
2019 Giro dell'Emilia.gpx,https://www.komoot.com/tour/2971864763,127.0,69.6,0.189,0.682,201.0,0.282,12.2,0.0,3.37,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro della Regione Friuli Venezia Giulia Stage 1.gpx,https://www.komoot.com/tour/2971865244,15.2,0.0,0.0,0.403,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro della Regione Friuli Venezia Giulia Stage 2.gpx,https://www.komoot.com/tour/2971865955,110.0,40.1,1.45,3.27,154.0,1.5,4.65,0.0,2.99,0.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro della Regione Friuli Venezia Giulia Stage 3.gpx,https://www.komoot.com/tour/2971866927,124.0,45.0,0.801,4.09,159.0,0.445,3.54,0.0,17.1,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro della Regione Friuli Venezia Giulia Stage 4.gpx,https://www.komoot.com/tour/2971867746,108.0,36.4,0.453,0.0,138.0,0.49,0.0,0.0,6.52,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro della Toscana - Memorial Alfredo Martini.gpx,https://www.komoot.com/tour/2971868631,172.0,27.6,1.03,1.81,196.0,1.36,2.98,0.0,8.68,0.0,0.331,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro di Sicilia - Tour of Sicily Stage 1.gpx,https://www.komoot.com/tour/2971869543,43.2,118.0,0.235,1.12,158.0,0.406,0.896,0.0,0.192,4.73,0.166,0.895,0.914,0.0,0.0,0.0,0.0
2019 Giro di Sicilia - Tour of Sicily Stage 2.gpx,https://www.komoot.com/tour/2971870415,139.0,96.7,0.0,0.0,234.0,0.0,0.0,0.0,1.08,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro di Sicilia - Tour of Sicily Stage 3.gpx,https://www.komoot.com/tour/2971871152,113.0,73.1,0.236,1.08,188.0,0.287,0.895,0.0,0.184,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Giro di Sicilia - Tour of Sicily Stage 4.gpx,https://www.komoot.com/tour/2971871846,79.8,42.9,2.73,2.09,123.0,2.92,0.621,0.0,1.36,1.29,0.188,0.0,0.103,0.0,0.0,0.0,0.0
2019 Gooikse Pijl.gpx,https://www.komoot.com/tour/2971872506,94.1,0.0,0.0,2.24,85.7,0.478,81.2,0.0,92.3,0.0,17.7,11.1,2.73,9.34,0.0,0.0,0.0
2019 Gp Adria Mobil.gpx,https://www.komoot.com/tour/2971873347,130.0,37.8,0.0,7.21,168.0,0.513,5.19,0.0,11.5,1.9,1.78,0.0,0.0,0.0,0.0,0.0,0.0
2019 Gran Piemonte.gpx,https://www.komoot.com/tour/2971874082,159.0,19.8,2.04,2.55,172.0,2.38,0.569,0.0,9.44,0.509,1.09,0.877,0.0,0.0,0.0,0.0,0.0
2019 Gran Premio Bruno Beghelli.gpx,https://www.komoot.com/tour/2971875001,175.0,15.9,0.702,4.12,195.0,1.06,3.56,0.0,2.97,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Gran Premio Citta di Lugano.gpx,https://www.komoot.com/tour/2971877012,152.0,0.102,0.0,22.1,166.0,0.0,6.78,0.0,14.8,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Gran Premio Guatemala.gpx,https://www.komoot.com/tour/2971877682,2.37,130.0,0.758,0.0,125.0,0.758,0.0,0.0,6.98,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
2019 Gran Premio Miguel Indurain.gpx,https://www.komoot.com/tour/2971878348,132.0,53.6,0.469,7.93,181.0,0.531,1.27,0.0,11.7,1.64,0.71,0.71,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Alanya.gpx,https://www.komoot.com/tour/2971879255,109.0,33.8,2.12,2.16,116.0,2.12,0.0,0.0,27.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Cerami.gpx,https://www.komoot.com/tour/2971879965,70.0,64.9,1.32,1.82,153.0,1.54,25.6,0.0,8.01,1.06,1.13,1.02,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Chantal Biya Stage 1.gpx,https://www.komoot.com/tour/2971880485,0.209,109.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Chantal Biya Stage 2.gpx,https://www.komoot.com/tour/2971880963,1.5,143.0,5.33,0.68,89.9,5.33,0.0,0.0,55.5,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Chantal Biya Stage 3.gpx,https://www.komoot.com/tour/2971881393,26.6,67.0,23.0,0.348,43.0,23.0,0.0,0.0,42.0,0.0,0.0,9.53,0.485,0.0,0.0,0.0,0.0
2019 Grand Prix Chantal Biya Stage 4.gpx,https://www.komoot.com/tour/2971882078,0.605,166.0,0.251,0.0,135.0,0.251,0.0,0.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Criquielion.gpx,https://www.komoot.com/tour/2971882776,139.0,0.0,1.43,9.01,154.0,1.43,46.0,0.0,28.8,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Cycliste la Marseillaise.gpx,https://www.komoot.com/tour/2971886147,104.0,33.9,0.0,0.849,138.0,0.0,0.888,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Doliny Baryczy Zmigrod - XXIX Memorial Grundmanna i Wizowskiego.gpx,https://www.komoot.com/tour/2971886864,152.0,0.0,0.0,6.04,148.0,0.0,0.0,0.0,8.78,0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Erciyes.gpx,https://www.komoot.com/tour/2971887584,122.0,21.9,0.132,0.335,144.0,0.132,0.0,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Gazipasa.gpx,https://www.komoot.com/tour/2971888179,65.1,92.8,0.0,0.0,157.0,0.0,0.0,0.0,0.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Justiniano Hotels.gpx,https://www.komoot.com/tour/2971888941,62.6,94.5,0.322,0.258,157.0,0.415,1.63,0.0,0.328,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Grand Prix Velo Alanya.gpx,https://www.komoot.com/tour/2971893305,77.7,27.2,1.45,1.59,85.2,1.72,5.13,0.0,19.7,8.34,1.84,0.0,0.0,0.0,0.0,0.0,0.0
