jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km
5,1,2017,result,nc-australia-itt,NC,2017 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969352015,40.8,,,,,,,40.8,,,,,,,,,,,40.79,423.0,426.0,440.0,324.0,1.0,0.0,0.0,0.0,0.0,0.9974,0.0,0.0,0.0,0.0,2.0,1.47,1.24,306.0
6,1,2017,result,nc-new-zealand-itt,NC,2017 New Zealand Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969526992,38.0,,,2.06,,,16.3,23.8,,,,,,,,,,,40.4,342.0,346.0,78.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.63,-0.22,178.0
8,1,2017,result,nc-australia,NC,2017 Australian Road National Championships.gpx,https://www.komoot.com/tour/2969352765,144.0,,27.3,12.1,,,25.5,158.0,,,,,,,,,,,183.8,2964.0,2960.0,597.0,440.0,18.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,-4.5,-2.83,-2.64,338.0
8,1,2017,result,nc-new-zealand,NC,2017 New Zealand Road National Championships.gpx,https://www.komoot.com/tour/2969527873,106.0,6.01,32.9,16.3,,,98.2,62.8,,,,,,,,,,,161.28,1937.0,1945.0,210.0,0.0,2.0,2.0,0.0,0.0,0.0,0.2077,0.2077,0.0,0.0,0.0,-0.3,0.4,0.2,123.0
17,1,2017,stage_1,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 1.gpx,https://www.komoot.com/tour/2969570889,56.0,0.122,70.9,11.6,5.96,,129.0,9.42,,6.22,0.611,0.354,,,,,,,144.9,1275.0,1127.0,508.0,1.0,4.0,1.0,1.0,0.0,0.0,0.9642,0.3527,0.3527,0.0,0.0,-0.9,-1.2,-1.22,197.0
18,1,2017,stage_2,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 2.gpx,https://www.komoot.com/tour/2969571563,89.8,2.02,54.3,2.08,,,85.4,63.0,,0.0,0.123,,,,,,,,148.29,2498.0,2574.0,565.0,99.0,7.0,6.0,0.0,0.0,0.0,0.9992,0.9992,0.0,0.0,0.0,6.7,3.27,2.58,315.0
19,1,2017,stage_3,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 3.gpx,https://www.komoot.com/tour/2969572584,46.1,5.94,68.1,5.83,17.2,,113.0,12.7,,15.2,0.753,0.322,0.322,,,,,,143.64,1290.0,1382.0,241.0,4.0,3.0,1.0,0.0,0.0,0.0,0.3521,0.2045,0.0,0.0,0.0,-0.2,-0.1,-1.24,118.0
20,1,2017,stage_4,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 4.gpx,https://www.komoot.com/tour/2969573787,51.8,1.45,90.7,6.16,,,132.0,19.4,,,0.85,,,,,,,,151.03,1794.0,1738.0,526.0,60.0,6.0,2.0,1.0,0.0,0.0,0.7134,0.632,0.632,0.0,0.0,0.3,0.43,-0.08,54.0
21,1,2017,stage_5,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 5.gpx,https://www.komoot.com/tour/2969574421,115.0,8.0,23.5,3.89,1.09,,141.0,9.29,,1.09,,,,,,,,,151.46,1279.0,978.0,380.0,8.0,4.0,2.0,1.0,0.0,0.0,0.9987,0.9987,0.8032,0.0,0.0,6.5,7.37,5.94,345.0
22,1,2017,stage_6,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 6.gpx,https://www.komoot.com/tour/2969575758,65.4,10.6,,11.0,,,86.2,1.34,0.499,0.0,1.02,0.294,0.294,,,,,,89.9,616.0,620.0,44.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-0.6,-0.1,62.0
23,1,2017,stage_1,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 1.gpx,https://www.komoot.com/tour/2969772796,46.8,1.44,92.9,,5.6,,127.0,13.3,,5.6,,0.377,,,,,,,146.49,153.0,159.0,636.0,550.0,1.0,0.0,0.0,0.0,0.0,0.9986,0.0,0.0,0.0,0.0,0.8,0.47,0.38,78.0
24,1,2017,stage_2,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 2.gpx,https://www.komoot.com/tour/2969773374,42.7,1.02,67.0,16.8,6.57,,119.0,8.81,0.0,6.83,3.2,3.36,0.28,,,,,,137.41,759.0,810.0,879.0,637.0,2.0,2.0,0.0,0.0,0.0,0.7651,0.7651,0.0,0.0,0.0,-1.0,-0.77,-0.7,14.0
25,1,2017,stage_3,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 3.gpx,https://www.komoot.com/tour/2969773893,11.5,,0.0,,,,11.3,0.255,,,,,,,,,,,11.62,39.0,37.0,665.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.4,0.06,39.0
26,1,2017,stage_4,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 4.gpx,https://www.komoot.com/tour/2969774309,104.0,28.9,31.8,,,,110.0,54.4,,,,,,,,,,,164.63,273.0,274.0,662.0,577.0,1.0,0.0,0.0,0.0,0.0,0.3562,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.08,58.0
26,1,2017,result,trofeo-ses-salines-felanitx,1.1,2017 Trofeo Porreres-Felanitx-Ses Salines-Campos.gpx,https://www.komoot.com/tour/2969728975,123.0,4.1,18.6,15.0,,,151.0,9.69,0.295,,,,,,,,,,161.31,855.0,944.0,172.0,0.0,2.0,1.0,0.0,0.0,0.0,0.6986,0.6986,0.0,0.0,0.0,0.8,0.43,0.38,58.0
27,1,2017,stage_5,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 5.gpx,https://www.komoot.com/tour/2969774907,90.8,0.203,70.1,1.43,0.229,,143.0,19.0,0.145,0.229,0.0,,,,,,,,162.5,2490.0,511.0,2624.0,624.0,3.0,2.0,1.0,1.0,1.0,0.9993,0.9993,0.9993,0.9993,0.9993,5.7,5.27,5.12,1014.0
27,1,2017,result,deia-trophy,1.1,2017 Trofeo Serra de Tramuntana.gpx,https://www.komoot.com/tour/2969729559,149.0,0.347,2.31,2.67,,,154.0,,,,,,,,,,,,154.08,3228.0,3078.0,880.0,9.0,7.0,5.0,4.0,1.0,1.0,0.9704,0.9704,0.8123,0.8123,0.8123,3.8,1.2,-0.92,252.0
28,1,2017,stage_6,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 6.gpx,https://www.komoot.com/tour/2969775575,64.2,22.3,92.3,0.0,1.45,,136.0,38.4,,1.45,,4.63,,,,,,,180.16,490.0,499.0,829.0,569.0,1.0,1.0,0.0,0.0,0.0,0.3506,0.3506,0.0,0.0,0.0,0.2,0.03,0.2,92.0
28,1,2017,result,trofeo-pollenca-port-d-andratx,1.1,2017 Trofeo Andratx-Mirador des Colomer.gpx,https://www.komoot.com/tour/2969725897,142.0,3.65,4.53,8.33,,,157.0,1.04,,0.222,0.0,0.0,,,,,,,158.6,3293.0,3186.0,888.0,0.0,10.0,5.0,2.0,1.0,1.0,0.9998,0.9998,0.7317,0.7317,0.7317,7.2,6.27,3.96,213.0
29,1,2017,result,gp-d-ouverture,1.1,2017 Grand Prix Cycliste la Marseillaise.gpx,https://www.komoot.com/tour/2969494282,104.0,0.849,39.9,0.973,,,144.0,1.94,,,,,,,,,,,146.39,2641.0,2785.0,730.0,10.0,8.0,7.0,3.0,0.0,0.0,0.9409,0.9409,0.816,0.0,0.0,-0.7,-1.27,-1.68,0.0
29,1,2017,result,trofeo-palma,1.1,2017 Trofeo Palma.gpx,https://www.komoot.com/tour/2969728431,71.4,1.85,79.7,7.94,1.01,,152.0,8.59,0.0,1.14,0.461,,,0.297,,,,,162.08,1240.0,1247.0,378.0,0.0,3.0,2.0,1.0,0.0,0.0,0.7549,0.7549,0.7549,0.0,0.0,0.4,0.0,-0.08,44.0
29,1,2017,result,great-ocean-road-race,1.UWT,2017 Cadel Evans Great Ocean Road Race.gpx,https://www.komoot.com/tour/2969384389,75.5,0.683,8.41,28.8,,,90.0,23.4,,0.0,0.0,0.0,0.0,,,,,,113.32,762.0,762.0,174.0,1.0,2.0,1.0,0.0,0.0,0.0,0.7414,0.6898,0.0,0.0,0.0,-1.0,-0.87,-1.18,106.0
29,1,2017,stage_7,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 7.gpx,https://www.komoot.com/tour/2969776203,20.7,0.0,,,120.0,,20.8,1.91,,117.0,6.23,,,,,,,,140.01,413.0,441.0,663.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.03,0.04,61.0
