jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,fichier_pcs,score,statut
5,1,2017,result,nc-australia-itt,NC,2017 Australian Road National Championships - ITT.gpx,05_January_2017__result__nc-australia-itt_2017__NC.csv,74.0,match
6,1,2017,result,nc-new-zealand-itt,NC,2017 New Zealand Road National Championships - ITT.gpx,06_January_2017__result__nc-new-zealand-itt_2017__NC.csv,80.0,match
8,1,2017,result,nc-australia,NC,2017 Australian Road National Championships.gpx,08_January_2017__result__nc-australia_2017__NC.csv,86.0,match
8,1,2017,result,nc-new-zealand,NC,2017 New Zealand Road National Championships.gpx,08_January_2017__result__nc-new-zealand_2017__NC.csv,88.0,match
13,1,2017,stage_1,vuelta-al-tachira,2.2,,13_January_2017__stage_1__vuelta-al-tachira_2017__2.2.csv,,pcs_only
14,1,2017,stage_2,vuelta-al-tachira,2.2,,14_January_2017__stage_2__vuelta-al-tachira_2017__2.2.csv,,pcs_only
15,1,2017,stage_3,vuelta-al-tachira,2.2,,15_January_2017__stage_3__vuelta-al-tachira_2017__2.2.csv,,pcs_only
16,1,2017,stage_4,vuelta-al-tachira,2.2,,16_January_2017__stage_4__vuelta-al-tachira_2017__2.2.csv,,pcs_only
17,1,2017,stage_1,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 1.gpx,17_January_2017__stage_1__tour-down-under_2017__2.UWT.csv,100.0,match
17,1,2017,stage_5,vuelta-al-tachira,2.2,,17_January_2017__stage_5__vuelta-al-tachira_2017__2.2.csv,,pcs_only
18,1,2017,stage_2,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 2.gpx,18_January_2017__stage_2__tour-down-under_2017__2.UWT.csv,100.0,match
18,1,2017,stage_6,vuelta-al-tachira,2.2,,18_January_2017__stage_6__vuelta-al-tachira_2017__2.2.csv,,pcs_only
19,1,2017,stage_3,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 3.gpx,19_January_2017__stage_3__tour-down-under_2017__2.UWT.csv,100.0,match
19,1,2017,stage_7,vuelta-al-tachira,2.2,,19_January_2017__stage_7__vuelta-al-tachira_2017__2.2.csv,,pcs_only
20,1,2017,stage_4,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 4.gpx,20_January_2017__stage_4__tour-down-under_2017__2.UWT.csv,100.0,match
20,1,2017,stage_8,vuelta-al-tachira,2.2,,20_January_2017__stage_8__vuelta-al-tachira_2017__2.2.csv,,pcs_only
21,1,2017,stage_5,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 5.gpx,21_January_2017__stage_5__tour-down-under_2017__2.UWT.csv,100.0,match
21,1,2017,stage_9,vuelta-al-tachira,2.2,,21_January_2017__stage_9__vuelta-al-tachira_2017__2.2.csv,,pcs_only
22,1,2017,stage_6,tour-down-under,2.UWT,2017 Santos Tour Down Under Stage 6.gpx,22_January_2017__stage_6__tour-down-under_2017__2.UWT.csv,100.0,match
22,1,2017,stage_1,new-zealand-cycle-classic,2.2,,22_January_2017__stage_1__new-zealand-cycle-classic_2017__2.2.csv,,pcs_only
22,1,2017,stage_10,vuelta-al-tachira,2.2,,22_January_2017__stage_10__vuelta-al-tachira_2017__2.2.csv,,pcs_only
23,1,2017,stage_1,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 1.gpx,23_January_2017__stage_1__vuelta-ciclista-a-la-provincia-de-san-juan_2017__2.1.csv,100.0,match
23,1,2017,stage_2,new-zealand-cycle-classic,2.2,,23_January_2017__stage_2__new-zealand-cycle-classic_2017__2.2.csv,,pcs_only
24,1,2017,stage_2,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 2.gpx,24_January_2017__stage_2__vuelta-ciclista-a-la-provincia-de-san-juan_2017__2.1.csv,100.0,match
24,1,2017,stage_3,new-zealand-cycle-classic,2.2,,24_January_2017__stage_3__new-zealand-cycle-classic_2017__2.2.csv,,pcs_only
