fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,access_road_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unknown_km,unpaved_km,off-grid_(unknown)_km,compacted_gravel_km,alpine_km
2021 Donostia San Sebastian Klasikoa.gpx,https://www.komoot.com/tour/2973503556,136.0,69.7,9.89,5.83,0.0,1.01,0.0,215.0,1.32,0.957,1.23,3.94,0.4,0.0,0.0
2021 Dookola Mazowsza Stage 1.gpx,https://www.komoot.com/tour/2973504719,150.0,0.0,0.0,18.8,0.0,0.0,0.0,150.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0
2021 Dookola Mazowsza Stage 2.gpx,https://www.komoot.com/tour/2973505774,169.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,36.6,0.0,0.0,0.0,0.0,0.0,0.0
2021 Dookola Mazowsza Stage 3.gpx,https://www.komoot.com/tour/2973506965,161.0,0.0,5.79,0.0,0.0,0.0,0.0,164.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0
2021 Dookola Mazowsza Stage 4.gpx,https://www.komoot.com/tour/2973507931,85.0,68.0,11.4,0.0,0.0,0.198,0.191,149.0,15.2,0.198,0.732,0.191,0.732,0.0,0.0
2021 Druivenkoers - Overijse.gpx,https://www.komoot.com/tour/2973509103,84.6,1.52,15.4,82.0,0.0,0.0,0.0,86.6,98.4,7.5,0.0,0.0,0.0,0.0,0.0
2021 Dwars door Vlaanderen - A travers la Flandre.gpx,https://www.komoot.com/tour/2973510493,76.3,2.0,14.6,72.6,0.0,0.0,0.0,114.0,59.8,7.2,2.91,0.0,2.7,0.0,0.0
2021 Dwars door het Hageland.gpx,https://www.komoot.com/tour/2973511888,30.4,1.04,19.2,66.9,0.0,37.5,0.106,61.2,75.0,3.31,0.998,10.2,0.812,26.5,0.0
2021 E3 Saxo Bank Classic.gpx,https://www.komoot.com/tour/2973513046,86.1,11.6,25.9,68.2,0.0,0.119,0.0,120.0,68.7,14.8,0.516,0.0,0.439,0.0,0.0
2021 Elfstedenronde.gpx,https://www.komoot.com/tour/2973514121,92.9,3.85,18.5,63.1,0.184,0.709,0.0,105.0,70.1,16.8,0.802,0.322,0.0,0.0,0.0
2021 Elite Road Central American Championships - ITT.gpx,https://www.komoot.com/tour/2973515022,0.0,39.0,0.0,0.0,0.0,0.373,0.0,39.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0
2021 Eschborn-Frankfurt.gpx,https://www.komoot.com/tour/2973518876,119.0,13.5,4.76,30.6,0.489,2.08,1.21,168.0,6.42,3.16,9.9,0.18,9.82,0.249,0.0
2021 Ethias Tour de Wallonie Stage 1.gpx,https://www.komoot.com/tour/2973519984,130.0,36.3,0.936,13.0,0.0,0.0,0.0,172.0,9.2,0.605,0.252,0.0,0.0,0.0,0.0
2021 Ethias Tour de Wallonie Stage 2.gpx,https://www.komoot.com/tour/2973521160,0.0,0.0,14.1,7.3,0.0,1.49,28.6,2.45,7.3,0.0,81.8,30.1,70.2,0.0,0.0
2021 Ethias Tour de Wallonie Stage 3.gpx,https://www.komoot.com/tour/2973522877,114.0,47.7,1.49,8.51,0.0,0.0,0.0,152.0,19.1,0.525,0.0,0.0,0.0,0.0,0.0
2021 Ethias Tour de Wallonie Stage 4.gpx,https://www.komoot.com/tour/2973524158,176.0,11.4,6.5,9.87,0.0,0.459,0.0,187.0,14.6,2.14,0.541,0.409,0.491,0.0,0.0
2021 Ethias Tour de Wallonie Stage 5.gpx,https://www.komoot.com/tour/2973525283,90.2,76.7,6.62,14.1,0.0,0.0,0.0,171.0,14.7,1.38,1.79,0.0,1.79,0.0,0.0
2021 Etoile de Besseges - Tour du Gard Stage 1.gpx,https://www.komoot.com/tour/2973526355,104.0,35.6,2.91,0.399,0.0,0.537,0.0,142.0,0.578,0.0,1.1,0.0,0.568,0.0,0.0
2021 Etoile de Besseges - Tour du Gard Stage 2.gpx,https://www.komoot.com/tour/2973527208,148.0,4.63,1.29,0.0,0.0,0.0,0.0,148.0,5.89,0.0,0.0,0.0,0.0,0.0,0.0
2021 Etoile de Besseges - Tour du Gard Stage 3.gpx,https://www.komoot.com/tour/2973528279,142.0,8.9,1.62,0.0,0.0,0.0,0.0,151.0,1.65,0.0,2.35,0.0,2.09,0.0,0.0
2021 Etoile de Besseges - Tour du Gard Stage 4.gpx,https://www.komoot.com/tour/2973529217,129.0,19.4,0.635,1.96,0.0,1.16,0.0,144.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0
2021 Etoile de Besseges - Tour du Gard Stage 5.gpx,https://www.komoot.com/tour/2973530212,4.4,5.49,0.479,0.148,0.0,0.0,0.0,10.3,0.159,0.0,0.251,0.0,0.251,0.0,0.0
2021 Faun-Ardeche Classic.gpx,https://www.komoot.com/tour/2973531418,125.0,31.6,0.0,13.4,0.0,0.141,0.0,160.0,10.1,0.0,0.144,0.0,0.464,0.0,0.0
2021 Five Rings of Moscow Prologue.gpx,https://www.komoot.com/tour/2973532396,0.0,0.0,4.41,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.752,0.0,0.0,0.0,0.0
2021 Five Rings of Moscow Stage 1.gpx,https://www.komoot.com/tour/2973533550,10.9,0.0,0.86,139.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Five Rings of Moscow Stage 2.gpx,https://www.komoot.com/tour/2973534700,9.95,0.0,0.782,126.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Five Rings of Moscow Stage 3.gpx,https://www.komoot.com/tour/2973535486,157.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Fyn Rundt - Tour of Funen.gpx,https://www.komoot.com/tour/2973538929,155.0,1.81,3.39,38.0,0.0,0.0,0.0,190.0,15.4,0.674,0.229,0.0,0.0,0.0,0.0
2021 GP Adria Mobil.gpx,https://www.komoot.com/tour/2973540166,129.0,36.9,7.78,4.98,0.0,1.72,0.0,167.0,11.2,1.57,0.284,0.0,0.0,0.0,0.0
2021 GP Himmerland Rundt.gpx,https://www.komoot.com/tour/2973541352,156.0,12.1,2.96,26.9,0.0,1.08,0.0,165.0,23.5,4.03,0.186,6.81,0.0,0.0,0.0
2021 GP Industria & Artigianato.gpx,https://www.komoot.com/tour/2973542282,169.0,18.1,4.06,0.0,0.0,0.0,0.0,162.0,29.6,0.0,0.29,0.0,0.0,0.0,0.0
2021 GP Kranj.gpx,https://www.komoot.com/tour/2973544654,1.19,18.1,59.0,45.4,0.0,22.7,0.883,120.0,25.7,5.55,2.31,0.0,0.0,0.0,0.0
2021 GP Slovenia.gpx,https://www.komoot.com/tour/2973545742,137.0,5.01,19.6,9.66,0.0,0.93,0.0,151.0,20.6,0.93,0.0,0.0,0.0,0.0,0.0
2021 GP Slovenian Istria.gpx,https://www.komoot.com/tour/2973547029,72.2,72.2,2.1,7.3,0.0,0.0,0.0,150.0,3.08,0.0,0.817,0.0,0.0,0.0,0.0
2021 GP Torres Vedras - Trofeu Joaquim Agostinho Stage 1.gpx,https://www.komoot.com/tour/2973548078,61.8,20.2,2.46,0.406,0.0,0.393,0.0,77.0,7.11,0.302,0.53,0.316,0.0,0.0,0.0
2021 GP Torres Vedras - Trofeu Joaquim Agostinho Stage 2.gpx,https://www.komoot.com/tour/2973549198,109.0,58.5,0.149,0.0,0.0,0.0,0.0,167.0,0.669,0.149,0.186,0.0,0.398,0.0,0.0
2021 GP Torres Vedras - Trofeu Joaquim Agostinho Stage 3.gpx,https://www.komoot.com/tour/2973550209,82.7,90.5,8.29,4.11,0.0,0.0,0.0,175.0,10.1,0.609,0.0,0.0,0.0,0.0,0.0
2021 Gent-Wevelgem in Flanders Fields.gpx,https://www.komoot.com/tour/2973551224,119.0,5.91,3.95,105.0,0.0,4.13,0.0,163.0,75.9,5.02,2.92,4.15,2.46,0.0,0.0
2021 German Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973552134,24.5,0.0,2.75,0.206,0.0,2.78,0.0,28.1,1.87,0.0,0.236,0.0,0.184,0.163,0.0
2021 German Road National Championships.gpx,https://www.komoot.com/tour/2973554021,165.0,0.0,21.1,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Germenica Grand Prix Road Race.gpx,https://www.komoot.com/tour/2973555491,23.3,126.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,3.11,0.0,4.22,0.0,0.0
2021 Giro Ciclistico d'Italia Stage 1.gpx,https://www.komoot.com/tour/2973556648,133.0,3.15,0.446,5.5,0.0,0.0,0.0,129.0,12.8,0.0,0.377,0.0,0.229,0.0,0.0
2021 Giro Ciclistico d'Italia Stage 10.gpx,https://www.komoot.com/tour/2973557919,117.0,27.6,7.21,9.09,0.0,0.23,0.0,149.0,10.3,1.78,1.11,0.0,0.914,0.0,0.0
2021 Giro Ciclistico d'Italia Stage 2.gpx,https://www.komoot.com/tour/2973559142,111.0,20.5,1.74,4.73,0.0,0.208,0.0,134.0,3.43,0.0,0.197,0.0,0.0,0.0,0.0
2021 Giro Ciclistico d'Italia Stage 3.gpx,https://www.komoot.com/tour/2973560092,120.0,10.8,1.24,1.14,0.0,0.0,0.0,132.0,0.106,0.227,0.105,0.0,0.0,0.0,0.0
2021 Giro Ciclistico d'Italia Stage 4.gpx,https://www.komoot.com/tour/2973560848,15.7,0.0,3.59,6.08,0.0,0.0,0.0,23.4,1.0,0.896,0.0,0.0,0.0,0.0,0.0
2021 Giro Ciclistico d'Italia Stage 5.gpx,https://www.komoot.com/tour/2973561866,116.0,24.4,1.76,0.0,0.0,0.48,0.0,132.0,9.16,0.48,0.27,0.0,0.27,0.0,0.0
2021 Giro Ciclistico d'Italia Stage 6.gpx,https://www.komoot.com/tour/2973563091,92.2,66.2,3.41,0.578,0.0,1.79,0.0,152.0,9.93,0.324,13.7,2.12,13.6,0.0,0.0
2021 Giro Ciclistico d'Italia Stage 7.gpx,https://www.komoot.com/tour/2973564065,114.0,0.491,4.66,0.121,0.0,0.0,0.0,107.0,11.6,0.73,0.526,0.0,0.526,0.0,0.0
2021 Giro Ciclistico d'Italia Stage 8.gpx,https://www.komoot.com/tour/2973565056,6.33,109.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Giro Ciclistico d'Italia Stage 9.gpx,https://www.komoot.com/tour/2973565997,89.3,74.5,1.39,1.92,0.0,0.241,0.23,159.0,7.94,0.798,0.121,0.0,0.0,0.0,0.0
2021 Giro d'Italia Stage 1.gpx,https://www.komoot.com/tour/2973566824,5.13,0.357,0.441,0.208,0.0,1.38,0.0,7.41,0.0,0.0,0.782,0.0,0.769,0.0,0.0
2021 Giro d'Italia Stage 10.gpx,https://www.komoot.com/tour/2973567899,43.2,90.5,0.566,0.764,0.0,0.0,0.0,134.0,1.32,0.0,4.91,0.0,5.12,0.0,0.0
2021 Giro d'Italia Stage 11.gpx,https://www.komoot.com/tour/2973568997,77.7,61.4,16.3,0.0,0.0,7.17,0.0,130.0,0.0,0.713,0.244,21.7,0.244,10.1,0.0
2021 Giro d'Italia Stage 12.gpx,https://www.komoot.com/tour/2973570111,76.2,136.0,0.0,0.273,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Giro d'Italia Stage 13.gpx,https://www.komoot.com/tour/2973571383,66.3,127.0,2.67,2.09,0.143,0.426,0.0,196.0,2.72,0.0,0.42,0.0,0.0,0.0,0.0
2021 Giro d'Italia Stage 14.gpx,https://www.komoot.com/tour/2973572539,134.0,65.6,1.68,4.23,0.0,0.184,0.0,198.0,7.76,0.4,0.63,0.0,0.63,0.0,0.0
2021 Giro d'Italia Stage 15.gpx,https://www.komoot.com/tour/2973573712,117.0,21.2,2.47,2.56,0.0,0.418,0.0,136.0,9.35,0.868,0.606,0.165,0.606,0.0,0.0
2021 Giro d'Italia Stage 16.gpx,https://www.komoot.com/tour/2973574739,90.2,61.5,0.211,0.786,0.0,0.388,0.149,152.0,0.719,0.432,0.0,0.0,0.0,0.0,0.0
2021 Giro d'Italia Stage 17.gpx,https://www.komoot.com/tour/2973576042,166.0,24.2,0.0,2.88,0.0,0.323,0.0,192.0,0.0,0.519,1.01,0.0,1.01,0.0,0.0
2021 Giro d'Italia Stage 18.gpx,https://www.komoot.com/tour/2973577498,96.1,124.0,4.96,5.68,0.0,0.529,0.0,226.0,4.35,1.35,0.0,0.0,0.0,0.0,0.0
2021 Giro d'Italia Stage 19.gpx,https://www.komoot.com/tour/2973578659,81.3,79.9,1.59,3.27,0.0,0.0,0.0,163.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0
2021 Giro d'Italia Stage 2.gpx,https://www.komoot.com/tour/2973579916,96.2,80.5,1.29,0.438,0.0,0.0,0.0,174.0,3.24,0.907,0.653,0.0,0.653,0.0,0.0
2021 Giro d'Italia Stage 20.gpx,https://www.komoot.com/tour/2973581244,39.5,109.0,2.55,9.87,0.0,0.216,0.0,159.0,0.771,1.6,3.23,0.0,3.13,0.0,0.0
2021 Giro d'Italia Stage 21.gpx,https://www.komoot.com/tour/2973582545,18.7,1.77,2.72,6.16,0.0,0.508,0.0,28.5,0.796,0.542,0.552,0.0,0.435,0.0,0.0
2021 Giro d'Italia Stage 3.gpx,https://www.komoot.com/tour/2973584055,103.0,77.2,1.87,8.91,0.0,0.0,0.0,180.0,8.78,0.216,0.275,1.13,0.196,0.0,0.0
2021 Giro d'Italia Stage 4.gpx,https://www.komoot.com/tour/2973585555,119.0,63.0,3.52,0.966,0.0,0.0,0.0,177.0,9.38,0.0,1.05,0.0,1.05,0.0,0.0
2021 Giro d'Italia Stage 5.gpx,https://www.komoot.com/tour/2973587483,36.3,113.0,5.41,17.2,0.0,2.13,0.124,169.0,3.15,1.81,3.12,0.0,2.45,0.13,0.0
2021 Giro d'Italia Stage 6.gpx,https://www.komoot.com/tour/2973588461,90.5,67.5,1.46,0.11,0.0,0.18,0.0,159.0,0.429,0.207,0.997,0.0,1.24,0.0,0.0
2021 Giro d'Italia Stage 7.gpx,https://www.komoot.com/tour/2973590090,82.5,91.1,5.74,0.744,0.0,0.0,0.0,180.0,0.415,0.0,2.16,0.0,2.12,0.0,0.0
2021 Giro d'Italia Stage 8.gpx,https://www.komoot.com/tour/2973591093,78.0,83.5,4.44,1.01,0.0,0.0,0.0,161.0,4.15,0.0,6.86,0.0,4.67,0.0,0.0
2021 Giro d'Italia Stage 9.gpx,https://www.komoot.com/tour/2973591998,31.0,122.0,1.64,0.0,0.0,1.35,0.0,152.0,2.73,0.157,1.55,1.52,1.48,0.0,0.0
2021 Giro del Medio Brenta.gpx,https://www.komoot.com/tour/2973593384,129.0,32.5,5.26,3.43,0.0,0.351,0.0,166.0,4.04,0.115,0.0,0.0,0.0,0.0,0.0
2021 Giro del Veneto.gpx,https://www.komoot.com/tour/2973594879,150.0,7.93,1.53,7.16,0.0,0.488,0.21,164.0,2.31,1.27,0.691,0.0,0.381,0.0,0.0
2021 Giro dell'Appennino.gpx,https://www.komoot.com/tour/2973596228,114.0,34.8,3.17,38.9,0.323,0.287,0.0,185.0,4.19,0.0,3.27,0.574,1.84,0.0,0.0
2021 Giro dell'Emilia.gpx,https://www.komoot.com/tour/2973597585,150.0,33.6,0.628,8.71,0.0,1.03,0.0,188.0,1.06,5.15,0.247,0.0,0.217,0.0,0.0
2021 Giro della Toscana - Memorial Alfredo Martini.gpx,https://www.komoot.com/tour/2973598871,154.0,38.4,0.245,0.0,0.0,0.0,0.0,190.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0
2021 Giro di Sicilia - Tour of Sicily Stage 1.gpx,https://www.komoot.com/tour/2973600252,113.0,61.7,3.16,0.0,0.0,0.62,0.137,174.0,2.15,1.6,0.916,0.0,0.792,0.0,0.0
2021 Giro di Sicilia - Tour of Sicily Stage 2.gpx,https://www.komoot.com/tour/2973601433,110.0,59.1,2.85,0.0,0.0,0.288,0.0,170.0,1.75,0.0,1.54,0.0,1.33,0.0,0.0
2021 Giro di Sicilia - Tour of Sicily Stage 3.gpx,https://www.komoot.com/tour/2973602529,113.0,66.2,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.212,0.0,0.43,0.0,0.0
2021 Giro di Sicilia - Tour of Sicily Stage 4.gpx,https://www.komoot.com/tour/2973603687,90.3,82.4,1.98,1.83,0.0,1.0,0.0,172.0,3.02,2.73,3.02,0.0,3.02,0.0,0.0
2021 Gooikse Pijl.gpx,https://www.komoot.com/tour/2973604738,112.0,0.0,0.0,87.2,0.0,0.0,0.0,100.0,98.9,0.0,0.0,0.0,0.0,0.0,0.0
2021 Gran Piemonte.gpx,https://www.komoot.com/tour/2973605814,118.0,46.9,0.551,1.69,0.0,0.0,0.0,164.0,0.335,3.2,0.302,0.0,0.302,0.0,0.0
2021 Gran Premio Miguel Indurain.gpx,https://www.komoot.com/tour/2973606939,135.0,57.4,7.05,1.75,0.0,0.0,0.0,188.0,10.8,2.34,2.66,0.0,2.66,0.0,0.0
2021 Grand Prix Alanya.gpx,https://www.komoot.com/tour/2973608256,109.0,33.8,2.16,0.0,0.0,0.0,0.0,116.0,27.4,2.1,2.12,0.0,2.12,0.0,0.0
2021 Grand Prix Chantal Biya Stage 1.gpx,https://www.komoot.com/tour/2973609106,77.3,43.5,0.0,0.0,0.0,0.0,0.0,8.3,113.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix Chantal Biya Stage 2.gpx,https://www.komoot.com/tour/2973609872,6.4,123.0,0.0,0.0,0.0,0.0,0.0,120.0,9.3,0.0,0.632,0.0,0.632,0.0,0.0
2021 Grand Prix Chantal Biya Stage 3.gpx,https://www.komoot.com/tour/2973610582,5.07,164.0,0.464,0.0,0.0,0.0,0.0,110.0,54.9,0.0,1.55,4.78,1.55,0.0,0.0
2021 Grand Prix Chantal Biya Stage 4.gpx,https://www.komoot.com/tour/2973611308,38.9,71.6,0.0,0.0,0.0,0.0,0.0,16.5,62.1,0.0,0.466,31.9,0.466,0.0,0.0
2021 Grand Prix Chantal Biya Stage 5.gpx,https://www.komoot.com/tour/2973612185,0.476,168.0,0.202,0.0,0.168,0.0,0.0,137.0,31.1,0.0,0.442,0.0,0.436,0.0,0.0
2021 Grand Prix Cycliste la Marseillaise.gpx,https://www.komoot.com/tour/2973613790,130.0,39.8,0.0,0.893,0.0,0.0,0.0,170.0,0.494,0.0,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix Develi.gpx,https://www.komoot.com/tour/2973614560,79.4,51.3,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix Erciyes - Mimar Sinan.gpx,https://www.komoot.com/tour/2973615650,47.3,102.0,0.0,0.0,0.0,0.0,0.0,149.0,0.542,0.0,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix Gazipasa.gpx,https://www.komoot.com/tour/2973616565,58.7,96.7,0.0,0.0,0.0,0.0,0.0,154.0,1.43,0.0,0.472,0.0,0.406,0.0,0.0
2021 Grand Prix Gundogmus.gpx,https://www.komoot.com/tour/2973617569,36.3,68.6,0.698,0.0,0.0,0.293,0.0,105.0,1.08,0.229,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix Herning.gpx,https://www.komoot.com/tour/2973618305,155.0,2.81,7.63,12.4,0.0,8.19,0.961,162.0,3.53,0.783,2.99,23.8,1.26,3.44,0.0
2021 Grand Prix Kayseri.gpx,https://www.komoot.com/tour/2973619159,19.1,114.0,3.39,0.0,0.0,0.137,0.0,133.0,2.1,0.0,0.77,0.137,0.0,0.0,0.0
2021 Grand Prix Mediterrennean.gpx,https://www.komoot.com/tour/2973620677,32.5,120.0,1.65,0.0,0.0,2.99,0.0,152.0,1.79,0.828,2.74,0.0,0.425,0.0,0.0
2021 Grand Prix Velo Alanya.gpx,https://www.komoot.com/tour/2973621892,36.3,68.6,0.698,0.0,0.0,0.293,0.0,105.0,1.08,0.229,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix Velo Erciyes.gpx,https://www.komoot.com/tour/2973622648,60.8,48.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix Velo Manavgat.gpx,https://www.komoot.com/tour/2973623855,13.1,133.0,0.939,0.0,0.0,0.608,0.0,145.0,1.09,1.76,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix d'Isbergues - Pas de Calais.gpx,https://www.komoot.com/tour/2973624740,107.0,34.5,57.6,1.29,0.0,0.0,0.0,133.0,67.4,0.0,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix de Denain - Porte du Hainaut.gpx,https://www.komoot.com/tour/2973625756,162.0,7.56,13.8,12.9,0.0,3.92,0.0,170.0,9.82,19.5,0.0,0.441,0.0,1.24,0.0
2021 Grand Prix de Wallonie.gpx,https://www.komoot.com/tour/2973627083,131.0,33.5,19.0,25.7,0.0,0.0,0.0,191.0,18.5,0.196,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix de la Somme Conseil Departemental 80.gpx,https://www.komoot.com/tour/2973628155,173.0,0.0,6.15,0.0,0.0,0.0,0.0,168.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix de la ville de Perenchies.gpx,https://www.komoot.com/tour/2973629094,124.0,4.01,3.48,31.5,0.0,0.0,0.0,153.0,4.33,5.7,0.0,0.0,0.0,0.0,0.0
2021 Grand Prix du Morbihan.gpx,https://www.komoot.com/tour/2973630313,156.0,14.4,1.93,3.2,0.0,0.0,0.0,157.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0
2021 Gravel and Tar Classic.gpx,https://www.komoot.com/tour/2973631211,146.0,4.65,5.24,3.33,0.0,0.0,0.0,7.84,115.0,0.0,4.34,36.4,4.34,0.0,0.0
2021 Grosser Preis des Kantons Aargau.gpx,https://www.komoot.com/tour/2973632203,134.0,24.4,0.845,5.12,0.0,3.72,0.168,104.0,66.4,0.0,5.5,3.8,0.0,0.0,0.0
2021 Grote Prijs Marcel Kint.gpx,https://www.komoot.com/tour/2973634610,59.7,1.41,20.6,105.0,0.0,0.0,0.0,138.0,49.7,8.46,8.98,0.0,0.0,0.0,0.0
2021 Grote prijs Jean-Pierre Monsere.gpx,https://www.komoot.com/tour/2973636116,80.7,0.0,22.9,80.3,0.0,0.0,0.0,99.5,93.1,8.03,0.296,0.0,0.0,0.0,0.0
2021 Gylne Gutuer.gpx,https://www.komoot.com/tour/2973636966,146.0,17.2,3.21,0.0,0.0,2.8,0.0,93.4,12.5,0.0,2.2,4.26,0.0,57.2,0.0
2021 Henryk LASAK Memorial.gpx,https://www.komoot.com/tour/2973637933,138.0,0.0,1.86,0.0,0.0,5.3,0.0,138.0,0.0,3.43,0.724,2.24,0.0,0.0,0.0
2021 Heylen Vastgoed Heistse Pijl.gpx,https://www.komoot.com/tour/2973639010,7.54,0.825,27.1,131.0,0.0,0.614,0.164,91.9,90.9,7.13,2.12,0.449,1.98,0.242,0.0
2021 Il Lombardia.gpx,https://www.komoot.com/tour/2973640526,200.0,18.4,2.98,9.39,0.0,1.04,0.824,230.0,1.17,0.177,6.92,0.856,6.72,0.414,0.0
2021 In the Footsteps of the Romans Stage 1.gpx,https://www.komoot.com/tour/2973641767,121.0,0.0,5.24,0.0,0.0,0.0,0.0,61.8,64.2,0.0,0.219,0.0,0.219,0.0,0.0
2021 In the Footsteps of the Romans Stage 2.gpx,https://www.komoot.com/tour/2973642544,132.0,0.0,4.88,0.0,0.0,0.0,0.0,90.9,45.8,0.0,0.242,0.0,0.242,0.0,0.0
2021 International Rhodes GP Powered by Mitsis Hotels.gpx,https://www.komoot.com/tour/2973643592,148.0,35.9,0.651,1.21,0.0,0.515,0.448,185.0,0.53,0.0,0.542,0.448,0.0,0.0,0.0
2021 International Tour of Rhodes Prologue.gpx,https://www.komoot.com/tour/2973644334,1.88,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 International Tour of Rhodes Stage 1.gpx,https://www.komoot.com/tour/2973645129,137.0,1.19,0.115,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 International Tour of Rhodes Stage 2.gpx,https://www.komoot.com/tour/2973645904,128.0,22.4,0.0,0.0,0.0,0.0,0.0,137.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0
2021 International Tour of Rhodes Stage 3.gpx,https://www.komoot.com/tour/2973646769,104.0,49.0,0.0,0.0,0.0,0.0,0.0,153.0,0.163,0.0,0.79,0.0,0.79,0.0,0.0
2021 Israeli Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973647530,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,26.4,1.88,26.4,0.0,0.0
2021 Israeli Road National Championships.gpx,https://www.komoot.com/tour/2973648230,28.4,123.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Istrian Spring Trophy Prologue.gpx,https://www.komoot.com/tour/2973648857,0.0,0.0,0.0,0.973,0.0,0.0,0.0,0.0,0.973,0.0,0.0,0.0,0.0,0.0,0.0
2021 Istrian Spring Trophy Stage 1.gpx,https://www.komoot.com/tour/2973649680,88.2,69.7,1.61,0.0,0.0,6.58,0.0,158.0,1.56,0.0,0.0,6.56,0.0,0.0,0.0
2021 Istrian Spring Trophy Stage 2.gpx,https://www.komoot.com/tour/2973650726,124.0,37.6,2.69,0.0,0.0,0.0,0.0,163.0,1.19,0.393,0.126,0.0,0.0,0.0,0.0
2021 Istrian Spring Trophy Stage 3.gpx,https://www.komoot.com/tour/2973651532,62.6,78.5,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Italian Road National Championships.gpx,https://www.komoot.com/tour/2973652336,134.0,41.0,0.191,0.775,0.0,0.0,0.0,172.0,4.02,0.0,0.477,0.0,0.477,0.0,0.0
2021 Itzulia Basque Country Stage 1.gpx,https://www.komoot.com/tour/2973653052,8.19,2.69,1.98,0.392,0.0,0.615,0.0,13.6,0.123,0.124,0.0,0.0,0.0,0.0,0.0
2021 Itzulia Basque Country Stage 2.gpx,https://www.komoot.com/tour/2973654098,116.0,28.9,3.21,4.82,0.0,0.475,0.0,148.0,4.69,0.201,0.877,0.0,0.773,0.0,0.0
2021 Itzulia Basque Country Stage 3.gpx,https://www.komoot.com/tour/2973655179,137.0,23.9,2.74,0.371,0.0,3.17,0.0,161.0,5.51,0.0,0.438,0.0,0.438,0.271,0.0
2021 Itzulia Basque Country Stage 4.gpx,https://www.komoot.com/tour/2973656401,144.0,32.5,6.33,1.18,0.0,1.27,0.0,184.0,0.844,0.0,5.2,0.0,5.03,0.0,0.0
2021 Itzulia Basque Country Stage 5.gpx,https://www.komoot.com/tour/2973657720,63.5,88.2,5.2,1.73,0.242,0.175,0.0,152.0,1.44,0.545,1.29,3.94,0.382,0.0,0.0
2021 Itzulia Basque Country Stage 6.gpx,https://www.komoot.com/tour/2973658966,81.6,24.2,5.12,0.947,0.0,0.0,0.0,109.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0
2021 Japanese Road National Championships.gpx,https://www.komoot.com/tour/2973659946,0.0,0.0,0.0,97.4,0.0,0.0,0.0,0.0,97.4,0.0,0.0,0.0,0.0,0.0,0.0
2021 Joe Martin Stage Race Stage 1.gpx,https://www.komoot.com/tour/2973660728,90.9,88.4,0.646,3.35,0.0,0.0,0.0,182.0,1.2,0.0,0.0,0.0,1.09,0.0,0.0
