fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,access_road_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unknown_km,unpaved_km,off-grid_(unknown)_km,compacted_gravel_km,alpine_km
2021 76 Grand Prix International de la ville de Nogent-sur-Oise.gpx,https://www.komoot.com/tour/2973373758,135.0,21.8,3.97,13.1,0.0,0.0,0.0,170.0,2.09,1.88,0.0,0.0,0.0,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Prologue.gpx,https://www.komoot.com/tour/2973374832,0.0,4.54,0.524,0.0,0.0,0.262,0.0,5.07,0.0,0.203,0.0,0.0,0.0,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Stage 1.gpx,https://www.komoot.com/tour/2973376048,15.2,156.0,1.47,0.0,0.0,0.206,0.0,170.0,1.1,2.08,1.88,0.0,1.82,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Stage 10.gpx,https://www.komoot.com/tour/2973376909,9.59,10.5,0.0,0.0,0.0,0.0,0.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Stage 2.gpx,https://www.komoot.com/tour/2973377963,40.3,121.0,0.925,0.0,0.0,0.0,0.0,160.0,0.87,1.05,0.0,0.0,0.0,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Stage 3.gpx,https://www.komoot.com/tour/2973379090,52.0,114.0,2.38,1.88,0.0,0.153,0.0,160.0,8.36,1.26,0.181,0.0,0.181,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Stage 4.gpx,https://www.komoot.com/tour/2973380196,85.7,90.3,1.11,3.12,0.0,0.0,0.0,162.0,15.8,2.4,1.84,0.0,1.84,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Stage 5.gpx,https://www.komoot.com/tour/2973381540,66.9,96.8,3.26,2.85,0.0,0.392,0.388,162.0,6.11,1.48,2.01,0.263,0.888,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Stage 6.gpx,https://www.komoot.com/tour/2973382510,20.3,161.0,0.971,0.0,0.0,0.0,0.0,179.0,0.602,2.83,0.0,0.0,0.0,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Stage 7.gpx,https://www.komoot.com/tour/2973383479,0.988,191.0,0.432,0.0,0.0,0.0,0.0,192.0,0.445,0.0,0.0,0.0,0.0,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Stage 8.gpx,https://www.komoot.com/tour/2973384307,22.5,136.0,0.626,0.0,0.0,1.28,0.0,157.0,1.99,0.0,0.0,1.28,0.0,0.0,0.0
2021 82^ Volta a Portugal em Bicicleta Santander Stage 9.gpx,https://www.komoot.com/tour/2973385276,73.4,72.0,0.0,0.0,0.0,0.0,0.0,141.0,3.19,1.72,0.0,0.0,0.0,0.0,0.0
2021 Albert Achterhes Profronde van Drenthe.gpx,https://www.komoot.com/tour/2973386642,100.0,0.0,14.2,37.7,0.0,17.2,0.617,90.7,56.7,27.0,8.12,3.65,2.07,0.0,0.0
2021 Alpes Isere Tour Stage 1.gpx,https://www.komoot.com/tour/2973387679,135.0,0.459,0.0,1.6,0.0,0.0,0.0,128.0,9.34,0.0,0.0,0.0,0.375,0.0,0.0
2021 Alpes Isere Tour Stage 2.gpx,https://www.komoot.com/tour/2973388732,151.0,0.304,7.23,8.88,0.0,0.0,0.0,153.0,13.9,0.0,0.763,0.0,0.763,0.0,0.0
2021 Alpes Isere Tour Stage 3.gpx,https://www.komoot.com/tour/2973389623,141.0,0.18,12.8,3.47,0.0,0.0,0.0,122.0,35.7,0.0,0.213,0.0,0.213,0.0,0.0
2021 Alpes Isere Tour Stage 4.gpx,https://www.komoot.com/tour/2973390570,172.0,0.331,1.8,0.639,0.0,0.0,0.0,161.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0
2021 Alpes Isere Tour Stage 5.gpx,https://www.komoot.com/tour/2973391601,130.0,6.81,0.148,4.56,0.106,0.573,0.0,136.0,5.61,0.0,0.271,0.0,0.217,0.409,0.0
2021 Amstel Gold Race.gpx,https://www.komoot.com/tour/2973392975,80.1,0.0,3.61,113.0,0.0,0.0,0.0,188.0,24.4,3.21,0.515,0.0,0.0,0.0,0.0
2021 Arctic Race of Norway Stage 1.gpx,https://www.komoot.com/tour/2973394187,64.4,72.7,2.32,1.95,0.0,0.151,0.0,139.0,1.26,0.761,0.151,0.0,0.0,0.0,0.0
2021 Arctic Race of Norway Stage 2.gpx,https://www.komoot.com/tour/2973395411,37.2,138.0,1.6,0.0,0.0,0.0,0.0,176.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0
2021 Arctic Race of Norway Stage 3.gpx,https://www.komoot.com/tour/2973396191,15.6,168.0,0.0,0.0,0.0,0.0,0.0,179.0,4.39,0.0,0.0,0.0,0.922,0.0,0.0
