fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km
2018 ACC Asian Road Championships - ITT.gpx,https://www.komoot.com/tour/2969881912,19.9,2.48,0.0,0.0,0.0,0.0,16.8,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 ACC Asian Road Championships - TTT.gpx,https://www.komoot.com/tour/2969882700,18.5,54.3,0.0,0.0,0.0,0.0,70.3,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 ACC Asian Road Championships.gpx,https://www.komoot.com/tour/2969883481,18.6,84.4,0.0,0.0,0.0,0.0,100.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Abu Dhabi Tour Stage 1.gpx,https://www.komoot.com/tour/2969884506,22.1,55.5,1.82,0.0,109.0,0.0,70.2,8.26,0.0,112.0,2.25,0.0,0.0,0.0,0.0
2018 Abu Dhabi Tour Stage 2.gpx,https://www.komoot.com/tour/2969885456,72.0,39.7,9.69,0.0,33.0,0.0,113.0,0.224,0.0,30.0,0.0,0.0,0.0,0.0,0.0
2018 Abu Dhabi Tour Stage 3.gpx,https://www.komoot.com/tour/2969886510,37.8,20.2,2.9,7.16,60.8,0.0,59.2,8.93,4.54,62.0,6.1,0.0,0.0,0.0,0.0
2018 Abu Dhabi Tour Stage 4.gpx,https://www.komoot.com/tour/2969887496,11.4,0.0,0.0,0.0,0.754,0.0,10.8,0.832,0.0,0.971,0.503,0.0,0.0,0.0,0.0
2018 Abu Dhabi Tour Stage 5.gpx,https://www.komoot.com/tour/2969888500,27.6,129.0,1.22,0.0,39.8,0.0,153.0,4.77,0.0,40.2,1.8,0.556,0.0,0.0,0.0
2018 Amgen Tour of California Stage 2.gpx,https://www.komoot.com/tour/2969891270,58.0,77.5,1.39,14.6,2.78,0.0,148.0,4.42,0.0,2.91,0.839,0.0,0.0,0.0,0.0
2018 Amgen Tour of California Stage 3.gpx,https://www.komoot.com/tour/2969891976,141.0,53.6,0.234,1.03,1.98,0.0,194.0,1.72,0.0,2.04,0.0,0.0,0.0,0.0,0.0
