fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km
2018 Criterium du Dauphine Stage 2.gpx,https://www.komoot.com/tour/2970003771,164.0,4.99,0.238,7.83,0.24,0.0,177.0,0.188,0.0,0.24,0.0,0.0,0.0,0.0,0.0
2018 Criterium du Dauphine Stage 3.gpx,https://www.komoot.com/tour/2970004866,30.7,1.46,1.36,0.335,0.438,0.0,32.3,2.03,0.0,0.438,0.489,0.0,0.0,0.0,0.0
2018 Criterium du Dauphine Stage 4.gpx,https://www.komoot.com/tour/2970005933,175.0,4.85,0.143,0.746,0.0,0.0,175.0,5.95,0.0,0.122,0.119,0.0,0.0,0.119,0.0
2018 Criterium du Dauphine Stage 5.gpx,https://www.komoot.com/tour/2970007834,104.0,2.54,2.69,20.5,0.201,0.0,128.0,0.958,0.0,0.283,0.0,0.0,0.0,0.0,0.0
2018 Criterium du Dauphine Stage 6.gpx,https://www.komoot.com/tour/2970009458,98.1,10.5,0.272,0.881,0.333,0.0,110.0,0.0,0.0,0.333,0.176,0.0,0.0,0.0,0.0
2018 Criterium du Dauphine Stage 7.gpx,https://www.komoot.com/tour/2970010775,84.9,38.8,0.864,10.4,0.647,0.0,135.0,0.0,0.0,0.508,0.0,0.0,0.0,0.0,0.0
2018 Croatian Road National Championship ITT.gpx,https://www.komoot.com/tour/2970011971,27.5,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Croatian Road National Championship.gpx,https://www.komoot.com/tour/2970012903,82.4,54.5,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0
2018 Cycling Tour of Szeklerland Prologue.gpx,https://www.komoot.com/tour/2970013969,3.17,0.943,1.22,0.0,0.105,0.0,5.33,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0
2018 Cycling Tour of Szeklerland Stage 1.gpx,https://www.komoot.com/tour/2970015139,74.7,121.0,0.0,0.308,0.0,0.0,188.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0
2018 Cycling Tour of Szeklerland Stage 2.gpx,https://www.komoot.com/tour/2970016065,58.3,128.0,0.414,0.391,0.0,0.251,184.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Cycling Tour of Szeklerland Stage 3.gpx,https://www.komoot.com/tour/2970016996,53.2,133.0,1.05,2.64,0.0,0.0,185.0,4.07,0.0,0.104,0.0,0.773,0.0,0.0,0.0
2018 Czech Cycling Tour Stage 1.gpx,https://www.komoot.com/tour/2970017921,17.6,0.0,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Czech Cycling Tour Stage 2.gpx,https://www.komoot.com/tour/2970019154,168.0,20.5,8.36,0.931,0.307,0.0,196.0,1.4,0.633,0.671,0.784,0.0,0.0,0.0,0.0
2018 Czech Cycling Tour Stage 3.gpx,https://www.komoot.com/tour/2970020887,102.0,45.8,15.6,3.68,0.216,0.0,173.0,4.31,2.2,0.216,10.4,0.0,0.0,0.0,0.0
2018 Czech Cycling Tour Stage 4.gpx,https://www.komoot.com/tour/2970021878,132.0,16.7,0.155,0.333,0.0,0.0,149.0,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 De Brabantse Pijl - La Fleche Brabanconne.gpx,https://www.komoot.com/tour/2970022877,71.6,19.5,21.6,84.1,2.24,0.0,134.0,63.8,2.7,2.27,0.919,0.0,0.0,0.0,0.0
2018 De Kustpijl.gpx,https://www.komoot.com/tour/2970024350,28.1,0.0,41.8,105.0,0.0,0.0,125.0,51.2,20.6,1.67,1.86,0.648,0.605,1.65,0.0
2018 Deutschland Tour Stage 1.gpx,https://www.komoot.com/tour/2970025571,113.0,19.4,5.0,10.1,1.57,0.0,151.0,2.32,1.21,1.48,0.538,0.0,0.631,0.0,0.0
2018 Deutschland Tour Stage 2.gpx,https://www.komoot.com/tour/2970026998,126.0,39.0,7.89,3.92,4.01,0.0,184.0,1.8,0.615,4.56,2.89,2.29,0.688,0.0,0.0
2018 Deutschland Tour Stage 3.gpx,https://www.komoot.com/tour/2970028268,135.0,17.9,3.17,9.19,1.38,0.0,165.0,7.9,0.147,1.41,0.0,0.748,0.748,0.0,0.0
2018 Deutschland Tour Stage 4.gpx,https://www.komoot.com/tour/2970029889,161.0,7.55,13.4,12.6,3.04,0.0,196.0,6.49,1.61,3.56,4.47,0.181,1.81,0.0,0.0
2018 Dookola Mazowsza Prologue.gpx,https://www.komoot.com/tour/2970031092,0.0,0.0,2.22,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Dookola Mazowsza Stage 1.gpx,https://www.komoot.com/tour/2970032221,85.0,68.0,11.4,0.0,0.732,0.0,149.0,15.2,0.198,0.732,0.198,0.191,0.191,0.0,0.0
2018 Dookola Mazowsza Stage 2.gpx,https://www.komoot.com/tour/2970035551,161.0,0.0,5.79,0.0,0.0,0.0,164.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Dookola Mazowsza Stage 3.gpx,https://www.komoot.com/tour/2970037026,150.0,0.0,0.0,18.8,0.0,0.0,150.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0
2018 Druivenkoers - Overijse.gpx,https://www.komoot.com/tour/2970038284,28.2,13.6,73.3,73.9,2.38,0.0,100.0,82.0,9.17,2.4,0.958,0.958,0.0,0.0,0.0
2018 Dubai Tour Stage 1.gpx,https://www.komoot.com/tour/2970040081,48.3,54.4,2.56,4.16,55.3,0.0,97.9,1.55,7.86,53.9,4.49,0.0,0.0,0.0,0.0
2018 Dubai Tour Stage 2.gpx,https://www.komoot.com/tour/2970041788,37.8,57.0,5.37,0.0,90.6,0.0,93.8,3.51,0.862,79.1,0.488,0.445,0.354,0.0,0.0
2018 Dubai Tour Stage 3.gpx,https://www.komoot.com/tour/2970043190,45.3,16.3,1.59,0.0,119.0,0.0,50.0,12.8,0.0,93.5,2.96,1.58,0.0,0.0,0.0
2018 Dubai Tour Stage 4.gpx,https://www.komoot.com/tour/2970044091,36.6,18.5,4.91,0.0,111.0,0.0,45.6,13.7,0.0,94.7,2.77,2.7,0.162,0.0,0.0
2018 Dubai Tour Stage 5.gpx,https://www.komoot.com/tour/2970045816,41.5,63.5,3.92,2.32,16.1,0.146,105.0,4.99,2.32,18.4,3.16,0.0,0.0,0.0,0.0
2018 Duo Normand.gpx,https://www.komoot.com/tour/2970046801,50.6,0.357,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Dwars door West-Vlaanderen.gpx,https://www.komoot.com/tour/2970047788,101.0,3.8,5.8,80.1,3.03,0.0,91.4,97.1,9.34,3.55,0.315,0.395,0.16,0.0,0.0
2018 Dwars door de Vlaamse Ardennen.gpx,https://www.komoot.com/tour/2970049065,101.0,5.77,40.5,44.5,0.0,0.122,112.0,72.5,13.4,0.209,0.127,0.0,0.0,0.0,0.0
2018 Dwars door het Hageland - Aarschot.gpx,https://www.komoot.com/tour/2970050771,42.0,0.712,19.8,95.9,1.74,0.165,58.4,112.0,6.57,1.95,24.1,10.1,1.31,13.1,0.0
2018 Elfstedenronde.gpx,https://www.komoot.com/tour/2970052330,85.2,4.46,16.6,74.1,3.62,0.0,111.0,66.2,15.2,4.14,0.447,0.322,0.0,0.0,0.0
2018 Eschborn-Frankfurt.gpx,https://www.komoot.com/tour/2970054398,138.0,19.0,11.7,26.6,8.63,0.327,192.0,7.13,4.24,9.17,3.07,0.152,1.44,0.45,0.0
2018 Etoile de Besseges Stage 1.gpx,https://www.komoot.com/tour/2970055955,114.0,41.9,3.15,0.0,1.01,0.0,154.0,4.86,0.0,1.57,1.37,0.0,0.0,0.0,0.0
2018 Etoile de Besseges Stage 2.gpx,https://www.komoot.com/tour/2970057115,119.0,21.3,5.22,3.37,2.33,0.0,130.0,19.1,0.0,2.5,0.0,0.0,0.0,0.0,0.0
2018 Etoile de Besseges Stage 3.gpx,https://www.komoot.com/tour/2970058395,120.0,22.9,2.7,0.0,7.28,0.0,144.0,1.47,0.0,7.28,0.0,0.0,0.0,0.0,0.0
2018 Etoile de Besseges Stage 4.gpx,https://www.komoot.com/tour/2970060027,112.0,25.8,12.2,0.463,0.889,0.0,138.0,13.0,0.0,0.931,0.28,0.0,0.0,0.0,0.0
2018 Etoile de Besseges Stage 5.gpx,https://www.komoot.com/tour/2970061562,3.65,7.91,0.264,0.148,0.0,0.0,11.9,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Euroeyes Cyclassics.gpx,https://www.komoot.com/tour/2970063152,115.0,8.65,9.24,65.9,7.63,0.118,161.0,41.1,6.54,8.07,3.54,1.34,0.992,0.47,0.0
2018 Faun Environnement - Classic de l'Ardeche Rhone Crussol.gpx,https://www.komoot.com/tour/2970064918,117.0,55.0,1.31,28.0,1.95,0.0,196.0,4.73,0.0,2.04,0.0,0.0,0.0,0.0,0.0
2018 Fleche Ardennaise.gpx,https://www.komoot.com/tour/2970066197,136.0,32.4,7.73,2.39,0.991,0.0,171.0,8.18,0.0,1.1,0.452,0.0,0.0,0.0,0.0
2018 Fleche du Sud Stage 1.gpx,https://www.komoot.com/tour/2970067206,76.3,0.0,0.212,0.0,0.0,0.0,76.8,1.69,0.0,0.0,1.92,0.0,0.0,0.0,0.0
2018 Fleche du Sud Stage 2.gpx,https://www.komoot.com/tour/2970068578,59.1,80.6,4.23,3.28,0.0,0.0,148.0,0.118,0.144,0.0,1.41,0.0,0.0,0.0,0.0
2018 Fleche du Sud Stage 3.gpx,https://www.komoot.com/tour/2970069657,88.2,40.4,3.04,0.0,0.0,0.0,132.0,3.84,0.0,0.325,4.17,0.0,0.0,0.0,0.0
2018 Fleche du Sud Stage 4.gpx,https://www.komoot.com/tour/2970070880,109.0,33.0,0.57,3.56,0.0,0.0,146.0,0.204,0.39,0.0,0.206,0.0,0.0,0.0,0.0
2018 Fleche du Sud Stage 5.gpx,https://www.komoot.com/tour/2970072244,105.0,33.6,1.3,7.16,1.84,0.0,149.0,0.254,0.413,1.87,0.305,0.0,0.0,0.103,0.0
2018 Fyen Rundt - Tour of Fyen.gpx,https://www.komoot.com/tour/2970073730,117.0,16.5,12.9,47.6,1.12,0.0,180.0,21.3,0.553,2.97,0.0,0.405,0.0,0.0,0.0
2018 G.P. Nacional 2 de Portugal Stage 1.gpx,https://www.komoot.com/tour/2970075353,6.28,131.0,1.78,0.0,0.872,0.0,135.0,0.633,4.01,0.872,0.459,0.0,0.0,0.0,0.0
2018 G.P. Nacional 2 de Portugal Stage 2.gpx,https://www.komoot.com/tour/2970076514,5.34,167.0,0.759,0.0,2.6,0.0,171.0,1.9,0.987,2.69,0.361,0.0,0.0,0.0,0.0
2018 G.P. Nacional 2 de Portugal Stage 3.gpx,https://www.komoot.com/tour/2970077403,8.72,116.0,8.02,0.0,8.22,0.0,124.0,8.9,0.0,1.8,0.361,0.361,0.0,0.0,0.0
2018 G.P. Nacional 2 de Portugal Stage 4.gpx,https://www.komoot.com/tour/2970078289,1.08,157.0,0.659,0.0,0.0,0.0,157.0,0.355,1.4,0.0,0.0,0.0,0.0,0.0,0.0
2018 G.P. Nacional 2 de Portugal Stage 5.gpx,https://www.komoot.com/tour/2970079386,1.03,140.0,0.974,0.0,1.15,0.0,141.0,1.08,0.0,0.699,0.155,0.0,0.0,0.0,0.0
2018 GP Beiras e Serra da Estrela Stage 1.gpx,https://www.komoot.com/tour/2970080356,113.0,57.8,5.14,0.0,0.32,0.0,166.0,5.59,4.5,0.32,0.0,0.0,0.0,0.0,0.0
2018 GP Beiras e Serra da Estrela Stage 2.gpx,https://www.komoot.com/tour/2970081462,26.4,162.0,3.81,1.41,0.0,0.0,190.0,1.72,2.33,0.0,0.0,0.0,0.0,0.0,0.0
2018 GP Beiras e Serra da Estrela Stage 3.gpx,https://www.komoot.com/tour/2970082294,75.9,88.0,2.19,0.825,1.1,0.0,131.0,32.9,2.7,1.1,0.0,0.0,0.0,0.0,0.0
2018 GP Costa de Almeria.gpx,https://www.komoot.com/tour/2970083741,123.0,61.1,0.365,0.0,6.95,0.0,183.0,0.4,0.0,6.95,0.0,0.001,0.0,0.0,0.0
2018 GP Fecoci.gpx,https://www.komoot.com/tour/2970084616,0.667,144.0,0.599,0.0,0.543,0.0,137.0,8.12,0.0,0.751,0.253,0.0,0.0,0.0,0.0
2018 GP Himmerland Rundt.gpx,https://www.komoot.com/tour/2970085266,148.0,14.0,5.01,28.9,0.0,0.0,160.0,25.9,4.38,1.86,0.488,7.27,0.0,0.0,0.0
2018 GP Horsens Posten.gpx,https://www.komoot.com/tour/2970086044,146.0,0.0,8.77,29.8,0.0,0.0,140.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 GP Industria & Artigianato.gpx,https://www.komoot.com/tour/2970087133,175.0,23.6,0.29,0.0,0.0,0.0,175.0,23.6,0.0,0.29,0.0,0.0,0.0,0.0,0.0
2018 GP Izola.gpx,https://www.komoot.com/tour/2970088180,72.1,72.2,2.1,7.3,0.0,0.0,150.0,3.08,0.0,0.817,0.0,0.0,0.0,0.0,0.0
2018 GP Kranj.gpx,https://www.komoot.com/tour/2970090005,1.19,18.1,59.0,45.4,0.0,0.0,120.0,25.7,5.55,2.31,22.7,0.0,0.883,0.0,0.0
2018 GP Laguna Porec.gpx,https://www.komoot.com/tour/2970091360,43.5,113.0,0.0,0.0,0.0,0.0,156.0,0.378,0.0,0.0,1.78,1.78,0.0,0.0,0.0
2018 GP Stad Zottegem.gpx,https://www.komoot.com/tour/2970092656,103.0,4.15,11.6,79.8,0.0,0.0,107.0,85.7,13.9,7.77,0.0,0.0,0.0,0.0,0.0
2018 Gent-Wevelgem in Flanders Fields.gpx,https://www.komoot.com/tour/2970094677,122.0,2.27,9.14,90.3,2.99,0.0,170.0,68.8,3.0,3.86,4.27,4.47,0.206,0.0,0.0
2018 German Road National Championships - ITT.gpx,https://www.komoot.com/tour/2970095873,41.5,0.0,2.22,0.0,0.0,0.0,43.2,0.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 German Road National Championships.gpx,https://www.komoot.com/tour/2970096934,132.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Giro Ciclistico della Valle d'Aosta Mont Blanc Prologue.gpx,https://www.komoot.com/tour/2970097887,4.62,0.0,0.829,2.67,0.0,0.0,8.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Giro Ciclistico della Valle d'Aosta Mont Blanc Stage 1.gpx,https://www.komoot.com/tour/2970099208,100.0,56.6,6.01,0.0,0.0,0.0,157.0,5.52,0.0,0.151,0.172,0.172,0.0,0.0,0.0
2018 Giro Ciclistico della Valle d'Aosta Mont Blanc Stage 2.gpx,https://www.komoot.com/tour/2970100534,132.0,14.3,1.91,0.0,0.558,0.0,140.0,7.93,0.407,0.558,0.0,0.136,0.0,0.0,0.0
2018 Giro Ciclistico della Valle d'Aosta Mont Blanc Stage 3.gpx,https://www.komoot.com/tour/2970101736,124.0,26.3,5.46,0.0,0.0,0.237,144.0,11.3,0.64,0.277,0.0,0.0,0.0,0.0,0.0
2018 Giro Ciclistico della Valle d'Aosta Mont Blanc Stage 4.gpx,https://www.komoot.com/tour/2970102784,103.0,4.57,1.52,0.62,0.0,0.0,94.6,14.6,0.0,0.409,0.0,0.123,0.123,0.0,0.0
2018 Giro d'Italia Stage 1.gpx,https://www.komoot.com/tour/2970103866,9.5,0.0,0.0,0.0,0.0,0.0,9.57,0.0,0.0,0.162,0.192,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 10.gpx,https://www.komoot.com/tour/2970105135,127.0,106.0,1.14,0.0,8.23,0.0,229.0,4.89,0.0,7.88,1.26,1.85,0.982,0.0,0.0
2018 Giro d'Italia Stage 11.gpx,https://www.komoot.com/tour/2970106619,54.1,82.4,3.78,0.0,15.5,0.0,133.0,6.92,0.531,15.2,0.518,0.63,0.435,0.0,0.0
2018 Giro d'Italia Stage 12.gpx,https://www.komoot.com/tour/2970108308,74.8,126.0,2.04,6.59,5.93,0.0,207.0,2.0,0.0,6.02,0.186,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 13.gpx,https://www.komoot.com/tour/2970109438,109.0,64.1,1.33,5.35,0.612,0.0,178.0,2.08,0.131,0.816,0.265,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 14.gpx,https://www.komoot.com/tour/2970110482,158.0,23.5,1.43,0.493,2.58,0.0,180.0,3.29,0.0,2.58,0.0,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 15.gpx,https://www.komoot.com/tour/2970111533,33.4,141.0,0.164,0.0,2.44,0.0,174.0,0.164,0.0,0.638,0.136,0.136,0.0,0.0,0.0
2018 Giro d'Italia Stage 16.gpx,https://www.komoot.com/tour/2970112929,28.6,0.0,4.25,0.645,0.676,0.0,33.1,0.119,0.35,0.682,0.0,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 17.gpx,https://www.komoot.com/tour/2970114863,85.4,54.4,4.68,0.534,9.94,0.0,138.0,6.98,0.246,4.62,1.83,1.15,0.0,0.0,0.0
2018 Giro d'Italia Stage 18.gpx,https://www.komoot.com/tour/2970116788,113.0,79.5,0.396,2.49,0.662,0.0,190.0,2.82,0.419,0.702,0.222,2.05,0.0,0.0,0.0
2018 Giro d'Italia Stage 19.gpx,https://www.komoot.com/tour/2970118975,115.0,54.4,4.57,0.434,9.02,0.0,165.0,0.0,0.927,9.44,2.31,3.35,0.579,7.22,0.0
2018 Giro d'Italia Stage 2.gpx,https://www.komoot.com/tour/2970121881,32.0,74.2,5.2,3.98,43.0,0.0,112.0,1.96,0.425,45.5,9.88,10.5,1.65,0.0,0.0
2018 Giro d'Italia Stage 20.gpx,https://www.komoot.com/tour/2970123716,144.0,67.3,2.49,0.372,0.0,0.0,212.0,1.43,0.532,0.956,0.517,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 3.gpx,https://www.komoot.com/tour/2970126369,1.24,227.0,0.335,0.0,0.0,0.0,228.0,0.375,0.605,0.0,0.0,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 4.gpx,https://www.komoot.com/tour/2970127380,187.0,9.87,1.8,0.0,3.53,0.0,195.0,2.77,1.07,3.36,0.126,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 5.gpx,https://www.komoot.com/tour/2970128185,85.2,66.8,0.642,0.0,0.693,0.0,149.0,3.28,0.0,0.452,0.0,0.0,0.0,0.0,0.0
2018 100 Cycle Challenge.gpx,https://www.komoot.com/tour/2970393835,54.7,27.6,1.32,0.0,16.3,0.0,83.6,0.0,0.0,0.981,0.0,0.0,0.0,0.0,0.0
2018 Amgen Tour of California Stage 1.gpx,https://www.komoot.com/tour/2970397695,16.3,82.9,1.45,28.6,1.61,0.0,125.0,9.34,0.0,1.7,4.95,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 6.gpx,https://www.komoot.com/tour/2970403211,110.0,56.1,0.731,0.895,1.39,0.0,167.0,0.574,0.558,1.39,0.169,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 7.gpx,https://www.komoot.com/tour/2970404180,10.9,145.0,3.56,0.0,0.169,0.0,159.0,0.715,0.0,0.169,0.0,0.0,0.0,0.0,0.0
2018 Giro d'Italia Stage 8.gpx,https://www.komoot.com/tour/2970405139,91.9,42.3,7.13,0.722,59.7,0.0,137.0,3.93,0.17,60.2,8.48,7.71,0.0,0.0,0.0
2018 Giro d'Italia Stage 9.gpx,https://www.komoot.com/tour/2970405942,58.8,138.0,0.79,5.89,21.7,0.0,202.0,0.667,0.0,21.6,0.413,0.413,0.0,0.0,0.0
2018 Giro del Belvedere.gpx,https://www.komoot.com/tour/2970406885,143.0,0.0,22.5,0.0,0.0,0.0,108.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Giro del Medio Brenta.gpx,https://www.komoot.com/tour/2970407845,130.0,37.8,5.35,3.76,0.229,0.0,173.0,4.4,0.0,0.257,0.439,0.0,0.123,0.0,0.0
2018 Giro dell'Appennino.gpx,https://www.komoot.com/tour/2970409023,96.4,78.9,1.46,17.0,1.22,0.324,191.0,1.78,0.0,2.56,0.216,0.574,0.0,0.0,0.0
2018 Giro dell'Emilia.gpx,https://www.komoot.com/tour/2970410034,127.0,69.6,0.682,12.2,0.189,0.0,201.0,3.37,4.66,0.282,0.0,0.0,0.0,0.0,0.0
2018 Giro della Toscana.gpx,https://www.komoot.com/tour/2970411210,167.0,27.6,1.81,2.98,1.03,0.0,193.0,6.45,0.0,1.36,0.331,0.0,0.0,0.0,0.0
2018 Gooikse Pijl.gpx,https://www.komoot.com/tour/2970412097,86.1,0.0,3.81,80.6,0.0,0.0,77.6,93.9,0.0,0.627,18.3,15.9,7.58,9.34,0.0
2018 Gp Adria Mobil.gpx,https://www.komoot.com/tour/2970413168,127.0,41.6,2.3,12.5,0.0,0.429,175.0,8.5,0.0,0.426,0.0,0.0,0.0,0.0,0.0
2018 Gp Capodarco Comunita Di Capodarco.gpx,https://www.komoot.com/tour/2970414433,109.0,46.6,9.61,12.3,0.568,0.0,175.0,3.37,0.0,1.06,1.14,0.0,0.0,0.0,0.0
2018 Gran Piemonte.gpx,https://www.komoot.com/tour/2970415751,132.0,52.4,2.65,3.86,0.406,0.0,186.0,3.37,0.476,0.473,0.345,0.719,0.0,0.0,0.0
2018 Gran Premio Bruno Beghelli.gpx,https://www.komoot.com/tour/2970416767,175.0,15.9,4.12,3.56,0.702,0.0,195.0,2.97,0.194,1.06,0.0,0.0,0.0,0.0,0.0
2018 Gran Premio Citta di Lugano.gpx,https://www.komoot.com/tour/2970417948,156.0,0.102,30.8,0.0,0.0,0.0,164.0,22.6,0.24,0.423,0.0,0.0,0.0,0.0,0.0
2018 Gran Premio Industrie del Marmo.gpx,https://www.komoot.com/tour/2970419441,150.0,10.9,7.15,1.99,5.03,0.52,166.0,4.24,0.139,6.61,0.972,0.0,0.0,0.0,0.0
2018 Gran Premio Miguel Indurain.gpx,https://www.komoot.com/tour/2970420590,97.4,79.9,4.54,1.13,5.85,0.216,169.0,11.9,1.88,6.11,0.324,0.324,0.0,0.0,0.0
2018 Grand Prix Alanya.gpx,https://www.komoot.com/tour/2970422284,48.2,121.0,0.605,3.03,1.13,0.0,168.0,4.66,1.44,1.48,1.23,0.0,0.0,0.0,0.0
2018 Grand Prix Albert Fauville - Baulet.gpx,https://www.komoot.com/tour/2970423507,98.5,2.4,35.9,29.0,1.21,0.0,114.0,40.9,10.8,1.21,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix Cerami.gpx,https://www.komoot.com/tour/2970424407,142.0,11.4,10.4,36.5,1.53,0.186,170.0,26.6,3.75,1.72,0.174,0.94,0.0,0.0,0.0
2018 Grand Prix Chantal Biya Stage 1.gpx,https://www.komoot.com/tour/2970425174,42.7,50.6,0.0,0.0,0.0,0.0,89.2,0.532,3.51,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix Chantal Biya Stage 2.gpx,https://www.komoot.com/tour/2970425766,18.1,93.3,5.57,0.0,38.6,0.0,97.8,8.21,0.2,38.6,1.49,13.6,1.4,0.0,0.0
2018 Grand Prix Chantal Biya Stage 3.gpx,https://www.komoot.com/tour/2970426437,2.35,75.1,2.75,0.0,71.4,0.0,59.4,18.4,0.0,71.4,0.122,2.48,0.0,0.0,0.0
2018 Grand Prix Chantal Biya Stage 5.gpx,https://www.komoot.com/tour/2970427141,0.684,113.0,0.947,0.0,53.9,0.0,101.0,12.4,0.0,53.1,0.436,1.44,0.0,0.0,0.0
2018 Grand Prix Criquielion.gpx,https://www.komoot.com/tour/2970428110,139.0,0.0,9.01,46.0,1.43,0.0,154.0,28.8,10.9,1.43,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix Cycliste la Marseillaise.gpx,https://www.komoot.com/tour/2970434631,104.0,39.9,0.849,0.973,0.0,0.0,144.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix Doliny Baryczy Zmigrod - The XXVIII th Mem. Jozefa Grundmana i Jerzego Wizowskiego.gpx,https://www.komoot.com/tour/2970435538,152.0,0.0,6.04,0.0,0.0,0.0,148.0,8.78,0.508,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix Side.gpx,https://www.komoot.com/tour/2970439252,71.5,109.0,0.521,0.0,2.71,0.0,177.0,0.241,3.94,3.32,1.19,1.06,0.0,0.0,0.0
2018 Grand Prix d'Isbergues - Pas de Calais.gpx,https://www.komoot.com/tour/2970440125,137.0,25.5,39.3,1.08,0.0,0.0,150.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix de Denain - Porte du Hainaut.gpx,https://www.komoot.com/tour/2970441075,143.0,20.1,10.4,18.8,0.0,0.0,170.0,10.5,19.0,0.364,8.54,0.0,0.0,0.155,0.0
2018 Grand Prix de Plumelec-Morbihan.gpx,https://www.komoot.com/tour/2970441877,183.0,0.0,0.592,0.0,0.0,0.0,183.0,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix de Wallonie.gpx,https://www.komoot.com/tour/2970442866,156.0,33.6,11.7,5.04,0.168,0.0,196.0,7.82,2.18,0.297,0.0,0.0,0.15,0.15,0.0
2018 Grand Prix de la Ville de Lillers - Souvenir Bruno Comini.gpx,https://www.komoot.com/tour/2970443638,159.0,7.27,20.7,0.417,0.0,0.0,162.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix de la Ville de Nogent sur Oise.gpx,https://www.komoot.com/tour/2970444454,170.0,0.0,3.1,9.37,0.0,0.0,181.0,0.976,0.401,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix de la ville de Perenchies.gpx,https://www.komoot.com/tour/2970445278,124.0,4.01,3.48,31.5,0.0,0.0,153.0,4.33,5.7,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix des Marbriers.gpx,https://www.komoot.com/tour/2970446233,141.0,0.0,13.5,0.0,0.0,0.0,62.2,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Gravel and Tar.gpx,https://www.komoot.com/tour/2970446969,99.8,14.6,7.04,4.01,4.76,0.0,20.0,74.3,0.0,4.91,0.0,31.0,0.0,0.0,0.0
2018 Great War Remembrance Race.gpx,https://www.komoot.com/tour/2970447884,95.5,2.88,4.2,72.0,0.0,0.0,123.0,55.0,10.3,0.248,6.97,3.88,0.0,0.623,0.0
2018 Grote Prijs Jean-Pierre Monsere.gpx,https://www.komoot.com/tour/2970449001,83.5,4.15,11.6,81.5,0.207,0.163,112.0,77.3,2.64,0.984,0.179,0.12,0.0,0.0,0.0
2018 Grote Prijs Marcel Kint.gpx,https://www.komoot.com/tour/2970451300,56.0,0.0,36.7,78.6,0.185,0.0,128.0,42.4,1.42,0.185,1.91,1.91,0.0,0.0,0.0
2018 Gylne Gutuer.gpx,https://www.komoot.com/tour/2970452078,123.0,37.4,3.27,0.0,0.0,0.0,112.0,2.16,0.0,2.2,2.73,3.2,0.0,47.1,0.0
2018 Hafjell GP.gpx,https://www.komoot.com/tour/2970452809,21.4,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
