fichier_gpx,route_url,state_road_km,road_km,path_km,street_km,cycleway_km,singletrack_km,asphalt_km,cobblestones_km,unpaved_km,paved_km,unknown_km,off-grid_(unknown)_km,access_road_km,compacted_gravel_km,alpine_km,alpine_path_km
2020 Grand Prix Mount Erciyes 2200 mt.gpx,https://www.komoot.com/tour/2972964930,53.8,98.3,0.0,2.25,0.0,0.0,150.0,0.0,0.0,4.26,3.78,3.78,0.0,0.0,0.0,0.0
2020 Grand Prix Velo Alanya.gpx,https://www.komoot.com/tour/2972966519,33.8,109.0,0.0,2.16,0.0,0.0,116.0,2.1,0.0,27.4,2.12,2.12,0.0,0.0,0.0,0.0
2020 Grand Prix Velo Erciyes.gpx,https://www.komoot.com/tour/2972967487,31.4,148.0,0.0,0.295,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Grand Prix World's Best High Altitude.gpx,https://www.komoot.com/tour/2972968454,114.0,18.7,0.137,3.39,0.0,0.0,133.0,0.0,0.137,2.1,0.77,0.0,0.0,0.0,0.0,0.0
2020 Grand Prix d'Isbergues - Pas de Calais.gpx,https://www.komoot.com/tour/2972969486,34.4,107.0,0.0,57.6,1.29,0.0,133.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0
2020 Grand Prix de la Ville de Lillers Souvenir Bruno Comini.gpx,https://www.komoot.com/tour/2972970606,7.27,159.0,0.0,20.7,0.417,0.0,162.0,0.0,0.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0
2020 Gravel and Tar.gpx,https://www.komoot.com/tour/2972971785,8.15,95.3,0.0,21.4,2.97,0.0,36.8,0.0,28.4,62.7,5.05,5.05,0.0,0.0,0.0,0.0
2020 Grote prijs Jean-Pierre Monsere.gpx,https://www.komoot.com/tour/2972973570,0.0,94.5,0.0,22.9,65.9,0.0,98.0,8.06,0.0,91.8,0.296,0.0,0.0,0.0,0.0,0.0
2020 Gylne Gutuer.gpx,https://www.komoot.com/tour/2972974453,17.5,150.0,2.94,3.39,0.254,0.0,97.9,0.0,3.69,12.6,2.2,0.0,0.0,57.3,0.0,0.0
2020 Hafjell TT.gpx,https://www.komoot.com/tour/2972975277,0.0,21.3,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Herald Sun Tour Stage 1.gpx,https://www.komoot.com/tour/2972976102,3.39,115.0,0.0,0.0,4.21,0.0,119.0,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0
2020 Herald Sun Tour Stage 2.gpx,https://www.komoot.com/tour/2972976976,0.0,120.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0
2020 Herald Sun Tour Stage 3.gpx,https://www.komoot.com/tour/2972977733,21.0,157.0,0.0,0.549,0.134,0.0,141.0,0.0,0.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0
2020 Herald Sun Tour Stage 4.gpx,https://www.komoot.com/tour/2972978524,0.0,106.0,0.0,0.0,0.589,0.219,89.8,0.0,0.319,16.7,0.0,0.0,0.0,0.0,0.0,0.0
2020 Herald Sun Tour Stage 5.gpx,https://www.komoot.com/tour/2972980204,0.0,64.4,7.46,0.0,17.9,0.0,68.1,0.0,0.0,14.5,0.0,0.0,0.0,7.06,0.0,0.0
2020 Il Lombardia.gpx,https://www.komoot.com/tour/2972981593,56.3,167.0,1.83,0.715,3.26,0.0,226.0,0.296,0.0,2.83,2.07,1.84,0.0,0.0,0.0,0.0
2020 In the footstep of the Romans Stage 1.gpx,https://www.komoot.com/tour/2972982433,0.0,121.0,0.0,5.19,0.0,0.0,61.9,0.0,0.0,64.2,0.123,0.123,0.0,0.0,0.0,0.0
2020 In the footstep of the Romans Stage 2.gpx,https://www.komoot.com/tour/2972983271,0.0,147.0,0.0,5.17,0.0,0.0,103.0,0.0,0.0,48.1,0.79,0.0,0.0,0.0,0.0,0.0
2020 International Rhodes Grand Prix.gpx,https://www.komoot.com/tour/2972984473,35.9,148.0,0.515,0.651,1.21,0.448,185.0,0.0,0.448,0.53,0.542,0.0,0.0,0.0,0.0,0.0
2020 International Tour of Rhodes Stage 1.gpx,https://www.komoot.com/tour/2972985670,17.7,133.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0
2020 International Tour of Rhodes Stage 2.gpx,https://www.komoot.com/tour/2972986824,1.19,144.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 International Tour of Rhodes Stage 3.gpx,https://www.komoot.com/tour/2972987851,47.8,114.0,0.201,0.572,0.33,0.448,159.0,0.0,0.448,4.16,0.619,0.436,0.0,0.0,0.0,0.0
2020 Israeli Road National Championships - ITT.gpx,https://www.komoot.com/tour/2972991130,29.8,0.0,0.0,0.0,0.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Israeli Road National Championships.gpx,https://www.komoot.com/tour/2972991898,130.0,8.19,0.0,0.214,0.0,0.145,139.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Italian Road National Championships.gpx,https://www.komoot.com/tour/2972993325,36.0,192.0,0.374,3.65,19.1,0.148,235.0,0.931,0.0,13.9,3.2,2.07,0.0,0.0,0.0,0.0
2020 Kuurne-Bruxelles-Kuurne.gpx,https://www.komoot.com/tour/2972994395,19.6,74.8,0.0,22.0,73.6,0.0,131.0,4.85,0.0,66.7,0.12,0.0,0.0,0.0,0.0,0.0
2020 La Fleche Wallonne.gpx,https://www.komoot.com/tour/2972995496,37.4,141.0,0.0,14.8,6.72,0.0,194.0,0.196,0.0,5.9,0.0,0.0,0.108,0.0,0.0,0.0
2020 La Route d'Occitanie - La Depeche du Midi Stage 1.gpx,https://www.komoot.com/tour/2972996974,34.4,153.0,0.245,0.754,0.0,0.0,180.0,0.0,0.245,8.14,0.0,0.0,0.0,0.0,0.0,0.0
2020 La Route d'Occitanie - La Depeche du Midi Stage 2.gpx,https://www.komoot.com/tour/2972997978,7.22,161.0,0.0,3.04,1.97,0.0,167.0,0.0,0.0,4.86,2.54,0.35,0.0,0.0,0.0,0.0
2020 La Route d'Occitanie - La Depeche du Midi Stage 3.gpx,https://www.komoot.com/tour/2972999138,8.22,154.0,0.0,0.432,0.773,0.0,151.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0
2020 La Route d'Occitanie - La Depeche du Midi Stage 4.gpx,https://www.komoot.com/tour/2973000345,97.7,94.2,0.0,0.0,2.52,0.0,193.0,0.369,0.0,1.59,0.277,0.277,0.0,0.0,0.0,0.0
2020 La Tropicale Amissa Bongo Stage 1.gpx,https://www.komoot.com/tour/2973001607,126.0,4.97,0.0,0.932,0.0,0.0,50.2,0.0,0.708,80.8,18.0,18.8,0.0,0.0,0.0,0.0
2020 La Tropicale Amissa Bongo Stage 2.gpx,https://www.komoot.com/tour/2973002689,49.9,17.9,0.0,0.343,0.0,0.0,67.0,0.0,0.788,0.343,39.0,39.0,0.0,0.0,0.0,0.0
2020 La Tropicale Amissa Bongo Stage 3.gpx,https://www.komoot.com/tour/2973003526,154.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,32.6,32.6,0.0,0.0,0.0,0.0
2020 La Tropicale Amissa Bongo Stage 4.gpx,https://www.komoot.com/tour/2973004555,81.8,3.01,0.0,2.83,0.0,0.0,44.4,0.0,0.0,42.9,97.7,104.0,0.0,0.0,0.0,0.0
2020 La Tropicale Amissa Bongo Stage 5.gpx,https://www.komoot.com/tour/2973005418,76.3,5.62,0.0,0.0,0.0,0.0,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 La Tropicale Amissa Bongo Stage 6.gpx,https://www.komoot.com/tour/2973006526,55.7,78.5,0.0,0.0,0.0,0.0,125.0,0.0,8.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 La Tropicale Amissa Bongo Stage 7.gpx,https://www.komoot.com/tour/2973007852,73.6,54.3,0.0,0.245,0.0,0.0,124.0,0.0,0.148,4.36,2.81,2.57,0.434,0.0,0.0,0.0
2020 Le Samyn.gpx,https://www.komoot.com/tour/2973008996,6.37,134.0,0.0,21.8,35.6,0.0,147.0,15.0,0.0,36.6,1.22,1.13,0.0,0.0,0.0,0.0
2020 Le Tour de Savoie Mont Blanc Stage 1.gpx,https://www.komoot.com/tour/2973010268,26.7,73.3,0.0,4.13,4.63,0.0,98.9,0.0,0.0,9.81,0.254,0.254,0.0,0.0,0.0,0.0
2020 Le Tour de Savoie Mont Blanc Stage 2-1.gpx,https://www.komoot.com/tour/2973011066,20.7,58.3,0.0,0.0,17.6,0.0,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Liege-Bastogne-Liege.gpx,https://www.komoot.com/tour/2973012118,61.1,180.0,0.0,5.31,10.2,0.0,249.0,0.488,0.0,7.65,0.644,0.621,0.0,0.0,0.0,0.0
2020 Lillehammer GP.gpx,https://www.komoot.com/tour/2973013157,18.4,112.0,0.434,0.82,1.41,0.0,131.0,0.0,0.666,0.411,0.464,0.0,0.0,0.0,0.0,0.0
2020 Luxembourg Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973014081,0.0,10.9,0.0,0.0,10.1,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Luxembourg Road National Championships.gpx,https://www.komoot.com/tour/2973014907,0.0,121.0,12.8,2.37,6.32,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Malaysian International Classic Race.gpx,https://www.komoot.com/tour/2973016085,86.9,73.1,0.0,1.06,0.0,0.0,160.0,0.0,0.0,0.0,1.99,1.31,0.0,0.0,0.0,0.0
2020 Memorial Marco Pantani.gpx,https://www.komoot.com/tour/2973017382,3.09,178.0,0.531,11.5,0.958,0.0,177.0,0.0,0.0,16.7,4.99,5.58,0.0,0.0,0.0,0.0
2020 Milano - Sanremo.gpx,https://www.komoot.com/tour/2973018751,132.0,153.0,3.97,1.15,4.37,0.0,285.0,0.0,6.3,2.66,12.4,12.4,0.0,0.0,0.0,0.0
2020 Milano - Torino.gpx,https://www.komoot.com/tour/2973020182,97.7,98.8,0.0,1.7,1.96,0.0,192.0,1.08,5.28,1.51,0.512,0.512,0.0,0.0,0.0,0.0
2020 Mont Ventoux Denivele Challenge.gpx,https://www.komoot.com/tour/2973021165,3.11,162.0,0.0,0.0,12.3,0.0,177.0,0.0,0.0,0.715,0.745,0.661,0.0,0.0,0.0,0.0
2020 New Zealand Cycle Classic Stage 1.gpx,https://www.komoot.com/tour/2973022363,0.0,122.0,0.0,0.626,0.0,0.0,5.01,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 New Zealand Cycle Classic Stage 2.gpx,https://www.komoot.com/tour/2973023000,0.0,119.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0
2020 New Zealand Cycle Classic Stage 3.gpx,https://www.komoot.com/tour/2973023662,0.0,128.0,0.0,0.0,0.0,0.0,62.1,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 New Zealand Cycle Classic Stage 4.gpx,https://www.komoot.com/tour/2973024325,0.0,175.0,0.0,0.0,0.0,0.0,68.6,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 New Zealand Cycle Classic Stage 5.gpx,https://www.komoot.com/tour/2973025680,0.0,124.0,0.0,0.0,0.0,0.0,76.5,0.0,0.0,47.3,0.0,0.0,0.0,0.0,0.0,0.0
2020 New Zealand Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973026416,0.0,35.9,0.0,2.63,0.0,0.0,24.6,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0
2020 New Zealand Road National Championships.gpx,https://www.komoot.com/tour/2973027361,0.324,154.0,0.0,17.7,3.18,0.0,75.5,0.0,0.0,99.6,0.455,0.455,0.0,0.0,0.0,0.0
2020 Norwegian Road National Championships.gpx,https://www.komoot.com/tour/2973028288,0.0,121.0,0.0,0.887,0.0,0.0,113.0,0.0,0.0,9.29,0.179,0.0,0.0,0.0,0.0,0.0
2020 Omloop Het Nieuwsblad.gpx,https://www.komoot.com/tour/2973029263,2.65,65.2,0.174,45.1,77.2,0.0,103.0,20.1,0.0,77.3,0.482,0.269,0.186,0.0,0.0,0.0
2020 PETRONAS Le Tour de Langkawi Stage 1.gpx,https://www.komoot.com/tour/2973030434,63.1,36.2,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 PETRONAS Le Tour de Langkawi Stage 2.gpx,https://www.komoot.com/tour/2973031737,137.0,37.8,0.0,0.778,0.0,0.0,174.0,0.0,0.0,1.5,0.0,0.234,0.0,0.0,0.0,0.0
2020 PETRONAS Le Tour de Langkawi Stage 3.gpx,https://www.komoot.com/tour/2973033069,60.9,52.4,0.0,0.733,0.0,0.762,102.0,0.187,0.631,11.4,47.3,46.6,0.0,0.0,0.0,0.0
2020 PETRONAS Le Tour de Langkawi Stage 4.gpx,https://www.komoot.com/tour/2973034533,63.1,87.3,0.501,1.89,0.0,0.13,151.0,0.0,0.126,1.5,5.51,4.89,0.0,0.0,0.0,0.0
2020 PETRONAS Le Tour de Langkawi Stage 5.gpx,https://www.komoot.com/tour/2973035522,165.0,1.07,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.16,0.17,0.17,0.0,0.0,0.0,0.0
2020 PETRONAS Le Tour de Langkawi Stage 6.gpx,https://www.komoot.com/tour/2973036699,122.0,5.55,0.198,17.8,1.68,0.0,145.0,0.0,0.0,1.97,2.35,2.24,0.0,0.0,0.0,0.0
2020 PETRONAS Le Tour de Langkawi Stage 7.gpx,https://www.komoot.com/tour/2973037784,68.7,62.1,0.0,0.583,0.0,0.0,127.0,0.817,0.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0
2020 PETRONAS Le Tour de Langkawi Stage 8.gpx,https://www.komoot.com/tour/2973038683,74.0,35.1,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Paris - Nice Stage 1.gpx,https://www.komoot.com/tour/2973039619,47.4,97.8,0.0,2.55,5.3,0.0,141.0,0.639,0.0,11.7,0.913,0.521,0.166,0.0,0.0,0.0
2020 Paris - Nice Stage 2.gpx,https://www.komoot.com/tour/2973040532,30.8,132.0,0.0,1.51,2.41,0.0,162.0,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0
2020 Paris - Nice Stage 3.gpx,https://www.komoot.com/tour/2973041506,46.2,165.0,0.0,0.789,0.533,0.0,203.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0
2020 Paris - Nice Stage 4.gpx,https://www.komoot.com/tour/2973042406,0.258,10.5,0.0,3.19,1.23,0.0,7.99,0.0,0.0,7.22,0.0,0.0,0.0,0.0,0.0,0.0
2020 Paris - Nice Stage 5.gpx,https://www.komoot.com/tour/2973043595,13.2,205.0,0.0,2.84,6.3,0.0,218.0,0.0,0.0,8.59,0.0,0.0,0.0,0.0,0.0,0.0
2020 Paris - Nice Stage 6.gpx,https://www.komoot.com/tour/2973044549,0.821,153.0,0.0,1.97,5.97,0.0,155.0,0.0,0.0,6.72,0.179,0.0,0.0,0.0,0.0,0.0
2020 Paris - Nice Stage 7.gpx,https://www.komoot.com/tour/2973045701,14.5,144.0,0.0,0.0,6.97,0.0,165.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0,0.0
2020 Paris - Tours Elite.gpx,https://www.komoot.com/tour/2973047170,6.91,180.0,7.97,11.6,6.12,0.0,183.0,0.105,6.56,20.6,0.675,0.675,0.0,2.33,0.0,0.0
2020 Paris-Camembert.gpx,https://www.komoot.com/tour/2973048472,22.9,167.0,0.446,4.62,0.0,0.0,149.0,0.559,0.0,45.3,0.0,0.0,0.0,0.0,0.0,0.0
2020 Paris-Chauny (classique).gpx,https://www.komoot.com/tour/2973049436,11.6,184.0,0.0,6.83,3.73,0.0,197.0,0.0,0.0,8.63,0.13,0.0,0.0,0.0,0.0,0.0
2020 Polish Road National Road Championships.gpx,https://www.komoot.com/tour/2973050662,0.0,98.0,0.0,21.4,1.83,0.0,61.2,0.0,1.25,58.4,1.26,0.969,0.0,0.0,0.0,0.0
2020 Prueba Villafranca-Ordiziako Klasika.gpx,https://www.komoot.com/tour/2973051681,0.0,156.0,2.75,4.87,2.9,0.0,165.0,1.29,0.0,0.376,0.0,0.0,0.0,0.0,0.0,0.0
2020 Puchar Mon.gpx,https://www.komoot.com/tour/2973052893,18.5,146.0,0.0,10.8,1.7,0.0,176.0,0.0,0.0,0.573,0.0,0.0,0.0,0.0,0.0,0.0
2020 Romanian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973053717,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Romanian Road National Championships.gpx,https://www.komoot.com/tour/2973054563,31.0,94.3,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Ronde van Vlaanderen.gpx,https://www.komoot.com/tour/2973055875,11.4,90.2,0.248,28.9,98.5,0.0,120.0,19.9,0.21,103.0,1.21,0.834,0.0,0.0,0.0,0.0
2020 Royal Bernard Drome Classic.gpx,https://www.komoot.com/tour/2973057175,18.0,165.0,1.07,12.8,2.62,0.0,172.0,0.0,0.0,25.7,5.16,3.5,0.0,0.0,0.0,0.0
2020 Santos Tour Down Under Stage 1.gpx,https://www.komoot.com/tour/2973058160,22.8,109.0,0.0,2.97,15.2,0.0,139.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0
2020 Santos Tour Down Under Stage 2.gpx,https://www.komoot.com/tour/2973058935,55.6,75.1,0.0,2.9,2.31,0.0,69.3,0.0,0.0,66.5,0.0,0.0,0.0,0.0,0.0,0.0
2020 Santos Tour Down Under Stage 3.gpx,https://www.komoot.com/tour/2973059725,41.1,79.8,0.0,3.2,2.9,0.0,105.0,0.0,0.0,21.8,4.17,4.15,0.0,0.0,0.0,0.0
2020 Santos Tour Down Under Stage 4.gpx,https://www.komoot.com/tour/2973060600,121.0,27.8,0.0,3.19,1.03,0.0,111.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0
2020 Santos Tour Down Under Stage 5.gpx,https://www.komoot.com/tour/2973061720,71.1,53.6,0.551,2.2,13.4,0.0,107.0,0.0,0.359,33.8,9.02,8.9,0.0,0.0,0.0,0.0
2020 Santos Tour Down Under Stage 6.gpx,https://www.komoot.com/tour/2973063077,23.7,112.0,0.0,8.0,5.98,0.0,141.0,0.0,0.0,8.77,1.8,1.8,0.0,0.0,0.0,0.0
2020 Saudi Tour Stage 1.gpx,https://www.komoot.com/tour/2973064407,46.4,105.0,0.0,0.842,0.0,0.0,151.0,0.0,0.0,0.608,20.9,20.9,0.0,0.0,0.0,0.0
2020 Saudi Tour Stage 2.gpx,https://www.komoot.com/tour/2973065740,38.1,144.0,0.0,3.61,0.0,0.0,179.0,0.0,0.0,6.43,1.44,1.44,0.0,0.0,0.0,0.0
2020 Saudi Tour Stage 3.gpx,https://www.komoot.com/tour/2973066647,1.77,53.7,0.0,4.88,0.0,0.0,53.4,0.0,0.0,6.43,56.0,60.9,0.0,0.0,0.0,0.0
2020 Saudi Tour Stage 4.gpx,https://www.komoot.com/tour/2973067803,31.1,61.5,0.0,4.62,0.0,0.0,64.7,0.0,0.0,32.4,38.3,40.0,0.0,0.0,0.0,0.0
2020 Saudi Tour Stage 5.gpx,https://www.komoot.com/tour/2973069068,68.6,57.5,0.0,0.0,0.0,0.0,118.0,0.937,0.0,6.86,17.0,18.2,0.0,0.0,0.0,0.0
2020 Scheldeprijs.gpx,https://www.komoot.com/tour/2973070721,0.0,19.3,0.0,7.41,128.0,7.44,41.7,6.37,0.0,125.0,3.57,3.43,0.0,0.0,0.0,0.0
2020 Serbian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973071675,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Serbian Road National Championships.gpx,https://www.komoot.com/tour/2973072909,144.0,68.6,0.0,1.89,2.48,0.0,214.0,0.0,0.0,2.34,0.0,0.296,0.0,0.0,0.0,0.0
2020 Sibiu Cycling Tour Prologue.gpx,https://www.komoot.com/tour/2973073728,0.0,0.502,0.88,1.16,0.0,0.0,1.17,1.24,0.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0
2020 Sibiu Cycling Tour Stage 1.gpx,https://www.komoot.com/tour/2973074817,91.2,90.4,0.0,0.0,1.23,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Sibiu Cycling Tour Stage 2.gpx,https://www.komoot.com/tour/2973075680,18.5,153.0,0.295,0.579,4.99,0.0,175.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0
2020 Slovakian Road National Championship - ITT.gpx,https://www.komoot.com/tour/2973076438,0.0,41.2,0.0,0.0,0.0,0.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Slovakian Road National Championship.gpx,https://www.komoot.com/tour/2973077301,3.54,159.0,0.0,2.54,0.0,0.0,162.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0
2020 Slovenian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973078172,0.0,15.6,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Slovenian Road National Championships.gpx,https://www.komoot.com/tour/2973079040,0.0,102.0,0.0,33.8,10.5,0.0,138.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0
2020 South African Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973079856,0.0,19.9,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 South African Road National Championships.gpx,https://www.komoot.com/tour/2973080608,7.35,99.9,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.323,0.0,0.0,0.0,0.0,0.0,0.0
2020 Spanish Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973081431,0.0,47.1,0.0,0.637,0.0,0.0,47.1,0.378,0.0,0.263,0.0,0.0,0.0,0.0,0.0,0.0
2020 Spanish Road National Championships.gpx,https://www.komoot.com/tour/2973082313,18.6,75.3,0.0,7.63,0.254,0.0,94.0,7.28,0.183,0.304,2.8,2.8,0.0,0.0,0.0,0.0
2020 Strade Bianche.gpx,https://www.komoot.com/tour/2973083341,26.7,112.0,0.379,45.0,0.0,0.0,121.0,0.841,12.1,2.9,0.394,0.346,0.0,47.2,0.0,0.0
2020 The Princess Maha Chakri Sirindhorn's Cup Tour of Thailand Stage 1.gpx,https://www.komoot.com/tour/2973084419,48.7,74.7,0.0,0.318,4.09,0.0,100.0,0.0,0.0,27.5,0.309,0.0,0.0,0.0,0.0,0.0
2020 The Princess Maha Chakri Sirindhorn's Cup Tour of Thailand Stage 2.gpx,https://www.komoot.com/tour/2973085075,26.3,62.3,0.0,1.59,16.3,0.0,75.7,0.0,0.0,30.8,0.211,0.211,0.0,0.0,0.0,0.0
2020 The Princess Maha Chakri Sirindhorn's Cup Tour of Thailand Stage 3.gpx,https://www.komoot.com/tour/2973085908,37.8,133.0,0.0,0.827,21.1,0.0,174.0,0.0,0.0,18.7,0.591,0.724,0.0,0.0,0.0,0.0
2020 The Princess Maha Chakri Sirindhorn's Cup Tour of Thailand Stage 4.gpx,https://www.komoot.com/tour/2973086741,79.2,57.8,0.0,0.0,0.0,0.0,133.0,0.0,0.0,4.21,0.288,0.288,0.0,0.0,0.0,0.0
2020 The Princess Maha Chakri Sirindhorn's Cup Tour of Thailand Stage 5.gpx,https://www.komoot.com/tour/2973087566,22.1,198.0,0.0,0.366,0.0,0.0,197.0,0.0,0.0,23.1,0.577,0.577,0.0,0.0,0.0,0.0
2020 The Princess Maha Chakri Sirindhorn's Cup Tour of Thailand Stage 6.gpx,https://www.komoot.com/tour/2973088721,110.0,21.7,0.0,0.0,9.06,0.0,131.0,0.0,0.0,9.77,0.0,0.2,0.0,0.0,0.0,0.0
2020 Tirreno Adriatico Stage 1.gpx,https://www.komoot.com/tour/2973090270,43.1,90.3,0.342,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0
2020 Tirreno Adriatico Stage 2.gpx,https://www.komoot.com/tour/2973091253,66.1,131.0,0.0,2.77,0.979,0.0,197.0,0.0,0.0,3.32,0.629,0.607,0.0,0.0,0.0,0.0
2020 Tirreno Adriatico Stage 3.gpx,https://www.komoot.com/tour/2973092157,59.0,155.0,0.0,1.55,0.124,0.284,208.0,0.0,0.284,7.43,0.613,0.613,0.0,0.0,0.0,0.0
2020 Tirreno Adriatico Stage 4.gpx,https://www.komoot.com/tour/2973093282,107.0,87.2,0.0,0.0,0.585,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Tirreno Adriatico Stage 6.gpx,https://www.komoot.com/tour/2973098027,22.4,124.0,0.56,2.27,23.4,0.0,171.0,0.144,0.0,1.2,0.191,0.0,0.0,0.0,0.0,0.0
2020 Tirreno Adriatico Stage 7.gpx,https://www.komoot.com/tour/2973099169,68.2,110.0,0.305,1.17,1.71,0.316,181.0,0.0,0.216,0.418,1.22,1.14,0.0,0.0,0.0,0.0
2020 Tirreno Adriatico Stage 8.gpx,https://www.komoot.com/tour/2973100485,0.0,2.95,0.842,0.24,4.43,0.0,3.34,0.0,0.0,4.81,2.1,1.77,0.0,0.0,0.0,0.0
2020 Tour Bitwa Warszawska 1920 Prologue.gpx,https://www.komoot.com/tour/2973101203,0.0,0.0,0.329,0.0,0.597,0.0,0.899,0.0,0.0,0.0,0.901,0.901,0.0,0.0,0.0,0.0
2020 Tour Bitwa Warszawska 1920 Stage 1.gpx,https://www.komoot.com/tour/2973102343,0.0,127.0,3.01,21.5,0.582,0.0,117.0,3.23,10.1,21.1,1.29,0.0,0.0,0.0,0.0,0.0
2020 Tour Bitwa Warszawska 1920 Stage 3.gpx,https://www.komoot.com/tour/2973103227,5.76,98.0,1.05,23.1,0.931,0.0,107.0,1.95,0.0,14.7,6.16,5.79,0.0,4.26,0.0,0.0
2020 Tour Bitwa Warszawska 1920 Stage 4.gpx,https://www.komoot.com/tour/2973104115,15.5,136.0,3.19,5.09,0.0,0.0,123.0,0.15,12.6,23.7,0.657,0.657,0.0,0.0,0.0,0.0
2020 Tour Colombia 2.1 Stage 1.gpx,https://www.komoot.com/tour/2973105038,12.8,3.62,0.0,0.266,0.0,0.0,16.4,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0
2020 Tour Colombia 2.1 Stage 2.gpx,https://www.komoot.com/tour/2973106167,147.0,2.79,0.0,1.84,1.75,0.0,92.7,0.0,0.0,60.4,0.0,0.0,0.0,0.0,0.0,0.0
2020 Tour Colombia 2.1 Stage 3.gpx,https://www.komoot.com/tour/2973107231,182.0,0.0,0.0,0.333,0.0,0.0,182.0,0.0,0.0,0.333,0.496,0.496,0.0,0.0,0.0,0.0
2020 Tour Colombia 2.1 Stage 4.gpx,https://www.komoot.com/tour/2973108215,171.0,0.304,0.0,1.93,0.0,0.0,169.0,0.0,0.251,4.47,0.447,0.447,0.0,0.0,0.0,0.0
