fichier_gpx,route_url,state_road_km,road_km,path_km,street_km,cycleway_km,singletrack_km,asphalt_km,cobblestones_km,unpaved_km,paved_km,unknown_km,off-grid_(unknown)_km,access_road_km,compacted_gravel_km,alpine_km,alpine_path_km
2020 Belgian Road National Championships.gpx,https://www.komoot.com/tour/2972852256,16.9,86.4,0.268,6.22,120.0,0.0,146.0,1.93,0.0,90.0,1.17,0.269,0.202,0.0,0.0,0.0
2020 Belgrade Banjaluka Stage 1.gpx,https://www.komoot.com/tour/2972853227,104.0,27.1,1.24,1.63,0.362,0.0,132.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0
2020 Belgrade Banjaluka Stage 2.gpx,https://www.komoot.com/tour/2972854400,124.0,48.0,1.43,3.75,0.0,0.0,175.0,0.0,1.18,0.825,1.75,3.77,0.0,0.0,0.0,0.0
2020 Belgrade Banjaluka Stage 3.gpx,https://www.komoot.com/tour/2972855437,106.0,18.9,0.0,5.09,0.0,0.0,125.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0
2020 Belgrade Banjaluka Stage 4.gpx,https://www.komoot.com/tour/2972856719,86.7,22.1,6.22,15.6,9.61,0.0,116.0,0.214,6.5,17.3,24.2,23.6,0.0,0.0,0.0,0.0
2020 BinckBank Tour Stage 1.gpx,https://www.komoot.com/tour/2972860496,0.569,48.6,0.667,4.3,68.1,0.0,71.8,0.648,0.599,57.8,1.61,1.31,0.0,0.0,0.0,0.0
2020 BinckBank Tour Stage 2.gpx,https://www.komoot.com/tour/2972861458,19.8,14.9,1.21,20.2,89.7,0.0,88.2,3.58,0.0,64.1,2.12,0.0,0.0,0.0,0.0,0.0
2020 BinckBank Tour Stage 3.gpx,https://www.komoot.com/tour/2972862190,0.0,5.47,0.0,0.186,0.0,0.0,3.73,0.359,0.0,4.0,2.42,0.0,0.0,0.0,0.0,0.0
2020 BinckBank Tour Stage 4.gpx,https://www.komoot.com/tour/2972863398,1.11,90.5,0.694,29.2,62.6,0.0,137.0,11.7,0.0,39.0,0.848,0.0,0.841,0.0,0.0,0.0
2020 Bretagne Classic - Ouest France.gpx,https://www.komoot.com/tour/2972864639,4.13,237.0,0.0,3.78,3.68,0.0,157.0,0.243,1.29,89.4,0.744,0.0,0.0,0.0,0.0,0.0
2020 Brussels Cycling Classic.gpx,https://www.komoot.com/tour/2972865759,11.1,74.2,1.95,9.02,90.7,0.0,119.0,1.64,0.412,73.5,7.71,7.61,0.37,1.64,0.0,0.0
2020 Cadel Evans Great Ocean Road Race.gpx,https://www.komoot.com/tour/2972866612,3.88,87.5,0.0,2.33,27.9,0.0,83.5,0.0,0.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0
2020 Cambodia Bay Cycling Tour Stage 1.gpx,https://www.komoot.com/tour/2972867293,87.9,50.8,0.632,0.0,0.0,0.0,138.0,0.0,0.933,0.0,5.99,5.99,0.0,0.0,0.0,0.0
2020 Cambodia Bay Cycling Tour Stage 2.gpx,https://www.komoot.com/tour/2972868519,130.0,32.4,0.0,0.198,0.0,0.0,153.0,0.0,9.76,0.198,0.573,0.573,0.0,0.0,0.0,0.0
2020 Cambodia Bay Cycling Tour Stage 3.gpx,https://www.komoot.com/tour/2972869353,130.0,12.6,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.594,0.0,0.0,0.0,0.0,0.0,0.0
2020 Chinese Road National Championships - ITT.gpx,https://www.komoot.com/tour/2972870411,73.5,114.0,4.38,0.0,0.0,0.0,192.0,0.0,0.0,0.148,0.965,0.965,0.0,0.0,0.0,0.0
2020 Circuito de Getxo-Memorial Hermanos Otxoa.gpx,https://www.komoot.com/tour/2972872404,80.3,51.2,0.162,32.7,22.0,0.0,159.0,4.53,0.0,23.1,0.147,0.0,0.0,0.0,0.0,0.0
2020 Clasica de Almeria.gpx,https://www.komoot.com/tour/2972873427,11.0,161.0,0.0,7.66,0.25,0.0,167.0,0.0,0.976,12.5,6.93,6.93,0.0,0.0,0.0,0.0
2020 Colombian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2972874056,0.0,41.3,0.0,0.213,0.0,0.0,41.3,0.0,0.0,0.213,0.0,0.0,0.0,0.0,0.0,0.0
2020 Colombian Road National Championships.gpx,https://www.komoot.com/tour/2972875044,25.3,59.8,0.35,5.73,0.0,0.0,85.1,0.0,0.0,5.73,0.35,0.0,0.0,0.0,0.0,0.0
2020 Coppa Sabatini - Gran Premio citta di Peccioli.gpx,https://www.komoot.com/tour/2972876044,35.3,169.0,0.0,4.77,0.0,0.0,205.0,0.826,0.0,3.3,2.13,2.48,0.0,0.0,0.0,0.0
2020 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 1.gpx,https://www.komoot.com/tour/2972877146,9.01,151.0,0.611,13.3,0.345,0.0,171.0,0.0,1.62,0.314,0.69,0.0,0.0,0.122,0.0,0.0
