jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,fichier_pcs,score,statut
4,1,2019,result,nc-new-zealand-itt,NC,2019 New Zealand Road National Championships - ITT.gpx,04_January_2019__result__nc-new-zealand-itt_2019__NC.csv,80.0,match
6,1,2019,result,nc-new-zealand,NC,2019 New Zealand Road National Championships.gpx,06_January_2019__result__nc-new-zealand_2019__NC.csv,88.0,match
6,1,2019,result,nc-australia,NC,2019 Australian Road National Championships.gpx,06_January_2019__result__nc-australia_2019__NC.csv,86.0,match
8,1,2019,result,nc-australia-itt,NC,2019 Australian Road National Championships - ITT.gpx,08_January_2019__result__nc-australia-itt_2019__NC.csv,74.0,match
11,1,2019,stage_1,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 1.gpx,11_January_2019__stage_1__vuelta-al-tachira_2019__2.2.csv,100.0,match
12,1,2019,stage_2,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 2.gpx,12_January_2019__stage_2__vuelta-al-tachira_2019__2.2.csv,100.0,match
13,1,2019,stage_3,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 3.gpx,13_January_2019__stage_3__vuelta-al-tachira_2019__2.2.csv,100.0,match
14,1,2019,stage_4,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 4.gpx,14_January_2019__stage_4__vuelta-al-tachira_2019__2.2.csv,100.0,match
15,1,2019,stage_1,tour-down-under,2.UWT,2019 Santos Tour Down Under Stage 1.gpx,15_January_2019__stage_1__tour-down-under_2019__2.UWT.csv,100.0,match
15,1,2019,stage_5,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 5.gpx,15_January_2019__stage_5__vuelta-al-tachira_2019__2.2.csv,100.0,match
16,1,2019,stage_6,vuelta-al-tachira,2.2,2019 Vuelta al Tachira en Bicicleta Stage 6.gpx,16_January_2019__stage_6__vuelta-al-tachira_2019__2.2.csv,100.0,match
