jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,state_road_km,off-grid_(unknown)_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,access_road_km,alpine_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,type_course,niveau_uci,is_stage_race,cluster,cluster_label
16,1,2024,stage_3,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 3.gpx,https://www.komoot.com/tour/2962395918,0.156,0.0,3.28,119.0,3.53,120.0,0.0,0.0,3.69,3.25,0.0,0.0,0.0,0.0,0.0,126.34,703.0,1362.0,815.0,54.0,2.0,1.0,0.0,0.0,0.0,0.9859,0.5325,0.0,0.0,0.0,0.6,0.03,0.54,182.0,sprint,1,1,3.0,accidente_altitude
17,1,2024,stage_2,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 2.gpx,https://www.komoot.com/tour/2960713403,57.9,5.75,0.0,0.0,40.7,0.0,0.0,0.0,62.5,41.8,0.0,0.0,0.0,0.0,0.0,104.28,1710.0,1338.0,516.0,117.0,4.0,4.0,2.0,0.0,0.0,0.9996,0.9996,0.7929,0.0,0.0,4.1,1.2,2.06,230.0,arrivee_en_cote,4,1,5.0,accidente_long
17,1,2024,stage_4,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 4.gpx,https://www.komoot.com/tour/2962396663,16.5,0.0,12.0,27.7,57.2,29.0,0.0,0.0,73.9,11.8,0.0,0.0,0.0,0.0,0.0,114.42,2627.0,1972.0,1604.0,414.0,7.0,5.0,1.0,1.0,1.0,0.9997,0.9997,0.9997,0.9997,0.9997,4.3,4.43,4.76,470.0,montagne,1,1,0.0,montagne
18,1,2024,stage_3,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 3.gpx,https://www.komoot.com/tour/2960714697,90.6,1.22,1.46,0.0,0.11,0.0,0.0,0.0,78.1,15.5,0.0,0.0,0.0,0.0,0.0,93.66,1195.0,922.0,375.0,6.0,4.0,2.0,1.0,0.0,0.0,0.9995,0.9995,0.9995,0.0,0.0,5.5,7.4,5.72,381.0,arrivee_en_cote,4,1,5.0,accidente_long
18,1,2024,stage_5,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 5.gpx,https://www.komoot.com/tour/2962398299,0.203,0.0,4.24,118.0,12.5,118.0,0.0,0.0,12.7,4.13,0.0,0.0,0.0,0.0,0.0,134.15,2226.0,897.0,1492.0,53.0,3.0,2.0,1.0,1.0,1.0,0.9948,0.9948,0.9948,0.9948,0.9948,6.7,6.83,6.74,636.0,arrivee_en_cote,1,1,3.0,accidente_altitude
19,1,2024,stage_4,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 4.gpx,https://www.komoot.com/tour/2960716218,59.5,0.0,0.885,0.0,75.7,0.0,0.0,0.0,107.0,29.2,0.0,0.0,0.0,0.0,0.0,136.09,537.0,547.0,239.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5336,0.5336,0.0,0.0,0.0,1.5,0.03,0.18,81.0,sprint,4,1,2.0,court_plat
19,1,2024,stage_6,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 6.gpx,https://www.komoot.com/tour/2962398976,8.78,0.0,5.31,118.0,1.42,117.0,0.732,0.0,10.6,4.86,0.0,0.0,0.0,0.0,0.0,131.85,2153.0,943.0,1546.0,188.0,2.0,1.0,1.0,1.0,1.0,0.884,0.884,0.884,0.884,0.884,2.5,-1.37,0.5,30.0,accidentee,1,1,3.0,accidente_altitude
20,1,2024,result,gp-de-valence,1.1,2024 Classica Comunitat Valenciana 1969 - Gran Premi Valencia.gpx,https://www.komoot.com/tour/2951658489,145.0,0.446,0.401,2.48,52.6,2.42,0.0,0.0,196.0,1.25,0.0,1.46,0.0,0.0,0.0,201.59,2036.0,2261.0,625.0,-1.0,7.0,4.0,2.0,0.0,0.0,0.6909,0.6224,0.4354,0.0,0.0,0.3,0.13,0.02,17.0,accidentee,2,0,5.0,accidente_long
20,1,2024,result,gravel-and-tar,1.2,2024 Gravel and Tar Classic.gpx,https://www.komoot.com/tour/2951776988,123.0,0.0,16.1,0.0,0.0,0.0,0.0,0.0,6.66,107.0,0.0,25.0,0.0,0.0,0.0,139.29,1779.0,1772.0,297.0,69.0,8.0,2.0,0.0,0.0,0.0,0.9583,0.4158,0.0,0.0,0.0,-3.1,-1.63,-1.8,179.0,sprint,1,0,4.0,semi_montagne_pave
20,1,2024,stage_7,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 7.gpx,https://www.komoot.com/tour/2962400467,2.09,21.1,2.47,28.6,87.2,28.9,0.276,0.0,108.0,4.37,0.0,0.0,0.0,0.0,0.0,141.7,1954.0,744.0,1519.0,290.0,2.0,2.0,1.0,1.0,1.0,0.9975,0.9975,0.9975,0.9975,0.9975,7.7,7.53,5.34,299.0,arrivee_en_cote,1,1,0.0,montagne
20,1,2024,stage_5,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 5.gpx,https://www.komoot.com/tour/2960717691,109.0,3.27,8.89,0.0,7.88,0.264,0.281,0.0,117.0,11.5,0.0,0.0,0.0,0.0,0.0,129.28,1435.0,1065.0,380.0,0.0,4.0,2.0,1.0,0.0,0.0,0.9994,0.9994,0.7772,0.0,0.0,5.5,7.13,5.74,314.0,arrivee_en_cote,4,1,5.0,accidente_long
21,1,2024,stage_8,vuelta-al-tachira,2.2,2024 Vuelta al Tachira en Bicicleta Stage 8.gpx,https://www.komoot.com/tour/2962401443,98.7,0.0,20.3,1.8,0.0,0.301,0.0,0.0,105.0,12.6,0.0,0.0,0.0,0.0,0.0,118.61,1780.0,1789.0,1051.0,951.0,12.0,0.0,0.0,0.0,0.0,0.9887,0.0,0.0,0.0,0.0,-1.8,1.9,1.36,151.0,sprint,1,1,5.0,accidente_long
