rider,equipe,ate_log,ate_orig,ci_low,ci_high,significant,r2_t,r2_y,mean_cate,std_cate,p25_cate,p75_cate,n_obs,n_selected
sutherland_rory,UAE Team Emirates,0.626083,0.8703,-0.0006,1.9427,0,0.5986,0.1426,,,,,517,124
torres_pablo,UAE Team Emirates,0.412736,0.5109,-0.1545,1.8913,0,0.3171,0.2602,,,,,601,68
trentin_matteo,UAE Team Emirates,0.79002,1.2034,0.5987,2.2417,1,0.4427,0.2695,,,,,902,207
troia_oliviero,UAE Team Emirates,0.00752,0.0075,-0.2824,0.39,0,0.436,0.2598,,,,,1213,269
ulissi_diego,UAE Team Emirates,0.36733,0.4439,0.1633,0.787,1,0.418,0.3257,,,,,1868,482
vermeersch_florian,UAE Team Emirates,-0.192027,-0.1747,-0.629,0.9717,0,0.4873,0.1452,,,,,303,62
vine_jay,UAE Team Emirates,0.371598,0.45,-0.0282,1.0679,0,0.4794,0.2757,,,,,894,184
vink_michael,UAE Team Emirates,-0.611156,-0.4573,-0.6912,-0.1994,1,0.4095,0.3201,,,,,572,109
wellens_tim,UAE Team Emirates,0.080869,0.0842,-0.2193,0.6028,0,0.5515,0.3213,,,,,876,188
đurasek_kristijan,UAE Team Emirates,-0.870565,-0.5813,-0.808,-0.1281,1,0.7025,0.2051,,,,,505,77
alaphilippe_julian,Soudal Quick-Step,0.406832,0.5021,-0.0004,1.0989,0,0.7103,0.1964,,,,,1747,418
archbold_shane,Soudal Quick-Step,-0.832734,-0.5651,-0.8167,-0.0816,1,0.6265,0.189,,,,,418,83
asgreen_kasper,Soudal Quick-Step,0.180139,0.1974,-0.0881,0.6304,0,0.5117,0.2093,,,,,1728,400
bagioli_andrea,Soudal Quick-Step,0.934389,1.5457,0.5154,2.8503,1,0.522,0.2007,,,,,1031,187
ballerini_davide,Soudal Quick-Step,0.223278,0.2502,-0.156,0.7305,0,0.5109,0.2111,,,,,991,208
bastiaens_ayco,Soudal Quick-Step,0.216526,0.2418,-0.2949,1.4892,0,0.5389,0.0525,,,,,515,105
bennett_sam,Soudal Quick-Step,-0.094775,-0.0904,-0.6536,1.9692,0,0.774,0.1568,,,,,418,90
capecchi_eros,Soudal Quick-Step,0.005719,0.0057,-0.5058,0.8879,0,0.6974,0.1897,,,,,540,140
cattaneo_mattia,Soudal Quick-Step,0.382637,0.4661,0.0609,1.2092,1,0.5301,0.191,,,,,1542,333
cavagna_rémi,Soudal Quick-Step,0.041417,0.0423,-0.2586,0.3802,0,0.4071,0.234,,,,,1492,411
cavendish_mark,Soudal Quick-Step,-0.675778,-0.4912,-0.7312,-0.1424,1,0.5917,0.1807,,,,,520,124
černý_josef,Soudal Quick-Step,-0.293692,-0.2545,-0.4731,-0.0303,1,0.4574,0.1738,,,,,1274,314
declercq_tim,Soudal Quick-Step,0.096158,0.1009,-0.1337,0.4837,0,0.4719,0.2504,,,,,1444,383
devenyns_dries,Soudal Quick-Step,0.302225,0.3529,0.0405,0.8095,1,0.5782,0.2449,,,,,1422,387
evenepoel_remco,Soudal Quick-Step,0.510743,0.6665,-0.1399,1.7568,0,0.8053,0.2203,,,,,1709,351
garofoli_gianmarco,Soudal Quick-Step,0.416993,0.5174,-0.2669,3.1785,0,0.556,-0.0571,,,,,281,69
garrison_ian,Soudal Quick-Step,-0.12685,-0.1191,-0.5632,0.5307,0,0.3755,0.1958,,,,,409,75
gelders_gil,Soudal Quick-Step,-0.001176,-0.0012,-0.3511,0.5544,0,0.4162,0.0282,,,,,769,107
gilbert_philippe,Soudal Quick-Step,0.684656,0.9831,-0.1691,3.7328,0,0.6607,0.2093,,,,,511,123
