rider,equipe,ate_log,ate_orig,ci_low,ci_high,significant,r2_t,r2_y,mean_cate,std_cate,p25_cate,p75_cate,n_obs,n_selected
uijtdebroeks_cian,Visma | Lease a Bike,0.400229,0.4922,-0.3571,1.6423,0,0.5757,0.1601,,,,,477,99
vader_milan,Visma | Lease a Bike,-0.802916,-0.552,-0.7541,-0.2038,1,0.5533,0.236,,,,,687,102
valter_attila,Visma | Lease a Bike,0.030988,0.0315,-0.2866,0.6615,0,0.6543,0.2694,,,,,720,195
van_aert_wout,Visma | Lease a Bike,1.678458,4.3573,2.1066,8.5774,1,0.8412,0.3036,,,,,1538,330
van_baarle_dylan,Visma | Lease a Bike,0.137198,0.1471,-0.3122,1.0455,0,0.6533,0.241,,,,,742,146
van_belle_loe,Visma | Lease a Bike,-0.163193,-0.1506,-0.4518,0.2796,0,0.4766,0.2934,,,,,931,114
van_der_hoorn_taco,Visma | Lease a Bike,-0.842626,-0.5694,-0.8014,-0.0921,1,0.6834,0.156,,,,,380,81
van_der_sande_tosh,Visma | Lease a Bike,0.144587,0.1556,-0.2409,0.892,0,0.5597,0.271,,,,,931,192
van_dijke_mick,Visma | Lease a Bike,0.043256,0.0442,-0.2543,0.582,0,0.5299,0.242,,,,,917,158
van_dijke_tim,Visma | Lease a Bike,0.321444,0.3791,-0.0809,0.9632,0,0.4622,0.294,,,,,891,143
van_emden_jos,Visma | Lease a Bike,-0.077175,-0.0743,-0.2922,0.1708,0,0.4763,0.2763,,,,,1341,345
van_hoecke_gijs,Visma | Lease a Bike,-0.221683,-0.1988,-0.5986,0.4025,0,0.3097,0.0186,,,,,263,77
van_hooydonck_nathan,Visma | Lease a Bike,0.580789,0.7874,-0.0547,2.1907,0,0.6961,0.3088,,,,,670,155
van_poppel_danny,Visma | Lease a Bike,0.266903,0.3059,-0.1541,1.4208,0,0.4692,0.0809,,,,,492,125
vermote_julien,Visma | Lease a Bike,0.053565,0.055,-0.4012,0.7108,0,0.5021,0.2304,,,,,473,129
vingegaard_jonas,Visma | Lease a Bike,0.113811,0.1205,-0.1943,0.5693,0,0.6498,0.283,,,,,1526,342
wagner_robert,Visma | Lease a Bike,0.827303,1.2871,0.1412,2.8283,1,0.0575,-0.0262,,,,,247,35
wynants_maarten,Visma | Lease a Bike,-0.34731,-0.2934,-0.5303,-0.0414,1,0.5327,0.2353,,,,,831,167
yates_simon,Visma | Lease a Bike,-0.739549,-0.5227,-0.8314,0.1892,0,0.7768,0.1707,,,,,244,58
zingle_axel,Visma | Lease a Bike,-0.069746,-0.0674,-0.7542,1.2254,0,0.3508,0.163,,,,,244,27
amador_andrey,INEOS Grenadiers,-0.179863,-0.1646,-0.4318,0.3184,0,0.5764,0.2027,,,,,626,157
arensman_thymen,INEOS Grenadiers,0.214326,0.239,-0.2489,1.0116,0,0.6543,0.1089,,,,,753,193
august_andrew,INEOS Grenadiers,-0.78128,-0.5422,-0.7564,-0.1172,1,0.6822,0.1077,,,,,485,104
basso_leonardo,INEOS Grenadiers,0.043616,0.0446,-0.3263,0.6607,0,0.5513,0.2617,,,,,911,170
bernal_egan,INEOS Grenadiers,0.022374,0.0226,-0.2605,0.3602,0,0.6368,0.2651,,,,,1885,427
carapaz_richard,INEOS Grenadiers,0.030152,0.0306,-0.4171,0.7641,0,0.6436,0.1575,,,,,645,189
castroviejo_jonathan,INEOS Grenadiers,-0.102929,-0.0978,-0.3303,0.1321,0,0.6363,0.2485,,,,,1878,518
de_la_cruz_david,INEOS Grenadiers,-0.472841,-0.3768,-0.6426,-0.0244,1,0.6539,0.1631,,,,,514,139
deignan_philip,INEOS Grenadiers,0.144247,0.1552,-0.672,1.9615,0,0.4703,0.0387,,,,,248,32
dibben_jonathan,INEOS Grenadiers,0.875985,1.4012,-0.2317,5.493,0,0.5197,0.1027,,,,,248,34
doull_owain,INEOS Grenadiers,0.04089,0.0417,-0.2619,0.6632,0,0.573,0.2241,,,,,914,203
dunbar_eddie,INEOS Grenadiers,0.180653,0.198,-0.2071,0.7594,0,0.4869,0.2503,,,,,1159,178
elissonde_kenny,INEOS Grenadiers,-0.22811,-0.204,-0.5653,0.3969,0,0.5211,0.2291,,,,,502,106
fraile_omar,INEOS Grenadiers,-0.194793,-0.177,-0.4439,0.3741,0,0.5589,0.1574,,,,,993,233
froome_chris,INEOS Grenadiers,-0.726908,-0.5166,-0.7227,-0.182,1,0.6713,0.2321,,,,,656,133
ganna_filippo,INEOS Grenadiers,0.467397,0.5958,0.1768,1.1309,1,0.5752,0.2411,,,,,1764,400
geoghegan_hart_tao,INEOS Grenadiers,0.192118,0.2118,-0.1229,0.5411,0,0.5624,0.2644,,,,,1444,332
gołaś_michał,INEOS Grenadiers,0.419615,0.5214,0.1428,1.0164,1,0.2278,0.235,,,,,945,183
halvorsen_kristoffer,INEOS Grenadiers,-0.314794,-0.2701,-0.5891,0.2309,0,0.6023,0.1815,,,,,513,104
hamilton_lucas,INEOS Grenadiers,0.040962,0.0418,-0.5615,1.6093,0,0.6941,-0.0155,,,,,254,72
hayter_ethan,INEOS Grenadiers,0.242697,0.2747,-0.0849,0.8807,0,0.3607,0.2358,,,,,1442,235
hayter_leo,INEOS Grenadiers,0.9094,1.4828,0.1716,3.1392,1,0.4443,0.2196,,,,,739,47
heiduk_kim,INEOS Grenadiers,0.299728,0.3495,-0.022,0.8845,0,0.5166,0.1536,,,,,1040,242
henao_sebastián,INEOS Grenadiers,0.085178,0.0889,-0.2419,0.5004,0,0.5145,0.2423,,,,,885,182
henao_sergio,INEOS Grenadiers,1.312316,2.7148,0.6873,6.5629,1,0.5282,0.0627,,,,,259,78
jungels_bob,INEOS Grenadiers,0.195086,0.2154,-0.4038,1.5849,0,0.536,-0.0785,,,,,254,66
kiryienka_vasil,INEOS Grenadiers,-0.151088,-0.1402,-0.4848,0.362,0,0.5064,0.1152,,,,,434,114
knees_christian,INEOS Grenadiers,0.242754,0.2748,-0.1761,0.8295,0,0.5889,0.2073,,,,,656,150
kwiatkowski_michał,INEOS Grenadiers,0.526864,0.6936,0.3506,1.1868,1,0.5613,0.2438,,,,,1963,471
langellotti_victor,INEOS Grenadiers,0.453631,0.574,-0.4248,2.4633,0,0.6889,-0.0419,,,,,254,73
laurance_axel,INEOS Grenadiers,-0.546438,-0.421,-0.7709,0.6125,0,0.6971,-0.0845,,,,,254,68
