course,year,stage_key,rang,pts_uci_corrige,rider_pcs
giro-d-italia,2024,stage_9,15,-23.0,Lamperti LukeSoudal Quick-Step
paris-nice,2024,stage_8,10,-23.0,Plapp LukeTeam Jayco AlUla
volta-a-catalunya,2024,stage_3,2,5.0,Landa MikelSoudal Quick-Step
giro-d-italia,2024,stage_19,9,5.0,Alaphilippe Julian Soudal Quick-Step
gran-piemonte,2024,result,15,5.0,Pidcock TomINEOS Grenadiers
vuelta-pilsen-a-colombia,2024,stage_4,3,-4.0,Contreras RodrigoNu Colombia
vuelta-pilsen-a-colombia,2024,stage_3,1,2.0,Osorio AlejandroGW Erco Shimano
tour-de-suisse,2024,stage_5,2,15.0,Almeida JoãoUAE Team Emiratesfav_gc
vuelta-a-espana,2024,stage_21,3,75.0,Cattaneo MattiaSoudal Quick-Step
giro-d-italia,2024,stage_12,4,55.0,Valgren Michael EF Education - EasyPost
giro-d-italia,2024,stage_12,10,0.0,Thomas Benjamin Cofidis
nc-poland,2025,result,9,0.0,Waliniak KonradVoster ATS Team
tour-de-beauce,2025,stage_5,2,-2.0,Miles CarsonTeam Marni-N'side
tour-de-france,2025,stage_18,14,-15.0,Higuita SergioXDS Astana Team
volta-a-catalunya,2025,stage_2,3,5.0,Groves Kaden Alpecin - Deceuninck
nc-slovakia,2025,result,4,45.0,Štoček MatúšElkov - Kasper
maryland-cycling-classic,2025,result,7,55.0,Warbasse LarryTudor Pro Cycling Team
tour-of-the-alps,2025,stage_1,1,5.0,Ciccone GiulioLidl - Trekfav_gc
tour-de-france,2025,stage_4,7,20.0,Evenepoel RemcoSoudal Quick-Step
il-lombardia,2025,result,6,265.0,Pidcock TomQ36.5 Pro Cycling Team
paris-nice,2025,stage_6,8,-17.0,Jorgenson MatteoTeam Visma | Lease a Bikefav_gc
dhofar-classic,2025,result,5,10.0,Meijers JeroenVictoria Sports Pro Cycling
dhofar-classic,2025,result,7,0.0,Budiak AnatoliiTerengganu Cycling Team
