nom_pcs,annee,stage,classification,max_pts
tour-du-limousin,2017,stage_2,2.1,20.0
tour-de-hongrie,2017,stage_2,2.2,5.0
nc-luxembourg-itt,2017,result,NC,15.0
vuelta-internacional-a-costa-rica,2017,stage_1,2.2,5.0
nc-switzerland-itt,2017,result,NC,15.0
tour-de-suisse,2017,stage_6,2.UWT,50.0
course-cycliste-de-solidarnosc,2017,stage_3,2.2,5.0
nc-new-zealand-itt,2017,result,NC,15.0
nc-cyprus-itt,2017,result,NC,15.0
tour-of-austria,2017,stage_4,2.1,20.0
banyuwangi-tour-de-ijen,2017,stage_3,2.2,5.0
tour-of-turkey,2017,stage_6,2.UWT,50.0
ras-tailteann,2017,stage_8,2.2,5.0
volta-a-portugal-do-futuro,2017,stage_1,2.2U,5.0
paris-nice,2017,stage_2,2.UWT,50.0
nc-portugal,2017,result,NC,15.0
tour-de-france,2017,stage_2,2.UWT,100.0
tour-of-hainan,2017,stage_5,2.HC,30.0
tour-du-faso,2017,stage_8,2.2,5.0
gp-cycliste-de-gemenc,2017,prologue,2.2,5.0
tour-alsace,2017,stage_4,2.2,5.0
baltic-chain-tour,2017,stage_3,2.2,5.0
volta-ao-alentejo,2017,stage_3,2.1,20.0
tour-eritrea,2017,stage_3,2.2,5.0
giro-d-italia,2017,stage_10,2.UWT,80.0
gp-cycliste-de-gemenc,2017,stage_2,2.2,5.0
tour-of-utah,2017,stage_5,2.HC,30.0
giro-d-italia,2017,stage_15,2.UWT,80.0
volta-ao-alentejo,2017,stage_2,2.1,20.0
vuelta-ciclista-a-la-provincia-de-san-juan,2017,stage_6,2.1,20.0
tour-of-albania,2017,stage_1,2.2,5.0
classic-brugge-de-panne,2017,stage_2,2.HC,30.0
velothon-wales,2017,result,1.1,75.0
famenne-ardenne-classic,2017,result,1.1,75.0
dubai-tour,2017,stage_3,2.HC,30.0
nc-macedonia,2017,result,NC,15.0
kreiz-breizh-elites,2017,stage_4,2.2,5.0
tour-of-fuzhou,2017,stage_4,2.1,20.0
tour-de-lombok,2017,stage_2,2.2,5.0
tour-du-gevaudan-languedoc-roussillon,2017,stage_2,2.2,5.0
cascade-cycling-classic,2017,stage_1,2.2,5.0
nc-belgium,2017,result,NC,15.0
tour-of-thailand,2017,stage_1,2.1,20.0
vuelta-internacional-a-costa-rica,2017,stage_4,2.2,
giro-d-italia,2017,stage_6,2.UWT,80.0
4-jours-de-dunkerque,2017,stage_4,2.HC,30.0
tour-of-austria,2017,prologue,2.1,20.0
paris-roubaix,2017,result,1.UWT,275.0
paris-tours,2017,result,1.HC,125.0
la-route-d-occitanie,2017,stage_3,2.1,20.0
tour-du-limousin,2017,stage_3,2.1,20.0
volta-a-portugal,2017,stage_10,2.1,20.0
volta-a-portugal,2017,stage_7,2.1,20.0
classic-loire-atlantique,2017,result,1.1,75.0
fenkil-northen-red-sea-challenge,2017,result,1.2,15.0
tour-de-korea,2017,stage_2,2.1,20.0
vuelta-a-guatemala,2017,stage_2,2.2,5.0
nc-eritrea,2017,result,NC,15.0
tour-de-korea,2017,stage_5,2.1,20.0
etoile-de-besseges,2017,stage_2,2.1,20.0
grand-prix-criquielion,2017,result,1.2,15.0
national-championships-iceland-itt,2017,result,NC,15.0
czech-tour,2017,stage_3,2.1,20.0
san-sebastian,2017,result,1.UWT,225.0
gp-samyn,2017,result,1.1,75.0
tour-de-flores,2017,stage_1,2.2,5.0
tour-de-okinawa,2017,result,1.2,15.0
sun-hung-kai-properties-hong-kong-challenge,2017,result,1.1,75.0
arctic-race-of-norway,2017,stage_1,2.HC,30.0
tour-of-utah,2017,stage_4,2.HC,30.0
hadeland-gp,2017,result,1.2,15.0
tour-du-poitou-charentes-et-de-la-vienne,2017,stage_5,2.1,20.0
tour-of-rwanda,2017,stage_7,2.2,5.0
vuelta-ciclista-a-la-provincia-de-san-juan,2017,stage_3,2.1,20.0
tour-of-ankara,2017,stage_1,2.2,5.0
tour-de-flores,2017,stage_4,2.2,5.0
nc-finland-itt,2017,result,NC,15.0
international-azerbaijan-tour,2017,stage_2,2.1,20.0
arctic-race-of-norway,2017,stage_4,2.HC,30.0
amstel-gold-race,2017,result,1.UWT,225.0
le-tour-de-filipinas,2017,stage_2,2.2,5.0
odessa-gp,2017,result,1.2,15.0
baltyk-karkonosze-tour,2017,stage_3,2.2,5.0
ruta-del-sol,2017,stage_5,2.HC,30.0
tour-de-luxembourg,2017,prologue,2.HC,30.0
tour-de-flores,2017,stage_5,2.2,5.0
tour-de-lombok,2017,stage_1,2.2,5.0
tour-of-oman,2017,stage_3,2.HC,30.0
tour-of-magnificent-qinghai,2017,stage_13,2.HC,30.0
nc-mauritius-itt,2017,result,NC,15.0
ruta-del-sol,2017,stage_2,2.HC,30.0
tour-of-the-gila,2017,stage_1,2.2,5.0
tour-de-yorkshire,2017,stage_2,2.1,20.0
vuelta-a-espana,2017,stage_3,2.UWT,80.0
paris-nice,2017,stage_4,2.UWT,50.0
tour-of-magnificent-qinghai,2017,stage_5,2.HC,30.0
tour-du-cameroun,2017,stage_4,2.2,5.0
nc-switserland,2017,result,NC,15.0
cascade-cycling-classic,2017,stage_5,2.2,5.0
tour-de-korea,2017,stage_1,2.1,20.0
tour-du-senegal,2017,stage_1,2.2,5.0
tour-of-rhodes,2017,stage_3,2.2,5.0
nc-russia,2017,result,NC,15.0
vuelta-al-tachira,2017,stage_9,2.2,5.0
tour-auvergne-rhone-alpes,2017,stage_2,2.UWT,50.0
vuelta-internacional-a-costa-rica,2017,stage_3,2.2,5.0
nc-chile,2017,result,NC,15.0
boucles-de-la-mayenne,2017,stage_2,2.1,20.0
vuelta-internacional-a-costa-rica,2017,stage_8,2.2,5.0
tour-de-l-ain,2017,stage_3,2.1,20.0
tour-du-maroc,2017,stage_7,2.2,5.0
banyuwangi-tour-de-ijen,2017,stage_4,2.2,5.0
course-cycliste-de-solidarnosc,2017,stage_4,2.2,5.0
ronde-de-l-oise,2017,stage_4,2.2,5.0
sibiu-cycling-tour,2017,stage_4,2.1,20.0
vuelta-ciclista-a-venezuela,2017,stage_6,2.2,5.0
tour-de-normadie,2017,stage_4,2.2,5.0
tour-of-california,2017,stage_2,2.UWT,50.0
herald-sun-tour,2017,stage_3,2.1,20.0
tour-de-wallonie,2017,stage_2,2.HC,30.0
puchar-ministra-obrony-narodowej,2017,result,1.2,15.0
itzulia-basque-country,2017,stage_1,2.UWT,50.0
giro-ciclistico-della-valle-d-aosta-mont-blanc,2017,stage_1,2.2U,5.0
grote-prijs-jean-pierre-monsere,2017,result,1.1,75.0
tour-of-magnificent-qinghai,2017,stage_8,2.HC,30.0
vuelta-independencia-nacional,2017,stage_8,2.2,5.0
bretagne-classic,2017,result,1.UWT,225.0
