nom_pcs,annee,stage,classification,max_pts
szlakiem-wielkich-jezior,2017,result,1.2,15.0
tour-des-pays-de-savoie,2017,stage_1,2.2,5.0
tour-of-britain,2017,stage_3,2.HC,30.0
tour-of-austria,2017,stage_1,2.1,20.0
tour-of-the-gila,2017,stage_5,2.2,5.0
route-adelie-de-vitre,2017,result,1.1,75.0
szlakiem-walk-majora-hubala,2017,stage_5,2.1,20.0
nc-kosovo,2017,result,NC,15.0
international-azerbaijan-tour,2017,stage_3,2.1,20.0
tour-de-langkawi,2017,stage_2,2.HC,30.0
tour-of-belgium,2017,stage_1,2.HC,30.0
abu-dhabi-tour,2017,stage_4,2.UWT,50.0
nc-mongolia-itt,2017,result,NC,15.0
tour-de-langkawi,2017,stage_3,2.HC,30.0
coupe-des-nations-ville-saguenay,2017,stage_2,2.2,5.0
tour-du-limousin,2017,stage_4,2.1,20.0
tour-de-pologne,2017,stage_2,2.UWT,50.0
tour-of-rwanda,2017,stage_2,2.2,5.0
circuit-des-ardennes,2017,stage_3,2.2,5.0
tour-of-china,2017,stage_3,2.1,20.0
nc-panama-itt,2017,result,NC,15.0
tour-of-belgium,2017,stage_4,2.HC,30.0
tour-du-maroc,2017,stage_9,2.2,5.0
nc-morocco,2017,result,NC,15.0
nc-poland-itt,2017,result,NC,15.0
tour-du-poitou-charentes-et-de-la-vienne,2017,stage_3,2.1,20.0
halle-ingooigem,2017,result,1.1,75.0
gp-al-massira,2017,result,1.2,15.0
giro-ciclistico-d-italia,2017,stage_1,2.2U,5.0
okolo-slovenska,2017,stage_1,2.1,20.0
course-cycliste-de-solidarnosc,2017,stage_5,2.2,5.0
fleche-du-sud,2017,stage_5,2.2,5.0
renewi-tour,2017,stage_6,2.UWT,50.0
gp-industria-e-commercio2,2017,result,1.2U,15.0
gp-internacional-beiras-e-serra-da-estrela,2017,stage_1,2.1,20.0
circuit-des-ardennes,2017,stage_2,2.2,5.0
tour-du-jura-cycliste,2017,stage_1,2.2,5.0
vuelta-asturias,2017,stage_1,2.1,20.0
tour-of-the-alps,2017,stage_2,2.HC,30.0
nc-colombia-itt,2017,result,NC,15.0
tour-du-senegal,2017,stage_7,2.2,5.0
tour-of-thailand,2017,stage_3,2.1,20.0
tour-of-almaty,2017,stage_1,2.1,20.0
tour-of-turkey,2017,stage_1,2.UWT,50.0
tour-down-under,2017,stage_3,2.UWT,50.0
nc-france,2017,result,NC,15.0
tour-du-loir-et-cher,2017,stage_4,2.2,5.0
nc-russia-itt,2017,result,NC,15.0
tour-de-langkawi,2017,stage_8,2.HC,30.0
tour-de-gironde,2017,stage_2,2.2,5.0
tour-de-romandie,2017,stage_3,2.UWT,50.0
region-pays-de-la-loire,2017,stage_1,2.1,20.0
tour-of-britain,2017,stage_4,2.HC,30.0
la-route-d-occitanie,2017,stage_1,2.1,20.0
tour-of-utah,2017,stage_6,2.HC,30.0
vuelta-ciclista-a-la-provincia-de-san-juan,2017,stage_1,2.1,20.0
etoile-de-besseges,2017,stage_3,2.1,20.0
gp-kranj,2017,result,1.2,15.0
gp-d-ouverture,2017,result,1.1,75.0
tour-de-kumano,2017,stage_2,2.2,5.0
five-rings-of-moscow,2017,prologue,2.2,5.0
tour-de-selangor,2017,stage_1,2.2,5.0
tour-down-under,2017,stage_1,2.UWT,50.0
tour-de-cote-d-ivoire,2017,stage_1,2.2,5.0
tour-of-rwanda,2017,stage_1,2.2,5.0
gp-montreal,2017,result,1.UWT,225.0
tour-de-taiwan,2017,stage_5,2.1,20.0
tour-down-under,2017,stage_6,2.UWT,50.0
nc-guyana-itt,2017,result,NC,15.0
visegrad-4-bicycle-race-gp-hungary,2017,result,1.2,15.0
tour-of-china-ii,2017,stage_2,2.1,20.0
nc-uruguay,2017,result,NC,15.0
nationale-sluitingsprijs-putte-kapellen,2017,result,1.1,75.0
nc-usa-itt,2017,result,NC,15.0
paris-roubaix-u23,2017,result,1.2U,15.0
joe-martin-stage-race-me,2017,stage_2,2.2,5.0
nc-belize-itt,2017,result,NC,15.0
hammer-sportzone-limburg,2017,stage_2,2.1,20.0
himmerland-rundt,2017,result,1.2,15.0
nc-mongolia,2017,result,NC,15.0
midden-brabant-poort-omloop,2017,result,1.2,15.0
tour-de-pologne,2017,stage_1,2.UWT,50.0
vuelta-ciclista-a-la-rioja,2017,result,1.1,75.0
tour-du-maroc,2017,stage_2,2.2,5.0
vuelta-a-espana,2017,stage_16,2.UWT,80.0
tour-de-langkawi,2017,stage_6,2.HC,30.0
paris-arras-tour,2017,stage_2,2.2,5.0
colorado-classic,2017,stage_4,2.HC,30.0
dookola-mazowsza,2017,prologue,2.2,5.0
tour-des-fjords,2017,stage_1,2.1,20.0
istrian-spring-tour,2017,stage_2,2.2,5.0
gp-de-la-ville-de-nogent-sur-oise,2017,result,1.2,15.0
panamerican-champ-itt,2017,result,CC,60.0
sibiu-cycling-tour,2017,stage_1,2.1,20.0
tour-du-finistere,2017,result,1.1,75.0
le-tour-de-filipinas,2017,stage_4,2.2,5.0
tirreno-adriatico,2017,stage_2,2.UWT,50.0
tour-du-gevaudan-languedoc-roussillon,2017,stage_1,2.2,5.0
nokere-koerse,2017,result,1.HC,125.0
tour-alsace,2017,stage_2,2.2,5.0
tour-of-magnificent-qinghai,2017,stage_12,2.HC,30.0
ras-tailteann,2017,stage_4,2.2,5.0
vuelta-al-tachira,2017,stage_2,2.2,5.0
szlakiem-walk-majora-hubala,2017,stage_1,2.1,20.0
okolo-jiznich-cech,2017,stage_5,2.2,5.0
vuelta-internacional-a-costa-rica,2017,stage_2,2.2,5.0
banyuwangi-tour-de-ijen,2017,stage_2,2.2,5.0
gp-adria-mobil,2017,result,1.2,15.0
berner-rundfahrt-tour-de-berne,2017,result,1.2,15.0
tour-of-the-alps,2017,stage_5,2.HC,30.0
tour-of-hainan,2017,stage_6,2.HC,30.0
tour-of-guangxi,2017,stage_6,2.UWT,50.0
gent-wevelgem,2017,result,1.UWT,225.0
tour-du-loir-et-cher,2017,stage_5,2.2,5.0
circuito-del-porto-trofeo-arvedi,2017,result,1.2,15.0
vuelta-independencia-nacional,2017,stage_6,2.2,5.0
tour-of-quanzhou-bay,2017,stage_1,2.2,5.0
tour-of-the-gila,2017,stage_2,2.2,5.0
nc-costa-rica-itt,2017,result,NC,15.0
vuelta-a-espana,2017,stage_6,2.UWT,80.0
tour-de-luxembourg,2017,stage_3,2.HC,30.0
vuelta-pilsen-a-colombia,2017,stage_12,2.2,5.0
tour-du-faso,2017,stage_9,2.2,5.0
nc-south-africa-itt,2017,result,NC,15.0
nc-italy,2017,result,NC,15.0
beograd-banja-luka-ii,2017,result,1.2,15.0
ras-tailteann,2017,stage_5,2.2,5.0
baku-khankendi-azerbaijan-cycling-race,2017,stage_5,2.1,20.0
giro-ciclistico-della-valle-d-aosta-mont-blanc,2017,stage_4,2.2U,5.0
gp-de-la-somme,2017,result,1.1,75.0
tour-des-alpes-maritimes,2017,stage_1,2.1,20.0
vuelta-ciclista-a-venezuela,2017,stage_4,2.2,5.0
gp-bruno-beghelli,2017,result,1.HC,125.0
vuelta-al-tachira,2017,stage_1,2.2,5.0
tour-cycliste-international-la-provence,2017,stage_3,2.1,20.0
tour-of-austria,2017,stage_2,2.1,20.0
tour-du-cameroun,2017,stage_6,2.2,5.0
nc-bulgaria-itt,2017,result,NC,15.0
tour-of-xingtai,2017,stage_3,2.2,5.0
le-tour-de-bretagne,2017,stage_4,2.2,5.0
oberosterreichrundfahrt,2017,stage_4,2.2,5.0
tour-of-taihu-lake,2017,prologue,2.1,20.0
tour-of-guangxi,2017,stage_5,2.UWT,50.0
circuito-de-getxo,2017,result,1.1,75.0
ronde-de-l-oise,2017,stage_2,2.2,5.0
nc-albania,2017,result,NC,15.0
slag-om-norg,2017,result,1.1,75.0
uec-road-european-championships-me,2017,result,CC,150.0
tour-of-china-ii,2017,stage_1,2.1,20.0
nc-rwanda,2017,result,NC,15.0
le-tour-de-bretagne,2017,stage_5,2.2,5.0
nc-norway-itt,2017,result,NC,15.0
grand-prix-de-la-ville-de-perenchies,2017,result,1.2,15.0
chrono-des-nations-u23,2017,result,1.2U,15.0
grand-prix-des-marbriers,2017,result,1.2,15.0
trofeo-laigueglia,2017,result,1.HC,125.0
tour-cycliste-international-de-la-guadeloupe,2017,stage_1,2.2,5.0
renewi-tour,2017,stage_5,2.UWT,50.0
nc-angola,2017,result,NC,15.0
nc-rwanda-itt,2017,result,NC,15.0
tour-of-xingtai,2017,stage_1,2.2,5.0
vuelta-a-espana,2017,stage_19,2.UWT,80.0
tour-of-california,2017,stage_7,2.UWT,50.0
tour-de-korea,2017,stage_4,2.1,20.0
vuelta-pilsen-a-colombia,2017,stage_10,2.2,5.0
nc-hungary-itt,2017,result,NC,15.0
tour-of-szeklerland,2017,stage_1,2.2,5.0
giro-d-italia,2017,stage_2,2.UWT,80.0
nc-estonia-itt,2017,result,NC,15.0
tour-du-faso,2017,stage_4,2.2,5.0
klasika-primavera,2017,result,1.1,75.0
tour-ethiopian-meles-zenawi,2017,stage_5,2.2,5.0
tour-du-senegal,2017,stage_2,2.2,5.0
tour-de-pologne,2017,stage_6,2.UWT,50.0
tour-du-maroc,2017,stage_1,2.2,
nc-united-arab-emirates,2017,result,NC,15.0
la-drome-classic,2017,result,1.1,75.0
ronde-de-l-oise,2017,stage_3,2.2,5.0
ronde-van-drenthe,2017,result,1.1,75.0
tour-de-lombok,2017,stage_4,2.2,5.0
giro-ciclistico-d-italia,2017,stage_2,2.2U,5.0
memorial-henryka-lasaka,2017,result,1.2,15.0
nc-united-states,2017,result,NC,15.0
okolo-jiznich-cech,2017,stage_4,2.2,5.0
trofeo-matteotti,2017,result,1.1,75.0
volta-a-catalunya,2017,stage_7,2.UWT,50.0
tour-ethiopian-meles-zenawi,2017,stage_2,2.2,5.0
tour-eritrea,2017,stage_2,2.2,5.0
giro-d-italia,2017,stage_21,2.UWT,80.0
tour-of-the-alps,2017,stage_3,2.HC,30.0
tour-du-maroc,2017,stage_8,2.2,5.0
giro-di-toscana,2017,stage_1,2.1,20.0
tour-of-singkarak,2017,stage_1,2.2,5.0
dubai-tour,2017,stage_2,2.HC,30.0
tour-de-taiwan,2017,stage_4,2.1,20.0
nc-libanon-itt,2017,result,NC,15.0
kernen-omloop-echt-susteren,2017,result,1.2,15.0
sibiu-cycling-tour,2017,prologue,2.1,20.0
joe-martin-stage-race-me,2017,stage_1,2.2,5.0
nc-latvia,2017,result,NC,15.0
gp-horsens,2017,result,1.2,15.0
gp-du-canton-d-argovie,2017,result,1.HC,125.0
tour-de-tunisie,2017,stage_5,2.2,5.0
tour-de-kumano,2017,stage_1,2.2,5.0
tour-bohemia,2017,stage_1,2.2,5.0
tour-du-poitou-charentes-et-de-la-vienne,2017,stage_2,2.1,20.0
tour-de-selangor,2017,stage_5,2.2,5.0
new-zealand-cycle-classic,2017,stage_1,2.2,5.0
gp-izola-butan-plin,2017,result,1.2,15.0
volta-ao-algarve,2017,stage_3,2.HC,30.0
tour-cycliste-international-la-provence,2017,stage_2,2.1,20.0
vuelta-a-espana,2017,stage_12,2.UWT,80.0
tour-of-britain,2017,stage_2,2.HC,30.0
tour-de-france,2017,stage_16,2.UWT,100.0
dookola-mazowsza,2017,stage_1,2.2,5.0
ras-tailteann,2017,stage_1,2.2,5.0
tour-de-france,2017,stage_18,2.UWT,100.0
nc-el-salvador-itt,2017,result,NC,15.0
milano-torino,2017,result,1.HC,125.0
nc-slovakia,2017,result,NC,15.0
challenge-du-prince-trophee-princier,2017,result,1.2,15.0
nc-portugal2,2017,result,NC,15.0
tour-de-molvccas,2017,stage_2,2.2,5.0
jelajah-malaysia,2017,stage_1,2.2,5.0
okolo-jiznich-cech,2017,stage_2,2.2,5.0
tour-de-romandie,2017,stage_1,2.UWT,50.0
tour-de-france,2017,stage_1,2.UWT,100.0
tirreno-adriatico,2017,stage_7,2.UWT,50.0
tour-of-china-ii,2017,stage_4,2.1,20.0
nc-ukraine-itt,2017,result,NC,15.0
tour-du-maroc,2017,stage_3,2.2,5.0
nc-italy-itt,2017,result,NC,15.0
vuelta-a-espana,2017,stage_7,2.UWT,80.0
nc-france-itt,2017,result,NC,15.0
dwars-door-de-vlaamse-ardennen,2017,result,1.2,15.0
tour-of-rwanda,2017,stage_4,2.2,5.0
grand-prix-chantal-biya,2017,stage_2,2.2,5.0
ronde-van-vlaanderen,2017,result,1.UWT,275.0
uec-road-european-championships-itt,2017,result,CC,60.0
tour-of-albania,2017,stage_4,2.2,5.0
tour-of-taihu-lake,2017,stage_2,2.1,20.0
trofeo-pollenca-port-d-andratx,2017,result,1.1,75.0
tour-de-lombok,2017,stage_3,2.2,5.0
horizon-park-classic,2017,result,1.2,15.0
nc-turkey-itt,2017,result,NC,15.0
nc-kazakhstan-itt,2017,result,NC,15.0
tour-of-taihu-lake,2017,stage_5,2.1,20.0
vuelta-a-burgos,2017,stage_1,2.HC,30.0
nc-zimbabwe,2017,result,NC,15.0
tour-of-magnificent-qinghai,2017,stage_1,2.HC,30.0
gp-de-plumelec,2017,result,1.1,75.0
joe-martin-stage-race-me,2017,stage_3,2.2,5.0
volta-a-catalunya,2017,stage_5,2.UWT,50.0
nc-montenegro,2017,result,NC,15.0
cascade-cycling-classic,2017,stage_3,2.2,5.0
tour-of-utah,2017,stage_2,2.HC,30.0
tour-of-alberta,2017,stage_4,2.1,20.0
circuit-franco-belge,2017,result,1.HC,125.0
tour-of-albania,2017,stage_2,2.2,5.0
nc-united-arab-emirates-itt,2017,result,NC,15.0
le-tour-de-filipinas,2017,stage_1,2.2,5.0
tour-of-hainan,2017,stage_2,2.HC,30.0
tour-de-romandie,2017,stage_4,2.UWT,50.0
tour-of-austria,2017,stage_5,2.1,20.0
tour-de-france,2017,stage_3,2.UWT,100.0
strade-bianche,2017,result,1.UWT,225.0
coppa-agostoni,2017,result,1.1,75.0
tour-of-thailand,2017,stage_5,2.1,20.0
tirreno-adriatico,2017,stage_3,2.UWT,50.0
volta-a-portugal,2017,stage_8,2.1,20.0
giro-d-italia,2017,stage_20,2.UWT,80.0
region-pays-de-la-loire,2017,stage_2,2.1,20.0
tour-of-the-alps,2017,stage_4,2.HC,30.0
vuelta-a-castilla-y-leon,2017,stage_2,2.1,20.0
trofeo-palma,2017,result,1.1,75.0
puchar-uzdrowisk-karpackich,2017,result,1.2,15.0
brabantse-pijl,2017,result,1.HC,125.0
nc-aruba-itt,2017,result,NC,15.0
giro-d-italia,2017,stage_14,2.UWT,80.0
nc-albania-itt,2017,result,NC,15.0
tour-de-suisse,2017,stage_4,2.UWT,50.0
gp-laguna,2017,result,1.2,15.0
tour-of-hainan,2017,stage_9,2.HC,30.0
tour-of-hainan,2017,stage_3,2.HC,30.0
nc-croatia,2017,result,NC,15.0
giro-d-italia,2017,stage_11,2.UWT,80.0
clasica-de-almeria,2017,result,1.1,75.0
tour-de-france,2017,stage_21,2.UWT,100.0
volta-a-catalunya,2017,stage_1,2.UWT,50.0
nc-ireland,2017,result,NC,15.0
ronde-de-l-isard,2017,stage_4,2.2U,5.0
tour-of-singkarak,2017,stage_6,2.2,5.0
vuelta-independencia-nacional,2017,stage_3,2.2,5.0
gp-de-la-ville-de-lillers,2017,result,1.2,15.0
tour-of-magnificent-qinghai,2017,stage_10,2.HC,30.0
eschborn-frankfurt-u23,2017,result,1.2U,15.0
tour-du-loir-et-cher,2017,stage_2,2.2,5.0
tour-of-malopolska,2017,stage_1,2.2,5.0
nc-ukraine,2017,result,NC,15.0
race-horizon-park,2017,result,1.2,15.0
giro-d-italia,2017,stage_17,2.UWT,80.0
la-route-d-occitanie,2017,stage_4,2.1,20.0
beaumont-trophy,2017,result,1.2,15.0
nc-bosnia-and-herzegovina,2017,result,NC,15.0
tour-of-singkarak,2017,stage_7,2.2,5.0
nc-romania-itt,2017,result,NC,15.0
volta-a-catalunya,2017,stage_3,2.UWT,50.0
course-de-la-paix-u23,2017,prologue,2.Ncup,5.0
tour-de-france,2017,stage_13,2.UWT,100.0
tour-du-faso,2017,stage_1,2.2,5.0
tour-des-pays-de-savoie,2017,stage_4,2.2,5.0
boucles-de-la-mayenne,2017,stage_1,2.1,20.0
baku-khankendi-azerbaijan-cycling-race,2017,stage_4,2.1,20.0
giro-d-italia,2017,stage_5,2.UWT,80.0
tour-de-pologne,2017,stage_7,2.UWT,50.0
baltic-chain-tour,2017,stage_2,2.2,5.0
coupe-des-nations-ville-saguenay,2017,stage_4,2.2,5.0
szlakiem-grodow-piastowskich,2017,stage_1,2.2,5.0
4-jours-de-dunkerque,2017,stage_1,2.HC,30.0
albani-classic-fyen-rundt,2017,result,1.2,15.0
nc-georgia-itt,2017,result,NC,15.0
tour-of-oman,2017,stage_1,2.HC,30.0
vuelta-a-espana,2017,stage_13,2.UWT,80.0
tour-de-selangor,2017,stage_4,2.2,5.0
volta-a-portugal,2017,stage_1,2.1,
tour-of-hainan,2017,stage_1,2.HC,30.0
tour-des-pays-de-savoie,2017,stage_2,2.2,5.0
coppa-bernocchi,2017,result,1.1,75.0
volta-a-portugal,2017,stage_9,2.1,
volta-a-catalunya,2017,stage_4,2.UWT,50.0
tour-of-xingtai,2017,stage_2,2.2,5.0
vuelta-ciclista-a-venezuela,2017,stage_10,2.2,5.0
tour-of-ukraine,2017,stage_4,2.2,5.0
tour-du-cameroun,2017,stage_2,2.2,5.0
new-zealand-cycle-classic,2017,stage_3,2.2,5.0
tour-of-denmark,2017,stage_1,2.HC,30.0
vuelta-ciclista-a-venezuela,2017,stage_9,2.2,5.0
tour-of-rhodes,2017,stage_2,2.2,5.0
carpathia-couriers-paths,2017,stage_1,2.2U,5.0
tour-of-alberta,2017,stage_1,2.1,20.0
tour-de-vendee,2017,result,1.1,75.0
nc-canada-itt,2017,result,NC,15.0
rhone-alpes-isere-tour,2017,stage_2,2.2,5.0
nc-kosovo-itt,2017,result,NC,15.0
vuelta-ciclista-al-uruguay,2017,stage_2,2.2,5.0
memorial-romana-sieminskiego,2017,result,1.2,15.0
4-jours-de-dunkerque,2017,stage_5,2.HC,30.0
tirreno-adriatico,2017,stage_6,2.UWT,50.0
1st-ljubljana-zagreb,2017,result,1.2,15.0
tour-of-taihu-lake,2017,stage_7,2.1,20.0
vuelta-ciclista-a-la-region-de-murcia,2017,result,1.1,75.0
tour-of-california,2017,stage_5,2.UWT,50.0
tour-des-fjords,2017,stage_4,2.1,20.0
tour-of-belgium,2017,stage_2,2.HC,30.0
tour-du-senegal,2017,stage_8,2.2,5.0
gp-d-isbergues,2017,result,1.1,75.0
tour-du-loir-et-cher,2017,stage_3,2.2,5.0
giro-d-italia,2017,stage_9,2.UWT,80.0
tour-of-norway,2017,stage_2,2.HC,30.0
czech-tour,2017,stage_2,2.1,20.0
challenge-du-prince-trophee-de-l-anniversaire,2017,result,1.2,15.0
tour-of-ukraine,2017,prologue,2.2,5.0
rhone-alpes-isere-tour,2017,stage_4,2.2,5.0
colorado-classic,2017,stage_1,2.HC,30.0
vuelta-a-espana,2017,stage_11,2.UWT,80.0
nc-uzbekistan,2017,result,NC,15.0
tour-du-senegal,2017,stage_3,2.2,5.0
vuelta-ciclista-a-venezuela,2017,stage_8,2.2,5.0
hammer-sportzone-limburg,2017,stage_1,2.1,10.0
classica-aldeias-do-xisto-cylin-portugal,2017,result,1.2,15.0
classic-brugge-de-panne,2017,stage_1,2.HC,30.0
tirreno-adriatico,2017,stage_4,2.UWT,50.0
vuelta-pilsen-a-colombia,2017,stage_7,2.2,5.0
nc-australia,2017,result,NC,15.0
nc-australia-itt,2017,result,NC,15.0
nc-netherlands-itt,2017,result,NC,15.0
arctic-race-of-norway,2017,stage_3,2.HC,30.0
nc-germany-itt,2017,result,NC,15.0
paris-nice,2017,stage_5,2.UWT,50.0
trofeo-ses-salines-felanitx,2017,result,1.1,75.0
tour-of-austria,2017,stage_3,2.1,20.0
nc-lithuania-itt,2017,result,NC,15.0
tour-of-singkarak,2017,stage_3,2.2,5.0
five-rings-of-moscow,2017,stage_4,2.2,5.0
okolo-slovenska,2017,prologue,2.1,20.0
carpathia-couriers-paths,2017,stage_3,2.2U,5.0
tour-of-croatia,2017,stage_3,2.1,20.0
vuelta-ciclista-a-la-provincia-de-san-juan,2017,stage_5,2.1,20.0
nc-canada2,2017,result,NC,15.0
tour-de-suisse,2017,stage_1,2.UWT,50.0
nc-algeria,2017,result,NC,15.0
tour-alsace,2017,stage_3,2.2,5.0
five-rings-of-moscow,2017,stage_3,2.2,5.0
vuelta-a-espana,2017,stage_2,2.UWT,80.0
giro-d-italia,2017,stage_4,2.UWT,80.0
tour-de-wallonie,2017,stage_1,2.HC,30.0
tour-of-norway,2017,stage_5,2.HC,30.0
international-azerbaijan-tour,2017,stage_1,2.1,20.0
tour-of-malopolska,2017,stage_2,2.2,5.0
tour-du-cameroun,2017,stage_7,2.2,5.0
gp-int-torres-vedras,2017,prologue,2.2,5.0
hammer-sportzone-limburg,2017,stage_3,2.1,10.0
faun-ardeche-classic,2017,result,1.1,75.0
