date,year,course,stage,stage_num,classification,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,max_pts,fichier_gpx,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km
2018-01-18,2018,vuelta-al-tachira,stage_7,7.0,2.2,102.25,0.869,3.57,0.0,0.0,0.0,0.0,3.57,0.829,0.0,98.3,0.0,98.3,0.0,0.0,1559.0,434.0,1233.0,82.0,0.0,0.0,0.0,0.0,1.0,0.9973,0.9973,0.9973,0.9973,0.9973,4.7,6.33,5.46,645.0,0.04,150.0,7.0,2018 Vuelta al Tachira en Bicicleta Stage 7.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,2018,tour-down-under,stage_3,3.0,2.UWT,122.35,110.0,11.9,0.0,0.118,0.0,91.4,8.37,20.1,1.72,0.299,0.0,0.0,0.527,0.0,1263.0,901.0,425.0,2.0,2.0,0.0,1.0,0.0,0.0,0.9776,0.6443,0.6443,0.0,0.0,1.4,1.37,1.58,226.0,0.12,277.0,60.0,2018 Santos Tour Down Under Stage 3.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,2018,la-tropicale-amissa-bongo,stage_4,4.0,2.1,187.26,10.3,0.162,0.0,0.492,0.0,0.162,0.0,10.3,0.0,178.0,0.0,178.0,0.492,0.0,2112.0,1599.0,570.0,40.0,4.0,2.0,1.0,0.0,0.0,0.9981,0.9981,0.9981,0.0,0.0,2.4,1.37,0.44,990.0,0.41,480.0,14.0,2018 La Tropicale Amissa Bongo Stage 4.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,2018,vuelta-al-tachira,stage_8,8.0,2.2,124.45,82.2,0.214,0.0,0.0,0.0,78.8,0.0,3.59,0.0,43.3,0.0,43.3,0.0,0.0,1260.0,1259.0,911.0,822.0,12.0,0.0,0.0,0.0,0.0,0.9421,0.0,0.0,0.0,0.0,-1.8,-1.9,-1.18,158.0,0.07,525.0,7.0,2018 Vuelta al Tachira en Bicicleta Stage 8.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,2018,tour-down-under,stage_4,4.0,2.UWT,46.79,40.4,2.85,0.0,0.0,0.0,2.22,1.39,0.0,36.8,3.24,0.0,5.42,5.22,0.0,300.0,300.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.13,-0.1,68.0,0.0,300.0,60.0,2018 Santos Tour Down Under Stage 4.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,2018,new-zealand-cycle-classic,stage_3,3.0,2.2,128.49,64.9,62.6,0.0,0.0,0.0,127.0,0.261,0.0,0.0,1.07,0.0,1.1,0.0,0.0,618.0,688.0,153.0,29.0,1.0,0.0,0.0,0.0,0.0,0.299,0.0,0.0,0.0,0.0,-1.1,-0.93,-0.22,168.0,-0.07,291.0,7.0,2018 New Zealand Cycle Classic Stage 3.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,2018,la-tropicale-amissa-bongo,stage_5,5.0,2.1,130.82,40.4,3.4,0.0,1.83,0.0,3.41,0.837,41.3,0.0,86.6,0.0,86.7,0.279,0.0,1101.0,1155.0,673.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.27,-0.02,480.0,-0.06,379.0,14.0,2018 La Tropicale Amissa Bongo Stage 5.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-20,2018,new-zealand-cycle-classic,stage_4,4.0,2.2,152.85,28.1,125.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2351.0,1979.0,477.0,16.0,3.0,1.0,2.0,0.0,0.0,0.9996,0.9996,0.9996,0.0,0.0,6.0,2.7,2.64,451.0,-0.07,604.0,7.0,2018 New Zealand Cycle Classic Stage 4.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-20,2018,la-tropicale-amissa-bongo,stage_6,6.0,2.1,105.59,51.9,1.25,0.0,0.49,0.0,16.5,1.86,35.9,0.0,52.5,0.0,53.1,0.0,0.0,901.0,844.0,713.0,570.0,1.0,0.0,0.0,0.0,0.0,0.9728,0.0,0.0,0.0,0.0,-1.7,0.03,-0.1,520.0,0.07,420.0,14.0,2018 La Tropicale Amissa Bongo Stage 6.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-20,2018,tour-down-under,stage_5,5.0,2.UWT,151.46,141.0,9.29,0.0,0.0,0.0,115.0,8.0,23.5,3.89,1.09,0.0,1.09,0.0,0.0,1307.0,1006.0,377.0,6.0,2.0,1.0,1.0,0.0,0.0,0.9991,0.9991,0.8158,0.0,0.0,5.8,7.33,5.9,344.0,-0.04,292.0,60.0,2018 Santos Tour Down Under Stage 5.gpx,0.0,0.0,0.0,0.0,0.0,0.0
