course,year,startlist_quality
100-cycle-challenge,2018,2.0
100-cycle-challenge,2019,4.0
100th-anniversary-tour-of-the-republic,2023,11.0
1st-ljubljana-zagreb,2018,15.0
1st-ljubljana-zagreb,2019,23.0
2-districtenpijl-ekeren-deurne-me,2022,11.0
3daagse-van-west-vlaanderen,2018,131.0
4-jours-de-dunkerque,2018,191.0
4-jours-de-dunkerque,2019,220.0
4-jours-de-dunkerque,2022,159.0
4-jours-de-dunkerque,2023,276.0
4-jours-de-dunkerque,2024,161.0
4-jours-de-dunkerque,2025,220.0
Grande-Premio-de-Portugal-N2,2018,15.0
abu-dhabi-tour,2018,739.0
adriatic-race,2021,1.0
adriatica-ionica-race,2018,230.0
adriatica-ionica-race,2019,220.0
adriatica-ionica-race,2021,62.0
adriatica-ionica-race,2022,57.0
africa-cup,2018,3.0
africa-cup-itt,2018,2.0
african-championships,2018,16.0
african-championships,2019,28.0
african-championships,2021,10.0
african-championships,2022,11.0
african-championships,2023,18.0
african-championships,2024,19.0
african-championships,2025,10.0
african-continental-championships-itt,2018,8.0
african-continental-championships-itt,2019,9.0
african-continental-championships-itt,2021,9.0
african-continental-championships-itt,2022,5.0
african-continental-championships-itt,2023,4.0
african-continental-championships-itt,2024,9.0
african-continental-championships-itt,2025,4.0
african-games-me-itt,2019,22.0
african-games-road-race-me,2019,27.0
african-games-road-race-me,2024,9.0
alanya-cup,2023,8.0
alanya-cup,2024,13.0
albani-classic-fyen-rundt,2018,48.0
albani-classic-fyen-rundt,2019,17.0
albani-classic-fyen-rundt,2021,8.0
albani-classic-fyen-rundt,2022,36.0
albani-classic-fyen-rundt,2023,21.0
albani-classic-fyen-rundt,2024,8.0
albani-classic-fyen-rundt,2025,20.0
alula-tour,2020,149.0
alula-tour,2022,196.0
alula-tour,2023,158.0
alula-tour,2024,270.0
alula-tour,2025,232.0
amstel-gold-race,2018,1162.0
amstel-gold-race,2019,1041.0
amstel-gold-race,2021,1089.0
amstel-gold-race,2022,703.0
amstel-gold-race,2023,768.0
amstel-gold-race,2024,884.0
amstel-gold-race,2025,954.0
andorra-morabanc-classica,2025,199.0
antwerp-port-epic,2018,75.0
antwerp-port-epic,2019,87.0
antwerp-port-epic,2020,131.0
antwerp-port-epic,2021,174.0
antwerp-port-epic,2022,61.0
antwerp-port-epic,2023,78.0
antwerp-port-epic,2024,182.0
antwerp-port-epic,2025,290.0
antwerpse-havenpijl,2018,7.0
antwerpse-havenpijl,2019,12.0
arab-road-cycling-championships-me-itt,2023,4.0
arab-road-cycling-championships-road-race,2022,11.0
arab-sports-games-me-itt,2023,8.0
arab-sports-games-me-road-race,2023,15.0
arctic-race-of-norway,2018,162.0
arctic-race-of-norway,2019,205.0
arctic-race-of-norway,2021,168.0
arctic-race-of-norway,2022,157.0
arctic-race-of-norway,2023,112.0
arctic-race-of-norway,2024,188.0
arctic-race-of-norway,2025,229.0
arno-wallaard-memorial,2018,16.0
arno-wallaard-memorial,2019,20.0
arno-wallaard-memorial,2022,13.0
arno-wallaard-memorial,2023,15.0
arno-wallaard-memorial,2024,11.0
arno-wallaard-memorial,2025,5.0
asian-championships-me,2018,19.0
asian-championships-me,2019,19.0
asian-championships-me,2022,9.0
asian-championships-me,2023,23.0
asian-championships-me,2024,40.0
asian-championships-me,2025,30.0
asian-cycling-championships-itt,2018,6.0
asian-cycling-championships-itt,2019,9.0
asian-cycling-championships-itt,2022,6.0
asian-cycling-championships-itt,2023,8.0
asian-cycling-championships-itt,2024,25.0
asian-cycling-championships-itt,2025,12.0
aziz-shusha,2023,7.0
baltic-chain-tour,2018,13.0
baltic-chain-tour,2020,3.0
baltic-chain-tour,2021,19.0
baltic-chain-tour,2022,13.0
baltic-chain-tour,2023,9.0
baltyk-karkonosze-tour,2018,12.0
baltyk-karkonosze-tour,2019,11.0
baltyk-karkonosze-tour,2020,22.0
banja-luka-belgrade-i,2018,37.0
banja-luka-belgrade-i,2019,26.0
banja-luka-belgrade-i,2020,33.0
banja-luka-belgrade-i,2021,40.0
banja-luka-belgrade-i,2022,29.0
banja-luka-belgrade-i,2023,24.0
banja-luka-belgrade-i,2024,11.0
banja-luka-belgrade-i,2025,13.0
banyuwangi-tour-de-ijen,2018,23.0
banyuwangi-tour-de-ijen,2019,37.0
banyuwangi-tour-de-ijen,2024,19.0
banyuwangi-tour-de-ijen,2025,23.0
boucle-de-l-artois,2025,4.0
boucles-de-l-aulne,2018,134.0
boucles-de-l-aulne,2019,137.0
boucles-de-l-aulne,2021,116.0
boucles-de-l-aulne,2022,133.0
boucles-de-l-aulne,2023,110.0
boucles-de-l-aulne,2024,156.0
boucles-de-l-aulne,2025,168.0
boucles-de-la-mayenne,2018,83.0
boucles-de-la-mayenne,2019,84.0
boucles-de-la-mayenne,2021,214.0
boucles-de-la-mayenne,2022,175.0
boucles-de-la-mayenne,2023,194.0
boucles-de-la-mayenne,2024,241.0
boucles-de-la-mayenne,2025,213.0
brabantse-pijl,2018,439.0
brabantse-pijl,2019,450.0
brabantse-pijl,2020,532.0
brabantse-pijl,2021,565.0
brabantse-pijl,2022,537.0
brabantse-pijl,2023,350.0
brabantse-pijl,2024,389.0
brabantse-pijl,2025,398.0
bredene-koksijde-classic,2018,143.0
bredene-koksijde-classic,2019,244.0
bredene-koksijde-classic,2021,272.0
bredene-koksijde-classic,2022,220.0
bredene-koksijde-classic,2023,180.0
bredene-koksijde-classic,2024,221.0
bredene-koksijde-classic,2025,213.0
bretagne-classic,2018,710.0
bretagne-classic,2019,723.0
bretagne-classic,2020,327.0
bretagne-classic,2021,647.0
bretagne-classic,2022,797.0
bretagne-classic,2023,758.0
bretagne-classic,2024,709.0
bretagne-classic,2025,809.0
brussels-cycling-classic,2018,399.0
brussels-cycling-classic,2019,464.0
brussels-cycling-classic,2020,266.0
brussels-cycling-classic,2021,213.0
brussels-cycling-classic,2022,351.0
brussels-cycling-classic,2023,232.0
brussels-cycling-classic,2024,330.0
brussels-cycling-classic,2025,356.0
bueng-si-fai-international-road-race,2024,14.0
bursa-orhangazi-race,2019,7.0
bursa-yildirim-bayezit-race,2019,7.0
cambodia-bay-cycling-tour,2020,7.0
carpathia-couriers-paths,2018,0.0
chabany-race,2019,9.0
challenge-du-prince,2019,7.0
challenge-du-prince,2022,5.0
challenge-du-prince-trophee-de-l-anniversaire,2019,7.0
challenge-du-prince-trophee-de-l-anniversaire,2022,5.0
challenge-du-prince-trophee-princier,2019,7.0
challenge-du-prince-trophee-princier,2022,6.0
challenge-international-du-sahara-marocain,2019,1.0
challenge-mallorca-trofeo-pollenca-alcudia,2021,123.0
challenge-mallorca-trofeo-pollenca-alcudia,2022,271.0
championnat-des-iles-de-l-ocean-indien2,2024,2.0
cholet-pays-de-loire,2018,111.0
cholet-pays-de-loire,2019,111.0
cholet-pays-de-loire,2021,163.0
cholet-pays-de-loire,2022,83.0
cholet-pays-de-loire,2023,112.0
cholet-pays-de-loire,2024,83.0
cholet-pays-de-loire,2025,119.0
chrono-champenois-masculin,2018,7.0
chrono-champenois-masculin,2019,5.0
chrono-des-nations,2018,70.0
chrono-des-nations,2019,111.0
chrono-des-nations,2021,79.0
chrono-des-nations,2022,98.0
chrono-des-nations,2023,95.0
chrono-des-nations,2024,49.0
chrono-des-nations,2025,107.0
chrono-des-nations-u23,2018,0.0
chrono-kristin-armstrong,2018,7.0
chrono-kristin-armstrong,2019,10.0
cic-mont-ventoux,2019,132.0
cic-mont-ventoux,2020,251.0
cic-mont-ventoux,2021,209.0
cic-mont-ventoux,2022,260.0
cic-mont-ventoux,2023,135.0
circuit-de-wallonie,2018,0.0
circuit-de-wallonie,2019,87.0
circuit-de-wallonie,2021,129.0
circuit-de-wallonie,2022,129.0
circuit-de-wallonie,2023,155.0
circuit-de-wallonie,2024,157.0
circuit-des-ardennes,2018,73.0
circuit-des-ardennes,2019,49.0
circuit-des-ardennes,2021,39.0
circuit-des-ardennes,2022,31.0
circuit-des-ardennes,2023,32.0
circuit-des-ardennes,2024,34.0
circuit-des-ardennes,2025,15.0
circuit-des-xi-villes,2018,151.0
circuit-des-xi-villes,2019,182.0
circuit-des-xi-villes,2021,231.0
circuit-des-xi-villes,2022,251.0
circuit-des-xi-villes,2023,224.0
circuit-des-xi-villes,2024,74.0
circuit-des-xi-villes,2025,222.0
circuit-franco-belge,2018,419.0
circuit-franco-belge,2019,235.0
circuit-franco-belge,2021,352.0
circuit-franco-belge,2022,344.0
circuit-franco-belge,2023,312.0
circuit-franco-belge,2024,264.0
circuit-franco-belge,2025,282.0
circuito-belvedere,2018,2.0
circuito-de-getxo,2018,48.0
circuito-de-getxo,2019,51.0
circuito-de-getxo,2020,236.0
circuito-de-getxo,2021,265.0
circuito-de-getxo,2022,272.0
circuito-de-getxo,2023,205.0
circuito-de-getxo,2024,159.0
circuito-de-getxo,2025,199.0
circuito-del-porto-trofeo-arvedi,2018,2.0
circuito-del-porto-trofeo-arvedi,2019,4.0
circuito-del-porto-trofeo-arvedi,2021,14.0
circuito-del-porto-trofeo-arvedi,2022,14.0
circuito-del-porto-trofeo-arvedi,2023,10.0
circuito-del-porto-trofeo-arvedi,2024,5.0
circuito-del-porto-trofeo-arvedi,2025,4.0
clasica-de-almeria,2018,316.0
clasica-de-almeria,2019,237.0
clasica-de-almeria,2020,383.0
clasica-de-almeria,2021,303.0
clasica-de-almeria,2022,225.0
clasica-de-almeria,2023,358.0
clasica-de-almeria,2024,376.0
clasica-de-almeria,2025,177.0
clasica-jaen-paraiso-interior,2022,167.0
clasica-jaen-paraiso-interior,2023,266.0
clasica-jaen-paraiso-interior,2024,263.0
clasica-jaen-paraiso-interior,2025,211.0
clasica-terres-de-l-ebre,2024,19.0
clasica-terres-de-l-ebre,2025,151.0
classic-brugge-de-panne,2018,256.0
classic-brugge-de-panne,2019,448.0
classic-brugge-de-panne,2020,554.0
classic-brugge-de-panne,2021,482.0
classic-brugge-de-panne,2022,444.0
classic-brugge-de-panne,2023,463.0
classic-brugge-de-panne,2024,375.0
classic-brugge-de-panne,2025,509.0
classic-grand-besancon-doubs,2021,174.0
classic-grand-besancon-doubs,2022,143.0
classic-grand-besancon-doubs,2023,146.0
classic-grand-besancon-doubs,2024,183.0
classic-grand-besancon-doubs,2025,97.0
classic-loire-atlantique,2018,122.0
classic-loire-atlantique,2019,114.0
classic-loire-atlantique,2021,132.0
classic-loire-atlantique,2022,98.0
classic-loire-atlantique,2023,97.0
classic-loire-atlantique,2024,65.0
classic-var,2024,195.0
classic-var,2025,261.0
classica-aldeias-do-xisto-cylin-portugal,2018,15.0
classica-camp-de-morvedre,2025,64.0
classique-dunkerque,2025,289.0
colombia-21,2018,247.0
colombia-21,2019,359.0
colombia-21,2020,273.0
colombia-21,2024,103.0
colorado-classic,2018,67.0
commonwealth-games,2018,25.0
commonwealth-games,2022,85.0
commonwealth-games-itt2,2018,2.0
commonwealth-games-itt2,2022,44.0
copenhagen-sprint,2025,358.0
coppa-agostoni,2018,255.0
coppa-agostoni,2019,259.0
coppa-agostoni,2021,246.0
coppa-agostoni,2022,347.0
coppa-agostoni,2023,311.0
coppa-agostoni,2024,360.0
coppa-agostoni,2025,347.0
coppa-bernocchi,2018,255.0
coppa-bernocchi,2019,242.0
coppa-bernocchi,2021,396.0
coppa-bernocchi,2022,395.0
coppa-bernocchi,2023,492.0
coppa-bernocchi,2024,601.0
coppa-bernocchi,2025,344.0
coppa-citta-di-san-daniele2,2023,10.0
coppa-citta-di-san-daniele2,2024,18.0
coppa-citta-di-san-daniele2,2025,16.0
coppa-della-pace-trofeo-flli-anelli,2018,2.0
coppa-della-pace-trofeo-flli-anelli,2019,4.0
coupe-des-nations-ville-saguenay,2019,10.0
course-cycliste-de-solidarnosc,2018,15.0
course-cycliste-de-solidarnosc,2019,15.0
course-cycliste-de-solidarnosc,2020,24.0
course-cycliste-de-solidarnosc,2021,20.0
course-cycliste-de-solidarnosc,2023,12.0
course-cycliste-de-solidarnosc,2024,18.0
courts-mammouth-classique-de-l-ile-maurice,2023,12.0
courts-mammouth-classique-de-l-ile-maurice,2024,13.0
cupa-max-ausnit,2023,4.0
cupa-max-ausnit,2024,14.0
cyclassics-hamburg,2018,583.0
cyclassics-hamburg,2019,643.0
cyclassics-hamburg,2022,650.0
cyclassics-hamburg,2023,526.0
cyclassics-hamburg,2024,701.0
cyclassics-hamburg,2025,742.0
czech-tour,2018,55.0
czech-tour,2019,119.0
czech-tour,2020,114.0
czech-tour,2021,75.0
czech-tour,2022,124.0
czech-tour,2023,86.0
czech-tour,2024,219.0
czech-tour,2025,63.0
danish-championships,2018,45.0
danish-championships,2019,49.0
danish-championships,2020,65.0
danish-championships,2021,136.0
danish-championships,2022,66.0
danish-championships,2023,144.0
danish-championships,2024,126.0
danish-championships,2025,133.0
de-kustpijl,2018,3.0
de-kustpijl,2019,17.0
deia-trophy,2018,237.0
deia-trophy,2019,311.0
deia-trophy,2020,268.0
deia-trophy,2021,147.0
deia-trophy,2022,331.0
deia-trophy,2023,300.0
deia-trophy,2024,259.0
deia-trophy,2025,367.0
deutschland-tour,2018,375.0
deutschland-tour,2019,613.0
deutschland-tour,2021,316.0
deutschland-tour,2022,463.0
deutschland-tour,2023,354.0
deutschland-tour,2024,340.0
deutschland-tour,2025,388.0
dhofar-classic,2025,24.0
dookola-mazowsza,2018,31.0
dookola-mazowsza,2019,22.0
dookola-mazowsza,2020,19.0
dookola-mazowsza,2021,15.0
dookola-mazowsza,2022,23.0
dookola-mazowsza,2023,7.0
dookola-mazowsza,2024,9.0
dookola-mazowsza,2025,8.0
dorpenomloop-rucphen,2018,12.0
dorpenomloop-rucphen,2020,11.0
dorpenomloop-rucphen,2021,19.0
dorpenomloop-rucphen,2022,28.0
dorpenomloop-rucphen,2023,11.0
dorpenomloop-rucphen,2024,8.0
dorpenomloop-rucphen,2025,4.0
druivenkoers-overijse,2018,89.0
druivenkoers-overijse,2019,116.0
druivenkoers-overijse,2020,256.0
druivenkoers-overijse,2021,284.0
druivenkoers-overijse,2022,388.0
druivenkoers-overijse,2023,149.0
druivenkoers-overijse,2024,183.0
dubai-tour,2018,404.0
due-giorni-marchigiana-gp-santa-rita,2023,4.0
due-giorni-marchigiana-gp-santa-rita,2024,7.0
due-giorni-marchigiana-gp-santa-rita,2025,7.0
dwars-door-de-vlaamse-ardennen,2018,0.0
dwars-door-het-hageland,2018,206.0
dwars-door-het-hageland,2019,134.0
dwars-door-het-hageland,2020,141.0
dwars-door-het-hageland,2021,170.0
dwars-door-het-hageland,2022,227.0
dwars-door-het-hageland,2023,172.0
dwars-door-het-hageland,2024,170.0
dwars-door-het-hageland,2025,272.0
dwars-door-vlaanderen,2018,852.0
dwars-door-vlaanderen,2019,680.0
dwars-door-vlaanderen,2021,811.0
dwars-door-vlaanderen,2022,639.0
dwars-door-vlaanderen,2023,851.0
dwars-door-vlaanderen,2024,719.0
dwars-door-vlaanderen,2025,802.0
e3-harelbeke,2018,899.0
e3-harelbeke,2019,758.0
e3-harelbeke,2021,702.0
e3-harelbeke,2022,608.0
e3-harelbeke,2023,853.0
e3-harelbeke,2024,734.0
e3-harelbeke,2025,691.0
east-midlands-international-cicle-classic,2018,14.0
east-midlands-international-cicle-classic,2019,13.0
east-midlands-international-cicle-classic,2022,5.0
east-midlands-international-cicle-classic,2023,11.0
east-midlands-international-cicle-classic,2025,3.0
elfsteden-race,2022,25.0
elfsteden-race,2023,187.0
elfsteden-race,2024,116.0
elite-road-caribbean-championships-itt,2018,0.0
elite-road-caribbean-championships-itt,2019,0.0
elite-road-caribbean-championships-itt,2022,1.0
elite-road-caribbean-championships-itt,2023,2.0
elite-road-caribbean-championships-itt,2024,6.0
elite-road-caribbean-championships-itt,2025,3.0
elite-road-caribbean-championships-road-race,2018,2.0
elite-road-caribbean-championships-road-race,2019,0.0
elite-road-caribbean-championships-road-race,2021,4.0
elite-road-caribbean-championships-road-race,2022,2.0
elite-road-caribbean-championships-road-race,2023,2.0
elite-road-caribbean-championships-road-race,2024,7.0
elite-road-caribbean-championships-road-race,2025,4.0
elite-road-central-american-championships-itt,2019,3.0
elite-road-central-american-championships-itt,2020,2.0
elite-road-central-american-championships-itt,2021,5.0
elite-road-central-american-championships-itt,2022,2.0
elite-road-central-american-championships-itt,2023,2.0
elite-road-central-american-championships-itt,2024,2.0
elite-road-central-american-championships-itt,2025,7.0
elite-road-central-american-championships-mu-irr,2023,1.0
elite-road-central-american-championships-mu-itt,2023,1.0
