fichier_gpx,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km
2018 Grand Prix Cerami.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix Chantal Biya Stage 1.gpx,1.666,0.0,0.683,0.0,0.316,0.0
2018 Grand Prix Criquielion.gpx,6.189,0.0,2.148,0.0,1.294,0.0
2018 Grand Prix Doliny Baryczy Zmigrod - The XXVIII th Mem. Jozefa Grundmana i Jerzego Wizowskiego.gpx,0.117,0.0,0.059,0.0,0.0,0.0
2018 Grand Prix Side.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grand Prix de Denain - Porte du Hainaut.gpx,6.9,0.0,3.415,0.0,1.586,0.0
2018 Grand Prix de Wallonie.gpx,1.931,0.114,1.931,0.114,1.931,0.114
2018 Grand Prix de la ville de Perenchies.gpx,2.936,0.0,0.979,0.0,0.979,0.0
2018 Great War Remembrance Race.gpx,2.915,0.23,2.109,0.23,0.81,0.0
2018 Grote Prijs Jean-Pierre Monsere.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Grote Prijs Marcel Kint.gpx,0.828,0.0,0.356,0.0,0.276,0.0
2018 Gylne Gutuer.gpx,0.0,19.906,0.0,7.936,0.0,4.035
2018 Halle-Ingooigem.gpx,0.196,0.0,0.098,0.0,0.0,0.0
2018 Hammer Series - Hammer Sportzone Limburg Stage 1.gpx,1.624,0.006,0.609,0.0,0.406,0.0
2018 Hammer Series - Hammer Stavanger Stage 1.gpx,0.562,0.0,0.187,0.0,0.094,0.0
2018 Hammer Series - Hammer Stavanger Stage 2.gpx,0.593,0.0,0.237,0.0,0.119,0.0
2018 Handzame Classic.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Hansa Bygg Kalmar Grand Prix Road Race.gpx,1.565,0.0,0.613,0.0,0.137,0.0
2018 Int. Osterreich-Rundfahrt-Tour of Austria Stage 1.gpx,0.501,0.0,0.244,0.0,0.244,0.0
2018 International Race Grand Prix Doliny Baryczy Milicz.gpx,2.427,7.577,0.809,2.592,0.809,0.157
2018 Internationale Wielertrofee Jong Maar Moedig I.W.T..gpx,10.105,0.0,4.503,0.0,2.801,0.0
2018 Itzulia Basque Country Stage 1.gpx,0.227,0.0,0.227,0.0,0.0,0.0
2018 Itzulia Basque Country Stage 2.gpx,0.107,0.0,0.103,0.0,0.103,0.0
2018 Kampioenschap van Vlaanderen.gpx,2.594,0.0,0.727,0.0,0.648,0.0
2018 Klasika Primavera de Amorebieta.gpx,0.0,0.0,0.0,0.0,0.0,0.0
