course,pts_uci_rank1
elite-road-caribbean-championships-road-race,40.0
elite-road-central-american-championships-itt,40.0
elite-road-central-american-championships-mu-irr,30.0
elite-road-central-american-championships-mu-itt,30.0
elite-road-central-american-championships-road-rac,40.0
entre-brenne-et-montmorillonnais,40.0
eschborn-frankfurt,300.0
etoile-de-besseges,14.0
european-games,250.0
european-games-itt,70.0
famenne-ardenne-classic,125.0
fatih-sultan-mehmet-edirne-race,40.0
fatih-sultan-mehmet-kirklareli-race,40.0
faun-ardeche-classic,200.0
figueira-champions-classic,200.0
five-rings-of-moscow,7.0
fleche-ardennaise,40.0
fleche-du-sud,7.0
gemenc-grand-prix-i,40.0
gemenc-grand-prix-ii,40.0
gent-wevelgem,500.0
germenica-grand-prix-road-race-me,40.0
giro-ciclistico-d-italia,7.0
giro-ciclistico-della-valle-d-aosta-mont-blanc,5.0
giro-d-abruzzo,14.0
giro-d-italia,180.0
giro-del-medio-brenta,40.0
giro-del-sol-san-juan,3.0
giro-del-veneto,200.0
giro-dell-appennino,125.0
giro-dell-emilia,200.0
giro-della-regione-friuli-venezia-giulia,7.0
giro-di-reggio-calabria,125.0
giro-di-romagna,125.0
giro-di-sicilia,14.0
giro-di-toscana,125.0
gooikse-pijl,125.0
gp-adria-mobil,40.0
gp-al-massira,40.0
gp-albert-fauville,40.0
gp-antalya,40.0
gp-belek,30.0
gp-brda-collio,40.0
gp-bruno-beghelli,200.0
gp-capodarco,30.0
gp-cerami,125.0
gp-citta-di-peccioli,200.0
gp-cycliste-de-gemenc,7.0
gp-czech-republic,40.0
gp-d-isbergues,125.0
gp-d-ouverture,125.0
gp-de-denain,200.0
gp-de-fourmies,200.0
gp-de-la-somme,40.0
gp-de-la-ville-d-alger,40.0
gp-de-la-ville-de-lillers,40.0
gp-de-la-ville-de-nogent-sur-oise,40.0
gp-de-plumelec,200.0
gp-de-valence,125.0
gp-de-wallonie,200.0
gp-di-poggiana,30.0
gp-du-canton-d-argovie,200.0
gp-gorenjska,40.0
gp-goriska-vipava-valley,40.0
gp-herning,40.0
gp-horsens,125.0
gp-impanis-van-petegem,200.0
gp-industria-artigianato,200.0
gp-industria-e-commercio2,30.0
gp-industrie-del-marmo,30.0
gp-int-torres-vedras,7.0
gp-internacional-beiras-e-serra-da-estrela,14.0
gp-internacional-de-ciclismo-de-santa-catarina,15.0
gp-izola-butan-plin,40.0
gp-jef-scherens,125.0
gp-kranj,40.0
gp-laguna,40.0
gp-lugano,125.0
gp-manavgat,40.0
gp-montreal,500.0
gp-oued-eddahab,40.0
gp-palio-del-recioto,30.0
gp-quebec,500.0
gp-sakia-el-hamra,40.0
gp-samyn,125.0
gp-slovenia,40.0
gp-stad-zottegem,125.0
gp-urubici-de-ciclismo,30.0
gp-vorarlberg,40.0
gran-camino,14.0
gran-piemonte,200.0
gran-premio-chapin,40.0
gran-premio-comite-olimpico-nacional,40.0
gran-premio-de-la-patagonia,40.0
gran-premio-della-liberazione,30.0
gran-premio-fecoci,40.0
gran-premio-guatemala,40.0
gran-premio-miguel-indurain,200.0
gran-premio-new-york-city,40.0
gran-trittico-lombardo,200.0
grand-prix-alanya,40.0
grand-prix-altinkale,40.0
grand-prix-apollon-temple-me,40.0
grand-prix-aspendos,30.0
grand-prix-boukraa,40.0
grand-prix-cappadocia,40.0
grand-prix-central-anatolia,40.0
grand-prix-chantal-biya,7.0
grand-prix-criquielion,125.0
grand-prix-d-ongola,40.0
grand-prix-d-oran,40.0
grand-prix-de-cotonou,40.0
grand-prix-de-la-famille-royal,40.0
grand-prix-de-la-ville-d-annaba,40.0
grand-prix-de-la-ville-de-perenchies,40.0
grand-prix-de-plouay,40.0
grand-prix-de-prince-heritier-moulay-el-hassan,40.0
grand-prix-des-marbriers,40.0
grand-prix-develi,40.0
grand-prix-du-trone,40.0
grand-prix-edebiyat-yolu,40.0
grand-prix-el-marsa,40.0
grand-prix-erciyes-mimar-sinan-me,40.0
grand-prix-es-semara,40.0
grand-prix-gazipasa,40.0
grand-prix-gundogmus-me,40.0
grand-prix-international-de-la-pharmacie-centrale-,40.0
grand-prix-justiniano-hotels,40.0
grand-prix-kahramanmaras,40.0
grand-prix-kaisareiame,40.0
grand-prix-kapuzbasi,40.0
grand-prix-kayseri-me,40.0
grand-prix-manavgat-side,40.0
grand-prix-mediterrennean,40.0
grand-prix-megasaray,40.0
grand-prix-minsk,40.0
grand-prix-mount-erciyes-2200-mt,40.0
grand-prix-nasielsk-serock,40.0
grand-prix-ordu,40.0
grand-prix-sakiat-sidi-youcef,40.0
grand-prix-side,40.0
grand-prix-soganli,40.0
grand-prix-sonatrach,40.0
grand-prix-tomarza,40.0
grand-prix-velo-alanya,40.0
grand-prix-velo-erciyes-me,40.0
grand-prix-world-s-best-high-altitude,40.0
grand-prix-wyszkow,40.0
grand-prix-yahyali,40.0
grand-tour-de-ciclismo-de-sc,40.0
gravel-and-tar,40.0
great-ocean-road-race,300.0
great-war-remembrance-race,125.0
grote-prijs-jean-pierre-monsere,125.0
grote-prijs-marcel-kint,125.0
grote-prijs-rik-van-looy,40.0
grote-prijs-stad-halle,40.0
gylne-gutuer,40.0
hadeland-gp,40.0
hafjell-gp,40.0
halle-ingooigem,125.0
hansa-bygg-kalmar-grand-prix,40.0
heist-op-den-berg,125.0
herald-sun-tour,14.0
himmerland-rundt,40.0
