jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,fichier_pcs,score,statut
28,1,2018,result,great-ocean-road-race,1.UWT,2018 Cadel Evans Great Ocean Road Race.gpx,28_January_2018__result__great-ocean-road-race_2018__1.UWT.csv,100,match
24,2,2018,result,omloop-het-nieuwsblad,1.UWT,2018 Omloop Het Nieuwsblad.gpx,24_February_2018__result__omloop-het-nieuwsblad_2018__1.UWT.csv,100,match
3,3,2018,result,strade-bianche,1.UWT,2018 Strade Bianche.gpx,03_March_2018__result__strade-bianche_2018__1.UWT.csv,100,match
17,3,2018,result,milano-sanremo,1.UWT,2018 Milano - Sanremo.gpx,17_March_2018__result__milano-sanremo_2018__1.UWT.csv,100,match
23,3,2018,result,e3-harelbeke,1.UWT,2018 Record Bank E3 Harelbeke.gpx,23_March_2018__result__e3-harelbeke_2018__1.UWT.csv,100,match
25,3,2018,result,gent-wevelgem,1.UWT,2018 Gent-Wevelgem in Flanders Fields.gpx,25_March_2018__result__gent-wevelgem_2018__1.UWT.csv,100,match
28,3,2018,result,dwars-door-vlaanderen,1.UWT,2018 Dwars Door Vlaanderen / A travers la Flandre.gpx,28_March_2018__result__dwars-door-vlaanderen_2018__1.UWT.csv,100,match
1,4,2018,result,ronde-van-vlaanderen,1.UWT,2018 Ronde Van Vlaanderen.gpx,01_April_2018__result__ronde-van-vlaanderen_2018__1.UWT.csv,100,match
8,4,2018,result,paris-roubaix,1.UWT,2018 Paris - Roubaix.gpx,08_April_2018__result__paris-roubaix_2018__1.UWT.csv,100,match
15,4,2018,result,amstel-gold-race,1.UWT,2018 Amstel Gold Race.gpx,15_April_2018__result__amstel-gold-race_2018__1.UWT.csv,100,match
18,4,2018,result,la-fleche-wallonne,1.UWT,2018 La Fleche Wallonne.gpx,18_April_2018__result__la-fleche-wallonne_2018__1.UWT.csv,100,match
22,4,2018,result,liege-bastogne-liege,1.UWT,2018 Liege - Bastogne - Liege.gpx,22_April_2018__result__liege-bastogne-liege_2018__1.UWT.csv,100,match
1,5,2018,result,eschborn-frankfurt,1.UWT,2018 Eschborn-Frankfurt.gpx,01_May_2018__result__eschborn-frankfurt_2018__1.UWT.csv,100,match
29,7,2018,result,ride-london-classic,1.UWT,2018 Prudential RideLondon-Surrey Classic.gpx,29_July_2018__result__ride-london-classic_2018__1.UWT.csv,68,match
4,8,2018,result,san-sebastian,1.UWT,2018 Clasica Ciclista San Sebastian.gpx,04_August_2018__result__san-sebastian_2018__1.UWT.csv,65,match
19,8,2018,result,cyclassics-hamburg,1.UWT,2018 Euroeyes Cyclassics.gpx,19_August_2018__result__cyclassics-hamburg_2018__1.UWT.csv,84,match
26,8,2018,result,bretagne-classic,1.UWT,2018 Bretagne Classic - Ouest-France.gpx,26_August_2018__result__bretagne-classic_2018__1.UWT.csv,100,match
7,9,2018,result,gp-quebec,1.UWT,2018 Grand Prix Cycliste de Quebec.gpx,07_September_2018__result__gp-quebec_2018__1.UWT.csv,100,match
9,9,2018,result,gp-montreal,1.UWT,2018 Grand Prix Cycliste de Montreal.gpx,09_September_2018__result__gp-montreal_2018__1.UWT.csv,100,match
13,10,2018,result,il-lombardia,1.UWT,2018 Il Lombardia.gpx,13_October_2018__result__il-lombardia_2018__1.UWT.csv,100,match
