jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,fichier_pcs,score,statut
21,2,2021,stage_1,uae-tour,2.UWT,2021 UAE Tour Stage 1.gpx,21_February_2021__stage_1__uae-tour_2021__2.UWT.csv,100,match
22,2,2021,stage_2,uae-tour,2.UWT,2021 UAE Tour Stage 2.gpx,22_February_2021__stage_2__uae-tour_2021__2.UWT.csv,100,match
23,2,2021,stage_3,uae-tour,2.UWT,2021 UAE Tour Stage 3.gpx,23_February_2021__stage_3__uae-tour_2021__2.UWT.csv,100,match
24,2,2021,stage_4,uae-tour,2.UWT,2021 UAE Tour Stage 4.gpx,24_February_2021__stage_4__uae-tour_2021__2.UWT.csv,100,match
25,2,2021,stage_5,uae-tour,2.UWT,2021 UAE Tour Stage 5.gpx,25_February_2021__stage_5__uae-tour_2021__2.UWT.csv,100,match
26,2,2021,stage_6,uae-tour,2.UWT,2021 UAE Tour Stage 6.gpx,26_February_2021__stage_6__uae-tour_2021__2.UWT.csv,100,match
27,2,2021,result,omloop-het-nieuwsblad,1.UWT,2021 Omloop Het Nieuwsblad Elite.gpx,27_February_2021__result__omloop-het-nieuwsblad_2021__1.UWT.csv,100,match
27,2,2021,stage_7,uae-tour,2.UWT,2021 UAE Tour Stage 7.gpx,27_February_2021__stage_7__uae-tour_2021__2.UWT.csv,100,match
6,3,2021,result,strade-bianche,1.UWT,2021 Strade Bianche.gpx,06_March_2021__result__strade-bianche_2021__1.UWT.csv,100,match
7,3,2021,stage_1,paris-nice,2.UWT,2021 Paris-Nice Stage 1.gpx,07_March_2021__stage_1__paris-nice_2021__2.UWT.csv,100,match
8,3,2021,stage_2,paris-nice,2.UWT,2021 Paris-Nice Stage 2.gpx,08_March_2021__stage_2__paris-nice_2021__2.UWT.csv,100,match
9,3,2021,stage_3,paris-nice,2.UWT,2021 Paris-Nice Stage 3.gpx,09_March_2021__stage_3__paris-nice_2021__2.UWT.csv,100,match
10,3,2021,stage_1,tirreno-adriatico,2.UWT,2021 Tirreno-Adriatico Stage 1.gpx,10_March_2021__stage_1__tirreno-adriatico_2021__2.UWT.csv,100,match
11,3,2021,stage_2,tirreno-adriatico,2.UWT,2021 Tirreno-Adriatico Stage 2.gpx,11_March_2021__stage_2__tirreno-adriatico_2021__2.UWT.csv,100,match
12,3,2021,stage_3,tirreno-adriatico,2.UWT,2021 Tirreno-Adriatico Stage 3.gpx,12_March_2021__stage_3__tirreno-adriatico_2021__2.UWT.csv,100,match
13,3,2021,stage_4,tirreno-adriatico,2.UWT,2021 Tirreno-Adriatico Stage 4.gpx,13_March_2021__stage_4__tirreno-adriatico_2021__2.UWT.csv,100,match
14,3,2021,stage_5,tirreno-adriatico,2.UWT,2021 Tirreno-Adriatico Stage 5.gpx,14_March_2021__stage_5__tirreno-adriatico_2021__2.UWT.csv,100,match
15,3,2021,stage_6,tirreno-adriatico,2.UWT,2021 Tirreno-Adriatico Stage 6.gpx,15_March_2021__stage_6__tirreno-adriatico_2021__2.UWT.csv,100,match
16,3,2021,stage_7,tirreno-adriatico,2.UWT,2021 Tirreno-Adriatico Stage 7.gpx,16_March_2021__stage_7__tirreno-adriatico_2021__2.UWT.csv,100,match
20,3,2021,result,milano-sanremo,1.UWT,2021 Milano-Sanremo.gpx,20_March_2021__result__milano-sanremo_2021__1.UWT.csv,100,match
22,3,2021,stage_1,volta-a-catalunya,2.UWT,2021 Volta Ciclista a Catalunya Stage 1.gpx,22_March_2021__stage_1__volta-a-catalunya_2021__2.UWT.csv,100,match
23,3,2021,stage_2,volta-a-catalunya,2.UWT,2021 Volta Ciclista a Catalunya Stage 2.gpx,23_March_2021__stage_2__volta-a-catalunya_2021__2.UWT.csv,100,match
24,3,2021,stage_3,volta-a-catalunya,2.UWT,2021 Volta Ciclista a Catalunya Stage 3.gpx,24_March_2021__stage_3__volta-a-catalunya_2021__2.UWT.csv,100,match
24,3,2021,result,classic-brugge-de-panne,1.UWT,2021 Oxyclean Classic Brugge-De Panne.gpx,24_March_2021__result__classic-brugge-de-panne_2021__1.UWT.csv,100,match
25,3,2021,stage_4,volta-a-catalunya,2.UWT,2021 Volta Ciclista a Catalunya Stage 4.gpx,25_March_2021__stage_4__volta-a-catalunya_2021__2.UWT.csv,100,match
26,3,2021,stage_5,volta-a-catalunya,2.UWT,2021 Volta Ciclista a Catalunya Stage 5.gpx,26_March_2021__stage_5__volta-a-catalunya_2021__2.UWT.csv,100,match
26,3,2021,result,e3-harelbeke,1.UWT,2021 E3 Saxo Bank Classic.gpx,26_March_2021__result__e3-harelbeke_2021__1.UWT.csv,72,match
27,3,2021,stage_6,volta-a-catalunya,2.UWT,2021 Volta Ciclista a Catalunya Stage 6.gpx,27_March_2021__stage_6__volta-a-catalunya_2021__2.UWT.csv,100,match
28,3,2021,result,gent-wevelgem,1.UWT,2021 Gent-Wevelgem in Flanders Fields.gpx,28_March_2021__result__gent-wevelgem_2021__1.UWT.csv,100,match
28,3,2021,stage_7,volta-a-catalunya,2.UWT,2021 Volta Ciclista a Catalunya Stage 7.gpx,28_March_2021__stage_7__volta-a-catalunya_2021__2.UWT.csv,100,match
31,3,2021,result,dwars-door-vlaanderen,1.UWT,2021 Dwars door Vlaanderen - A travers la Flandre.gpx,31_March_2021__result__dwars-door-vlaanderen_2021__1.UWT.csv,100,match
4,4,2021,result,ronde-van-vlaanderen,1.UWT,2021 Ronde van Vlaanderen - Tour des Flandres.gpx,04_April_2021__result__ronde-van-vlaanderen_2021__1.UWT.csv,100,match
5,4,2021,stage_1,itzulia-basque-country,2.UWT,2021 Itzulia Basque Country Stage 1.gpx,05_April_2021__stage_1__itzulia-basque-country_2021__2.UWT.csv,100,match
6,4,2021,stage_2,itzulia-basque-country,2.UWT,2021 Itzulia Basque Country Stage 2.gpx,06_April_2021__stage_2__itzulia-basque-country_2021__2.UWT.csv,100,match
7,4,2021,stage_3,itzulia-basque-country,2.UWT,2021 Itzulia Basque Country Stage 3.gpx,07_April_2021__stage_3__itzulia-basque-country_2021__2.UWT.csv,100,match
8,4,2021,stage_4,itzulia-basque-country,2.UWT,2021 Itzulia Basque Country Stage 4.gpx,08_April_2021__stage_4__itzulia-basque-country_2021__2.UWT.csv,100,match
9,4,2021,stage_5,itzulia-basque-country,2.UWT,2021 Itzulia Basque Country Stage 5.gpx,09_April_2021__stage_5__itzulia-basque-country_2021__2.UWT.csv,100,match
10,4,2021,stage_6,itzulia-basque-country,2.UWT,2021 Itzulia Basque Country Stage 6.gpx,10_April_2021__stage_6__itzulia-basque-country_2021__2.UWT.csv,100,match
18,4,2021,result,amstel-gold-race,1.UWT,2021 Amstel Gold Race.gpx,18_April_2021__result__amstel-gold-race_2021__1.UWT.csv,100,match
21,4,2021,result,la-fleche-wallonne,1.UWT,2021 La Fleche Wallonne.gpx,21_April_2021__result__la-fleche-wallonne_2021__1.UWT.csv,100,match
25,4,2021,result,liege-bastogne-liege,1.UWT,2021 Liege - Bastogne - Liege.gpx,25_April_2021__result__liege-bastogne-liege_2021__1.UWT.csv,100,match
27,4,2021,prologue,tour-de-romandie,2.UWT,2021 Tour de Romandie Prologue.gpx,27_April_2021__Prologue__tour-de-romandie_2021__2.UWT.csv,100,match
28,4,2021,stage_1,tour-de-romandie,2.UWT,2021 Tour de Romandie Stage 1.gpx,28_April_2021__stage_1__tour-de-romandie_2021__2.UWT.csv,100,match
29,4,2021,stage_2,tour-de-romandie,2.UWT,2021 Tour de Romandie Stage 2.gpx,29_April_2021__stage_2__tour-de-romandie_2021__2.UWT.csv,100,match
30,4,2021,stage_3,tour-de-romandie,2.UWT,2021 Tour de Romandie Stage 3.gpx,30_April_2021__stage_3__tour-de-romandie_2021__2.UWT.csv,100,match
1,5,2021,stage_4,tour-de-romandie,2.UWT,2021 Tour de Romandie Stage 4.gpx,01_May_2021__stage_4__tour-de-romandie_2021__2.UWT.csv,100,match
2,5,2021,stage_5,tour-de-romandie,2.UWT,2021 Tour de Romandie Stage 5.gpx,02_May_2021__stage_5__tour-de-romandie_2021__2.UWT.csv,100,match
8,5,2021,stage_1,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 1.gpx,08_May_2021__stage_1__giro-d-italia_2021__2.UWT.csv,100,match
9,5,2021,stage_2,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 2.gpx,09_May_2021__stage_2__giro-d-italia_2021__2.UWT.csv,100,match
10,5,2021,stage_3,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 3.gpx,10_May_2021__stage_3__giro-d-italia_2021__2.UWT.csv,100,match
11,5,2021,stage_4,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 4.gpx,11_May_2021__stage_4__giro-d-italia_2021__2.UWT.csv,100,match
12,5,2021,stage_5,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 5.gpx,12_May_2021__stage_5__giro-d-italia_2021__2.UWT.csv,100,match
13,5,2021,stage_6,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 6.gpx,13_May_2021__stage_6__giro-d-italia_2021__2.UWT.csv,100,match
14,5,2021,stage_7,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 7.gpx,14_May_2021__stage_7__giro-d-italia_2021__2.UWT.csv,100,match
15,5,2021,stage_8,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 8.gpx,15_May_2021__stage_8__giro-d-italia_2021__2.UWT.csv,100,match
16,5,2021,stage_9,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 9.gpx,16_May_2021__stage_9__giro-d-italia_2021__2.UWT.csv,100,match
17,5,2021,stage_10,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 10.gpx,17_May_2021__stage_10__giro-d-italia_2021__2.UWT.csv,100,match
19,5,2021,stage_11,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 11.gpx,19_May_2021__stage_11__giro-d-italia_2021__2.UWT.csv,100,match
20,5,2021,stage_12,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 12.gpx,20_May_2021__stage_12__giro-d-italia_2021__2.UWT.csv,100,match
21,5,2021,stage_13,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 13.gpx,21_May_2021__stage_13__giro-d-italia_2021__2.UWT.csv,100,match
22,5,2021,stage_14,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 14.gpx,22_May_2021__stage_14__giro-d-italia_2021__2.UWT.csv,100,match
23,5,2021,stage_15,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 15.gpx,23_May_2021__stage_15__giro-d-italia_2021__2.UWT.csv,100,match
24,5,2021,stage_16,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 16.gpx,24_May_2021__stage_16__giro-d-italia_2021__2.UWT.csv,100,match
26,5,2021,stage_17,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 17.gpx,26_May_2021__stage_17__giro-d-italia_2021__2.UWT.csv,100,match
27,5,2021,stage_18,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 18.gpx,27_May_2021__stage_18__giro-d-italia_2021__2.UWT.csv,100,match
28,5,2021,stage_19,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 19.gpx,28_May_2021__stage_19__giro-d-italia_2021__2.UWT.csv,100,match
29,5,2021,stage_20,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 20.gpx,29_May_2021__stage_20__giro-d-italia_2021__2.UWT.csv,100,match
30,5,2021,stage_1,tour-auvergne-rhone-alpes,2.UWT,2021 Criterium du Dauphine Stage 1.gpx,30_May_2021__stage_1__tour-auvergne-rhone-alpes_2021__2.UWT.csv,100,match
30,5,2021,stage_21,giro-d-italia,2.UWT,2021 Giro d'Italia Stage 21.gpx,30_May_2021__stage_21__giro-d-italia_2021__2.UWT.csv,100,match
31,5,2021,stage_2,tour-auvergne-rhone-alpes,2.UWT,2021 Criterium du Dauphine Stage 2.gpx,31_May_2021__stage_2__tour-auvergne-rhone-alpes_2021__2.UWT.csv,100,match
1,6,2021,stage_3,tour-auvergne-rhone-alpes,2.UWT,2021 Criterium du Dauphine Stage 3.gpx,01_June_2021__stage_3__tour-auvergne-rhone-alpes_2021__2.UWT.csv,100,match
2,6,2021,stage_4,tour-auvergne-rhone-alpes,2.UWT,2021 Criterium du Dauphine Stage 4.gpx,02_June_2021__stage_4__tour-auvergne-rhone-alpes_2021__2.UWT.csv,100,match
3,6,2021,stage_5,tour-auvergne-rhone-alpes,2.UWT,2021 Criterium du Dauphine Stage 5.gpx,03_June_2021__stage_5__tour-auvergne-rhone-alpes_2021__2.UWT.csv,100,match
4,6,2021,stage_6,tour-auvergne-rhone-alpes,2.UWT,2021 Criterium du Dauphine Stage 6.gpx,04_June_2021__stage_6__tour-auvergne-rhone-alpes_2021__2.UWT.csv,100,match
5,6,2021,stage_7,tour-auvergne-rhone-alpes,2.UWT,2021 Criterium du Dauphine Stage 7.gpx,05_June_2021__stage_7__tour-auvergne-rhone-alpes_2021__2.UWT.csv,100,match
6,6,2021,stage_1,tour-de-suisse,2.UWT,2021 Tour de Suisse Stage 1.gpx,06_June_2021__stage_1__tour-de-suisse_2021__2.UWT.csv,100,match
6,6,2021,stage_8,tour-auvergne-rhone-alpes,2.UWT,2021 Criterium du Dauphine Stage 8.gpx,06_June_2021__stage_8__tour-auvergne-rhone-alpes_2021__2.UWT.csv,100,match
7,6,2021,stage_2,tour-de-suisse,2.UWT,2021 Tour de Suisse Stage 2.gpx,07_June_2021__stage_2__tour-de-suisse_2021__2.UWT.csv,100,match
8,6,2021,stage_3,tour-de-suisse,2.UWT,2021 Tour de Suisse Stage 3.gpx,08_June_2021__stage_3__tour-de-suisse_2021__2.UWT.csv,100,match
