jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,fichier_pcs,score,statut
15,1,2019,stage_1,tour-down-under,2.UWT,2019 Santos Tour Down Under Stage 1.gpx,15_January_2019__stage_1__tour-down-under_2019__2.UWT.csv,100,match
16,1,2019,stage_2,tour-down-under,2.UWT,2019 Santos Tour Down Under Stage 2.gpx,16_January_2019__stage_2__tour-down-under_2019__2.UWT.csv,100,match
17,1,2019,stage_3,tour-down-under,2.UWT,2019 Santos Tour Down Under Stage 3.gpx,17_January_2019__stage_3__tour-down-under_2019__2.UWT.csv,100,match
18,1,2019,stage_4,tour-down-under,2.UWT,2019 Santos Tour Down Under Stage 4.gpx,18_January_2019__stage_4__tour-down-under_2019__2.UWT.csv,100,match
19,1,2019,stage_5,tour-down-under,2.UWT,2019 Santos Tour Down Under Stage 5.gpx,19_January_2019__stage_5__tour-down-under_2019__2.UWT.csv,100,match
20,1,2019,stage_6,tour-down-under,2.UWT,2019 Santos Tour Down Under Stage 6.gpx,20_January_2019__stage_6__tour-down-under_2019__2.UWT.csv,100,match
27,1,2019,result,great-ocean-road-race,1.UWT,2019 Cadel Evans Great Ocean Road Race.gpx,27_January_2019__result__great-ocean-road-race_2019__1.UWT.csv,100,match
24,2,2019,stage_1,uae-tour,2.UWT,2019 UAE Tour Stage 1.gpx,24_February_2019__stage_1__uae-tour_2019__2.UWT.csv,100,match
25,2,2019,stage_2,uae-tour,2.UWT,2019 UAE Tour Stage 2.gpx,25_February_2019__stage_2__uae-tour_2019__2.UWT.csv,100,match
26,2,2019,stage_3,uae-tour,2.UWT,2019 UAE Tour Stage 3.gpx,26_February_2019__stage_3__uae-tour_2019__2.UWT.csv,100,match
27,2,2019,stage_4,uae-tour,2.UWT,2019 UAE Tour Stage 4.gpx,27_February_2019__stage_4__uae-tour_2019__2.UWT.csv,100,match
28,2,2019,stage_5,uae-tour,2.UWT,2019 UAE Tour Stage 5.gpx,28_February_2019__stage_5__uae-tour_2019__2.UWT.csv,100,match
1,3,2019,stage_6,uae-tour,2.UWT,2019 UAE Tour Stage 6.gpx,01_March_2019__stage_6__uae-tour_2019__2.UWT.csv,100,match
2,3,2019,stage_7,uae-tour,2.UWT,2019 UAE Tour Stage 7.gpx,02_March_2019__stage_7__uae-tour_2019__2.UWT.csv,100,match
2,3,2019,result,omloop-het-nieuwsblad,1.UWT,2019 Omloop Het Nieuwsblad Elite.gpx,02_March_2019__result__omloop-het-nieuwsblad_2019__1.UWT.csv,100,match
9,3,2019,result,strade-bianche,1.UWT,2019 Strade Bianche.gpx,09_March_2019__result__strade-bianche_2019__1.UWT.csv,100,match
10,3,2019,stage_1,paris-nice,2.UWT,2019 Paris-Nice Stage 1.gpx,10_March_2019__stage_1__paris-nice_2019__2.UWT.csv,100,match
11,3,2019,stage_2,paris-nice,2.UWT,2019 Paris-Nice Stage 2.gpx,11_March_2019__stage_2__paris-nice_2019__2.UWT.csv,100,match
12,3,2019,stage_3,paris-nice,2.UWT,2019 Paris-Nice Stage 3.gpx,12_March_2019__stage_3__paris-nice_2019__2.UWT.csv,100,match
13,3,2019,stage_4,paris-nice,2.UWT,2019 Paris-Nice Stage 4.gpx,13_March_2019__stage_4__paris-nice_2019__2.UWT.csv,100,match
13,3,2019,stage_1,tirreno-adriatico,2.UWT,2019 Tirreno-Adriatico Stage 1.gpx,13_March_2019__stage_1__tirreno-adriatico_2019__2.UWT.csv,100,match
14,3,2019,stage_5,paris-nice,2.UWT,2019 Paris-Nice Stage 5.gpx,14_March_2019__stage_5__paris-nice_2019__2.UWT.csv,100,match
14,3,2019,stage_2,tirreno-adriatico,2.UWT,2019 Tirreno-Adriatico Stage 2.gpx,14_March_2019__stage_2__tirreno-adriatico_2019__2.UWT.csv,100,match
15,3,2019,stage_3,tirreno-adriatico,2.UWT,2019 Tirreno-Adriatico Stage 3.gpx,15_March_2019__stage_3__tirreno-adriatico_2019__2.UWT.csv,100,match
15,3,2019,stage_6,paris-nice,2.UWT,2019 Paris-Nice Stage 6.gpx,15_March_2019__stage_6__paris-nice_2019__2.UWT.csv,100,match
16,3,2019,stage_4,tirreno-adriatico,2.UWT,2019 Tirreno-Adriatico Stage 4.gpx,16_March_2019__stage_4__tirreno-adriatico_2019__2.UWT.csv,100,match
16,3,2019,stage_7,paris-nice,2.UWT,2019 Paris-Nice Stage 7.gpx,16_March_2019__stage_7__paris-nice_2019__2.UWT.csv,100,match
17,3,2019,stage_5,tirreno-adriatico,2.UWT,2019 Tirreno-Adriatico Stage 5.gpx,17_March_2019__stage_5__tirreno-adriatico_2019__2.UWT.csv,100,match
17,3,2019,stage_8,paris-nice,2.UWT,2019 Paris-Nice Stage 8.gpx,17_March_2019__stage_8__paris-nice_2019__2.UWT.csv,100,match
18,3,2019,stage_6,tirreno-adriatico,2.UWT,2019 Tirreno-Adriatico Stage 6.gpx,18_March_2019__stage_6__tirreno-adriatico_2019__2.UWT.csv,100,match
19,3,2019,stage_7,tirreno-adriatico,2.UWT,2019 Tirreno-Adriatico Stage 7.gpx,19_March_2019__stage_7__tirreno-adriatico_2019__2.UWT.csv,100,match
23,3,2019,result,milano-sanremo,1.UWT,2019 Milano - Sanremo.gpx,23_March_2019__result__milano-sanremo_2019__1.UWT.csv,100,match
25,3,2019,stage_1,volta-a-catalunya,2.UWT,2019 Volta Ciclista a Catalunya Stage 1.gpx,25_March_2019__stage_1__volta-a-catalunya_2019__2.UWT.csv,100,match
26,3,2019,stage_2,volta-a-catalunya,2.UWT,2019 Volta Ciclista a Catalunya Stage 2.gpx,26_March_2019__stage_2__volta-a-catalunya_2019__2.UWT.csv,100,match
27,3,2019,stage_3,volta-a-catalunya,2.UWT,2019 Volta Ciclista a Catalunya Stage 3.gpx,27_March_2019__stage_3__volta-a-catalunya_2019__2.UWT.csv,100,match
27,3,2019,result,classic-brugge-de-panne,1.UWT,2019 Driedaagse Brugge-De Panne.gpx,27_March_2019__result__classic-brugge-de-panne_2019__1.UWT.csv,84,match
28,3,2019,stage_4,volta-a-catalunya,2.UWT,2019 Volta Ciclista a Catalunya Stage 4.gpx,28_March_2019__stage_4__volta-a-catalunya_2019__2.UWT.csv,100,match
29,3,2019,stage_5,volta-a-catalunya,2.UWT,2019 Volta Ciclista a Catalunya Stage 5.gpx,29_March_2019__stage_5__volta-a-catalunya_2019__2.UWT.csv,100,match
29,3,2019,result,e3-harelbeke,1.UWT,2019 E3 Binckbank Classic.gpx,29_March_2019__result__e3-harelbeke_2019__1.UWT.csv,70,match
30,3,2019,stage_6,volta-a-catalunya,2.UWT,2019 Volta Ciclista a Catalunya Stage 6.gpx,30_March_2019__stage_6__volta-a-catalunya_2019__2.UWT.csv,100,match
31,3,2019,stage_7,volta-a-catalunya,2.UWT,2019 Volta Ciclista a Catalunya Stage 7.gpx,31_March_2019__stage_7__volta-a-catalunya_2019__2.UWT.csv,100,match
31,3,2019,result,gent-wevelgem,1.UWT,2019 Gent-Wevelgem in Flanders Fields.gpx,31_March_2019__result__gent-wevelgem_2019__1.UWT.csv,100,match
3,4,2019,result,dwars-door-vlaanderen,1.UWT,2019 Dwars door Vlaanderen - A travers la Flandre.gpx,03_April_2019__result__dwars-door-vlaanderen_2019__1.UWT.csv,100,match
7,4,2019,result,ronde-van-vlaanderen,1.UWT,2019 Ronde Van Vlaanderen.gpx,07_April_2019__result__ronde-van-vlaanderen_2019__1.UWT.csv,100,match
8,4,2019,stage_1,itzulia-basque-country,2.UWT,2019 Itzulia Basque Country Stage 1.gpx,08_April_2019__stage_1__itzulia-basque-country_2019__2.UWT.csv,100,match
9,4,2019,stage_2,itzulia-basque-country,2.UWT,2019 Itzulia Basque Country Stage 2.gpx,09_April_2019__stage_2__itzulia-basque-country_2019__2.UWT.csv,100,match
10,4,2019,stage_3,itzulia-basque-country,2.UWT,2019 Itzulia Basque Country Stage 3.gpx,10_April_2019__stage_3__itzulia-basque-country_2019__2.UWT.csv,100,match
11,4,2019,stage_4,itzulia-basque-country,2.UWT,2019 Itzulia Basque Country Stage 4.gpx,11_April_2019__stage_4__itzulia-basque-country_2019__2.UWT.csv,100,match
12,4,2019,stage_5,itzulia-basque-country,2.UWT,2019 Itzulia Basque Country Stage 5.gpx,12_April_2019__stage_5__itzulia-basque-country_2019__2.UWT.csv,100,match
13,4,2019,stage_6,itzulia-basque-country,2.UWT,2019 Itzulia Basque Country Stage 6.gpx,13_April_2019__stage_6__itzulia-basque-country_2019__2.UWT.csv,100,match
14,4,2019,result,paris-roubaix,1.UWT,2019 Paris-Roubaix.gpx,14_April_2019__result__paris-roubaix_2019__1.UWT.csv,100,match
16,4,2019,stage_1,tour-of-turkey,2.UWT,2019 Presidential Cycling Tour of Turkey Stage 1.gpx,16_April_2019__stage_1__tour-of-turkey_2019__2.UWT.csv,97,match
17,4,2019,stage_2,tour-of-turkey,2.UWT,2019 Presidential Cycling Tour of Turkey Stage 2.gpx,17_April_2019__stage_2__tour-of-turkey_2019__2.UWT.csv,97,match
