fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,state_road_km,off-grid_(unknown)_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,access_road_km
2025 Tour de Pologne Stage 6.gpx,https://www.komoot.com/tour/2951464293,117.0,0.0,13.2,0.0,16.2,0.0,0.929,0.0,135.0,12.9,0.0,0.0,0.0,0.0
2025 Tour de Pologne Stage 7.gpx,https://www.komoot.com/tour/2951465146,12.3,0.0,0.158,0.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0
2025 Tour de Romandie Prologue.gpx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025 Tour de Romandie Stage 1.gpx,https://www.komoot.com/tour/2951469187,133.0,24.5,0.181,0.0,34.9,0.0,0.19,0.0,190.0,4.71,0.215,0.0,0.0,0.0
2025 Tour de Romandie Stage 2.gpx,https://www.komoot.com/tour/2951470180,94.6,35.3,3.01,0.0,24.2,0.0,0.0,0.0,149.0,8.18,0.0,0.0,0.0,0.0
2025 Tour de Romandie Stage 3.gpx,https://www.komoot.com/tour/2951471631,163.0,9.31,4.05,0.216,6.34,0.0,0.344,0.0,173.0,9.46,0.0,0.344,0.0,0.0
2025 Tour de Romandie Stage 4.gpx,https://www.komoot.com/tour/2951472812,109.0,5.32,2.99,0.0,0.666,0.0,0.0,0.0,116.0,2.07,0.0,0.0,0.0,0.0
2025 Tour de Romandie Stage 5.gpx,https://www.komoot.com/tour/2951473433,2.99,8.34,1.21,0.0,3.35,0.0,0.211,0.0,13.0,3.15,0.0,0.0,0.0,0.0
2025 Tour de Suisse Stage 1.gpx,https://www.komoot.com/tour/2951474252,34.6,49.2,1.14,0.514,43.4,0.207,0.277,0.0,125.0,3.18,0.0,0.0,0.0,0.0
2025 Tour de Suisse Stage 2.gpx,https://www.komoot.com/tour/2951475008,142.0,21.5,0.592,0.0,13.0,0.0,0.0,0.0,176.0,0.548,0.0,0.0,0.0,0.0
2025 Tour de Suisse Stage 3.gpx,https://www.komoot.com/tour/2951475882,131.0,28.3,2.55,0.593,21.6,0.176,0.71,0.0,188.0,8.29,0.0,0.0,0.0,0.0
2025 Tour de Suisse Stage 4.gpx,https://www.komoot.com/tour/2951476890,65.3,19.0,0.184,1.1,108.0,1.1,0.0,0.0,189.0,1.77,1.42,0.0,0.0,0.0
2025 Tour de Suisse Stage 5.gpx,https://www.komoot.com/tour/2951477538,12.8,2.79,7.76,0.466,154.0,1.31,4.44,0.127,174.0,6.44,1.38,0.127,0.0,0.0
2025 Tour de Suisse Stage 6.gpx,https://www.komoot.com/tour/2951478246,84.9,30.2,3.28,0.204,66.0,0.0,0.854,0.0,184.0,3.05,0.0,0.0,0.0,0.0
2025 Tour de Suisse Stage 7.gpx,https://www.komoot.com/tour/2951479012,91.4,55.0,5.48,0.0,47.4,0.0,0.492,0.0,197.0,9.07,0.25,0.0,0.0,0.0
2025 Tour de Suisse Stage 8.gpx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025 UAE Tour Stage 1.gpx,https://www.komoot.com/tour/2951482381,74.3,1.24,1.12,50.4,11.3,47.5,1.9,0.0,49.2,37.7,0.0,0.0,0.0,0.0
2025 UAE Tour Stage 2.gpx,https://www.komoot.com/tour/2951482931,0.0,11.2,0.0,0.664,0.0,0.664,0.0,0.412,11.2,0.0,0.0,0.412,0.0,0.0
2025 UAE Tour Stage 3.gpx,https://www.komoot.com/tour/2951483554,42.8,0.0,4.86,63.8,70.4,61.1,0.31,0.0,111.0,4.41,0.0,0.0,0.0,0.0
2025 UAE Tour Stage 4.gpx,https://www.komoot.com/tour/2951484203,26.9,0.0,6.47,114.0,37.7,109.0,2.4,0.0,54.4,11.8,0.0,2.22,0.0,0.0
2025 UAE Tour Stage 5.gpx,https://www.komoot.com/tour/2951485044,38.8,0.623,2.52,31.3,88.7,29.8,0.874,0.0,129.0,0.0,0.737,0.0,0.0,0.0
2025 UAE Tour Stage 6.gpx,https://www.komoot.com/tour/2951486394,86.1,0.391,2.86,37.6,31.0,37.0,10.2,0.0,120.0,9.81,0.0,0.0,0.0,0.0
2025 UAE Tour Stage 7.gpx,https://www.komoot.com/tour/2951487155,26.9,0.0,0.527,6.55,141.0,6.17,1.36,0.0,167.0,2.25,0.311,0.0,0.0,0.0
2025 Volta Ciclista a Catalunya Stage 1.gpx,https://www.komoot.com/tour/2951487807,151.0,0.315,4.65,2.99,16.0,3.43,1.17,0.177,170.0,2.28,0.625,0.177,0.545,0.0
2025 Volta Ciclista a Catalunya Stage 2.gpx,https://www.komoot.com/tour/2951488479,128.0,0.366,2.25,0.0,49.9,0.0,0.0,0.0,173.0,7.25,0.0,0.412,0.0,0.0
2025 Volta Ciclista a Catalunya Stage 3.gpx,https://www.komoot.com/tour/2951489216,192.0,0.0,4.1,0.0,22.0,0.552,0.213,0.0,213.0,5.16,0.0,0.213,0.0,0.0
2025 Volta Ciclista a Catalunya Stage 4.gpx,https://www.komoot.com/tour/2951489883,165.0,0.112,2.66,0.0,19.9,0.0,0.304,0.0,181.0,6.66,0.106,0.304,0.0,0.0
2025 Volta Ciclista a Catalunya Stage 5.gpx,https://www.komoot.com/tour/2951490505,68.5,0.0,0.325,0.227,92.6,0.227,0.0,0.0,157.0,3.97,0.0,0.0,0.0,0.0
2025 Volta Ciclista a Catalunya Stage 6.gpx,https://www.komoot.com/tour/2951491720,50.8,0.0,0.18,0.0,21.2,0.193,0.0,0.0,72.1,0.0,0.0,0.0,0.0,0.0
2025 Volta Ciclista a Catalunya Stage 7.gpx,https://www.komoot.com/tour/2951493015,43.4,4.44,17.0,11.9,6.61,10.1,6.99,0.824,69.6,7.33,0.846,0.252,0.0,0.0
