fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,state_road_km,off-grid_(unknown)_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,access_road_km
2025 Giro d'Italia Stage 12.gpx,https://www.komoot.com/tour/2951362745,119.0,8.38,9.66,3.07,32.6,2.74,0.237,0.0,165.0,5.01,0.0,0.0,0.0,0.0
2025 Giro d'Italia Stage 13.gpx,https://www.komoot.com/tour/2951363163,146.0,1.72,1.63,2.17,29.6,2.17,0.0,0.0,178.0,0.871,0.0,0.0,0.0,0.0
2025 Giro d'Italia Stage 14.gpx,https://www.komoot.com/tour/2951363722,133.0,5.06,2.89,1.02,51.4,0.616,0.161,0.0,188.0,3.05,1.15,0.0,0.0,0.0
2025 Giro d'Italia Stage 15.gpx,https://www.komoot.com/tour/2951364326,183.0,3.96,2.84,1.45,27.8,1.63,0.522,0.0,206.0,11.8,0.0,0.501,0.0,0.0
2025 Giro d'Italia Stage 16.gpx,https://www.komoot.com/tour/2951364997,119.0,2.79,1.99,3.39,76.4,3.37,0.174,0.0,199.0,0.857,0.236,0.0,0.0,0.0
2025 Giro d'Italia Stage 17.gpx,https://www.komoot.com/tour/2951365521,59.0,3.14,4.04,0.906,87.7,0.904,0.436,0.0,151.0,2.87,0.0,0.216,0.0,0.0
2025 Giro d'Italia Stage 18.gpx,https://www.komoot.com/tour/2951366221,128.0,2.18,12.0,1.16,1.8,1.16,0.0,0.0,135.0,8.63,0.272,0.0,0.0,0.0
2025 Giro d'Italia Stage 19.gpx,https://www.komoot.com/tour/2951366839,127.0,0.0,0.857,0.312,38.0,0.52,0.0,0.0,164.0,1.31,0.464,0.0,0.0,0.0
2025 Giro d'Italia Stage 2.gpx,https://www.komoot.com/tour/2951367364,0.633,4.07,0.964,0.125,7.62,0.0,0.181,0.0,11.3,2.31,0.0,0.0,0.0,0.0
2025 Giro d'Italia Stage 20.gpx,https://www.komoot.com/tour/2951368092,117.0,0.0,0.102,0.249,87.0,0.249,1.22,0.0,194.0,0.0,1.75,1.22,7.87,0.0
2025 Giro d'Italia Stage 21.gpx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025 Giro d'Italia Stage 3.gpx,https://www.komoot.com/tour/2951377761,18.1,1.62,0.0,0.318,140.0,0.236,0.0,0.0,157.0,1.62,0.198,0.0,0.0,0.0
2025 Giro d'Italia Stage 4.gpx,https://www.komoot.com/tour/2951378310,140.0,1.79,1.55,12.0,33.3,11.6,0.721,0.0,174.0,3.69,0.0,0.0,0.281,0.0
2025 Giro d'Italia Stage 5.gpx,https://www.komoot.com/tour/2951378771,77.8,1.84,3.43,15.6,54.5,14.6,0.0,0.0,133.0,2.79,0.0,0.0,0.0,0.0
2025 Giro d'Italia Stage 6.gpx,https://www.komoot.com/tour/2951379432,120.0,1.55,10.6,45.8,45.4,45.2,6.25,0.0,156.0,23.5,0.725,2.0,0.0,0.0
2025 Giro d'Italia Stage 7.gpx,https://www.komoot.com/tour/2951380059,113.0,0.0,0.132,0.799,54.4,0.975,0.0,0.0,167.0,0.411,0.0,0.0,0.0,0.0
2025 Giro d'Italia Stage 8.gpx,https://www.komoot.com/tour/2951380582,126.0,0.382,0.386,2.23,67.2,2.83,0.0,0.0,190.0,4.63,0.0,0.0,0.0,0.0
2025 Giro d'Italia Stage 9.gpx,https://www.komoot.com/tour/2951381254,137.0,0.0,15.9,0.83,23.9,0.83,2.92,0.0,151.0,0.663,0.841,16.6,9.83,0.0
2025 Grand Prix Cycliste de Montreal.gpx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025 Grand Prix Cycliste de Quebec.gpx,https://www.komoot.com/tour/2951384859,47.7,10.1,41.6,13.6,98.3,12.2,7.05,0.0,196.0,7.4,0.0,0.0,0.0,0.0
2025 Gree - Tour of Guangxi Stage 1.gpx,https://www.komoot.com/tour/2951385704,64.0,0.0,0.129,0.129,85.3,0.0,0.0,0.0,149.0,0.114,0.0,0.0,0.0,0.0
2025 Gree - Tour of Guangxi Stage 2.gpx,https://www.komoot.com/tour/2951386266,30.1,0.0,0.0,4.11,138.0,11.2,0.124,0.0,168.0,0.97,0.0,0.0,0.0,0.0
2025 Gree - Tour of Guangxi Stage 3.gpx,https://www.komoot.com/tour/2951386877,0.633,0.0,0.922,206.0,9.42,206.0,0.0,0.0,9.47,1.5,0.0,0.0,0.0,0.0
2025 Gree - Tour of Guangxi Stage 4.gpx,https://www.komoot.com/tour/2951387569,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0
2025 Gree - Tour of Guangxi Stage 5.gpx,https://www.komoot.com/tour/2951388021,4.85,0.0,0.188,0.0,161.0,0.0,0.0,0.0,166.0,0.265,0.0,0.0,0.0,0.0
2025 Gree - Tour of Guangxi Stage 6.gpx,https://www.komoot.com/tour/2951388769,74.5,10.3,20.1,21.1,24.5,5.21,3.27,0.0,109.0,8.17,0.0,0.0,0.0,0.0
2025 Il Lombardia.gpx,https://www.komoot.com/tour/2951389575,206.0,8.12,2.55,7.62,16.3,7.41,1.09,0.863,232.0,0.784,0.289,0.894,0.414,0.0
2025 Itzulia Basque Country Stage 1.gpx,https://www.komoot.com/tour/2951390473,14.8,0.555,0.0,0.65,0.58,0.154,0.277,0.0,15.4,0.555,0.0,0.0,0.0,0.218
2025 Itzulia Basque Country Stage 2.gpx,https://www.komoot.com/tour/2951391299,82.8,3.57,0.0,0.567,99.9,0.391,0.177,0.0,183.0,3.57,0.0,0.0,0.0,0.0
2025 Itzulia Basque Country Stage 3.gpx,https://www.komoot.com/tour/2951392559,135.0,1.03,9.51,0.661,11.3,0.515,0.445,0.0,152.0,3.99,0.717,0.0,0.0,0.0
2025 Itzulia Basque Country Stage 4.gpx,https://www.komoot.com/tour/2951392948,118.0,0.385,0.371,0.477,50.8,0.477,0.0,0.0,165.0,4.05,0.271,0.0,0.0,0.0
2025 Itzulia Basque Country Stage 5.gpx,https://www.komoot.com/tour/2951393516,124.0,0.239,2.78,2.43,43.7,2.43,0.0,0.0,158.0,12.0,0.666,0.0,0.0,0.0
2025 Itzulia Basque Country Stage 6.gpx,https://www.komoot.com/tour/2951394271,95.8,1.26,6.45,1.43,50.0,1.4,0.29,0.0,149.0,3.98,0.217,0.0,0.0,0.0
2025 La Fleche Wallonne.gpx,https://www.komoot.com/tour/2951394668,174.0,5.57,5.21,1.94,18.4,0.0,0.182,0.0,191.0,13.6,0.0,0.182,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 1.gpx,https://www.komoot.com/tour/2951395334,46.2,1.38,0.159,1.24,139.0,0.971,0.352,0.0,185.0,0.0,1.18,0.509,0.0,0.0
