date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2024-04-14,2024,amstel-gold-race,gc,Team Visma | Lease a Bike,1.UWT,,0,0,,0.0,,,335.0
2024-05-19,2024,antwerp-port-epic,gc,Team Visma | Lease a Bike,1.1,,,1,,0.0,,,50.0
2024-08-25,2024,bretagne-classic,gc,Team Visma | Lease a Bike,1.UWT,,0,0,,0.0,,,24.0
2024-05-09,2024,circuit-de-wallonie,gc,Team Visma | Lease a Bike,1.1,,,1,,0.0,,,70.0
2024-04-04,2024,circuit-des-ardennes,gc,Team Visma | Lease a Bike Development,2.2,,0,0,,25.0,,,26.0
2024-02-11,2024,clasica-de-almeria,gc,Team Visma | Lease a Bike,1.Pro,,0,0,,0.0,,,235.0
2024-02-12,2024,clasica-jaen-paraiso-interior,gc,Team Visma | Lease a Bike,1.1,,0,0,,0.0,,,110.0
2024-10-07,2024,coppa-bernocchi,gc,Team Visma | Lease a Bike,1.Pro,,0,0,,0.0,,,93.0
2024-10-01,2024,coppa-citta-di-san-daniele2,gc,Team Visma | Lease a Bike Development,1.2,,0,0,,0.0,,,73.0
2024-09-08,2024,cyclassics-hamburg,gc,Team Visma | Lease a Bike,1.UWT,,0,0,,0.0,,,408.0
2024-07-25,2024,czech-tour,gc,Team Visma | Lease a Bike,2.1,,0,0,,8.0,,,22.0
2024-06-23,2024,danish-championships,gc,Team Visma | Lease a Bike Development,NC,,0,0,,0.0,,,0.0
2024-08-22,2024,deutschland-tour,gc,Team Visma | Lease a Bike,2.Pro,,0,0,,70.0,,,55.0
2024-03-27,2024,dwars-door-vlaanderen,gc,Team Visma | Lease a Bike,1.UWT,,0,0,,0.0,,,480.0
2024-03-22,2024,e3-harelbeke,gc,Team Visma | Lease a Bike,1.UWT,,0,0,,0.0,,,448.0
2024-10-02,2024,elfsteden-race,gc,Team Visma | Lease a Bike,1.1,,0,0,,0.0,,,78.0
2024-05-12,2024,fleche-ardennaise,gc,Team Visma | Lease a Bike Development,1.2,,0,0,,0.0,,,3.0
2024-03-24,2024,gent-wevelgem,gc,Team Visma | Lease a Bike,1.UWT,,0,0,,0.0,,,195.0
2024-05-04,2024,giro-d-italia,gc,Team Visma | Lease a Bike,2.UWT,,0,0,,75.0,0.0,0.0,707.0
2024-05-04,2024,giro-d-italia,kom,Team Visma | Lease a Bike,2.UWT,,0,0,,75.0,0.0,0.0,707.0
2024-05-04,2024,giro-d-italia,points,Team Visma | Lease a Bike,2.UWT,,0,0,,75.0,0.0,0.0,707.0
2024-10-05,2024,giro-dell-emilia,gc,Team Visma | Lease a Bike,1.Pro,,0,0,,0.0,,,85.0
2024-09-04,2024,giro-della-regione-friuli-venezia-giulia,gc,Team Visma | Lease a Bike Development,2.2,,0,0,,45.0,,,45.0
2024-09-22,2024,gooikse-pijl,gc,Team Visma | Lease a Bike,1.1,,0,0,,0.0,,,70.0
2024-03-03,2024,gp-de-la-ville-de-lillers,gc,Team Visma | Lease a Bike Development,1.2,,,1,,0.0,,,0.0
2024-08-15,2024,gp-jef-scherens,gc,Team Visma | Lease a Bike Development,1.1,,,1,,0.0,,,3.0
