date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2025-04-09,2025,circuit-des-ardennes,gc,Team Visma | Lease a Bike Development,2.2,59.0,0.0,1,,0.0,,,0.0
2025-10-07,2025,coppa-citta-di-san-daniele2,gc,Team Visma | Lease a Bike Development,1.2,,,1,,0.0,,,43.0
2025-05-03,2025,fleche-ardennaise,gc,Team Visma | Lease a Bike Development,1.2,,,1,,0.0,,,13.0
2025-09-27,2025,gp-cerami,gc,Team Visma | Lease a Bike Development,1.2,,,1,,0.0,,,15.0
2025-03-09,2025,gp-de-la-ville-de-lillers,gc,Team Visma | Lease a Bike Development,1.2,,,1,,0.0,,,40.0
2025-09-14,2025,grote-prijs-rik-van-looy,gc,Team Visma | Lease a Bike Development,1.2,,,1,,0.0,,,0.0
2025-03-13,2025,istrian-spring-tour,gc,Team Visma | Lease a Bike Development,2.2,,0,0,,20.0,,,23.0
2025-08-02,2025,kreiz-breizh-elites,gc,Team Visma | Lease a Bike Development,2.2,,0,0,,0.0,,,0.0
2025-04-25,2025,le-tour-de-bretagne,gc,Team Visma | Lease a Bike Development,2.2,,0,0,,3.0,,,6.0
2025-03-08,2025,le-tour-des-100-communes,gc,Team Visma | Lease a Bike Development,1.2,,,1,,0.0,,,40.0
2025-08-27,2025,muur-classic-geraardsbergen,gc,Team Visma | Lease a Bike Development,1.1,,0,0,,0.0,,,5.0
2025-06-29,2025,nc-germany,gc,Team Visma | Lease a Bike Development,NC,,0,0,,0.0,,,0.0
2025-06-28,2025,nc-netherlands,gc,Team Visma | Lease a Bike Development,NC,,0,0,,0.0,,,0.0
2025-06-29,2025,nc-norway,gc,Team Visma | Lease a Bike Development,NC,,0,0,,0.0,,,0.0
2025-06-26,2025,nc-norway-itt,gc,Team Visma | Lease a Bike Development,NC,,0,0,,0.0,,,0.0
2025-06-29,2025,ncgreat-britain,gc,Team Visma | Lease a Bike Development,NC,,,1,,0.0,,,0.0
2025-09-04,2025,okolo-jiznich-cech,gc,Team Visma | Lease a Bike Development,2.2,,0,0,,40.0,,,55.0
2025-03-26,2025,olympias-tour,gc,Team Visma | Lease a Bike Development,2.2,,,1,,0.0,,,0.0
2025-06-09,2025,paris-troyes,gc,Team Visma | Lease a Bike Development,1.2,,0,0,,0.0,,,0.0
2025-03-09,2025,porec-trophy,gc,Team Visma | Lease a Bike Development,1.2,,0,0,,0.0,,,3.0
2025-05-28,2025,rhone-alpes-isere-tour,gc,Team Visma | Lease a Bike Development,2.2,,0,0,,10.0,,,5.0
2025-05-18,2025,rund-um-koln,gc,Team Visma | Lease a Bike Development,1.1,,0,0,,0.0,,,125.0
2025-07-31,2025,tour-alsace,gc,Team Visma | Lease a Bike Development,2.2,24.0,0.0,1,,10.0,,,10.0
2025-03-05,2025,trofej-umag,gc,Team Visma | Lease a Bike Development,1.2,,0,0,,0.0,,,15.0
