date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2025-05-01,2025,gp-vorarlberg,gc,Bauer Sport | Glattgarage Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2025-06-29,2025,nc-switserland,gc,Bauer Sport | Glattgarage Cycling Team,NC,,,1,,0.0,,,0.0
2025-05-11,2025,radsportfest-marwil,gc,Bauer Sport | Glattgarage Cycling Team,1.2,,0.0,0,,0.0,,,0.0
