date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2024-04-04,2024,circuit-des-ardennes,gc,ARA | Skip Capital,2.2,,0.0,0,,0.0,,,0.0
2024-05-05,2024,circuit-des-xi-villes,gc,ARA | Skip Capital,1.1,,,1,,0.0,,,0.0
2024-07-11,2024,gp-int-torres-vedras,gc,ARA | Skip Capital,2.2,,0.0,0,,0.0,,,0.0
2024-01-28,2024,great-ocean-road-race,gc,ARA | Skip Capital,1.UWT,,,1,,0.0,,,10.0
2024-04-25,2024,le-tour-de-bretagne,gc,ARA | Skip Capital,2.2,,0.0,0,,0.0,,,-10.0
2024-06-27,2024,okolo-slovenska,gc,ARA | Skip Capital,2.1,,0.0,0,,0.0,,,0.0
2024-01-25,2024,race-torquay,gc,ARA | Skip Capital,1.1,,,1,,0.0,,,5.0
2024-05-22,2024,rhone-alpes-isere-tour,gc,ARA | Skip Capital,2.2,,0.0,0,,0.0,,,3.0
2024-05-04,2024,ronde-van-overijssel,gc,ARA | Skip Capital,1.2,,,1,,0.0,,,40.0
2024-09-29,2024,tour-de-langkawi,gc,ARA | Skip Capital,2.Pro,,0.0,0,,0.0,,,0.0
2024-09-04,2024,tour-of-poyang-lake,gc,ARA | Skip Capital,2.2,,0.0,0,,0.0,,,1.0
2024-06-05,2024,zlm-tour,gc,ARA | Skip Capital,2.1,,0.0,0,,0.0,,,0.0
