date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-05-22,2022,albani-classic-fyen-rundt,gc,The Cycling Academy Race Team,1.2,,,1,,0.0,,,0.0
2022-05-21,2022,gp-herning,gc,The Cycling Academy Race Team,1.2,,,1,,0.0,,,0.0
2023-05-17,2023,fleche-du-sud,gc,Team Dauner | Akkon,2.2,,0.0,0,,0.0,,,0.0
2023-04-30,2023,gp-vorarlberg,gc,Team Dauner | Akkon,1.2,,,1,,0.0,,,0.0
2023-06-25,2023,nc-germany,gc,Team Dauner | Akkon,NC,,0.0,0,,0.0,,,0.0
2023-06-23,2023,nc-germany-itt,gc,Team Dauner | Akkon,NC,,0.0,0,,0.0,,,0.0
2023-06-24,2023,nc-israel,gc,Team Dauner | Akkon,NC,,,1,,0.0,,,0.0
2023-06-25,2023,nc-luxembourg,gc,Team Dauner | Akkon,NC,,0.0,0,,0.0,,,1.0
2023-06-25,2023,nc-norway,gc,Team Dauner | Akkon,NC,,0.0,0,,0.0,,,0.0
2023-03-11,2023,rhodes-gp,gc,Team Dauner | Akkon,1.2,,0.0,0,,0.0,,,5.0
2023-03-04,2023,south-aegean-tour,gc,Team Dauner | Akkon,2.2,,0.0,0,,0.0,,,0.0
2023-03-17,2023,tour-of-rhodes,gc,Team Dauner | Akkon,2.2,,0.0,0,,0.0,,,0.0
